[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ketamine.]
[N06BX13, idebenone, Ketamine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Ketamine is combined with Iprazochrome.]
[L01CE02, irinotecan, Ketamine may increase the neuromuscular blocking activities of Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Ketamine is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Ketamine can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Ketamine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Ketamine is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Ketamine is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Ketamine can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Ketamine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02DB02, hydralazine, Ketamine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The therapeutic efficacy of Ketamine can be decreased when used in combination with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Ketamine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[G04BD06, propiverine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Ketamine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Ketamine is combined with Prothipendyl.]
[B05AA07, hetastarch, Ketamine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[J04AB04, rifabutin, The metabolism of Ketamine can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Ketamine can be decreased when combined with Ibuprofen.]
[B05XA08, sodium acetate, Ketamine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Ketamine can be decreased when combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Ketamine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ketamine.]
[N06AA02, imipramine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Ketamine.]
[R01AD07, tixocortol, The therapeutic efficacy of Ketamine can be decreased when used in combination with Tixocortol.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Ketamine.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A11HA07, inositol, Ketamine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Ketamine.]
[A03AA30, piperidolate, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Ketamine is combined with Varenicline.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Ketamine is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Ketamine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Ketamine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Ketamine.]
[R06AE01, buclizine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Ketamine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Ketamine.]
[C07AA01, alprenolol, Ketamine may increase the bradycardic activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Ketamine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Ketamine is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Ketamine is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Ketamine is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Ketamine can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Isoetharine is combined with Ketamine.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ketamine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Ketamine.]
[J04AC01, isoniazid, The metabolism of Ketamine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Ketamine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of Tachycardia can be increased when Isoprenaline is combined with Ketamine.]
[C01DA14, isosorbide mononitrate, Ketamine may increase the vasodilatory activities of Isosorbide mononitrate.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Ketamine.]
[S01AA24, kanamycin, Ketamine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Ketamine can be increased when combined with Tocilizumab.]
[N07XX04, sodium oxybate, The risk or severity of adverse effects can be increased when Ketamine is combined with Sodium oxybate.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Ketamine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Ketamine can be decreased when used in combination with Fluticasone furoate.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Ketamine is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Ketamine.]
[J02AB02, ketoconazole, The metabolism of Ketamine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Ketamine can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Ketamine can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Arbutamine is combined with Ketamine.]
[N04BC09, rotigotine, Ketamine may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, Ketamine may increase the bradycardic activities of Labetalol.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Ketamine.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Ketamine is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Ketamine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Ketamine.]
[S01AA21, amikacin, Ketamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Ketamine can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Ketamine.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Ketamine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Ketamine is combined with Lofepramine.]
[A07DA03, loperamide, The metabolism of Ketamine can be decreased when combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Ketamine.]
[C10AA02, lovastatin, The metabolism of Ketamine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Ketamine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Ketamine.]
[B05XA11, magnesium chloride, Ketamine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Ketamine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Ketamine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Ketamine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Ketamine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Ketamine.]
[C02BB01, mecamylamine, The therapeutic efficacy of Mecamylamine can be decreased when used in combination with Ketamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Ketamine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Medazepam.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Ketamine.]
[N06DX01, memantine, The risk or severity of adverse effects can be increased when Ketamine is combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Ketamine.]
[C01CA11, mephentermine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Ketamine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Ketamine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Ketamine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Ketamine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Ketamine is combined with Meptazinol.]
[G04BX16, tiopronin, Ketamine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Ketamine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Ketamine is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Metaraminol is combined with Ketamine.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ketamine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Ketamine.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Metamfetamine.]
[A03AB07, methantheline, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Ketamine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Ketamine is combined with Methaqualone.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Ketamine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Ketamine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Ketamine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Ketamine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Ketamine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Ketamine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Ketamine is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Methoxamine is combined with Ketamine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Ketamine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Ketamine is combined with Methylene blue.]
[H02AB04, methylprednisolone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The therapeutic efficacy of Ketamine can be decreased when used in combination with Methylprednisolone aceponate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Ketamine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Ketamine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Ketamine.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Ketamine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Ketamine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Ketamine may increase the bradycardic activities of Metoprolol.]
[P01AB01, metronidazole, The metabolism of Ketamine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Ketamine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Ketamine is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Ketamine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Ketamine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Ketamine.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Midodrine is combined with Ketamine.]
[G03XB01, mifepristone, The serum concentration of Ketamine can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Ketamine can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[L01XX23, mitotane, The metabolism of Ketamine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Ketamine is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Ketamine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Ketamine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Ketamine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Ketamine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Ketamine can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Ketamine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Ketamine.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Ketamine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Ketamine is combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Ketamine can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Ketamine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Ketamine.]
[C07AA12, nadolol, Ketamine may increase the bradycardic activities of Nadolol.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N04BC04, ropinirole, Ketamine may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Ketamine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Ketamine.]
[V03AB15, naloxone, The metabolism of Ketamine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Ketamine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Ketamine is combined with Naphazoline.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Ketamine can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Ketamine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Ketamine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Ketamine.]
[S03AA01, neomycin, Ketamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Ketamine.]
[A10BX02, repaglinide, The metabolism of Ketamine can be decreased when combined with Repaglinide.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Ketamine is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L03AX16, plerixafor, Ketamine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Ketamine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Ketamine is combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01CE01, inamrinone, Ketamine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Ketamine is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Ketamine can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Ketamine.]
[N07BA01, nicotine, The metabolism of Ketamine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, Nifedipine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Nitrazepam.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ketamine.]
[N04BC05, pramipexole, Ketamine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Ketamine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Ketamine is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Norepinephrine is combined with Ketamine.]
[C02KX01, bosentan, The metabolism of Ketamine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[R05DA07, noscapine, The metabolism of Ketamine can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Ketamine is combined with Nylidrin.]
[L04AC04, rilonacept, The metabolism of Ketamine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Ketamine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Ketamine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Ketamine is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Orciprenaline is combined with Ketamine.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A14AA08, oxandrolone, The metabolism of Ketamine can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ketamine.]
[C07AA02, oxprenolol, Ketamine may increase the bradycardic activities of Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ketamine.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Oxymetazoline is combined with Ketamine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Ketamine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Ketamine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A03AB03, oxyphenonium, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Ketamine is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[M03AC01, pancuronium, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Ketamine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Ketamine is combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[G04BD11, fesoterodine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Ketamine may increase the bradycardic activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Ketamine is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Ketamine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Ketamine.]
[N05CA01, pentobarbital, The metabolism of Ketamine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Ketamine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Ketamine.]
[C08EX02, perhexiline, The metabolism of Ketamine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Ketamine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Ketamine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Ketamine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Ketamine.]
[N03AA02, phenobarbital, The metabolism of Ketamine can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Ketamine is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Ketamine.]
[A08AA01, phentermine, The risk or severity of Tachycardia can be increased when Phentermine is combined with Ketamine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Ketamine can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Ketamine.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Phenylpropanolamine is combined with Ketamine.]
