[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Certolizumab pegol.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Certolizumab pegol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be increased when combined with Certolizumab pegol.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be increased when combined with Certolizumab pegol.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be increased when combined with Certolizumab pegol.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be increased when combined with Certolizumab pegol.]
[L02BB01, flutamide, The metabolism of Flutamide can be increased when combined with Certolizumab pegol.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Certolizumab pegol.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be increased when combined with Certolizumab pegol.]
[N06DA04, galantamine, The metabolism of Galantamine can be increased when combined with Certolizumab pegol.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C10AB04, gemfibrozil, Gemfibrozil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Certolizumab pegol.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Certolizumab pegol.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be increased when combined with Certolizumab pegol.]
[J05AG04, etravirine, The metabolism of Etravirine can be increased when combined with Certolizumab pegol.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be increased when combined with Certolizumab pegol.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be increased when combined with Certolizumab pegol.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be increased when combined with Certolizumab pegol.]
[A10BB01, glyburide, The metabolism of Glyburide can be increased when combined with Certolizumab pegol.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be increased when combined with Certolizumab pegol.]
[A10BB07, glipizide, The metabolism of Glipizide can be increased when combined with Certolizumab pegol.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Certolizumab pegol.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Certolizumab pegol.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Certolizumab pegol.]
[C07AB09, esmolol, The metabolism of Esmolol can be increased when combined with Certolizumab pegol.]
[M01CB04, aurothioglucose, Certolizumab pegol may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, The therapeutic efficacy of Certolizumab pegol can be decreased when used in combination with Pegaptanib.]
[B01AA12, fluindione, The metabolism of Fluindione can be increased when combined with Certolizumab pegol.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be increased when combined with Certolizumab pegol.]
[N05AD01, haloperidol, The metabolism of Haloperidol can be increased when combined with Certolizumab pegol.]
[N01AB01, halothane, The metabolism of Halothane can be increased when combined with Certolizumab pegol.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be increased when combined with Certolizumab pegol.]
[N06BX13, idebenone, Certolizumab pegol may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Certolizumab pegol.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Losartan can be increased when combined with Certolizumab pegol.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Certolizumab pegol.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Certolizumab pegol.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be increased when combined with Certolizumab pegol.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Certolizumab pegol.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be increased when combined with Certolizumab pegol.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be increased when combined with Certolizumab pegol.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be increased when combined with Certolizumab pegol.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be increased when combined with Certolizumab pegol.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Certolizumab pegol may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BD06, propiverine, Certolizumab pegol may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be increased when combined with Certolizumab pegol.]
[B05AA07, hetastarch, Certolizumab pegol may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Certolizumab pegol.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be increased when combined with Certolizumab pegol.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be increased when combined with Certolizumab pegol.]
[B05XA08, sodium acetate, Certolizumab pegol may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be increased when combined with Certolizumab pegol.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Certolizumab pegol.]
[N06AA02, imipramine, The metabolism of Imipramine can be increased when combined with Certolizumab pegol.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Certolizumab pegol.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be increased when combined with Certolizumab pegol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Certolizumab pegol.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be increased when combined with Certolizumab pegol.]
[A11HA07, inositol, Certolizumab pegol may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Certolizumab pegol.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Certolizumab pegol.]
[N06AX17, milnacipran, Milnacipran may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Certolizumab pegol.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be increased when combined with Certolizumab pegol.]
[S01LA04, ranibizumab, The risk or severity of adverse effects can be increased when Ranibizumab is combined with Certolizumab pegol.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be increased when combined with Certolizumab pegol.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be increased when combined with Certolizumab pegol.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be increased when combined with Certolizumab pegol.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be increased when combined with Certolizumab pegol.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be increased when combined with Certolizumab pegol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Certolizumab pegol.]
[V03AB01, ipecac, The metabolism of Ipecac can be increased when combined with Certolizumab pegol.]
[L03AX04, pegademase bovine, The therapeutic efficacy of Certolizumab pegol can be decreased when used in combination with Pegademase.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be increased when combined with Certolizumab pegol.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be increased when combined with Certolizumab pegol.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AX05, inosine pranobex, Certolizumab pegol may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01AA24, kanamycin, Certolizumab pegol may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, Tocilizumab may increase the immunosuppressive activities of Certolizumab pegol.]
[N01AX03, ketamine, The metabolism of Ketamine can be increased when combined with Certolizumab pegol.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be increased when combined with Certolizumab pegol.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be increased when combined with Certolizumab pegol.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AA24, abatacept, The risk or severity of infection can be increased when Certolizumab pegol is combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be increased when combined with Certolizumab pegol.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C07AG01, labetalol, The metabolism of Labetalol can be increased when combined with Certolizumab pegol.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be increased when combined with Certolizumab pegol.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Certolizumab pegol.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Certolizumab pegol.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be increased when combined with Certolizumab pegol.]
[S01AA21, amikacin, Certolizumab pegol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be increased when combined with Certolizumab pegol.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Certolizumab pegol.]
[A07DA03, loperamide, The metabolism of Loperamide can be increased when combined with Certolizumab pegol.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be increased when combined with Certolizumab pegol.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Certolizumab pegol.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Certolizumab pegol.]
[B05XA11, magnesium chloride, Certolizumab pegol may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Certolizumab pegol may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Certolizumab pegol.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be increased when combined with Certolizumab pegol.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be increased when combined with Certolizumab pegol.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Certolizumab pegol.]
[R06AE05, meclizine, The metabolism of Meclizine can be increased when combined with Certolizumab pegol.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The metabolism of Melatonin can be increased when combined with Certolizumab pegol.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Certolizumab pegol.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Certolizumab pegol.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be increased when combined with Certolizumab pegol.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be increased when combined with Certolizumab pegol.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be increased when combined with Certolizumab pegol.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be increased when combined with Certolizumab pegol.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be increased when combined with Certolizumab pegol.]
[N07BC02, methadone, The metabolism of Methadone can be increased when combined with Certolizumab pegol.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be increased when combined with Certolizumab pegol.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Certolizumab pegol.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be increased when combined with Certolizumab pegol.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Certolizumab pegol.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be increased when combined with Certolizumab pegol.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be increased when combined with Certolizumab pegol.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be increased when combined with Certolizumab pegol.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Certolizumab pegol.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Certolizumab pegol.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be increased when combined with Certolizumab pegol.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Certolizumab pegol.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be increased when combined with Certolizumab pegol.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be increased when combined with Certolizumab pegol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Certolizumab pegol.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be increased when combined with Certolizumab pegol.]
[N06AX03, mianserin, The metabolism of Mianserin can be increased when combined with Certolizumab pegol.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be increased when combined with Certolizumab pegol.]
[N05CD08, midazolam, The metabolism of Midazolam can be increased when combined with Certolizumab pegol.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Certolizumab pegol.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be increased when combined with Certolizumab pegol.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Certolizumab pegol.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be increased when combined with Certolizumab pegol.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Certolizumab pegol.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be increased when combined with Certolizumab pegol.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be increased when combined with Certolizumab pegol.]
[N02AA01, morphine, The metabolism of Morphine can be increased when combined with Certolizumab pegol.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be increased when combined with Certolizumab pegol.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Antilymphocyte immunoglobulin (horse).]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Certolizumab pegol.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Certolizumab pegol.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Certolizumab pegol.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be increased when combined with Certolizumab pegol.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be increased when combined with Certolizumab pegol.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be increased when combined with Certolizumab pegol.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Certolizumab pegol.]
[C07AA12, nadolol, The metabolism of Nadolol can be increased when combined with Certolizumab pegol.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be increased when combined with Certolizumab pegol.]
[V03AB15, naloxone, Naloxone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be increased when combined with Certolizumab pegol.]
[M02AA12, naproxen, The metabolism of Naproxen can be increased when combined with Certolizumab pegol.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be increased when combined with Certolizumab pegol.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be increased when combined with Certolizumab pegol.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The therapeutic efficacy of Methoxy polyethylene glycol-epoetin beta can be decreased when used in combination with Certolizumab pegol.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Certolizumab pegol.]
[L02BG04, letrozole, The metabolism of Letrozole can be increased when combined with Certolizumab pegol.]
[S03AA01, neomycin, Certolizumab pegol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be increased when combined with Certolizumab pegol.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be increased when combined with Certolizumab pegol.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01AA23, netilmicin, Certolizumab pegol may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Desvenlafaxine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Certolizumab pegol.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be increased when combined with Certolizumab pegol.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be increased when combined with Certolizumab pegol.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be increased when combined with Certolizumab pegol.]
[N07BA01, nicotine, The metabolism of Nicotine can be increased when combined with Certolizumab pegol.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Certolizumab pegol.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be increased when combined with Certolizumab pegol.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be increased when combined with Certolizumab pegol.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be increased when combined with Certolizumab pegol.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Certolizumab pegol.]
[C02KX01, bosentan, The metabolism of Bosentan can be increased when combined with Certolizumab pegol.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Certolizumab pegol.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be increased when combined with Certolizumab pegol.]
[N02AA02, opium, The metabolism of Opium can be increased when combined with Certolizumab pegol.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be increased when combined with Certolizumab pegol.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be increased when combined with Certolizumab pegol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be increased when combined with Certolizumab pegol.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be increased when combined with Certolizumab pegol.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N05AH05, asenapine, The metabolism of Asenapine can be increased when combined with Certolizumab pegol.]
[J04AB30, capreomycin, Certolizumab pegol may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Certolizumab pegol.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be increased when combined with Certolizumab pegol.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be increased when combined with Certolizumab pegol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Certolizumab pegol.]
[J01CE09, penicillin G procaine, Certolizumab pegol may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Certolizumab pegol.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Certolizumab pegol.]
[N05CA01, pentobarbital, The metabolism of Pentobarbital can be increased when combined with Certolizumab pegol.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Certolizumab pegol.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be increased when combined with Certolizumab pegol.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be increased when combined with Certolizumab pegol.]
[L01FX01, edrecolomab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Edrecolomab.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be increased when combined with Certolizumab pegol.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Certolizumab pegol.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be increased when combined with Certolizumab pegol.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A10BA01, phenformin, The metabolism of Phenformin can be increased when combined with Certolizumab pegol.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be increased when combined with Certolizumab pegol.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Certolizumab pegol.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
