[S02DA03, antipyrine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Antipyrine.]
[A06AA01, mineral oil, The risk or severity of adverse effects can be increased when Bumetanide is combined with Mineral oil.]
[J05AH01, zanamivir, Bumetanide may increase the excretion rate of Zanamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA03, valsartan, The risk or severity of adverse effects can be increased when Valsartan is combined with Bumetanide.]
[J01AA08, minocycline, The excretion of Bumetanide can be decreased when combined with Minocycline.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Minoxidil is combined with Bumetanide.]
[L03AC01, aldesleukin, Bumetanide may increase the excretion rate of Aldesleukin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD01, amiodarone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Amiodarone.]
[N06AA09, amitriptyline, Bumetanide may increase the excretion rate of Amitriptyline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA01, morphine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Morphine.]
[A04AA05, palonosetron, Bumetanide may increase the excretion rate of Palonosetron which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD06, moxalactam, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Latamoxef.]
[L04AB05, certolizumab pegol, Bumetanide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BA01, ammonium chloride, Bumetanide may increase the excretion rate of Ammonium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA06, mycophenolic acid, Bumetanide may increase the excretion rate of Mycophenolic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC03, vecuronium, Bumetanide may decrease the neuromuscular blocking activities of Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Bumetanide.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Raltegravir.]
[C07AA12, nadolol, Bumetanide may increase the excretion rate of Nadolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA04, amoxicillin, Bumetanide may increase the excretion rate of Amoxicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Bumetanide.]
[N02AF02, nalbuphine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, Bumetanide may increase the excretion rate of Naloxone which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Bumetanide.]
[N06BA01, amphetamine, Bumetanide may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA12, naproxen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Naproxen.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Bumetanide.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Bumetanide is combined with Duloxetine.]
[N04BX01, tolcapone, Bumetanide may increase the excretion rate of Tolcapone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CD02, docetaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Docetaxel.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Letrozole.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Neomycin.]
[N01AH06, remifentanil, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Remifentanil.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Bumetanide.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Bumetanide is combined with Levosimendan.]
[B01AC17, tirofiban, Bumetanide may increase the excretion rate of Tirofiban which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AA01, amphotericin B, The risk or severity of nephrotoxicity can be increased when Amphotericin B is combined with Bumetanide.]
[S01AA19, ampicillin, Bumetanide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AX16, plerixafor, Bumetanide may increase the excretion rate of Plerixafor which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA23, netilmicin, The serum concentration of Netilmicin can be increased when it is combined with Bumetanide.]
[N06AX23, desvenlafaxine, Bumetanide may increase the excretion rate of Desvenlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA07, telmisartan, The risk or severity of adverse effects can be increased when Bumetanide is combined with Telmisartan.]
[J05AB11, valacyclovir, The excretion of Valaciclovir can be decreased when combined with Bumetanide.]
[C01CE01, inamrinone, Bumetanide may increase the excretion rate of Amrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Bumetanide.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Bumetanide.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Nicardipine is combined with Bumetanide.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Nicotine.]
[C08CA05, nifedipine, Bumetanide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA17, niflumic acid, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Bumetanide is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of adverse effects can be increased when Nimodipine is combined with Bumetanide.]
[C08CA07, nisoldipine, Bumetanide may increase the excretion rate of Nisoldipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA08, nitrendipine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Nitrendipine.]
[R07AX01, nitric oxide, Bumetanide may increase the excretion rate of Nitric Oxide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XE01, nitrofurantoin, Bumetanide may increase the excretion rate of Nitrofurantoin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF03, zaleplon, Bumetanide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC05, pramipexole, Bumetanide may increase the excretion rate of Pramipexole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DD01, nitroprusside, Bumetanide may increase the excretion rate of Nitroprusside which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA03, norepinephrine, The risk or severity of hypokalemia can be increased when Norepinephrine is combined with Bumetanide.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Norfloxacin.]
[C02KX01, bosentan, Bumetanide may increase the hypotensive activities of Bosentan.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Ofloxacin.]
[N02AA02, opium, Bumetanide may increase the excretion rate of Opium which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB03, metaproterenol, The risk or severity of hypokalemia can be increased when Orciprenaline is combined with Bumetanide.]
[G04CA02, tamsulosin, Bumetanide may increase the excretion rate of Tamsulosin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AC01, ouabain, The risk or severity of adverse effects can be increased when Bumetanide is combined with Ouabain.]
[M05BA08, zoledronic acid, The risk or severity of hypocalcemia can be increased when Bumetanide is combined with Zoledronic acid.]
[J01CF04, oxacillin, Bumetanide may increase the excretion rate of Oxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA04, oxazepam, Bumetanide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Bumetanide is combined with Oxprenolol.]
[N02AA05, oxycodone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Oxycodone.]
[N02AA11, oxymorphone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Oxymorphone.]
[S01BC02, oxyphenbutazone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Oxyphenbutazone.]
[S01AA04, oxytetracycline, The excretion of Bumetanide can be decreased when combined with Oxytetracycline.]
[V04CH30, 4-aminohippuric acid, The excretion of Bumetanide can be decreased when combined with Aminohippuric acid.]
[J04AA01, aminosalicylic acid, The risk or severity of adverse effects can be increased when Bumetanide is combined with Aminosalicylic acid.]
[N02AX06, tapentadol, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Tapentadol.]
[M03AC01, pancuronium, Bumetanide may decrease the neuromuscular blocking activities of Pancuronium.]
[J04AB30, capreomycin, The serum concentration of Capreomycin can be increased when it is combined with Bumetanide.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of hypokalemia can be increased when Paramethasone is combined with Bumetanide.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Bumetanide.]
[A07AA06, paromomycin, The serum concentration of Paromomycin can be increased when it is combined with Bumetanide.]
[G04BD11, fesoterodine, Bumetanide may increase the excretion rate of Fesoterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA23, penbutolol, Bumetanide may increase the excretion rate of Penbutolol which could result in a lower serum level and potentially a reduction in efficacy.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Penicillamine is combined with Bumetanide.]
[J01CE09, penicillin G procaine, Bumetanide may increase the excretion rate of Procaine benzylpenicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA14, penicillin G, Bumetanide may decrease the excretion rate of Benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Bumetanide.]
[L01XX08, pentostatin, Bumetanide may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Bumetanide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AD02, phenazocine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Phenazocine.]
[G04BX06, phenazopyridine, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Phenazopyridine.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Bumetanide.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Bumetanide.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive activities of Bumetanide.]
[A06AB01, oxyphenisatin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Oxyphenisatin.]
[N01AH04, phenoperidine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Phenoperidine.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Phenoxybenzamine.]
[V03AB36, phentolamine, Bumetanide may increase the excretion rate of Phentolamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Phenylbutazone.]
[R01BA01, phenylpropanolamine, The risk or severity of hypokalemia can be increased when Phenylpropanolamine is combined with Bumetanide.]
[N03AB02, phenytoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Phenytoin is combined with Bumetanide.]
[S01AE05, levofloxacin, Bumetanide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Bumetanide.]
[B02BA01, vitamin K1, Bumetanide may increase the excretion rate of Phylloquinone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AB12, cidofovir, The risk or severity of nephrotoxicity can be increased when Cidofovir is combined with Bumetanide.]
[C08CX01, mibefradil, Bumetanide may increase the hypotensive activities of Mibefradil.]
[C07AA03, pindolol, Bumetanide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA05, atorvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Atorvastatin.]
[J01CA12, piperacillin, The excretion of Piperacillin can be decreased when combined with Bumetanide.]
[J05AE01, saquinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Saquinavir.]
[N06BX03, piracetam, Bumetanide may increase the excretion rate of Piracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Eprosartan is combined with Bumetanide.]
[N02AC03, pirinitramide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Piritramide.]
[S01BC06, piroxicam, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Piroxicam.]
[J01DD16, cefditoren, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefditoren.]
[J01MA11, grepafloxacin, The excretion of Grepafloxacin can be decreased when combined with Bumetanide.]
[C09CA04, irbesartan, The risk or severity of adverse effects can be increased when Bumetanide is combined with Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Bumetanide.]
[A06AD15, polyethylene glycols, The risk or severity of adverse effects can be increased when Bumetanide is combined with Polyethylene glycol.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Bumetanide is combined with Polymyxin B.]
[C03AA05, polythiazide, The excretion of Polythiazide can be decreased when combined with Bumetanide.]
[J05AE03, ritonavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ritonavir is combined with Bumetanide.]
[A10BH03, saxagliptin, The excretion of Saxagliptin can be decreased when combined with Bumetanide.]
[B05XA01, potassium chloride, Bumetanide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Bumetanide is combined with Insulin lispro.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Pitavastatin.]
[C07AB01, practolol, Bumetanide may increase the hypotensive activities of Practolol.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Prazosin is combined with Bumetanide.]
[S03BA02, prednisolone, The risk or severity of hypokalemia can be increased when Prednisolone is combined with Bumetanide.]
[H02AB07, prednisone, The risk or severity of hypokalemia can be increased when Prednisone is combined with Bumetanide.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Bumetanide.]
[M04AB01, probenecid, The risk or severity of adverse effects can be increased when Probenecid is combined with Bumetanide.]
[C01BA02, procainamide, Bumetanide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Bumetanide.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Bumetanide.]
[C10AB05, fenofibrate, Bumetanide may increase the excretion rate of Fenofibrate which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD02, promethazine, Bumetanide may increase the excretion rate of Promethazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB05, propantheline, Bumetanide may increase the excretion rate of Propantheline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Bumetanide.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Bumetanide.]
[N02AC04, propoxyphene, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Dextropropoxyphene.]
[C07AA05, propranolol, Bumetanide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Bumetanide.]
[C01AB01, proscillaridin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Proscillaridin.]
[N02CC04, rizatriptan, Bumetanide may increase the excretion rate of Rizatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC09, epoprostenol, Bumetanide may increase the excretion rate of Epoprostenol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Bumetanide.]
[N05AX12, aripiprazole, Aripiprazole may increase the hypotensive activities of Bumetanide.]
[N07XX07, dalfampridine, Bumetanide may increase the excretion rate of Dalfampridine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CC01, pyrantel, Bumetanide may decrease the neuromuscular blocking activities of Pyrantel.]
[J04AK01, pyrazinamide, Bumetanide may increase the excretion rate of Pyrazinamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA01, quinidine, Bumetanide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Bumetanide.]
[A02BA02, ranitidine, The excretion of Ranitidine can be decreased when combined with Bumetanide.]
[C02AA01, rescinnamine, Bumetanide may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, Bumetanide may increase the excretion rate of Reserpine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP01, ribavirin, Bumetanide may increase the excretion rate of Ribavirin which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AB02, rifampin, The excretion of Bumetanide can be decreased when combined with Rifampicin.]
[G02CA01, ritodrine, The risk or severity of hypokalemia can be increased when Ritodrine is combined with Bumetanide.]
[N02BA05, salicylamide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Bumetanide.]
[N04BD01, selegiline, Selegiline may increase the orthostatic hypotensive activities of Bumetanide.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Bumetanide is combined with Obinutuzumab.]
[J01GB08, sisomicin, The serum concentration of Sisomicin can be increased when it is combined with Bumetanide.]
[A12CD01, sodium fluoride, Bumetanide may increase the excretion rate of Sodium fluoride which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CC01, sorbitol, The risk or severity of adverse effects can be increased when Bumetanide is combined with Sorbitol.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Sotalol is combined with Bumetanide.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Bumetanide may increase the excretion rate of Ioflupane I-123 which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AA01, technetium Tc 99m exametazime, Bumetanide may increase the excretion rate of Technetium Tc-99m exametazime which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX06, florbetaben f-18, Bumetanide may increase the excretion rate of Florbetaben (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AG01, valproic acid, The excretion of Valproic acid can be decreased when combined with Bumetanide.]
[M05BA01, etidronic acid, The risk or severity of hypocalcemia can be increased when Bumetanide is combined with Etidronic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hypokalemia can be increased when Hydrocortisone butyrate is combined with Bumetanide.]
