[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cisapride.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Cisapride is combined with Zaleplon.]
[N04BC05, pramipexole, Cisapride may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Cisapride is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Cisapride is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Cisapride.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Cisapride.]
[C02KX01, bosentan, The metabolism of Cisapride can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Cisapride.]
[R05DA07, noscapine, The metabolism of Cisapride can be decreased when combined with Noscapine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Cisapride.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Cisapride.]
[J01FA05, oleandomycin, The serum concentration of Cisapride can be increased when it is combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Cisapride can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Cisapride can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Cisapride is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Cisapride.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Cisapride.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Cisapride.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Cisapride.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Cisapride.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Cisapride.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Cisapride is combined with Oxypertine.]
[A03AB03, oxyphenonium, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Cisapride.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[M03AC01, pancuronium, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Cisapride.]
[N05CC05, paraldehyde, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Cisapride can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Cisapride is combined with Pargyline.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Cisapride.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Cisapride.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Cisapride.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Penfluridol is combined with Cisapride.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Cisapride is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Cisapride can be increased when combined with Pentobarbital.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Cisapride is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Cisapride.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Cisapride.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Cisapride.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Cisapride is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Cisapride is combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Cisapride.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Cisapride is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Cisapride.]
[N03AA02, phenobarbital, The metabolism of Cisapride can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Cisapride is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Cisapride.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Cisapride.]
[M02AA01, phenylbutazone, The metabolism of Cisapride can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Cisapride can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Cisapride can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Cisapride.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Cisapride.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Mibefradil is combined with Cisapride.]
[S01EB01, pilocarpine, The metabolism of Cisapride can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Cisapride.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Cisapride.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Cisapride.]
[J05AE01, saquinavir, The serum concentration of Cisapride can be increased when it is combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Cisapride.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Cisapride.]
[A02BX03, pirenzepine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Cisapride is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Cisapride can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Cisapride.]
[N02CX01, pizotyline, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Cisapride can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Cisapride can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Cisapride is combined with Proxibarbal.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Cisapride.]
[A10BG02, rosiglitazone, The metabolism of Cisapride can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Cisapride.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Cisapride is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Cisapride can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Cisapride can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Cisapride.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Cisapride.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Cisapride.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Cisapride.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Cisapride.]
[S03BA02, prednisolone, The metabolism of Cisapride can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The metabolism of Cisapride can be increased when combined with Prednisone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Cisapride.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Prenylamine is combined with Cisapride.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Cisapride is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Primaquine is combined with Cisapride.]
[N03AA03, primidone, The metabolism of Cisapride can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Cisapride can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Cisapride.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Cisapride.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Cisapride is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Cisapride.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Cisapride.]
[N04AA04, procyclidine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Cisapride.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Promazine is combined with Cisapride.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Cisapride.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Cisapride.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Cisapride is combined with Propanidid.]
[A03AB05, propantheline, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Periciazine.]
[N05CM06, propiomazine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Cisapride.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Cisapride.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Cisapride.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Cisapride is combined with Rizatriptan.]
[R03DC03, montelukast, The metabolism of Cisapride can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Cisapride.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Cisapride.]
[A03AB15, diphemanil, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Cisapride.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Cisapride is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Cisapride is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Cisapride is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Cisapride is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Cisapride.]
[P01BD01, pyrimethamine, The metabolism of Cisapride can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Cisapride.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Cisapride.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Cisapride.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Cisapride.]
[J04AB02, rifampin, The metabolism of Cisapride can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Cisapride is combined with Oxitriptan.]
[J01FA06, roxithromycin, The serum concentration of Cisapride can be increased when it is combined with Roxithromycin.]
[S01FA02, scopolamine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Cisapride can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Cisapride.]
[H01CB01, somatostatin, The metabolism of Cisapride can be decreased when combined with Somatostatin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Cisapride.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Cisapride.]
[C03DA01, spironolactone, The metabolism of Cisapride can be decreased when combined with Spironolactone.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Cisapride is combined with Chloral hydrate.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Cisapride.]
[D07AB02, hydrocortisone butyrate, The metabolism of Cisapride can be increased when combined with Hydrocortisone butyrate.]
[H02CA04, levoketoconazole, The metabolism of Cisapride can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
