[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Isoniazid.]
[N06AX08, bifemelane, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Isoniazid.]
[J01XA03, telavancin, Isoniazid may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Isoniazid.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Isoniazid.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be increased when it is combined with Isoniazid.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Isoniazid.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Isoniazid.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be decreased when combined with Isoniazid.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be decreased when combined with Isoniazid.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Isoniazid.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Isoniazid.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Isoniazid.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Isoniazid.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Isoniazid.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Isoniazid.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Isoniazid.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Isoniazid.]
[M01CB04, aurothioglucose, Isoniazid may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Isoniazid may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Isoniazid.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S01EX01, guanethidine, Isoniazid may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Isoniazid.]
[D07AD02, halcinonide, The serum concentration of Isoniazid can be decreased when it is combined with Halcinonide.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Isoniazid.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Isoniazid.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Isoniazid.]
[N06BX13, idebenone, Isoniazid may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Isoniazid.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Isoniazid.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Isoniazid.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Isoniazid.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Isoniazid.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Isoniazid.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be decreased when combined with Isoniazid.]
[M02AA26, nimesulide, The metabolism of Nimesulide can be decreased when combined with Isoniazid.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C02DB02, hydralazine, Isoniazid may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The risk or severity of serotonin syndrome can be increased when Hydrocodone is combined with Isoniazid.]
[S02BA01, hydrocortisone, The serum concentration of Isoniazid can be decreased when it is combined with Hydrocortisone.]
[D07AC16, hydrocortisone aceponate, The serum concentration of Isoniazid can be decreased when it is combined with Hydrocortisone aceponate.]
[D07AB02, hydrocortisone butyrate, The serum concentration of Isoniazid can be decreased when it is combined with Hydrocortisone butyrate.]
[D07AB11, hydrocortisone probutate, The serum concentration of Isoniazid can be decreased when it is combined with Hydrocortisone probutate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Isoniazid may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[G04BD06, propiverine, The metabolism of Propiverine can be decreased when combined with Isoniazid.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Isoniazid.]
[B05AA07, hetastarch, Isoniazid may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Isoniazid.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be decreased when combined with Isoniazid.]
[J04AB04, rifabutin, Rifabutin may increase the hepatotoxic activities of Isoniazid.]
[S01BA13, rimexolone, The serum concentration of Isoniazid can be decreased when it is combined with Rimexolone.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Risedronic acid is combined with Isoniazid.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Isoniazid.]
[B05XA08, sodium acetate, Isoniazid may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Isoniazid.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Isoniazid.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be decreased when combined with Isoniazid.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Isoniazid.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Isoniazid.]
[R01AD07, tixocortol, The serum concentration of Isoniazid can be decreased when it is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Isoniazid.]
[L01CE01, topotecan, Isoniazid may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The metabolism of Indapamide can be decreased when combined with Isoniazid.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Isoniazid.]
[A11HA07, inositol, Isoniazid may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be decreased when combined with Isoniazid.]
[S01XA28, varenicline, Isoniazid may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Isoniazid.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Isoniazid.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Isoniazid.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Isoniazid.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Isoniazid.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Isoniazid.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Isoniazid.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Isoniazid.]
[N06AA13, iprindole, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Isoniazid.]
[N06AF01, isocarboxazid, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Atovaquone can be decreased when combined with Isoniazid.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be decreased when combined with Isoniazid.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Isoniazid.]
[C01DA05, pentaerythritol tetranitrate, Isoniazid may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The serum concentration of Isoniazid can be decreased when it is combined with Fluticasone furoate.]
[J05AX05, inosine pranobex, Isoniazid may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Isoniazid.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Isoniazid.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The metabolism of Reboxetine can be decreased when combined with Isoniazid.]
[S01AA24, kanamycin, Isoniazid may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Isoniazid.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Isoniazid.]
[C02KD01, ketanserin, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Isoniazid.]
[J02AB02, ketoconazole, The serum concentration of Ketoconazole can be decreased when it is combined with Isoniazid.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Isoniazid.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Isoniazid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Isoniazid.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Isoniazid.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be decreased when combined with Isoniazid.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Isoniazid.]
[A06AX03, lubiprostone, Isoniazid may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Isoniazid.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Isoniazid.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Isoniazid.]
[N04BA01, levodopa, The therapeutic efficacy of Levodopa can be decreased when used in combination with Isoniazid.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Lidocaine.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be decreased when combined with Isoniazid.]
[S01AA21, amikacin, Isoniazid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Isoniazid.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Isoniazid.]
[N06AA07, lofepramine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Lofepramine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Isoniazid.]
[N05BA06, lorazepam, The metabolism of Lorazepam can be decreased when combined with Isoniazid.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Isoniazid.]
[N05AH01, loxapine, The risk or severity of serotonin syndrome can be increased when Loxapine is combined with Isoniazid.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Isoniazid.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Isoniazid.]
[B05XA11, magnesium chloride, Isoniazid may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Isoniazid may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Magnesium sulfate can be decreased when used in combination with Isoniazid.]
[L01BA05, pralatrexate, Isoniazid may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Isoniazid.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Isoniazid.]
[A08AA05, mazindol, The risk or severity of serotonin syndrome can be increased when Mazindol is combined with Isoniazid.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05BA03, medazepam, The therapeutic efficacy of Medazepam can be decreased when used in combination with Isoniazid.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be decreased when combined with Isoniazid.]
[P01BC02, mefloquine, The metabolism of Mefloquine can be decreased when combined with Isoniazid.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Isoniazid.]
[N06DX01, memantine, Isoniazid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Isoniazid.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Isoniazid.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Isoniazid.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Mepivacaine.]
[N02AX05, meptazinol, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Meptazinol.]
[G04BX16, tiopronin, Isoniazid may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Isoniazid.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Isoniazid.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Isoniazid.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Isoniazid.]
[N06BA03, methamphetamine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Metamfetamine.]
[N05CM01, methaqualone, The metabolism of Methaqualone can be decreased when combined with Isoniazid.]
[J05AF05, lamivudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Isoniazid.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Isoniazid.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01BA04, pemetrexed, Isoniazid may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, The therapeutic efficacy of Methohexital can be decreased when used in combination with Isoniazid.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Isoniazid.]
[N05AA02, methotrimeprazine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Isoniazid.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Methyldopa.]
[V04CG05, methylene blue, Isoniazid may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Methylergometrine can be decreased when combined with Isoniazid.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be increased when it is combined with Isoniazid.]
[H02AB04, methylprednisolone, The serum concentration of Isoniazid can be decreased when it is combined with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The serum concentration of Isoniazid can be decreased when it is combined with Methylprednisolone aceponate.]
[N03AF03, rufinamide, The therapeutic efficacy of Rufinamide can be decreased when used in combination with Isoniazid.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Isoniazid.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Isoniazid.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Isoniazid.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Isoniazid.]
[V04CD01, metyrapone, Isoniazid may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Isoniazid.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Isoniazid.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Isoniazid.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Isoniazid.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Isoniazid.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Isoniazid.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Minocycline.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Isoniazid.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Isoniazid.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Isoniazid.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Isoniazid.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Isoniazid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Isoniazid.]
[G04BA01, ammonium chloride, Isoniazid may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Isoniazid.]
[L04AA06, mycophenolic acid, Isoniazid may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Isoniazid.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Raltegravir.]
[G04CA04, silodosin, The metabolism of Silodosin can be decreased when combined with Isoniazid.]
[N06AA17, amoxapine, The risk or severity of serotonin syndrome can be increased when Amoxapine is combined with Isoniazid.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Isoniazid.]
[C07AA12, nadolol, Isoniazid may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Isoniazid may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Isoniazid is combined with Ropinirole.]
[N02AF02, nalbuphine, The risk or severity of serotonin syndrome can be increased when Nalbuphine is combined with Isoniazid.]
[V03AB15, naloxone, Isoniazid may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Isoniazid.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Isoniazid.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Isoniazid.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Isoniazid.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Isoniazid.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Isoniazid.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Isoniazid.]
[S03AA01, neomycin, Isoniazid may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of serotonin syndrome can be increased when Remifentanil is combined with Isoniazid.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Isoniazid.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Isoniazid.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Amphotericin B is combined with Isoniazid.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L03AX16, plerixafor, Isoniazid may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Isoniazid may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Desvenlafaxine can be decreased when combined with Isoniazid.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Isoniazid.]
[C01CE01, inamrinone, Isoniazid may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Isoniazid.]
[N06AF02, nialamide, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Isoniazid.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Isoniazid.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Isoniazid.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Isoniazid.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C08CA06, nimodipine, The metabolism of Nimodipine can be decreased when combined with Isoniazid.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Isoniazid.]
[N05CD02, nitrazepam, The metabolism of Nitrazepam can be decreased when combined with Isoniazid.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Isoniazid.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Isoniazid.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Isoniazid.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Isoniazid.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Isoniazid.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be decreased when combined with Isoniazid.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Ofloxacin.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Isoniazid.]
[N06AA05, opipramol, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Isoniazid.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Isoniazid.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Isoniazid.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Isoniazid.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Isoniazid.]
[N02AX06, tapentadol, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Tapentadol.]
[J04AB30, capreomycin, Isoniazid may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be decreased when combined with Isoniazid.]
[N05CC05, paraldehyde, The therapeutic efficacy of Paraldehyde can be decreased when used in combination with Isoniazid.]
[H02AB05, paramethasone, The serum concentration of Isoniazid can be decreased when it is combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Isoniazid.]
[C07AA23, penbutolol, Isoniazid may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[N05AG03, penfluridol, The metabolism of Penfluridol can be decreased when combined with Isoniazid.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Penicillamine is combined with Isoniazid.]
[J01CE09, penicillin G procaine, Isoniazid may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of serotonin syndrome can be increased when Pentazocine is combined with Isoniazid.]
[N05CA01, pentobarbital, The metabolism of Pentobarbital can be decreased when combined with Isoniazid.]
[L01XX08, pentostatin, Isoniazid may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be increased when it is combined with Isoniazid.]
[N04BC02, pergolide, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Pergolide.]
