[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Moclobemide.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Moclobemide.]
[A10BG01, troglitazone, Moclobemide may increase the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Duloxetine.]
[N04BX01, tolcapone, Moclobemide may increase the orthostatic hypotensive activities of Tolcapone.]
[L02BG04, letrozole, The metabolism of Moclobemide can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Moclobemide.]
[A10BX02, repaglinide, Moclobemide may increase the hypoglycemic activities of Repaglinide.]
[C01CX08, levosimendan, Moclobemide may increase the orthostatic hypotensive activities of Levosimendan.]
[B01AC17, tirofiban, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Tirofiban.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Iloperidone.]
[J02AA01, amphotericin B, Moclobemide may increase the orthostatic hypotensive activities of Amphotericin B.]
[N06AX23, desvenlafaxine, Moclobemide may increase the serotonergic activities of Desvenlafaxine.]
[C09CA07, telmisartan, Moclobemide may increase the hypotensive activities of Telmisartan.]
[C10AD02, niacin, The metabolism of Moclobemide can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Moclobemide can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Moclobemide.]
[C08CA05, nifedipine, Moclobemide may increase the orthostatic hypotensive activities of Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Moclobemide is combined with Niflumic acid.]
[V03AB22, amyl nitrite, Moclobemide may increase the orthostatic hypotensive activities of Amyl Nitrite.]
[C08CA06, nimodipine, Moclobemide may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Moclobemide may increase the hypotensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Nitrazepam.]
[C08CA08, nitrendipine, Moclobemide may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Moclobemide may increase the orthostatic hypotensive activities of Nitric Oxide.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Moclobemide.]
[N04BC05, pramipexole, Moclobemide may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Moclobemide may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Moclobemide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Nomifensine.]
[C01CA03, norepinephrine, Moclobemide may increase the hypertensive activities of Norepinephrine.]
[C02KX01, bosentan, Moclobemide may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, Moclobemide may increase the serotonergic activities of Nortriptyline.]
[B01AC16, eptifibatide, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Eptifibatide.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Moclobemide is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Reviparin.]
[L04AC04, rilonacept, The metabolism of Moclobemide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Moclobemide can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Moclobemide may increase the serotonergic activities of Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Opium is combined with Moclobemide.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Moclobemide.]
[B01AD07, reteplase, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Ancrod.]
[G04CA02, tamsulosin, Moclobemide may increase the orthostatic hypotensive activities of Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Moclobemide can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Moclobemide.]
[C07AA02, oxprenolol, Moclobemide may increase the hypotensive activities of Oxprenolol.]
[N02AA05, oxycodone, Moclobemide may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Moclobemide is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The serum concentration of Oxymetazoline can be increased when it is combined with Moclobemide.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Moclobemide.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Moclobemide is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Danaparoid.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Tapentadol is combined with Moclobemide.]
[M03AC01, pancuronium, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, Moclobemide may increase the orthostatic hypotensive activities of Papaverine.]
[N05CC05, paraldehyde, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Moclobemide is combined with Pargyline.]
[G04BD11, fesoterodine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Moclobemide may increase the hypotensive activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Moclobemide is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Moclobemide.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Moclobemide.]
[C04AD03, pentoxifylline, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Perazine.]
[N04BC02, pergolide, Moclobemide may increase the hypertensive activities of Pergolide.]
[C08EX02, perhexiline, The metabolism of Moclobemide can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Moclobemide.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Phenazocine is combined with Moclobemide.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Moclobemide.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Moclobemide.]
[B01AA02, phenindione, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Moclobemide.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Phenoperidine is combined with Moclobemide.]
[C04AX02, phenoxybenzamine, Moclobemide may increase the hypotensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Phenprocoumon.]
[A08AA01, phentermine, Moclobemide may increase the hypertensive activities of Phentermine.]
[V03AB36, phentolamine, Moclobemide may increase the hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Moclobemide.]
[S01GA05, phenylephrine, Moclobemide may increase the hypertensive activities of Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Moclobemide can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Moclobemide.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Moclobemide.]
[L04AB06, golimumab, The metabolism of Moclobemide can be increased when combined with Golimumab.]
[C08CX01, mibefradil, Moclobemide may increase the hypotensive activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Moclobemide.]
[C07AA03, pindolol, Moclobemide may increase the hypotensive activities of Pindolol.]
[J05AE01, saquinavir, The metabolism of Moclobemide can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Moclobemide.]
[N05AC04, pipothiazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Pipotiazine.]
[C09CA02, eprosartan, Moclobemide may increase the hypotensive activities of Eprosartan.]
[A02BX03, pirenzepine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Piritramide is combined with Moclobemide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Moclobemide.]
[N02CX01, pizotyline, Moclobemide may increase the anticholinergic activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Moclobemide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Moclobemide may increase the hypotensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Moclobemide is combined with Proxibarbal.]
[B01AC13, abciximab, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Alteplase.]
[A10BG02, rosiglitazone, Moclobemide may increase the hypoglycemic activities of Rosiglitazone.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Moclobemide.]
[L04AC08, canakinumab, The metabolism of Moclobemide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Moclobemide may increase the hypotensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Moclobemide can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, Moclobemide may increase the hypoglycemic activities of Saxagliptin.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Moclobemide is combined with Insulin lispro.]
[C07AB01, practolol, Moclobemide may increase the hypotensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Moclobemide.]
[C02CA01, prazosin, Moclobemide may increase the hypotensive activities of Prazosin.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Moclobemide.]
[P01BA03, primaquine, The metabolism of Moclobemide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Moclobemide.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Moclobemide.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Moclobemide.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Moclobemide.]
[C10AB05, fenofibrate, The metabolism of Moclobemide can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Prochlorperazine.]
[N04AA04, procyclidine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Moclobemide.]
[N05AA03, promazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Promazine.]
[R06AD02, promethazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Moclobemide can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Moclobemide is combined with Propanidid.]
[A03AB05, propantheline, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Periciazine.]
[N05CM06, propiomazine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, Moclobemide may increase the orthostatic hypotensive activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Moclobemide.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Moclobemide.]
[N02CC04, rizatriptan, The metabolism of Rizatriptan can be decreased when combined with Moclobemide.]
[B01AC09, epoprostenol, Moclobemide may increase the hypotensive activities of Epoprostenol.]
[N06AA11, protriptyline, Moclobemide may increase the serotonergic activities of Protriptyline.]
[R01BA02, pseudoephedrine, Moclobemide may increase the hypertensive activities of Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Moclobemide.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Moclobemide is combined with Dalfampridine.]
[A03AB15, diphemanil, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Moclobemide.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Moclobemide is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Moclobemide is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Moclobemide is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Moclobemide can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Moclobemide can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Moclobemide can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Moclobemide may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Moclobemide can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Moclobemide.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Moclobemide is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Moclobemide is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Moclobemide.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Moclobemide.]
[S01FA02, scopolamine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Moclobemide.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Moclobemide.]
[L01FA03, obinutuzumab, Moclobemide may increase the orthostatic hypotensive activities of Obinutuzumab.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Moclobemide.]
[C03DA01, spironolactone, Moclobemide may increase the orthostatic hypotensive activities of Spironolactone.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Moclobemide is combined with Chloral hydrate.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Moclobemide.]
[C01DA14, isosorbide mononitrate, Moclobemide may increase the orthostatic hypotensive activities of Isosorbide mononitrate.]
[R03BB01, ipratropium bromide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
