[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Antipyrine is combined with Lurasidone.]
[N06BA01, amphetamine, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Lurasidone.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Lurasidone.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Duloxetine.]
[N04BX01, tolcapone, The therapeutic efficacy of Tolcapone can be decreased when used in combination with Lurasidone.]
[S03AA01, neomycin, Neomycin may increase the neurotoxic activities of Lurasidone.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Lurasidone.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Lurasidone.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Levosimendan.]
[N05AX14, iloperidone, Iloperidone may increase the hypotensive activities of Lurasidone.]
[N06AX23, desvenlafaxine, The metabolism of Lurasidone can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Lurasidone may decrease the antihypertensive activities of Telmisartan.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Nialamide is combined with Lurasidone.]
[C08CA04, nicardipine, The metabolism of Lurasidone can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the hypotensive activities of Lurasidone.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Niflumic acid is combined with Lurasidone.]
[C08CA06, nimodipine, Lurasidone may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Lurasidone may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Lurasidone.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Lurasidone.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Lurasidone.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Lurasidone.]
[C02DD01, nitroprusside, Lurasidone may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Lurasidone.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Lurasidone.]
[C01CA03, norepinephrine, Lurasidone may decrease the hypertensive activities of Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Lurasidone.]
[C02KX01, bosentan, Lurasidone may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the hypotensive activities of Lurasidone.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Nylidrin is combined with Lurasidone.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Lurasidone.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ofloxacin.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Lurasidone is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Lurasidone.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Lurasidone.]
[G04CA02, tamsulosin, Tamsulosin may increase the hypotensive activities of Lurasidone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Lurasidone.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Lurasidone.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lurasidone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Lurasidone is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Lurasidone.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Lurasidone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Oxyphenbutazone is combined with Lurasidone.]
[A03AB03, oxyphenonium, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Lurasidone.]
[N05AH05, asenapine, Asenapine may increase the hypotensive activities of Lurasidone.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[M03AC01, pancuronium, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Papaverine.]
[N05CC05, paraldehyde, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Pargyline is combined with Lurasidone.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Lurasidone.]
[G04BD11, fesoterodine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Lurasidone.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Lurasidone.]
[N05CA01, pentobarbital, The metabolism of Lurasidone can be increased when combined with Pentobarbital.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Lurasidone.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Perhexiline is combined with Lurasidone.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Lurasidone.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Lurasidone.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Lurasidone.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Lurasidone is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Lurasidone.]
[N03AA02, phenobarbital, The metabolism of Lurasidone can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Phenoxybenzamine may increase the hypotensive activities of Lurasidone.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Lurasidone is combined with Phenprocoumon.]
[A08AA01, phentermine, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Phentolamine may increase the hypotensive activities of Lurasidone.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Lurasidone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Lurasidone.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Lurasidone.]
[N03AB02, phenytoin, The metabolism of Lurasidone can be increased when combined with Phenytoin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Levofloxacin.]
[C08CX01, mibefradil, Lurasidone may decrease the antihypertensive activities of Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Lurasidone.]
[J05AE01, saquinavir, The metabolism of Lurasidone can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Pipotiazine is combined with Lurasidone.]
[C09CA02, eprosartan, Lurasidone may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Lurasidone.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Lurasidone is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Lurasidone.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Grepafloxacin.]
[N02CX01, pizotyline, Pizotifen may increase the hypotensive activities of Lurasidone.]
[J05AG02, delavirdine, The metabolism of Lurasidone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Lurasidone may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Lurasidone is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Lurasidone.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Lurasidone.]
[S03AA03, polymyxin B, Lurasidone may increase the neurotoxic activities of Polymyxin B.]
[C03AA05, polythiazide, Lurasidone may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Lurasidone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Lurasidone.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Lurasidone.]
[C07AB01, practolol, Lurasidone may decrease the antihypertensive activities of Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Prajmaline.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Lurasidone.]
[C02CA01, prazosin, Prazosin may increase the hypotensive activities of Lurasidone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Lurasidone.]
[P01BA03, primaquine, The metabolism of Lurasidone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Lurasidone can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Lurasidone.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Lurasidone.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Lurasidone.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Lurasidone.]
[N05AA03, promazine, Promazine may increase the hypotensive activities of Lurasidone.]
[R06AD02, promethazine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The risk or severity of hypertension can be increased when Propafenone is combined with Lurasidone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Lurasidone is combined with Propanidid.]
[A03AB05, propantheline, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Periciazine may increase the hypotensive activities of Lurasidone.]
[N05CM06, propiomazine, Propiomazine may increase the hypotensive activities of Lurasidone.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Lurasidone.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Lurasidone.]
[C07AA05, propranolol, Lurasidone may decrease the antihypertensive activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Lurasidone.]
[B01AC09, epoprostenol, Lurasidone may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Lurasidone.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, Aripiprazole may increase the hypotensive activities of Lurasidone.]
[A03AB15, diphemanil, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Lurasidone.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Lurasidone is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Lurasidone is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Lurasidone is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Mepyramine is combined with Lurasidone.]
[C01BA01, quinidine, Quinidine may increase the hypotensive activities of Lurasidone.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Lurasidone.]
[C02AA01, rescinnamine, Lurasidone may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Lurasidone.]
[J04AB02, rifampin, The metabolism of Lurasidone can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Lurasidone is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Lurasidone.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Lurasidone.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Salicylamide is combined with Lurasidone.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Lurasidone.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Lurasidone.]
[S01FA02, scopolamine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Lurasidone.]
[N04BD01, selegiline, The therapeutic efficacy of Selegiline can be decreased when used in combination with Lurasidone.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Sotalol.]
