[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Budesonide.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A10BH02, vildagliptin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Vildagliptin.]
[C10AA06, cerivastatin, Cerivastatin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C03BA02, quinethazone, Budesonide may increase the hypokalemic activities of Quinethazone.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Budesonide.]
[V03AB01, ipecac, Budesonide may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[R03CC06, isoetharine, The risk or severity of hypokalemia can be increased when Budesonide is combined with Isoetharine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Isoflurophate can be decreased when used in combination with Budesonide.]
[J04AC01, isoniazid, The serum concentration of Isoniazid can be decreased when it is combined with Budesonide.]
[J05AX05, inosine pranobex, Budesonide may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Budesonide.]
[A10BJ01, exenatide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Exenatide.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01FA07, josamycin, The serum concentration of Budesonide can be increased when it is combined with Josamycin.]
[S01AA24, kanamycin, Budesonide may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[A02AB01, aluminum hydroxide, The bioavailability of Budesonide can be decreased when combined with Aluminum hydroxide.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Tocilizumab.]
[N01AX03, ketamine, The therapeutic efficacy of Ketamine can be decreased when used in combination with Budesonide.]
[B01AC22, prasugrel, Budesonide may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Budesonide can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Budesonide can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Olanzapine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Ketoprofen.]
[V03AC03, deferasirox, The risk or severity of gastrointestinal ulceration and gastrointestinal irritation can be increased when Budesonide is combined with Deferasirox.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Budesonide is combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypokalemia can be increased when Budesonide is combined with Arbutamine.]
[J01MB02, nalidixic acid, The risk or severity of tendinopathy can be increased when Budesonide is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N07AA30, ambenonium, The therapeutic efficacy of Ambenonium can be decreased when used in combination with Budesonide.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be increased when combined with Budesonide.]
[C03CC01, ethacrynic acid, The risk or severity of hypokalemia can be increased when Budesonide is combined with Etacrynic acid.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Budesonide.]
[G03AD01, levonorgestrel, The serum concentration of Budesonide can be increased when it is combined with Levonorgestrel.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be increased when combined with Budesonide.]
[S01AA21, amikacin, Budesonide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Budesonide.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Budesonide.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Budesonide can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The therapeutic efficacy of Budesonide can be decreased when used in combination with Loxapine.]
[G03DC03, lynestrenol, The serum concentration of Budesonide can be increased when it is combined with Lynestrenol.]
[L01EG01, temsirolimus, The serum concentration of Budesonide can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Budesonide may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, The bioavailability of Budesonide can be decreased when combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The bioavailability of Budesonide can be decreased when combined with Magnesium oxide.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Budesonide is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Budesonide can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Mechlorethamine can be decreased when used in combination with Budesonide.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Budesonide is combined with Metildigoxin.]
[P01BC02, mefloquine, The therapeutic efficacy of Mefloquine can be decreased when used in combination with Budesonide.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Budesonide.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Budesonide.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Budesonide.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G04BX16, tiopronin, Budesonide may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The therapeutic efficacy of Budesonide can be decreased when used in combination with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BB01, mesterolone, The risk or severity of edema formation can be increased when Mesterolone is combined with Budesonide.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be increased when combined with Budesonide.]
[A10BA02, metformin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Metformin.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N06BA03, methamphetamine, Budesonide may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[A03AB07, methantheline, Methantheline can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[A14AA04, methenolone, The risk or severity of edema formation can be increased when Metenolone is combined with Budesonide.]
[H03BB02, methimazole, The metabolism of Budesonide can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Budesonide.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Budesonide.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C03AA08, methyclothiazide, The risk or severity of electrolyte imbalance can be increased when Budesonide is combined with Methyclothiazide.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[V04CG05, methylene blue, Budesonide may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Budesonide.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Budesonide.]
[G03EK01, methyltestosterone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Budesonide.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Budesonide.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Budesonide.]
[C03BA08, metolazone, Budesonide may increase the hypokalemic activities of Metolazone.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Budesonide.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S02AA13, miconazole, The metabolism of Budesonide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Aminophenazone.]
[N05CD08, midazolam, The metabolism of Midazolam can be increased when combined with Budesonide.]
[G03XB01, mifepristone, The serum concentration of Budesonide can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01FA11, miocamycin, The serum concentration of Budesonide can be increased when it is combined with Miocamycin.]
[L01XX23, mitotane, The serum concentration of Budesonide can be decreased when it is combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Budesonide.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Budesonide.]
[C01BD01, amiodarone, The metabolism of Budesonide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be increased when combined with Budesonide.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Budesonide is combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Budesonide may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Budesonide.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Budesonide.]
[M03AC03, vecuronium, The risk or severity of myopathy and weakness can be increased when Vecuronium is combined with Budesonide.]
[N03AB05, fosphenytoin, The serum concentration of Budesonide can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Budesonide.]
[C07AA12, nadolol, Nadolol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[V03AB15, naloxone, The metabolism of Budesonide can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Budesonide.]
[S01XA11, nandrolone, The risk or severity of edema formation can be increased when Nandrolone phenpropionate is combined with Budesonide.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M02AA12, naproxen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Naproxen.]
[A10BG01, troglitazone, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Budesonide.]
[S03AA01, neomycin, Budesonide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Repaglinide.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Neostigmine can be decreased when used in combination with Budesonide.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be increased when combined with Budesonide.]
[J02AA01, amphotericin B, The risk or severity of hypokalemia can be increased when Budesonide is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L03AX16, plerixafor, Budesonide may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Budesonide may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Budesonide can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[H05BX02, paricalcitol, The therapeutic efficacy of Paricalcitol can be decreased when used in combination with Budesonide.]
[C01CE01, inamrinone, Budesonide may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Budesonide.]
[C08CA04, nicardipine, The metabolism of Budesonide can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, Nifedipine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Niflumic acid.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be increased when combined with Budesonide.]
[C08CA08, nitrendipine, Nitrendipine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be increased when combined with Budesonide.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C01CA03, norepinephrine, The risk or severity of hypokalemia can be increased when Budesonide is combined with Norepinephrine.]
[G03DC02, norethindrone, The serum concentration of Budesonide can be increased when it is combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Norfloxacin.]
[G03AC07, norgestrienone, The serum concentration of Budesonide can be increased when it is combined with Norgestrienone.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Budesonide.]
[S02AA16, ofloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Ofloxacin.]
[J01FA05, oleandomycin, The serum concentration of Budesonide can be increased when it is combined with Oleandomycin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Budesonide is combined with Rilonacept.]
[A02BC01, omeprazole, Omeprazole can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02AA02, opium, Budesonide may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Orciprenaline.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A14AA08, oxandrolone, The risk or severity of fluid retention can be increased when Budesonide is combined with Oxandrolone.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of tendinopathy can be increased when Budesonide is combined with Oxolinic acid.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be increased when combined with Budesonide.]
[S01GA04, oxymetazoline, The absorption of Budesonide can be decreased when combined with Oxymetazoline.]
[A14AA05, oxymetholone, The risk or severity of fluid retention can be increased when Budesonide is combined with Oxymetholone.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Oxyphenbutazone.]
[J04AA01, aminosalicylic acid, The serum concentration of Aminosalicylic acid can be decreased when it is combined with Budesonide.]
[N05AH05, asenapine, Asenapine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Budesonide.]
[J04AB30, capreomycin, Budesonide may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The serum concentration of Budesonide can be increased when it is combined with Chlormadinone.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Budesonide is combined with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Pefloxacin.]
[G04BD11, fesoterodine, Budesonide may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Budesonide may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Budesonide.]
[J01CE09, penicillin G procaine, Budesonide may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Budesonide.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Budesonide.]
[N05CA01, pentobarbital, The metabolism of Budesonide can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Budesonide.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Budesonide.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A10BA01, phenformin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Phenformin.]
[B01AA02, phenindione, Budesonide may increase the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, The metabolism of Budesonide can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, Budesonide may increase the anticoagulant activities of Phenprocoumon.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Budesonide is combined with Phenylephrine.]
[A02BC06, dexlansoprazole, Dexlansoprazole can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R01BA01, phenylpropanolamine, The risk or severity of hypokalemia can be increased when Budesonide is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Budesonide can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Physostigmine can be decreased when used in combination with Budesonide.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Budesonide.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Budesonide.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C10AA05, atorvastatin, Atorvastatin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Budesonide can be decreased when combined with Saquinavir.]
[N06BX03, piracetam, Budesonide may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Budesonide can be decreased when combined with Delavirdine.]
[A10BG02, rosiglitazone, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Rosiglitazone.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of electrolyte imbalance can be increased when Budesonide is combined with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Budesonide can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A10AD04, insulin lispro, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Insulin lispro.]
[C10AA08, pitavastatin, Budesonide may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Budesonide.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Budesonide.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Budesonide.]
[P01BA03, primaquine, The metabolism of Budesonide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Budesonide can be increased when combined with Primidone.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C01BA02, procainamide, The therapeutic efficacy of Procainamide can be decreased when used in combination with Budesonide.]
[S01HA05, procaine, The therapeutic efficacy of Procaine can be decreased when used in combination with Budesonide.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Budesonide.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G03DA04, progesterone, The serum concentration of Budesonide can be increased when it is combined with Progesterone.]
[R06AD02, promethazine, Promethazine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Budesonide.]
[C07AA05, propranolol, The metabolism of Propranolol can be increased when combined with Budesonide.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Budesonide.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[B01AC09, epoprostenol, Budesonide may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Budesonide.]
[N07XX07, dalfampridine, Budesonide may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, The risk or severity of myopathy and weakness can be increased when Pyrantel is combined with Budesonide.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Budesonide.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Budesonide.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be increased when combined with Budesonide.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Budesonide.]
[P01BC01, quinine, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Quinine.]
[A02BA02, ranitidine, Ranitidine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Budesonide can be increased when combined with Rifampicin.]
[G02CA01, ritodrine, The risk or severity of hypokalemia can be increased when Budesonide is combined with Ritodrine.]
[J01FA06, roxithromycin, The serum concentration of Budesonide can be increased when it is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Obinutuzumab.]
[J01GB08, sisomicin, Budesonide may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Budesonide may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Budesonide.]
[V04CC01, sorbitol, Budesonide may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Budesonide.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Budesonide.]
[J01FA02, spiramycin, The serum concentration of Budesonide can be increased when it is combined with Spiramycin.]
[C03DA01, spironolactone, Spironolactone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Budesonide.]
[V09AB03, ioflupane I-123, Budesonide may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Budesonide may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Budesonide may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Budesonide is combined with Hydrocortisone butyrate.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Budesonide which could result in a higher serum level.]
