[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Antipyrine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Fentanyl.]
[L01EH01, lapatinib, The metabolism of Fentanyl can be decreased when combined with Lapatinib.]
[A06AH02, alvimopan, The risk or severity of adverse effects can be increased when Fentanyl is combined with Alvimopan.]
[A10BB01, glyburide, The metabolism of Fentanyl can be decreased when combined with Glyburide.]
[A10BB07, glipizide, Fentanyl may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Fentanyl.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Glutethimide.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Fentanyl.]
[C05AE01, nitroglycerin, Fentanyl may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Fentanyl may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Fentanyl can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Fentanyl may decrease the antihypertensive activities of Esmolol.]
[M01CB04, aurothioglucose, Fentanyl may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Fentanyl may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Fentanyl is combined with Fluindione.]
[C09AA09, fosinopril, Fentanyl may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Fentanyl may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AD01, haloperidol, The metabolism of Fentanyl can be decreased when combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Fentanyl is combined with Halothane.]
[N05AH04, quetiapine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Fentanyl.]
[N06BX13, idebenone, Fentanyl may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Fentanyl is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Fentanyl can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Fentanyl is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Fentanyl can be decreased when combined with Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Fentanyl.]
[G03DC01, allylestrenol, Fentanyl may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Fentanyl.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Fentanyl.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Fentanyl.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Fentanyl is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Fentanyl can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Fentanyl can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Fentanyl is combined with Nimesulide.]
[C09AA04, perindopril, Fentanyl may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, The metabolism of Fentanyl can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Fentanyl can be decreased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Fentanyl may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Propiverine is combined with Fentanyl.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Prothipendyl.]
[B05AA07, hetastarch, Fentanyl may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[C02AC06, rilmenidine, Fentanyl may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Fentanyl is combined with Ibuprofen.]
[B05XA08, sodium acetate, Fentanyl may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Fentanyl.]
[L01AA06, ifosfamide, The metabolism of Fentanyl can be decreased when combined with Ifosfamide.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Fentanyl.]
[N06AA02, imipramine, The risk or severity of adverse effects can be increased when Imipramine is combined with Fentanyl.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Fentanyl.]
[R01AD07, tixocortol, Fentanyl may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Fentanyl.]
[L01CE01, topotecan, The metabolism of Fentanyl can be decreased when combined with Topotecan.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Fentanyl.]
[C02CA02, indoramin, Fentanyl may decrease the antihypertensive activities of Indoramin.]
[A11HA07, inositol, Fentanyl may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Fentanyl can be decreased when combined with Milnacipran.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Piperidolate is combined with Fentanyl.]
[S01XA28, varenicline, Fentanyl may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Articaine.]
[A10BH01, sitagliptin, Fentanyl may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Alprazolam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ramelteon.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Fentanyl.]
[C10AA06, cerivastatin, The metabolism of Fentanyl can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Fentanyl may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Fentanyl is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of serotonin syndrome can be increased when Iproniazid is combined with Fentanyl.]
[N05AA07, chlorproethazine, The risk or severity of hypotension and CNS depression can be increased when Chlorproethazine is combined with Fentanyl.]
[N06AF01, isocarboxazid, The risk or severity of serotonin syndrome can be increased when Isocarboxazid is combined with Fentanyl.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Fentanyl.]
[C09AA16, imidapril, Fentanyl may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Fentanyl.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Fentanyl.]
[J04AC01, isoniazid, The metabolism of Fentanyl can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Fentanyl may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Fentanyl is combined with Isoprenaline.]
[D10BA01, isotretinoin, Fentanyl may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Fentanyl is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Fentanyl.]
[S01AA24, kanamycin, Fentanyl may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Fentanyl can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ketanserin.]
[B01AC22, prasugrel, Fentanyl may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Fentanyl can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Fentanyl.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Fentanyl is combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Fentanyl can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Fentanyl is combined with Arbutamine.]
[N04BC09, rotigotine, Fentanyl may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, Fentanyl may decrease the antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Fentanyl.]
[C02AA05, deserpidine, Fentanyl may decrease the antihypertensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Fentanyl.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Fentanyl.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Fentanyl is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Fentanyl.]
[C08EX01, lidoflazine, Fentanyl may increase the bradycardic activities of Lidoflazine.]
[S01AA21, amikacin, Fentanyl may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Fentanyl.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lofepramine.]
[A07DA03, loperamide, Fentanyl may increase the bradycardic activities of Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Fentanyl can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Loxapine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Fentanyl.]
[B05XA11, magnesium chloride, Fentanyl may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Fentanyl.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Fentanyl.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Fentanyl can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Fentanyl may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Fentanyl can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Maprotiline is combined with Fentanyl.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Fentanyl.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Fentanyl.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Fentanyl.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Fentanyl is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Medazepam.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Fentanyl.]
[P01BC02, mefloquine, The metabolism of Fentanyl can be decreased when combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Melatonin.]
[N06DX01, memantine, Fentanyl may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Fentanyl.]
[C01CA11, mephentermine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Fentanyl.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Fentanyl.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Fentanyl.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Meptazinol.]
[G04BX16, tiopronin, Fentanyl may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of hypotension and CNS depression can be increased when Mesoridazine is combined with Fentanyl.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Metaraminol.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Fentanyl.]
[H01CB03, lanreotide, The metabolism of Fentanyl can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Fentanyl can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may increase the analgesic activities of Fentanyl.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Methantheline is combined with Fentanyl.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Fentanyl is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Methaqualone.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Fentanyl.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Fentanyl is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Fentanyl can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Fentanyl may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Fentanyl.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Fentanyl.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Methoxamine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Fentanyl is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Fentanyl.]
[C02AB01, methyldopa, Fentanyl may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, The metabolism of Fentanyl can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Fentanyl can be decreased when combined with Methylergometrine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Fentanyl.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Fentanyl.]
[G03EK01, methyltestosterone, Fentanyl may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Fentanyl is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Fentanyl.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Fentanyl.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Fentanyl may decrease the antihypertensive activities of Metoprolol.]
[P01AB01, metronidazole, The metabolism of Fentanyl can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Fentanyl can be decreased when combined with Metyrapone.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Fentanyl can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Aminophenazone.]
[N05CD08, midazolam, The metabolism of Fentanyl can be decreased when combined with Midazolam.]
[C01CA17, midodrine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Midodrine.]
[G03XB01, mifepristone, The metabolism of Fentanyl can be decreased when combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Fentanyl.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C09CA03, valsartan, Fentanyl may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[D11AX01, minoxidil, Fentanyl may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Fentanyl can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may increase the analgesic activities of Fentanyl.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Molindone.]
[L03AC01, aldesleukin, The metabolism of Fentanyl can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Amiodarone is combined with Fentanyl.]
[N06AA09, amitriptyline, The risk or severity of adverse effects can be increased when Amitriptyline is combined with Fentanyl.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Fentanyl.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Fentanyl.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Fentanyl can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Fentanyl may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Fentanyl can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, Fentanyl may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Fentanyl.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Fentanyl.]
[G03XC01, raloxifene, The metabolism of Fentanyl can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Fentanyl.]
[N03AB05, fosphenytoin, The metabolism of Fentanyl can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Fentanyl may decrease the antihypertensive activities of Nadolol.]
[J01CA04, amoxicillin, Fentanyl may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Fentanyl may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Fentanyl can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Naltrexone is combined with Fentanyl.]
[L04AC03, anakinra, The metabolism of Fentanyl can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[N06BA01, amphetamine, Amphetamine may increase the analgesic activities of Fentanyl.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Fentanyl.]
[A10BG01, troglitazone, The metabolism of Fentanyl can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Fentanyl.]
[L01CD02, docetaxel, The metabolism of Fentanyl can be decreased when combined with Docetaxel.]
[S03AA01, neomycin, Fentanyl may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Fentanyl is combined with Remifentanil.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[L03AX16, plerixafor, Fentanyl may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Fentanyl may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Fentanyl can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Fentanyl may decrease the antihypertensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C01CE01, inamrinone, Fentanyl may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of serotonin syndrome can be increased when Nialamide is combined with Fentanyl.]
[C08CA04, nicardipine, The metabolism of Fentanyl can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Fentanyl.]
[C08CA05, nifedipine, Fentanyl may increase the bradycardic activities of Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Fentanyl is combined with Niflumic acid.]
[C08CA06, nimodipine, Fentanyl may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Fentanyl may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Nitrazepam.]
[C08CA08, nitrendipine, Fentanyl may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, The metabolism of Fentanyl can be decreased when combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Fentanyl is combined with Zaleplon.]
[N04BC05, pramipexole, Fentanyl may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Fentanyl may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the cardiodepressant activities of Fentanyl.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Nomifensine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Norepinephrine.]
[G03DC02, norethindrone, The metabolism of Fentanyl can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The metabolism of Fentanyl can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Fentanyl may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The risk or severity of adverse effects can be increased when Nortriptyline is combined with Fentanyl.]
[R05DA07, noscapine, The metabolism of Fentanyl can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Fentanyl is combined with Nylidrin.]
[H01CB02, octreotide, The metabolism of Fentanyl can be decreased when combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Fentanyl can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Fentanyl can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Fentanyl can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Fentanyl is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Fentanyl is combined with Orciprenaline.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Fentanyl.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, Oxymetazoline can cause a decrease in the absorption of Fentanyl resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A14AA05, oxymetholone, The metabolism of Fentanyl can be decreased when combined with Oxymetholone.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Fentanyl is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Fentanyl.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Fentanyl.]
