[P02BB01, trichlorfon, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Metrifonate.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C08CA08, nitrendipine, The metabolism of Oxybutynin can be decreased when combined with Nitrendipine.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Norepinephrine is combined with Oxybutynin.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Oxybutynin.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Oxybutynin.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Nylidrin.]
[L04AC04, rilonacept, The metabolism of Oxybutynin can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Oxybutynin.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Orciprenaline is combined with Oxybutynin.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Oxybutynin.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Oxymetazoline is combined with Oxybutynin.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Oxybutynin.]
[N05AH05, asenapine, Asenapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Tapentadol.]
[M03AC01, pancuronium, Pancuronium may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[H02AB05, paramethasone, The metabolism of Oxybutynin can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Oxybutynin.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Oxybutynin can be increased when combined with Pentobarbital.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Oxybutynin.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Oxybutynin.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Oxybutynin.]
[N03AA02, phenobarbital, The metabolism of Oxybutynin can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Oxybutynin.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Oxybutynin.]
[A08AA01, phentermine, The risk or severity of Tachycardia can be increased when Phentermine is combined with Oxybutynin.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Oxybutynin.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Phenylpropanolamine is combined with Oxybutynin.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Oxybutynin.]
[L04AB06, golimumab, The metabolism of Oxybutynin can be increased when combined with Golimumab.]
[V03AB19, physostigmine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Physostigmine.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Oxybutynin.]
[C08CX01, mibefradil, The metabolism of Oxybutynin can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Oxybutynin.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Oxybutynin.]
[J05AE01, saquinavir, The metabolism of Oxybutynin can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Oxybutynin.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Oxybutynin.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Oxybutynin.]
[N02CX01, pizotyline, Pizotifen may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J05AG02, delavirdine, The metabolism of Oxybutynin can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Oxybutynin.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Oxybutynin.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Oxybutynin.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Oxybutynin.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Oxybutynin.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AC08, canakinumab, The metabolism of Oxybutynin can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The serum concentration of Polythiazide can be increased when it is combined with Oxybutynin.]
[J05AE03, ritonavir, The serum concentration of Oxybutynin can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Oxybutynin.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Oxybutynin is combined with Potassium chloride.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Oxybutynin.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Oxybutynin.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[P02BA01, praziquantel, The metabolism of Oxybutynin can be decreased when combined with Praziquantel.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[P01BA03, primaquine, The metabolism of Oxybutynin can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Oxybutynin can be increased when combined with Primidone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Oxybutynin.]
[S01HA05, procaine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01XB01, procarbazine, Procarbazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Oxybutynin.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Oxybutynin.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Oxybutynin.]
[N05AA03, promazine, Promazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Oxybutynin.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Oxybutynin.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Oxybutynin.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Oxybutynin.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Oxybutynin.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R01BA02, pseudoephedrine, The risk or severity of Tachycardia can be increased when Pseudoephedrine is combined with Oxybutynin.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Oxybutynin.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Oxybutynin.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Oxybutynin.]
[P01BC01, quinine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J04AB02, rifampin, The metabolism of Oxybutynin can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Ritodrine is combined with Oxybutynin.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Oxybutynin.]
[N04BD01, selegiline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Oxybutynin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Oxybutynin.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Oxybutynin.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Oxybutynin.]
[H02CA04, levoketoconazole, The metabolism of Oxybutynin can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Ipratropium.]
