[S02DA03, antipyrine, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Antipyrine.]
[N06AA09, amitriptyline, The risk or severity of gastrointestinal bleeding can be increased when Amitriptyline is combined with Olsalazine.]
[A04AA05, palonosetron, Olsalazine may decrease the excretion rate of Palonosetron which could result in a higher serum level.]
[J01DD06, moxalactam, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Latamoxef.]
[L04AB05, certolizumab pegol, Olsalazine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, The serum concentration of Olsalazine can be increased when it is combined with Ammonium chloride.]
[L04AA06, mycophenolic acid, Olsalazine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N06AA17, amoxapine, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Olsalazine.]
[N03AB05, fosphenytoin, The protein binding of Fosphenytoin can be decreased when combined with Olsalazine.]
[C07AA12, nadolol, Olsalazine may decrease the antihypertensive activities of Nadolol.]
[J01CA04, amoxicillin, Olsalazine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Olsalazine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Olsalazine is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Olsalazine.]
[M02AA12, naproxen, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Naproxen.]
[A10BG01, troglitazone, Olsalazine may increase the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Olsalazine.]
[N04BX01, tolcapone, Olsalazine may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Neomycin.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Remifentanil is combined with Olsalazine.]
[A10BX02, repaglinide, Olsalazine may increase the hypoglycemic activities of Repaglinide.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Olsalazine is combined with Tirofiban.]
[N05AX14, iloperidone, The risk or severity of hypertension can be increased when Olsalazine is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of nephrotoxicity can be increased when Amphotericin B is combined with Olsalazine.]
[S01AA19, ampicillin, Olsalazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Olsalazine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Olsalazine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of gastrointestinal bleeding can be increased when Desvenlafaxine is combined with Olsalazine.]
[C09CA07, telmisartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Telmisartan is combined with Olsalazine.]
[J05AB11, valacyclovir, The risk or severity of nephrotoxicity can be increased when Valaciclovir is combined with Olsalazine.]
[C01CE01, inamrinone, Olsalazine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of hypertension can be increased when Olsalazine is combined with Nialamide.]
[C08CA04, nicardipine, The therapeutic efficacy of Nicardipine can be decreased when used in combination with Olsalazine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Olsalazine.]
[C08CA05, nifedipine, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Olsalazine.]
[M02AA17, niflumic acid, The risk or severity of adverse effects can be increased when Olsalazine is combined with Niflumic acid.]
[C08CA06, nimodipine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Olsalazine.]
[C08CA07, nisoldipine, The therapeutic efficacy of Nisoldipine can be decreased when used in combination with Olsalazine.]
[C08CA08, nitrendipine, The therapeutic efficacy of Nitrendipine can be decreased when used in combination with Olsalazine.]
[R07AX01, nitric oxide, Olsalazine may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Nitrofurantoin is combined with Olsalazine.]
[N05CF03, zaleplon, Olsalazine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Olsalazine may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, The therapeutic efficacy of Nitroprusside can be decreased when used in combination with Olsalazine.]
[N01AX13, nitrous oxide, The risk or severity of hypertension can be increased when Olsalazine is combined with Nitrous oxide.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Olsalazine.]
[S01AE02, norfloxacin, Olsalazine may increase the neuroexcitatory activities of Norfloxacin.]
[C02KX01, bosentan, The therapeutic efficacy of Bosentan can be decreased when used in combination with Olsalazine.]
[N06AA10, nortriptyline, The risk or severity of gastrointestinal bleeding can be increased when Nortriptyline is combined with Olsalazine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Olsalazine is combined with Eptifibatide.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Olsalazine is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Reviparin.]
[S02AA16, ofloxacin, Olsalazine may increase the neuroexcitatory activities of Ofloxacin.]
[N06AA05, opipramol, The risk or severity of gastrointestinal bleeding can be increased when Opipramol is combined with Olsalazine.]
[N02AA02, opium, Olsalazine may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Olsalazine.]
[B01AD07, reteplase, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Ancrod.]
[G04CA02, tamsulosin, Olsalazine may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[C01AC01, ouabain, The serum concentration of Ouabain can be decreased when it is combined with Olsalazine.]
[M05BA08, zoledronic acid, The risk or severity of gastrointestinal bleeding can be increased when Olsalazine is combined with Zoledronic acid.]
[J01CF04, oxacillin, Olsalazine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Olsalazine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, Olsalazine may increase the neuroexcitatory activities of Oxolinic acid.]
[C07AA02, oxprenolol, Olsalazine may decrease the antihypertensive activities of Oxprenolol.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Olsalazine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Olsalazine.]
[S01BC02, oxyphenbutazone, The risk or severity of adverse effects can be increased when Olsalazine is combined with Oxyphenbutazone.]
[J04AA01, aminosalicylic acid, The risk or severity of bleeding, nephrotoxicity, and gastrointestinal bleeding can be increased when Aminosalicylic acid is combined with Olsalazine.]
[N05AH05, asenapine, The risk or severity of hypertension can be increased when Olsalazine is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Danaparoid.]
[J04AB30, capreomycin, Olsalazine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of gastrointestinal irritation can be increased when Paramethasone is combined with Olsalazine.]
[C02KC01, pargyline, The therapeutic efficacy of Pargyline can be decreased when used in combination with Olsalazine.]
[A07AA06, paromomycin, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Paromomycin.]
[J01MA03, pefloxacin, Olsalazine may increase the neuroexcitatory activities of Pefloxacin.]
[G04BD11, fesoterodine, Olsalazine may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Olsalazine may decrease the antihypertensive activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Olsalazine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Olsalazine may decrease the excretion rate of Pentobarbital which could result in a higher serum level.]
[L01XX08, pentostatin, Olsalazine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Olsalazine is combined with Pentoxifylline.]
[N04BC02, pergolide, The risk or severity of hypertension can be increased when Pergolide is combined with Olsalazine.]
[C08EX02, perhexiline, The risk or severity of hyperkalemia can be increased when Perhexiline is combined with Olsalazine.]
[G04BX06, phenazopyridine, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Phenazopyridine.]
[N06AF03, phenelzine, The risk or severity of hypertension can be increased when Phenelzine is combined with Olsalazine.]
[A10BA01, phenformin, Olsalazine may increase the hypoglycemic activities of Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Phenindione.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Phenoxybenzamine can be decreased when used in combination with Olsalazine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Olsalazine.]
[V03AB36, phentolamine, The therapeutic efficacy of Phentolamine can be decreased when used in combination with Olsalazine.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Olsalazine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Olsalazine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Olsalazine.]
[S01AE05, levofloxacin, Olsalazine may increase the neuroexcitatory activities of Levofloxacin.]
[B02BA01, vitamin K1, Olsalazine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, The risk or severity of nephrotoxicity can be increased when Cidofovir is combined with Olsalazine.]
[C08CX01, mibefradil, The therapeutic efficacy of Mibefradil can be decreased when used in combination with Olsalazine.]
[C07AA03, pindolol, Olsalazine may decrease the antihypertensive activities of Pindolol.]
[J01CA12, piperacillin, Olsalazine may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[N06BX03, piracetam, Olsalazine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Eprosartan is combined with Olsalazine.]
[S01BC06, piroxicam, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Piroxicam.]
[J01DD16, cefditoren, The risk or severity of nephrotoxicity can be increased when Cefditoren is combined with Olsalazine.]
[J01MA11, grepafloxacin, Olsalazine may increase the neuroexcitatory activities of Grepafloxacin.]
[N02CX01, pizotyline, The risk or severity of hypertension can be increased when Olsalazine is combined with Pizotifen.]
[C09CA04, irbesartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Irbesartan is combined with Olsalazine.]
[B01AC13, abciximab, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Alteplase.]
[A10BG02, rosiglitazone, Olsalazine may increase the hypoglycemic activities of Rosiglitazone.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Olsalazine is combined with Polymyxin B.]
[C03AA05, polythiazide, The therapeutic efficacy of Polythiazide can be decreased when used in combination with Olsalazine.]
[A10BH03, saxagliptin, Olsalazine may increase the hypoglycemic activities of Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Olsalazine.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Olsalazine.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Olsalazine is combined with Insulin lispro.]
[C07AB01, practolol, Olsalazine may decrease the antihypertensive activities of Practolol.]
[C02CA01, prazosin, The therapeutic efficacy of Prazosin can be decreased when used in combination with Olsalazine.]
[S03BA02, prednisolone, The risk or severity of gastrointestinal irritation can be increased when Prednisolone is combined with Olsalazine.]
[H02AB07, prednisone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Olsalazine.]
[M02AA16, feprazone, The risk or severity of adverse effects can be increased when Olsalazine is combined with Feprazone.]
[C01DX02, prenylamine, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Prenylamine.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Olsalazine which could result in a higher serum level.]
[C01BA02, procainamide, Olsalazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AB05, fenofibrate, Olsalazine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AA03, promazine, The risk or severity of hypertension can be increased when Promazine is combined with Olsalazine.]
[R06AD02, promethazine, Olsalazine may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, Olsalazine may decrease the antihypertensive activities of Propafenone.]
[A03AB05, propantheline, Olsalazine may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N05AC01, periciazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Periciazine.]
[N05CM06, propiomazine, The risk or severity of hypertension can be increased when Propiomazine is combined with Olsalazine.]
[N01AX10, propofol, The risk or severity of hypertension can be increased when Propofol is combined with Olsalazine.]
[C07AA05, propranolol, Olsalazine may decrease the antihypertensive activities of Propranolol.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be decreased when it is combined with Olsalazine.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Rizatriptan is combined with Olsalazine.]
[B01AC09, epoprostenol, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of gastrointestinal bleeding can be increased when Protriptyline is combined with Olsalazine.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Pseudoephedrine is combined with Olsalazine.]
[N05AX12, aripiprazole, The risk or severity of hypertension can be increased when Aripiprazole is combined with Olsalazine.]
[N07XX07, dalfampridine, Olsalazine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Olsalazine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Olsalazine may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Olsalazine.]
[C01BA01, quinidine, Olsalazine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, Olsalazine may increase the hypoglycemic activities of Quinine.]
[A02BA02, ranitidine, Olsalazine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA01, rescinnamine, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Rescinnamine.]
[C02AA02, reserpine, The therapeutic efficacy of Reserpine can be decreased when used in combination with Olsalazine.]
[J05AP01, ribavirin, Olsalazine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Olsalazine.]
[N02BA05, salicylamide, The risk or severity of adverse effects can be increased when Olsalazine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of adverse effects can be increased when Salicylic acid is combined with Olsalazine.]
[N05CA06, secobarbital, Olsalazine may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[N04BD01, selegiline, The risk or severity of hypertension can be increased when Selegiline is combined with Olsalazine.]
[J01GB08, sisomicin, Olsalazine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Olsalazine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Olsalazine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, Olsalazine may decrease the antihypertensive activities of Sotalol.]
[C03DA01, spironolactone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Spironolactone.]
[V04CH02, indigo carmine, Olsalazine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[N05CC01, chloral hydrate, Olsalazine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The serum concentration of Valproic acid can be increased when it is combined with Olsalazine.]
[M05BA01, etidronic acid, The risk or severity of gastrointestinal bleeding can be increased when Olsalazine is combined with Etidronic acid.]
[M05BA04, alendronic acid, The risk or severity of adverse effects can be increased when Olsalazine is combined with Alendronic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of gastrointestinal irritation can be increased when Hydrocortisone butyrate is combined with Olsalazine.]
[C01DA14, isosorbide mononitrate, Olsalazine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10AX03, azelaic acid, Olsalazine may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
