[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[P01BX01, halofantrine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Diazepam.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Diazepam is combined with Halothane.]
[N05AH04, quetiapine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX13, idebenone, Diazepam may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Diazepam is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Diazepam can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Diazepam is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Diazepam can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Diazepam may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Diazepam is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Diazepam can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Diazepam can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C02DB02, hydralazine, Diazepam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Diazepam can be decreased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Diazepam may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[G04BD06, propiverine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Diazepam is combined with Prothipendyl.]
[B05AA07, hetastarch, Diazepam may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[J04AB04, rifabutin, The metabolism of Diazepam can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[B05XA08, sodium acetate, Diazepam may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Diazepam.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Diazepam.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Diazepam.]
[N06AA02, imipramine, The metabolism of Diazepam can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Diazepam.]
[R01AD07, tixocortol, Diazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Diazepam.]
[L01CE01, topotecan, Diazepam may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A11HA07, inositol, Diazepam may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Diazepam is combined with Milnacipran.]
[A03AA30, piperidolate, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Diazepam may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Articaine.]
[A10BH01, sitagliptin, Diazepam may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[V08AB02, iohexol, The therapeutic efficacy of Diazepam can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Diazepam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Diazepam is combined with Ramelteon.]
[R06AE01, buclizine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Diazepam can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Diazepam is combined with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Diazepam may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Diazepam is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Diazepam is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Diazepam is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Diazepam can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Diazepam.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Diazepam.]
[J04AC01, isoniazid, The metabolism of Diazepam can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Diazepam may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, Diazepam may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Diazepam.]
[S01AA24, kanamycin, Diazepam may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Diazepam can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Diazepam is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Diazepam is combined with Ketanserin.]
[B01AC22, prasugrel, Diazepam may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Diazepam can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Diazepam is combined with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Diazepam can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Diazepam may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Diazepam can be decreased when used in combination with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C07AG01, labetalol, The metabolism of Diazepam can be decreased when combined with Labetalol.]
[N04BB01, amantadine, Diazepam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Diazepam may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Diazepam is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Diazepam.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Diazepam is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Lidocaine.]
[S01AA21, amikacin, Diazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Diazepam can be decreased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Diazepam.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Diazepam.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Diazepam is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Diazepam.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Diazepam.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Diazepam.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Diazepam.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Diazepam.]
[B05XA11, magnesium chloride, Diazepam may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Diazepam may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Diazepam can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Diazepam may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Diazepam can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Diazepam.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Diazepam.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Diazepam is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Diazepam can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Diazepam.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Diazepam.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Diazepam is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Diazepam.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meptazinol is combined with Diazepam.]
[G04BX16, tiopronin, Diazepam may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Diazepam is combined with Paliperidone.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Diazepam.]
[N07BC02, methadone, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Methadone.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Diazepam is combined with Metamfetamine.]
[A03AB07, methantheline, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Diazepam is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Diazepam is combined with Methaqualone.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Diazepam.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Diazepam is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Diazepam can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Diazepam may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Diazepam.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Diazepam.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Diazepam is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Diazepam is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Diazepam may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Diazepam is combined with Methylene blue.]
[R03DA05, aminophylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Aminophylline.]
[N06BA04, methylphenidate, The therapeutic efficacy of Diazepam can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Diazepam.]
[G03EK01, methyltestosterone, Diazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Diazepam is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Diazepam.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Diazepam.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Diazepam can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Diazepam may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, The therapeutic efficacy of Diazepam can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Diazepam can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Diazepam.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Diazepam.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Diazepam can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[L01XX23, mitotane, The metabolism of Diazepam can be increased when combined with Mitotane.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Diazepam is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Diazepam can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Diazepam.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Diazepam.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Diazepam can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Diazepam may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Diazepam may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Diazepam is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Diazepam is combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Diazepam can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be decreased when it is combined with Diazepam.]
[C07AA12, nadolol, Diazepam may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Diazepam may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Diazepam may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Diazepam is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Diazepam.]
[V03AB15, naloxone, The metabolism of Diazepam can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Naltrexone is combined with Diazepam.]
[L04AC03, anakinra, The metabolism of Diazepam can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Diazepam.]
[N06BA01, amphetamine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Diazepam can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Diazepam is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Diazepam.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Diazepam.]
[L02BG04, letrozole, The metabolism of Diazepam can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Diazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Diazepam.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Diazepam.]
[J02AA01, amphotericin B, The therapeutic efficacy of Diazepam can be decreased when used in combination with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L03AX16, plerixafor, Diazepam may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Diazepam may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Diazepam is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Diazepam can be decreased when combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C01CE01, inamrinone, Diazepam may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Diazepam is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Diazepam can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Diazepam.]
[C08CA05, nifedipine, Diazepam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Nitrazepam.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Diazepam.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Diazepam is combined with Zaleplon.]
[N04BC05, pramipexole, Diazepam may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Diazepam is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Diazepam is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Diazepam.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Diazepam.]
[C02KX01, bosentan, The metabolism of Diazepam can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[R05DA07, noscapine, The metabolism of Diazepam can be decreased when combined with Noscapine.]
[L04AC04, rilonacept, The metabolism of Diazepam can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Diazepam can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Diazepam is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Opium is combined with Diazepam.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A14AA08, oxandrolone, The metabolism of Diazepam can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Diazepam is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Diazepam.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Diazepam.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Diazepam is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A03AB03, oxyphenonium, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Diazepam is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[M03AC01, pancuronium, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Diazepam may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Diazepam.]
[N05CC05, paraldehyde, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Diazepam can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Diazepam is combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[G04BD11, fesoterodine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Diazepam is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Diazepam is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Diazepam may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Diazepam.]
[N05CA01, pentobarbital, The metabolism of Diazepam can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Diazepam may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Diazepam is combined with Pergolide.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Diazepam.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Phenazocine is combined with Diazepam.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Diazepam.]
[N03AA02, phenobarbital, The metabolism of Diazepam can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Phenoperidine is combined with Diazepam.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Diazepam.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Diazepam can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Diazepam is combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Diazepam can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be decreased when it is combined with Diazepam.]
[L04AB06, golimumab, The metabolism of Diazepam can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Diazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Diazepam may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Diazepam can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Diazepam.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Diazepam is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Diazepam.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J05AE01, saquinavir, The serum concentration of Diazepam can be increased when it is combined with Saquinavir.]
