[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nabilone.]
[G03DA04, progesterone, The metabolism of Nabilone can be decreased when combined with Progesterone.]
[N05AA03, promazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Propanidid.]
[A03AB05, propantheline, The risk or severity of Tachycardia and drowsiness can be increased when Propantheline is combined with Nabilone.]
[N05AC01, periciazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Periciazine.]
[N05CM06, propiomazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[N02AC04, propoxyphene, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dextropropoxyphene.]
[C07AA05, propranolol, The risk or severity of adverse effects can be increased when Nabilone is combined with Propranolol.]
[N02CC04, rizatriptan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Rizatriptan.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Nabilone is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Nabilone can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, The risk or severity of Tachycardia and drowsiness can be increased when Diphemanil is combined with Nabilone.]
[A03AB09, isopropamide, The risk or severity of Tachycardia and drowsiness can be increased when Isopropamide is combined with Nabilone.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia and drowsiness can be increased when Methscopolamine is combined with Nabilone.]
[N05CA07, talbutal, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Talbutal.]
[N05CA09, vinbarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vinbarbital.]
[N05BB02, captodiamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Captodiame.]
[M03BA04, styramate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Styramate.]
[P02CC01, pyrantel, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pyrantel.]
[R06AC01, pyrilamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Mepyramine.]
[C01BA01, quinidine, The risk or severity of Tachycardia and drowsiness can be increased when Quinidine is combined with Nabilone.]
[P01BC01, quinine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Quinine.]
[C02AA01, rescinnamine, Nabilone may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Reserpine.]
[J04AB02, rifampin, The metabolism of Nabilone can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxitriptan.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Nabilone.]
[S01FA02, scopolamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Secobarbital.]
[N04BD01, selegiline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Nabilone is combined with Obinutuzumab.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Nabilone is combined with Sotalol.]
[C03DA01, spironolactone, The risk or severity of adverse effects can be increased when Spironolactone is combined with Nabilone.]
[N05CC01, chloral hydrate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Chloral hydrate.]
[N03AG01, valproic acid, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Valproic acid.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Nabilone is combined with Isosorbide mononitrate.]
[H02CA04, levoketoconazole, The metabolism of Nabilone can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia and drowsiness can be increased when Ipratropium is combined with Nabilone.]
