[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Thalidomide.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J04AC01, isoniazid, The metabolism of Thalidomide can be decreased when combined with Isoniazid.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Isosorbide mononitrate is combined with Thalidomide.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Isosorbide dinitrate is combined with Thalidomide.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Isoxsuprine.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Thalidomide.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AC07, tocilizumab, The metabolism of Thalidomide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Thalidomide.]
[N05AH03, olanzapine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA24, abatacept, The metabolism of Thalidomide can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Rotigotine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C07AG01, labetalol, The risk or severity of adverse effects can be increased when Labetalol is combined with Thalidomide.]
[C02AA05, deserpidine, Thalidomide may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Thalidomide.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Thalidomide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Thalidomide.]
[G03AD01, levonorgestrel, Levonorgestrel may increase the thrombogenic activities of Thalidomide.]
[N04BA01, levodopa, Levodopa may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06BA13, armodafinil, The metabolism of Thalidomide can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amiloride is combined with Thalidomide.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Lomustine.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be increased when combined with Thalidomide.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03DC03, lynestrenol, Lynestrenol may increase the thrombogenic activities of Thalidomide.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Thalidomide is combined with Temsirolimus.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Thalidomide is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Mannitol is combined with Thalidomide.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Thalidomide.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Thalidomide.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Thalidomide.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Thalidomide.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Thalidomide.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Thalidomide.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Thalidomide is combined with Melphalan.]
[N02AB02, meperidine, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AX05, meptazinol, Meptazinol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AX13, paliperidone, Paliperidone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N07BC02, methadone, Methadone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AB07, methantheline, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Methazolamide is combined with Thalidomide.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Thalidomide.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Thalidomide.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Thalidomide.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C03AA08, methyclothiazide, The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Thalidomide.]
[C02AB01, methyldopa, The risk or severity of adverse effects can be increased when Methyldopa is combined with Thalidomide.]
[V04CG05, methylene blue, Methylene blue may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Thalidomide.]
[N03AF03, rufinamide, Rufinamide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Thalidomide.]
[C03BA08, metolazone, The risk or severity of adverse effects can be increased when Metolazone is combined with Thalidomide.]
[C07AB02, metoprolol, The risk or severity of adverse effects can be increased when Metoprolol is combined with Thalidomide.]
[P01AB01, metronidazole, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Metronidazole.]
[N06AX03, mianserin, Mianserin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S02AA13, miconazole, The metabolism of Thalidomide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Thalidomide.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Thalidomide.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03XB01, mifepristone, Mifepristone may increase the thrombogenic activities of Thalidomide.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Thalidomide.]
[C09CA03, valsartan, The metabolism of Thalidomide can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Minoxidil is combined with Thalidomide.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Mitoxantrone.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Thalidomide.]
[C01BD01, amiodarone, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AA01, morphine, Morphine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AB05, certolizumab pegol, The metabolism of Thalidomide can be increased when combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Thalidomide.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[P01BA06, amodiaquine, The metabolism of Thalidomide can be decreased when combined with Amodiaquine.]
[R03BB01, ipratropium bromide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AB05, fosphenytoin, Fosphenytoin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Thalidomide.]
[C07AA12, nadolol, The risk or severity of adverse effects can be increased when Thalidomide is combined with Nadolol.]
[N04BC04, ropinirole, Thalidomide may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AF02, nalbuphine, Nalbuphine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AC03, anakinra, The metabolism of Thalidomide can be increased when combined with Anakinra.]
[M02AA12, naproxen, The metabolism of Thalidomide can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Thalidomide can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of thromboembolism can be increased when Thalidomide is combined with Methoxy polyethylene glycol-epoetin beta.]
[L01CD02, docetaxel, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Docetaxel.]
[N01AH06, remifentanil, Remifentanil may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Levosimendan is combined with Thalidomide.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Thalidomide.]
[N05AX14, iloperidone, Iloperidone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Thalidomide.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09CA07, telmisartan, The risk or severity of adverse effects can be increased when Telmisartan is combined with Thalidomide.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Thalidomide.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C08CA04, nicardipine, The metabolism of Thalidomide can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Thalidomide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Thalidomide.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Thalidomide is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of adverse effects can be increased when Nimodipine is combined with Thalidomide.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be increased when combined with Thalidomide.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be increased when combined with Thalidomide.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Thalidomide.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04BC05, pramipexole, Thalidomide may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, The risk or severity of adverse effects can be increased when Nitroprusside is combined with Thalidomide.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03DC02, norethindrone, Norethisterone may increase the thrombogenic activities of Thalidomide.]
[G03AC07, norgestrienone, Norgestrienone may increase the thrombogenic activities of Thalidomide.]
[C02KX01, bosentan, The metabolism of Thalidomide can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R05DA07, noscapine, The metabolism of Thalidomide can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Thalidomide.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Thalidomide.]
[L04AC04, rilonacept, The metabolism of Thalidomide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Thalidomide can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AA02, opium, Opium may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Thalidomide.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Thalidomide.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Tamsulosin is combined with Thalidomide.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Thalidomide.]
[M05BA08, zoledronic acid, The risk or severity of jaw osteonecrosis can be increased when Thalidomide is combined with Zoledronic acid.]
[A14AA08, oxandrolone, The metabolism of Thalidomide can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AA05, oxycodone, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AA11, oxymorphone, Oxymorphone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AB03, oxyphenonium, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, Asenapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Thalidomide.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M03AC01, pancuronium, Pancuronium may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03DB06, chlormadinone, Chlormadinone may increase the thrombogenic activities of Thalidomide.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Papaverine.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G04BD11, fesoterodine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Thalidomide.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Thalidomide.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Thalidomide.]
[N02AD01, pentazocine, Pentazocine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CA01, pentobarbital, Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Thalidomide.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Thalidomide.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Thalidomide.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Thalidomide.]
[N02AD02, phenazocine, Phenazocine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AF03, phenelzine, Phenelzine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Thalidomide is combined with Phenindione.]
[N03AA02, phenobarbital, Phenobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N01AH04, phenoperidine, Phenoperidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Phenoxybenzamine is combined with Thalidomide.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Thalidomide is combined with Phenprocoumon.]
[V03AB36, phentolamine, The risk or severity of adverse effects can be increased when Phentolamine is combined with Thalidomide.]
[M02AA01, phenylbutazone, The metabolism of Thalidomide can be decreased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The risk or severity of somnolence and peripheral neuropathy can be increased when Thalidomide is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Thalidomide can be increased when combined with Golimumab.]
[C08CX01, mibefradil, Thalidomide may increase the hypotensive activities of Mibefradil.]
[N05AG02, pimozide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be increased when combined with Thalidomide.]
[J05AE01, saquinavir, The metabolism of Saquinavir can be increased when combined with Thalidomide.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09CA02, eprosartan, The risk or severity of adverse effects can be increased when Eprosartan is combined with Thalidomide.]
[A02BX03, pirenzepine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, Piritramide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01BC06, piroxicam, The metabolism of Thalidomide can be decreased when combined with Piroxicam.]
[N02CX01, pizotyline, Pizotifen may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J05AG02, delavirdine, The metabolism of Thalidomide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The risk or severity of adverse effects can be increased when Irbesartan is combined with Thalidomide.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Thalidomide.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Thalidomide.]
[A10BG02, rosiglitazone, The metabolism of Thalidomide can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Thalidomide is combined with Anastrozole.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AC08, canakinumab, The metabolism of Thalidomide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Thalidomide.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be increased when combined with Thalidomide.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be increased when combined with Thalidomide.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Thalidomide.]
[C07AB01, practolol, Thalidomide may increase the hypotensive activities of Practolol.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Thalidomide.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Prazosin is combined with Thalidomide.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Thalidomide.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Thalidomide.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AA03, primidone, Primidone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M04AB01, probenecid, The metabolism of Thalidomide can be decreased when combined with Probenecid.]
[S01HA05, procaine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XB01, procarbazine, Procarbazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C10AB05, fenofibrate, The metabolism of Thalidomide can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04AA04, procyclidine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, Progesterone may increase the thrombogenic activities of Thalidomide.]
[N05AA03, promazine, Promazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AB05, propantheline, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Thalidomide.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AC04, propoxyphene, Dextropropoxyphene may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Thalidomide.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Thalidomide.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Thalidomide.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Thalidomide is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Thalidomide can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AX12, aripiprazole, Aripiprazole may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AB15, diphemanil, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Thalidomide.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be increased when combined with Thalidomide.]
[C01BA01, quinidine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C02AA01, rescinnamine, Thalidomide may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Thalidomide.]
[S01BC08, salicylic acid, The metabolism of Thalidomide can be decreased when combined with Salicylic acid.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04BD01, selegiline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
