[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Hydralazine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Hydralazine.]
[G02CA01, ritodrine, Ritodrine may decrease the antihypertensive activities of Hydralazine.]
[N02BA05, salicylamide, Salicylamide may decrease the antihypertensive activities of Hydralazine.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the antihypertensive activities of Hydralazine.]
[S01BC08, salicylic acid, Salicylic acid may decrease the antihypertensive activities of Hydralazine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Hydralazine.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Hydralazine.]
[L01FA03, obinutuzumab, Hydralazine may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Hydralazine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Hydralazine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Hydralazine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Sotalol is combined with Hydralazine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Hydralazine.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, Hydralazine may increase the vasodilatory activities of Isosorbide mononitrate.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the antihypertensive activities of Hydralazine.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
