[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Trifluoperazine.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Trifluoperazine.]
[G04CA04, silodosin, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[R03BB01, ipratropium bromide, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Trifluoperazine.]
[L03AB08, interferon beta-1b, The metabolism of Trifluoperazine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The serum concentration of Nadolol can be increased when it is combined with Trifluoperazine.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Trifluoperazine.]
[J01CF06, nafcillin, The metabolism of Trifluoperazine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Trifluoperazine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Trifluoperazine.]
[N06BA01, amphetamine, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, The metabolism of Trifluoperazine can be decreased when combined with Naproxen.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Duloxetine.]
[N04BX01, tolcapone, The therapeutic efficacy of Tolcapone can be decreased when used in combination with Trifluoperazine.]
[S03AA01, neomycin, Trifluoperazine may increase the neurotoxic activities of Neomycin.]
[N01AH06, remifentanil, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Remifentanil.]
[N05AX14, iloperidone, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Trifluoperazine may decrease the antihypertensive activities of Telmisartan.]
[N06AF02, nialamide, The risk or severity of extrapyramidal symptoms can be increased when Nialamide is combined with Trifluoperazine.]
[C08CA04, nicardipine, Nicardipine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[C04AE02, nicergoline, Nicergoline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[P02DA01, niclosamide, The metabolism of Trifluoperazine can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Nitrendipine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Zaleplon.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Trifluoperazine.]
[C02DD01, nitroprusside, Trifluoperazine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Nomifensine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Trifluoperazine.]
[S01AE02, norfloxacin, The metabolism of Trifluoperazine can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Trifluoperazine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[L03AB07, interferon beta-1a, The metabolism of Trifluoperazine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be decreased when used in combination with Trifluoperazine.]
[L04AC04, rilonacept, The metabolism of Trifluoperazine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Trifluoperazine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The serum concentration of Opipramol can be increased when it is combined with Trifluoperazine.]
[N02AA02, opium, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Opium.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Trifluoperazine.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Trifluoperazine.]
[G04CA02, tamsulosin, Tamsulosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Oxazepam.]
[C07AA02, oxprenolol, The serum concentration of Oxprenolol can be increased when it is combined with Trifluoperazine.]
[N02AA05, oxycodone, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Trifluoperazine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Oxymetazoline can be decreased when used in combination with Trifluoperazine.]
[N02AA11, oxymorphone, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[M03AC01, pancuronium, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[N05CC05, paraldehyde, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of extrapyramidal symptoms can be increased when Pargyline is combined with Trifluoperazine.]
[J01MA03, pefloxacin, The metabolism of Trifluoperazine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The serum concentration of Penbutolol can be increased when it is combined with Trifluoperazine.]
[N05AG03, penfluridol, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Trifluoperazine.]
[C04AD03, pentoxifylline, The metabolism of Trifluoperazine can be decreased when combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Trifluoperazine.]
[C08EX02, perhexiline, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Trifluoperazine.]
[N02AD02, phenazocine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of extrapyramidal symptoms can be increased when Phenelzine is combined with Trifluoperazine.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Phentolamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Trifluoperazine.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Trifluoperazine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Trifluoperazine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Trifluoperazine.]
[L04AB06, golimumab, The metabolism of Trifluoperazine can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Pimozide.]
[C07AA03, pindolol, The serum concentration of Pindolol can be increased when it is combined with Trifluoperazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Pipotiazine.]
[C09CA02, eprosartan, Trifluoperazine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Trifluoperazine.]
[N02AC03, pirinitramide, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Trifluoperazine.]
[J01MA11, grepafloxacin, The metabolism of Trifluoperazine can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Pizotifen.]
[C09CA04, irbesartan, Trifluoperazine may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Proxibarbal.]
[A03AE01, alosetron, The metabolism of Trifluoperazine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Trifluoperazine can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Trifluoperazine may increase the neurotoxic activities of Polymyxin B.]
[C03AA05, polythiazide, Trifluoperazine may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Trifluoperazine can be increased when combined with Ritonavir.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Trifluoperazine.]
[C07AB01, practolol, The serum concentration of Practolol can be increased when it is combined with Trifluoperazine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Trifluoperazine.]
[C02CA01, prazosin, Prazosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[C01DX02, prenylamine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Trifluoperazine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Primaquine is combined with Trifluoperazine.]
[N03AA03, primidone, The metabolism of Trifluoperazine can be increased when combined with Primidone.]
[S01HA05, procaine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Trifluoperazine.]
[L01XB01, procarbazine, The risk or severity of extrapyramidal symptoms can be increased when Procarbazine is combined with Trifluoperazine.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Trifluoperazine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Trifluoperazine.]
[N05AA03, promazine, Promazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[R06AD02, promethazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The serum concentration of Propafenone can be increased when it is combined with Trifluoperazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Propanidid.]
[A03AB05, propantheline, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Periciazine.]
[N05CM06, propiomazine, Propiomazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Trifluoperazine.]
[N02AC04, propoxyphene, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Trifluoperazine.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Trifluoperazine.]
[B01AC09, epoprostenol, Trifluoperazine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The serum concentration of Protriptyline can be increased when it is combined with Trifluoperazine.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Aripiprazole.]
[A03AB15, diphemanil, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[S01FA03, methscopolamine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Trifluoperazine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Mepyramine.]
[P01BD01, pyrimethamine, The risk or severity of QTc prolongation can be increased when Pyrimethamine is combined with Trifluoperazine.]
[P01AX05, quinacrine, The risk or severity of QTc prolongation can be increased when Quinacrine is combined with Trifluoperazine.]
[C01BA01, quinidine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Trifluoperazine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Trifluoperazine.]
[C02AA01, rescinnamine, Trifluoperazine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Trifluoperazine.]
[J04AB02, rifampin, The metabolism of Trifluoperazine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Trifluoperazine.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Trifluoperazine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Trifluoperazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Salicylic acid.]
[S01FA02, scopolamine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Trifluoperazine.]
[N04BD01, selegiline, The therapeutic efficacy of Selegiline can be decreased when used in combination with Trifluoperazine.]
[C07AA07, sotalol, The serum concentration of Sotalol can be increased when it is combined with Trifluoperazine.]
