[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cimetidine.]
[J02AB02, ketoconazole, Cimetidine can cause a decrease in the absorption of Ketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02CA04, levoketoconazole, Cimetidine can cause a decrease in the absorption of Levoketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Cimetidine.]
[M02AA10, ketoprofen, The excretion of Cimetidine can be decreased when combined with Ketoprofen.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Cimetidine.]
[J01MB02, nalidixic acid, The excretion of Cimetidine can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C07AG01, labetalol, Cimetidine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Cimetidine.]
[A06AX03, lubiprostone, Cimetidine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Cimetidine.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Cimetidine.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Cimetidine.]
[C08EX01, lidoflazine, The serum concentration of Lidoflazine can be increased when it is combined with Cimetidine.]
[S01AA21, amikacin, Cimetidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Cimetidine.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Cimetidine.]
[A07DA03, loperamide, The serum concentration of Loperamide can be increased when it is combined with Cimetidine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Cimetidine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Cimetidine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Cimetidine.]
[B05XA11, magnesium chloride, Cimetidine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Cimetidine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The serum concentration of Magnesium sulfate can be increased when it is combined with Cimetidine.]
[L01BA05, pralatrexate, Cimetidine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, Cimetidine can cause a decrease in the absorption of Nilotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Cimetidine.]
[P02CA01, mebendazole, The serum concentration of Mebendazole can be increased when it is combined with Cimetidine.]
[C02BB01, mecamylamine, Cimetidine may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Cimetidine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Cimetidine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The excretion of Cimetidine can be decreased when combined with Melatonin.]
[N06DX01, memantine, Cimetidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The serum concentration of Meperidine can be increased when it is combined with Cimetidine.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Cimetidine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Cimetidine.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Cimetidine.]
[N01BB03, mepivacaine, Cimetidine may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Cimetidine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Cimetidine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Cimetidine.]
[A10BA02, metformin, The serum concentration of Metformin can be increased when it is combined with Cimetidine.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Cimetidine.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Cimetidine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Cimetidine.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Cimetidine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX05, methenamine, The therapeutic efficacy of Methenamine can be decreased when used in combination with Cimetidine.]
[H03BB02, methimazole, Cimetidine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Cimetidine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N02BG08, ziconotide, The serum concentration of Ziconotide can be increased when it is combined with Cimetidine.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Cimetidine.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be decreased when combined with Cimetidine.]
[D05BA02, methoxsalen, Cimetidine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Cimetidine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Methyldopa.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Cimetidine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Cimetidine.]
[N06BA04, methylphenidate, The therapeutic efficacy of Methylphenidate can be decreased when used in combination with Cimetidine.]
[G03EK01, methyltestosterone, The excretion of Cimetidine can be increased when combined with Methyltestosterone.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Cimetidine.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Cimetidine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Cimetidine.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Cimetidine.]
[V04CD01, metyrapone, Cimetidine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Cimetidine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Cimetidine.]
[S02AA13, miconazole, Cimetidine can cause a decrease in the absorption of Miconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Cimetidine.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Cimetidine.]
[G03XB01, mifepristone, Cimetidine may decrease the excretion rate of Mifepristone which could result in a higher serum level.]
[J05AH01, zanamivir, Cimetidine may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Cimetidine.]
[J01AA08, minocycline, The excretion of Cimetidine can be decreased when combined with Minocycline.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Cimetidine.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C01BD01, amiodarone, The serum concentration of Amiodarone can be increased when it is combined with Cimetidine.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Cimetidine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Cimetidine is combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Cimetidine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Cimetidine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Cimetidine.]
[G04BA01, ammonium chloride, Cimetidine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, Cimetidine can cause a decrease in the absorption of Pazopanib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA06, mycophenolic acid, Cimetidine can cause a decrease in the absorption of Mycophenolic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AJ01, raltegravir, Cimetidine can cause an increase in the absorption of Raltegravir resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Cimetidine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Cimetidine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Cimetidine.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Cimetidine.]
[J01CA04, amoxicillin, Cimetidine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Cimetidine is combined with Ropinirole.]
[J01CF06, nafcillin, The excretion of Cimetidine can be decreased when combined with Nafcillin.]
[V03AB15, naloxone, Cimetidine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Naltrexone.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Cimetidine.]
[M02AA12, naproxen, Cimetidine may decrease the excretion rate of Naproxen which could result in a higher serum level.]
[A10BG01, troglitazone, The risk or severity of liver damage can be increased when Troglitazone is combined with Cimetidine.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Cimetidine.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Cimetidine.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Letrozole.]
[S03AA01, neomycin, Cimetidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, Cimetidine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[B01AC17, tirofiban, Cimetidine may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Cimetidine.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L03AX16, plerixafor, Cimetidine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Cimetidine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Cimetidine may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[C09CA07, telmisartan, Cimetidine may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[J05AB11, valacyclovir, The excretion of Valaciclovir can be decreased when combined with Cimetidine.]
[C01CE01, inamrinone, Cimetidine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Niacin.]
[C08CA04, nicardipine, The serum concentration of Nicardipine can be increased when it is combined with Cimetidine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Cimetidine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Cimetidine.]
[N07BA01, nicotine, Cimetidine may decrease the excretion rate of Nicotine which could result in a higher serum level.]
[C08CA05, nifedipine, The serum concentration of Nifedipine can be increased when it is combined with Cimetidine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C08CA06, nimodipine, The serum concentration of Nimodipine can be increased when it is combined with Cimetidine.]
[C08CA07, nisoldipine, The serum concentration of Nisoldipine can be increased when it is combined with Cimetidine.]
[C08CA08, nitrendipine, The serum concentration of Nitrendipine can be increased when it is combined with Cimetidine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Cimetidine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Cimetidine.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Cimetidine.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C01CA03, norepinephrine, The serum concentration of Cimetidine can be increased when it is combined with Norepinephrine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Cimetidine.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Norfloxacin.]
[C02KX01, bosentan, The risk or severity of liver damage can be increased when Cimetidine is combined with Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Cimetidine.]
[G02CA02, nylidrin, The serum concentration of Nylidrin can be increased when it is combined with Cimetidine.]
[H01CB02, octreotide, Cimetidine can cause a decrease in the absorption of Octreotide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S02AA16, ofloxacin, Cimetidine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Cimetidine.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Cimetidine.]
[G04CA02, tamsulosin, The serum concentration of Tamsulosin can be increased when it is combined with Cimetidine.]
[C01AC01, ouabain, The excretion of Cimetidine can be decreased when combined with Ouabain.]
[J01CF04, oxacillin, Cimetidine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[V08CB01, ferumoxsil, Cimetidine can cause a decrease in the absorption of Ferumoxsil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05BA04, oxazepam, Cimetidine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Cimetidine.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Cimetidine.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Cimetidine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[S01AA04, oxytetracycline, The excretion of Oxytetracycline can be decreased when combined with Cimetidine.]
[V04CH30, 4-aminohippuric acid, The excretion of Cimetidine can be decreased when combined with Aminohippuric acid.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Cimetidine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Cimetidine is combined with Pancuronium.]
[J04AB30, capreomycin, Cimetidine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Cimetidine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Cimetidine.]
[N05AG03, penfluridol, The serum concentration of Penfluridol can be increased when it is combined with Cimetidine.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Penicillamine.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Cimetidine.]
[J01CE09, penicillin G procaine, Cimetidine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Pentobarbital can be decreased when combined with Cimetidine.]
[L01XX08, pentostatin, Cimetidine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be increased when it is combined with Cimetidine.]
[C08EX02, perhexiline, The serum concentration of Perhexiline can be increased when it is combined with Cimetidine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Cimetidine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Cimetidine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N06AF03, phenelzine, Cimetidine may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Cimetidine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Cimetidine.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Phenoxybenzamine is combined with Cimetidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Cimetidine.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Cimetidine.]
[V03AB36, phentolamine, Cimetidine may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The excretion of Cimetidine can be decreased when combined with Phenylbutazone.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Cimetidine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Cimetidine.]
[S01AE05, levofloxacin, The serum concentration of Levofloxacin can be increased when it is combined with Cimetidine.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Cimetidine.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Cimetidine.]
[B02BA01, vitamin K1, Cimetidine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C08CX01, mibefradil, The serum concentration of Mibefradil can be increased when it is combined with Cimetidine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Cimetidine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Cimetidine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Cimetidine.]
[J01CA12, piperacillin, The excretion of Piperacillin can be decreased when combined with Cimetidine.]
[J05AE01, saquinavir, Cimetidine can cause an increase in the absorption of Saquinavir resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Cimetidine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Cimetidine.]
[N06BX03, piracetam, Cimetidine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Eprosartan.]
[S01BC06, piroxicam, The excretion of Cimetidine can be decreased when combined with Piroxicam.]
[J01DD16, cefditoren, The serum concentration of Cefditoren can be decreased when it is combined with Cimetidine.]
[J01MA11, grepafloxacin, The excretion of Grepafloxacin can be decreased when combined with Cimetidine.]
[J05AG02, delavirdine, Cimetidine can cause a decrease in the absorption of Delavirdine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Cimetidine.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Cimetidine.]
[A10BG02, rosiglitazone, Cimetidine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Cimetidine.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Cimetidine.]
[C03AA05, polythiazide, The excretion of Polythiazide can be decreased when combined with Cimetidine.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Cimetidine.]
[A10BH03, saxagliptin, The excretion of Saxagliptin can be decreased when combined with Cimetidine.]
[B05XA01, potassium chloride, Cimetidine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C10AA08, pitavastatin, Cimetidine may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Cimetidine.]
[N05BA11, prazepam, The metabolism of Cimetidine can be decreased when combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Cimetidine.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Cimetidine.]
[H02AB07, prednisone, Cimetidine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C01DX02, prenylamine, The serum concentration of Prenylamine can be increased when it is combined with Cimetidine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Cimetidine.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Cimetidine.]
[M04AB01, probenecid, The excretion of Cimetidine can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Cimetidine.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Procarbazine.]
[C10AB05, fenofibrate, Cimetidine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Cimetidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Cimetidine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Cimetidine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Cimetidine.]
[C01BC03, propafenone, The serum concentration of Propafenone can be increased when it is combined with Cimetidine.]
[A03AB05, propantheline, Cimetidine may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Cimetidine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Cimetidine.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Cimetidine.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Cimetidine.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Propylthiouracil.]
[N02CC04, rizatriptan, Cimetidine may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Cimetidine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Cimetidine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Cimetidine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Cimetidine.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Cimetidine.]
[P02CC01, pyrantel, Cimetidine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Cimetidine.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Cimetidine.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Cimetidine.]
[A02BA02, ranitidine, The excretion of Ranitidine can be decreased when combined with Cimetidine.]
[C02AA02, reserpine, The serum concentration of Reserpine can be increased when it is combined with Cimetidine.]
[J05AP01, ribavirin, Cimetidine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[S01XA26, riboflavin, The excretion of Cimetidine can be decreased when combined with Riboflavin.]
[J04AB02, rifampin, Cimetidine can cause a decrease in the absorption of Rifampicin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[S01BC08, salicylic acid, The excretion of Cimetidine can be decreased when combined with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Cimetidine.]
[J01GB08, sisomicin, Cimetidine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Cimetidine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Cimetidine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Cimetidine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Cimetidine.]
[C03DA01, spironolactone, Cimetidine may decrease the excretion rate of Spironolactone which could result in a higher serum level.]
[V09AB03, ioflupane I-123, Cimetidine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Cimetidine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Cimetidine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[V04CH02, indigo carmine, Cimetidine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[N05CC01, chloral hydrate, Cimetidine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The excretion of Valproic acid can be decreased when combined with Cimetidine.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Alendronic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Cimetidine.]
[D10AX03, azelaic acid, Cimetidine may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[A05AA02, ursodiol, Cimetidine may decrease the excretion rate of Ursodeoxycholic acid which could result in a higher serum level.]
[L01CE02, irinotecan, Irinotecan - CYP3A4 inhibitors]
