[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C01CE01, inamrinone, Oxazepam may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Nialamide.]
[C08CA04, nicardipine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C08CA05, nifedipine, Oxazepam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, The metabolism of Oxazepam can be decreased when combined with Niflumic acid.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Nitrazepam.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Oxazepam is combined with Zaleplon.]
[N04BC05, pramipexole, Oxazepam may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Nomifensine.]
[N06AA10, nortriptyline, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Opium is combined with Oxazepam.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N07XX04, sodium oxybate, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[C01DA05, pentaerythritol tetranitrate, Oxazepam may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxazepam.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Oxazepam.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A03AB03, oxyphenonium, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[M03AC01, pancuronium, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Oxazepam may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[G04BD11, fesoterodine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Oxazepam may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Oxazepam.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Oxazepam.]
[L01XX08, pentostatin, Oxazepam may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pergolide.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Perphenazine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Phenazocine is combined with Oxazepam.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Oxazepam.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Phenoperidine is combined with Oxazepam.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Oxazepam is combined with Phenylephrine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Oxazepam.]
[S01AE05, levofloxacin, Oxazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Oxazepam may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pipotiazine.]
[N06BX03, piracetam, Oxazepam may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Piritramide is combined with Oxazepam.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02CX01, pizotyline, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Oxazepam is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Oxazepam is combined with Alosetron.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH03, saxagliptin, Oxazepam may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Prazepam.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Oxazepam.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Oxazepam.]
[M04AB01, probenecid, Oxazepam may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Oxazepam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Oxazepam.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Procarbazine.]
[C10AB05, fenofibrate, Oxazepam may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Oxazepam.]
[N04AA04, procyclidine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[N05AA03, promazine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Oxazepam is combined with Propanidid.]
[A03AB05, propantheline, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Periciazine.]
[N05CM06, propiomazine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Oxazepam.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Oxazepam.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Oxazepam is combined with Rizatriptan.]
[B01AC09, epoprostenol, Oxazepam may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Oxazepam.]
[N05AX12, aripiprazole, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, Oxazepam may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Oxazepam.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Oxazepam is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Mepyramine.]
[C01BA01, quinidine, Oxazepam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Oxazepam.]
[A02BA02, ranitidine, Oxazepam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Oxazepam.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Oxazepam can be decreased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxazepam is combined with Oxitriptan.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01FA02, scopolamine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Oxazepam.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Oxazepam is combined with Selegiline.]
[J01GB08, sisomicin, Oxazepam may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Oxazepam may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Oxazepam may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
