[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluvoxamine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Fluvoxamine.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Fluvoxamine.]
[A07DA01, diphenoxylate, The risk or severity of serotonin syndrome can be increased when Diphenoxylate is combined with Fluvoxamine.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Fluvoxamine.]
[B01AC07, dipyridamole, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Fluvoxamine.]
[B01AD10, drotrecogin alfa, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Quinupramine is combined with Fluvoxamine.]
[A03FA02, cisapride, The metabolism of Fluvoxamine can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Fluvoxamine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Fluvoxamine.]
[S01AX06, resorcinol, Fluvoxamine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Fluvoxamine.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Fluvoxamine.]
[S02AA12, rifamycin SV, The metabolism of Fluvoxamine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Fluvoxamine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Fluvoxamine.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Fluvoxamine.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Levocetirizine is combined with Fluvoxamine.]
[N01BB09, ropivacaine, The serum concentration of Ropivacaine can be increased when it is combined with Fluvoxamine.]
[J01MB01, rosoxacin, The metabolism of Fluvoxamine can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Fluvoxamine.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Fluvoxamine.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Fluvoxamine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Fluvoxamine.]
[J05AE07, fosamprenavir, The metabolism of Fosamprenavir can be decreased when combined with Fluvoxamine.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Fluvoxamine.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Fluvoxamine.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Fluvoxamine.]
[N02BA06, salsalate, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Salsalate.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Fluvoxamine.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Salmon calcitonin can be decreased when used in combination with Fluvoxamine.]
[C01CA07, dobutamine, Fluvoxamine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Fluvoxamine.]
[C01CA04, dopamine, Fluvoxamine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Fluvoxamine.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Fluvoxamine.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Fluvoxamine.]
[J01AA02, doxycycline, Fluvoxamine may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Fluvoxamine.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Fluvoxamine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Fluvoxamine.]
[A12CA02, sodium sulfate, Fluvoxamine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Fluvoxamine.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Fluvoxamine.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Sultopride is combined with Fluvoxamine.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Fluvoxamine.]
[V04CX07, edrophonium, Fluvoxamine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Fluvoxamine.]
[H01AA01, corticotropin, The metabolism of Corticotropin can be decreased when combined with Fluvoxamine.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Fluvoxamine.]
[L01AX03, temozolomide, Fluvoxamine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Fluvoxamine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The metabolism of Terodiline can be decreased when combined with Fluvoxamine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Fluvoxamine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Tetrazepam is combined with Fluvoxamine.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Thiocolchicoside is combined with Fluvoxamine.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Thiopropazate is combined with Fluvoxamine.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Emepronium is combined with Fluvoxamine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Fluvoxamine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Tofisopam is combined with Fluvoxamine.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the serotonergic activities of Fluvoxamine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Fluvoxamine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Fluvoxamine.]
[L02BA02, toremifene, The metabolism of Toremifene can be decreased when combined with Fluvoxamine.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Fluvoxamine.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Loprazolam is combined with Fluvoxamine.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Fluvoxamine.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Triclofos is combined with Fluvoxamine.]
[A03AB08, tridihexethyl, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Triflusal.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Fluvoxamine.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Follitropin can be decreased when used in combination with Fluvoxamine.]
[N04AA12, tropatepine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Troxerutin.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Fluvoxamine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Urapidil is combined with Fluvoxamine.]
[J01MA04, enoxacin, The metabolism of Fluvoxamine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Veralipride is combined with Fluvoxamine.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Fluvoxamine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Fluvoxamine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Barnidipine can be decreased when combined with Fluvoxamine.]
[N05CF02, zolpidem, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Zomepirac.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Fluvoxamine.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Fluvoxamine.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Fluvoxamine.]
[B01AD03, anistreplase, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Anistreplase.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Fluvoxamine.]
[B01AC11, iloprost, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Fluvoxamine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Fluvoxamine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Fluvoxamine.]
[N02CA02, ergotamine, The metabolism of Fluvoxamine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Fluvoxamine.]
[L03AX05, pidotimod, Fluvoxamine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, Erythromycin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Fluvoxamine.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Fluvoxamine.]
[H05BX01, cinacalcet, The metabolism of Fluvoxamine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Fluvoxamine.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Fluvoxamine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Fluvoxamine.]
[J04AK02, ethambutol, Fluvoxamine may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be decreased when combined with Fluvoxamine.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Fluvoxamine.]
[V08CA03, gadodiamide, Fluvoxamine may decrease the excretion rate of Gadodiamide which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Fluvoxamine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Fluvoxamine.]
[C01BD05, ibutilide, Fluvoxamine may decrease the excretion rate of Ibutilide which could result in a higher serum level.]
[N04AA05, profenamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Fluvoxamine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Fluvoxamine.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of serotonin syndrome can be increased when Ethylmorphine is combined with Fluvoxamine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Fluvoxamine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Fluvoxamine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Fluvoxamine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Fluvoxamine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Fluvoxamine.]
[R06AX12, terfenadine, The metabolism of Fluvoxamine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Fluvoxamine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Fluvoxamine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Fluvoxamine.]
[J01MB04, pipemidic acid, The metabolism of Fluvoxamine can be decreased when combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, The metabolism of Fluocinolone acetonide can be decreased when combined with Fluvoxamine.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Fluvoxamine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Fluvoxamine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Dextran.]
[V03AF02, dexrazoxane, Fluvoxamine may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A02BA03, famotidine, The metabolism of Fluvoxamine can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Fluvoxamine may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Fluvoxamine can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Fluvoxamine.]
[C08EA01, fendiline, The metabolism of Fendiline can be decreased when combined with Fluvoxamine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Fenoprofen.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Fluvoxamine.]
[R03CC02, albuterol, Fluvoxamine may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[B01AD05, plasmin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Fibrinolysin.]
[L01BB06, clofarabine, Fluvoxamine may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Fluvoxamine.]
[G04BD02, flavoxate, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Fluvoxamine.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Floctafenine.]
[J01CF05, floxacillin, Fluvoxamine may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Fluvoxamine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Fluvoxamine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The metabolism of Fludrocortisone can be decreased when combined with Fluvoxamine.]
[V03AB25, flumazenil, Fluvoxamine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be decreased when combined with Fluvoxamine.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Fluvoxamine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Fluvoxamine.]
[D07AC08, fluocinonide, The metabolism of Fluocinonide can be decreased when combined with Fluvoxamine.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Melitracen is combined with Fluvoxamine.]
[H02AB03, fluocortolone, The metabolism of Fluocortolone can be decreased when combined with Fluvoxamine.]
[V03AZ01, ethanol, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Fluvoxamine may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Fluvoxamine.]
[N06AB03, fluoxetine, The serum concentration of Fluvoxamine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of adverse effects can be increased when Flupentixol is combined with Fluvoxamine.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Fluvoxamine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Fluvoxamine.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fluspirilene is combined with Fluvoxamine.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Fluvoxamine.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fluvoxamine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Fluvoxamine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Alcuronium is combined with Fluvoxamine.]
[G01AX06, furazolidone, Furazolidone may increase the serotonergic activities of Fluvoxamine.]
[J05AE10, darunavir, The metabolism of Fluvoxamine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Fluvoxamine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Amisulpride is combined with Fluvoxamine.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Fluvoxamine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Gallamine is combined with Fluvoxamine.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be decreased when combined with Fluvoxamine.]
[S01AD09, ganciclovir, Fluvoxamine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Barbexaclone is combined with Fluvoxamine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Bifemelane is combined with Fluvoxamine.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Fluvoxamine.]
[J01XA03, telavancin, Fluvoxamine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Fluvoxamine.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Fluvoxamine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Fluvoxamine.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Liraglutide.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Fluvoxamine.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be decreased when combined with Fluvoxamine.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be decreased when combined with Fluvoxamine.]
[N01AH02, alfentanil, The risk or severity of serotonin syndrome can be increased when Alfentanil is combined with Fluvoxamine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Fluvoxamine.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Fluvoxamine.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Fluvoxamine.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Fluvoxamine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Fluvoxamine.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Fluvoxamine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Fluvoxamine.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Fluvoxamine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Fluvoxamine.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Fluvoxamine.]
[M01CB04, aurothioglucose, Fluvoxamine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Fluvoxamine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Fluindione.]
[C09AA09, fosinopril, Fluvoxamine may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Fluvoxamine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Fluvoxamine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Fluvoxamine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Fluvoxamine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Fluvoxamine.]
[N06BX13, idebenone, Fluvoxamine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Iprazochrome is combined with Fluvoxamine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Fluvoxamine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Allobarbital is combined with Fluvoxamine.]
[M04AA01, allopurinol, Fluvoxamine may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Fluvoxamine.]
[S01XA14, heparin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Heparin.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Fluvoxamine.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Mesalazine.]
[C01CE02, milrinone, Fluvoxamine may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Fluvoxamine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Fluvoxamine.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be decreased when combined with Fluvoxamine.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Nimesulide.]
[C09AA04, perindopril, Fluvoxamine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Fluvoxamine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Fluvoxamine.]
[C03AA02, hydroflumethiazide, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Hydroflumethiazide.]
[B05XA17, potassium acetate, Fluvoxamine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Fluvoxamine may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.]
[G04BD06, propiverine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Fluvoxamine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Prothipendyl is combined with Fluvoxamine.]
[B05AA07, hetastarch, Fluvoxamine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Fluvoxamine.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be decreased when combined with Fluvoxamine.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Ibuprofen.]
[B05XA08, sodium acetate, Fluvoxamine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Fluvoxamine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Fluvoxamine.]
[H01AC02, somatrem, The metabolism of Fluvoxamine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Fluvoxamine.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Fluvoxamine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Fluvoxamine.]
[R01AD07, tixocortol, Fluvoxamine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of hypotension can be increased when Fluvoxamine is combined with Tizanidine.]
[L01CE01, topotecan, Fluvoxamine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Indapamide.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Indomethacin.]
[A11HA07, inositol, Fluvoxamine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Fluvoxamine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Fluvoxamine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Milnacipran.]
