[S02DA03, antipyrine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Antipyrine.]
[G04CA02, tamsulosin, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Tamsulosin.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05BA04, oxazepam, Tadalafil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, Tadalafil may increase the hypotensive activities of Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Tadalafil can be decreased when combined with Oxycodone.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Tadalafil.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Oxymetazoline.]
[S01BC02, oxyphenbutazone, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Oxyphenbutazone.]
[N05AH05, asenapine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Asenapine.]
[J04AB30, capreomycin, Tadalafil may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, Papaverine may increase the hypotensive activities of Tadalafil.]
[H02AB05, paramethasone, The metabolism of Tadalafil can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Tadalafil.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[G04BD11, fesoterodine, Tadalafil may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Tadalafil may increase the hypotensive activities of Penbutolol.]
[J01CE09, penicillin G procaine, Tadalafil may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Tadalafil can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Tadalafil may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Tadalafil.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Tadalafil.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Tadalafil.]
[N03AA02, phenobarbital, The metabolism of Tadalafil can be increased when combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Phenoxybenzamine.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Tadalafil.]
[V03AB36, phentolamine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Phentolamine.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Tadalafil is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may decrease the antihypertensive activities of Tadalafil.]
[N03AB02, phenytoin, The metabolism of Tadalafil can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Tadalafil can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Tadalafil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Tadalafil may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Tadalafil can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Tadalafil.]
[C07AA03, pindolol, Tadalafil may increase the hypotensive activities of Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Tadalafil.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J05AE01, saquinavir, The serum concentration of Tadalafil can be increased when it is combined with Saquinavir.]
[N06BX03, piracetam, Tadalafil may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Tadalafil may increase the hypotensive activities of Eprosartan.]
[S01BC06, piroxicam, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N02CX01, pizotyline, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Pizotifen.]
[J05AG02, delavirdine, The serum concentration of Tadalafil can be increased when it is combined with Delavirdine.]
[C09CA04, irbesartan, Tadalafil may increase the hypotensive activities of Irbesartan.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L04AC08, canakinumab, The metabolism of Tadalafil can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Tadalafil can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Tadalafil can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Tadalafil may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C07AB01, practolol, Tadalafil may increase the hypotensive activities of Practolol.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Tadalafil.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Tadalafil.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[P01BA03, primaquine, The metabolism of Tadalafil can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Tadalafil can be increased when combined with Primidone.]
[M04AB01, probenecid, Tadalafil may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Tadalafil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Tadalafil.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Tadalafil.]
[C10AB05, fenofibrate, Tadalafil may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, The metabolism of Tadalafil can be decreased when combined with Progesterone.]
[N05AA03, promazine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Promazine.]
[R06AD02, promethazine, Tadalafil may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, Propafenone may decrease the antihypertensive activities of Tadalafil.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05AC01, periciazine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Periciazine.]
[N05CM06, propiomazine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Tadalafil.]
[N01AX10, propofol, Propofol may decrease the antihypertensive activities of Tadalafil.]
[C07AA05, propranolol, Propranolol may increase the hypotensive activities of Tadalafil.]
[N02CC04, rizatriptan, Rizatriptan may decrease the antihypertensive activities of Tadalafil.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Tadalafil.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Tadalafil.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Tadalafil.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Tadalafil.]
[N07XX07, dalfampridine, Tadalafil may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Tadalafil may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Tadalafil.]
[C01BA01, quinidine, Tadalafil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, Quinine may increase the hypotensive activities of Tadalafil.]
[A02BA02, ranitidine, Tadalafil may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Tadalafil.]
[C02AA02, reserpine, The metabolism of Tadalafil can be increased when combined with Reserpine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Tadalafil can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Tadalafil.]
[G02CA01, ritodrine, Ritodrine may decrease the antihypertensive activities of Tadalafil.]
[N02BA05, salicylamide, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Tadalafil.]
[L01FA03, obinutuzumab, Tadalafil may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Tadalafil may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Tadalafil may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Tadalafil may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, Sotalol may increase the hypotensive activities of Tadalafil.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Tadalafil.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Tadalafil may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Tadalafil.]
[C01DA14, isosorbide mononitrate, Tadalafil may increase the vasodilatory activities of Isosorbide mononitrate.]
[H02CA04, levoketoconazole, The serum concentration of Tadalafil can be increased when it is combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
