[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Sertraline.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Sertraline.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Sertraline.]
[C02KX01, bosentan, The metabolism of Sertraline can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Sertraline.]
[R05DA07, noscapine, The metabolism of Sertraline can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Sertraline is combined with Eptifibatide.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Sertraline is combined with Reviparin.]
[H01CB02, octreotide, The risk or severity of hypoglycemia can be increased when Octreotide is combined with Sertraline.]
[L04AC04, rilonacept, The metabolism of Sertraline can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Sertraline can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Opipramol is combined with Sertraline.]
[N02AA02, opium, The risk or severity of serotonin syndrome can be increased when Opium is combined with Sertraline.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Sertraline is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Sertraline is combined with Ancrod.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Sertraline.]
[P02BA02, oxamniquine, The metabolism of Sertraline can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Sertraline can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Sertraline.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Sertraline.]
[N02AA05, oxycodone, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Sertraline.]
[N02AA11, oxymorphone, The risk or severity of serotonin syndrome can be increased when Oxymorphone is combined with Sertraline.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Oxypertine is combined with Sertraline.]
[S01BC02, oxyphenbutazone, The risk or severity of bleeding can be increased when Oxyphenbutazone is combined with Sertraline.]
[A03AB03, oxyphenonium, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Asenapine is combined with Sertraline.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Sertraline is combined with Danaparoid.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Sertraline.]
[N05CC05, paraldehyde, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Pargyline.]
[G04BD11, fesoterodine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Sertraline.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Penfluridol is combined with Sertraline.]
[N02AD01, pentazocine, The risk or severity of serotonin syndrome can be increased when Pentazocine is combined with Sertraline.]
[N05CA01, pentobarbital, The metabolism of Sertraline can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Sertraline is combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Perazine is combined with Sertraline.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Sertraline.]
[C08EX02, perhexiline, The metabolism of Sertraline can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Sertraline.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Sertraline.]
[N02AD02, phenazocine, The risk or severity of serotonin syndrome can be increased when Phenazocine is combined with Sertraline.]
[N06AF03, phenelzine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Phenelzine.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Sertraline is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Sertraline.]
[N01AH04, phenoperidine, The risk or severity of serotonin syndrome can be increased when Phenoperidine is combined with Sertraline.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Sertraline is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Sertraline.]
[M02AA01, phenylbutazone, The risk or severity of bleeding can be increased when Phenylbutazone is combined with Sertraline.]
[A02BC06, dexlansoprazole, The metabolism of Sertraline can be decreased when combined with Dexlansoprazole.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Sertraline.]
[L04AB06, golimumab, The metabolism of Sertraline can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Sertraline can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, Sertraline may increase the arrhythmogenic activities of Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Sertraline.]
[J05AE01, saquinavir, The metabolism of Sertraline can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Sertraline.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Pipotiazine is combined with Sertraline.]
[A02BX03, pirenzepine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of serotonin syndrome can be increased when Piritramide is combined with Sertraline.]
[S01BC06, piroxicam, The risk or severity of bleeding can be increased when Piroxicam is combined with Sertraline.]
[N02CX01, pizotyline, The risk or severity of adverse effects can be increased when Pizotifen is combined with Sertraline.]
[J05AG02, delavirdine, The metabolism of Sertraline can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Sertraline.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Proxibarbal is combined with Sertraline.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Sertraline is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Sertraline is combined with Alteplase.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Rosiglitazone.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Sertraline.]
[L04AC08, canakinumab, The metabolism of Sertraline can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of hyponatremia can be increased when Sertraline is combined with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Sertraline can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Saxagliptin.]
[V03AB21, potassium iodide, The therapeutic efficacy of Potassium Iodide can be decreased when used in combination with Sertraline.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Sertraline.]
[C07AB01, practolol, The serum concentration of Practolol can be increased when it is combined with Sertraline.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Sertraline.]
[P02BA01, praziquantel, The metabolism of Sertraline can be decreased when combined with Praziquantel.]
[M02AA16, feprazone, The risk or severity of bleeding can be increased when Feprazone is combined with Sertraline.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Sertraline.]
[P01BA03, primaquine, The metabolism of Sertraline can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Sertraline can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Sertraline can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Sertraline.]
[S01HA05, procaine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Sertraline can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Sertraline.]
[N04AA04, procyclidine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Sertraline can be decreased when combined with Progesterone.]
[N05AA03, promazine, The risk or severity of adverse effects can be increased when Promazine is combined with Sertraline.]
[R06AD02, promethazine, The risk or severity of adverse effects can be increased when Promethazine is combined with Sertraline.]
[C01BC03, propafenone, Sertraline may increase the QTc-prolonging activities of Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Propanidid is combined with Sertraline.]
[A03AB05, propantheline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Sertraline.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Sertraline.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Sertraline.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Sertraline.]
[N02AC04, propoxyphene, The risk or severity of serotonin syndrome can be increased when Dextropropoxyphene is combined with Sertraline.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Sertraline.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Sertraline.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Sertraline.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Sertraline is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Sertraline.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Sertraline.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Sertraline.]
[N05AX12, aripiprazole, The serum concentration of Aripiprazole can be increased when it is combined with Sertraline.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Sertraline is combined with Dalfampridine.]
[A03AB15, diphemanil, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Sertraline.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Vinbarbital is combined with Sertraline.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Captodiame is combined with Sertraline.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Styramate is combined with Sertraline.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Pyrantel is combined with Sertraline.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Mepyramine is combined with Sertraline.]
[C01BA01, quinidine, The metabolism of Sertraline can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Sertraline can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Sertraline can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Sertraline.]
[J04AB02, rifampin, The metabolism of Sertraline can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Sertraline.]
[N02BA05, salicylamide, The risk or severity of bleeding can be increased when Salicylamide is combined with Sertraline.]
[A07EC01, sulfasalazine, The risk or severity of bleeding can be increased when Sulfasalazine is combined with Sertraline.]
[S01BC08, salicylic acid, The risk or severity of bleeding can be increased when Salicylic acid is combined with Sertraline.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Sertraline.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Sertraline.]
[N04BD01, selegiline, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Selegiline.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Sertraline.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Sertraline.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Sertraline.]
[H02CA04, levoketoconazole, The metabolism of Sertraline can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AF04, tranylcypromine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AF01, isocarboxazid, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AF03, phenelzine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[L01XB01, procarbazine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N04BD01, selegiline, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
