[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nifedipine.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Nifedipine.]
[M03AA01, alcuronium, Nifedipine may increase the neuromuscular blocking activities of Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Nifedipine.]
[J05AE10, darunavir, The serum concentration of Nifedipine can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Nifedipine.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Nifedipine.]
[M03AC02, gallamine, Nifedipine may increase the neuromuscular blocking activities of Gallamine.]
[C08DA02, gallopamil, Nifedipine may increase the arrhythmogenic activities of Gallopamil.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Nifedipine.]
[C10AB04, gemfibrozil, The metabolism of Nifedipine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Nifedipine.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Nifedipine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Nifedipine.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Liraglutide.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Nifedipine can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Nifedipine can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, Nifedipine may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, Alfentanil may increase the bradycardic activities of Nifedipine.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Nifedipine.]
[A10BB01, glyburide, Glyburide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Gliclazide.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The metabolism of Nifedipine can be decreased when combined with Dexmedetomidine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Nifedipine.]
[C05AE01, nitroglycerin, Nifedipine may increase the vasodilatory activities of Nitroglycerin.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Nifedipine.]
[C02CA04, doxazosin, The serum concentration of Doxazosin can be decreased when it is combined with Nifedipine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Nifedipine.]
[C07AB09, esmolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Esmolol.]
[M01CB04, aurothioglucose, Nifedipine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Nifedipine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, The risk or severity of adverse effects can be increased when Fosinopril is combined with Nifedipine.]
[S01EX01, guanethidine, Nifedipine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Nifedipine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Nifedipine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Nifedipine.]
[N05AH04, quetiapine, The risk or severity of hypotension can be increased when Quetiapine is combined with Nifedipine.]
[N06BX13, idebenone, Nifedipine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Insulin aspart.]
[L01CE02, irinotecan, The metabolism of Nifedipine can be decreased when combined with Irinotecan.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C09CA01, losartan, Losartan may increase the arrhythmogenic activities of Nifedipine.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Heparin is combined with Nifedipine.]
[B05CB03, magnesium citrate, The risk or severity of hypotension can be increased when Magnesium citrate is combined with Nifedipine.]
[A12CC03, magnesium gluconate, The risk or severity of hypotension can be increased when Magnesium gluconate is combined with Nifedipine.]
[G03DC01, allylestrenol, Nifedipine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of hyperkalemia can be increased when Mesalazine is combined with Nifedipine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Nifedipine.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Nifedipine.]
[J05AG01, nevirapine, The metabolism of Nifedipine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, Nifedipine may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Nifedipine may increase the arrhythmogenic activities of Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Oxatomide.]
[C09AA04, perindopril, The risk or severity of adverse effects can be increased when Perindopril is combined with Nifedipine.]
[C02DB02, hydralazine, The risk or severity of adverse effects can be increased when Nifedipine is combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[S02BA01, hydrocortisone, The metabolism of Nifedipine can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Nifedipine.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Nifedipine.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Nifedipine.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of hypotension can be increased when Propiverine is combined with Nifedipine.]
[P01BA02, hydroxychloroquine, The metabolism of Nifedipine can be decreased when combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Nifedipine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Hydroxyzine.]
[C02AC06, rilmenidine, Nifedipine may increase the hypotensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hyperkalemia can be increased when Ibuprofen is combined with Nifedipine.]
[B05XA08, sodium acetate, Nifedipine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Nifedipine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Nifedipine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Nifedipine.]
[H01AC02, somatrem, The metabolism of Nifedipine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Nifedipine.]
[N06AA02, imipramine, The metabolism of Nifedipine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Nifedipine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Terlipressin.]
[R01AD07, tixocortol, Nifedipine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The metabolism of Nifedipine can be decreased when combined with Tizanidine.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C02CA02, indoramin, The risk or severity of hypotension can be increased when Indoramin is combined with Nifedipine.]
[A11HA07, inositol, Nifedipine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Nifedipine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Nifedipine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Nifedipine.]
[S01XA28, varenicline, Nifedipine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Sitagliptin.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Nifedipine can be decreased when combined with Ramelteon.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Nifedipine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Vildagliptin.]
[C10AA06, cerivastatin, Cerivastatin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The metabolism of Nifedipine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, Nifedipine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Nifedipine.]
[J05AB13, penciclovir, The metabolism of Nifedipine can be decreased when combined with Penciclovir.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Nifedipine.]
[C09AA16, imidapril, The risk or severity of adverse effects can be increased when Nifedipine is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Nifedipine.]
[N04BX02, entacapone, The metabolism of Nifedipine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Nifedipine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Nifedipine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Exenatide.]
[C01DA14, isosorbide mononitrate, Nifedipine may increase the vasodilatory activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, Nifedipine may increase the vasodilatory activities of Isosorbide dinitrate.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Nifedipine is combined with Isoxsuprine.]
[N06AX18, reboxetine, The metabolism of Nifedipine can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Nifedipine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Nifedipine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Nifedipine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Nifedipine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02KD01, ketanserin, Nifedipine may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Nifedipine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Nifedipine can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Nifedipine can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The risk or severity of hypotension can be increased when Olanzapine is combined with Nifedipine.]
[M02AA10, ketoprofen, The risk or severity of hyperkalemia can be increased when Ketoprofen is combined with Nifedipine.]
[V03AC03, deferasirox, The serum concentration of Nifedipine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Nifedipine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Nifedipine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Nifedipine.]
[M01AE11, tiaprofenic acid, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Nifedipine.]
[C02AA05, deserpidine, Nifedipine may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Nifedipine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Nifedipine.]
[N03AX18, lacosamide, Nifedipine may increase the bradycardic activities of Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[A05AA02, ursodiol, Nifedipine may decrease the excretion rate of Ursodeoxycholic acid which could result in a higher serum level.]
[G03AD01, levonorgestrel, The metabolism of Nifedipine can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Nifedipine is combined with Levodopa.]
[C08EX01, lidoflazine, Nifedipine may increase the arrhythmogenic activities of Lidoflazine.]
[S01AA21, amikacin, Nifedipine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Nifedipine can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Nifedipine.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Nifedipine can be decreased when combined with Lisuride.]
[A07DA03, loperamide, Loperamide may increase the arrhythmogenic activities of Nifedipine.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Nifedipine can be decreased when used in combination with Calcium pangamate.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Nifedipine can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Nifedipine.]
[B05XA11, magnesium chloride, The risk or severity of hypotension can be increased when Magnesium chloride is combined with Nifedipine.]
[G04BX01, magnesium hydroxide, The risk or severity of hypotension can be increased when Magnesium hydroxide is combined with Nifedipine.]
[A12CC10, magnesium oxide, The risk or severity of hypotension can be increased when Magnesium oxide is combined with Nifedipine.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the arrhythmogenic activities of Nifedipine.]
[L01BA05, pralatrexate, Nifedipine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Nifedipine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Nifedipine can be decreased when combined with Maprotiline.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Nifedipine.]
[R06AE05, meclizine, The metabolism of Nifedipine can be decreased when combined with Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of hyperkalemia can be increased when Meclofenamic acid is combined with Nifedipine.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Nifedipine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Nifedipine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Nifedipine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Dalteparin.]
[N05CH01, melatonin, The therapeutic efficacy of Nifedipine can be decreased when used in combination with Melatonin.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Nifedipine can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Nifedipine.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[G04BX16, tiopronin, Nifedipine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Mesoridazine is combined with Nifedipine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Paliperidone.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Metformin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Nifedipine.]
[H01CB03, lanreotide, Nifedipine may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Nifedipine.]
[N06BA03, methamphetamine, Nifedipine may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Nifedipine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Nifedipine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Nifedipine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N02BG08, ziconotide, Nifedipine may increase the arrhythmogenic activities of Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The metabolism of Nifedipine can be decreased when combined with Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Nifedipine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Nifedipine can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Nifedipine.]
[C02AB01, methyldopa, The risk or severity of adverse effects can be increased when Methyldopa is combined with Nifedipine.]
[V04CG05, methylene blue, Methylene blue may increase the orthostatic hypotensive activities of Nifedipine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Nifedipine.]
[G03EK01, methyltestosterone, Nifedipine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The metabolism of Nifedipine can be decreased when combined with Metoclopramide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01AB01, metronidazole, The metabolism of Nifedipine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Nifedipine can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Nifedipine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Nifedipine.]
[S02AA13, miconazole, The metabolism of Nifedipine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Nifedipine.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Parnaparin.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C01CA17, midodrine, Midodrine may increase the bradycardic activities of Nifedipine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Tinzaparin.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Nifedipine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C09CA03, valsartan, The risk or severity of adverse effects can be increased when Valsartan is combined with Nifedipine.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Minoxidil is combined with Nifedipine.]
[L01XX23, mitotane, The metabolism of Nifedipine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Nifedipine can be decreased when combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Nifedipine.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Amiodarone is combined with Nifedipine.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Nifedipine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Nifedipine.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Nifedipine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Nifedipine.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Ammonium chloride.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Pazopanib.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M03AC03, vecuronium, Nifedipine may increase the neuromuscular blocking activities of Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Nifedipine.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Nifedipine.]
[G04CA04, silodosin, The risk or severity of hypotension can be increased when Silodosin is combined with Nifedipine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Nifedipine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Nifedipine.]
[L03AB08, interferon beta-1b, The metabolism of Nifedipine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Nadolol.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Nifedipine is combined with Ropinirole.]
[J01CF06, nafcillin, The therapeutic efficacy of Nifedipine can be decreased when used in combination with Nafcillin.]
[V03AB15, naloxone, The metabolism of Nifedipine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Nifedipine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Nifedipine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Nifedipine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Nifedipine.]
[L02BG04, letrozole, The metabolism of Nifedipine can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Nifedipine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Nifedipine.]
[A10BX02, repaglinide, Repaglinide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C01CX08, levosimendan, Levosimendan may increase the arrhythmogenic activities of Nifedipine.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Iloperidone.]
[J02AA01, amphotericin B, Nifedipine may decrease the nephrotoxic activities of Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L03AX16, plerixafor, Nifedipine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Nifedipine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Nifedipine can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C01CE01, inamrinone, Nifedipine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Nifedipine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Nifedipine.]
[C08CA04, nicardipine, Nicardipine may increase the arrhythmogenic activities of Nifedipine.]
[C04AE02, nicergoline, The risk or severity of hypotension can be increased when Nicergoline is combined with Nifedipine.]
[P02DA01, niclosamide, The metabolism of Nifedipine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Nifedipine can be decreased when combined with Nicotine.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Nifedipine.]
[C01DA05, pentaerythritol tetranitrate, Nifedipine may increase the vasodilatory activities of Pentaerythritol tetranitrate.]
[M02AA17, niflumic acid, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Niflumic acid.]
[V03AB22, amyl nitrite, Nifedipine may increase the vasodilatory activities of Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the arrhythmogenic activities of Nifedipine.]
[C08CA07, nisoldipine, Nisoldipine may increase the arrhythmogenic activities of Nifedipine.]
[C08CA08, nitrendipine, Nitrendipine may increase the arrhythmogenic activities of Nifedipine.]
