[S02DA03, antipyrine, The metabolism of Perampanel can be decreased when combined with Antipyrine.]
[N05AC04, pipothiazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pipotiazine.]
[A02BX03, pirenzepine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Piritramide.]
[J01MA11, grepafloxacin, The metabolism of Perampanel can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Perampanel can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Proxibarbal.]
[A03AE01, alosetron, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Alosetron.]
[L04AC08, canakinumab, The metabolism of Perampanel can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Perampanel can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Perampanel can be decreased when combined with Saxagliptin.]
[N05BA11, prazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Prazepam.]
[P02BA01, praziquantel, The metabolism of Perampanel can be decreased when combined with Praziquantel.]
[S03BA02, prednisolone, The metabolism of Perampanel can be increased when combined with Prednisolone.]
[N01BB04, prilocaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Prilocaine.]
[P01BA03, primaquine, The metabolism of Perampanel can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Perampanel can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Perampanel can be increased when combined with Probenecid.]
[S01HA05, procaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[L01XB01, procarbazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Perampanel.]
[N05AB04, prochlorperazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[N04AA04, procyclidine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Perampanel can be increased when combined with Progesterone.]
[N05AA03, promazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Perampanel can be decreased when combined with Propafenone.]
[N01AX04, propanidid, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Propanidid.]
[A03AB05, propantheline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Periciazine.]
[N05CM06, propiomazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Perampanel.]
[N01AX10, propofol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[N02AC04, propoxyphene, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Perampanel can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Rizatriptan.]
[N06AA11, protriptyline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Protriptyline.]
[N05AX12, aripiprazole, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Talbutal.]
[N05CA09, vinbarbital, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vinbarbital.]
[N05BB02, captodiamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Captodiame.]
[M03BA04, styramate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Styramate.]
[P02CC01, pyrantel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pyrantel.]
[R06AC01, pyrilamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mepyramine.]
[P01AX05, quinacrine, The metabolism of Perampanel can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Perampanel.]
[P01BC01, quinine, The metabolism of Perampanel can be increased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Perampanel can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Reserpine.]
[J04AB02, rifampin, The metabolism of Perampanel can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxitriptan.]
[S01FA02, scopolamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Perampanel can be increased when combined with Secobarbital.]
[N04BD01, selegiline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Perampanel.]
[N03AG01, valproic acid, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Perampanel can be increased when combined with Hydrocortisone butyrate.]
