[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Morphine.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Morphine is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Morphine is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Morphine.]
[J05AE01, saquinavir, The metabolism of Morphine can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of hypotension and CNS depression can be increased when Pipotiazine is combined with Morphine.]
[C09CA02, eprosartan, The risk or severity of adverse effects can be increased when Morphine is combined with Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Morphine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Morphine is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Morphine.]
[N02CX01, pizotyline, The risk or severity of adverse effects can be increased when Pizotifen is combined with Morphine.]
[J05AG02, delavirdine, The metabolism of Morphine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Morphine can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Morphine is combined with Proxibarbal.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Morphine.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Morphine.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Morphine.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Morphine.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Morphine is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Morphine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Polythiazide can be decreased when used in combination with Morphine.]
[J05AE03, ritonavir, The serum concentration of Morphine can be increased when it is combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Morphine.]
[C07AB01, practolol, Morphine may increase the hypotensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Prazepam.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Morphine is combined with Prazosin.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Morphine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Morphine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Morphine.]
[M04AB01, probenecid, The metabolism of Morphine can be decreased when combined with Probenecid.]
[S01HA05, procaine, Procaine may increase the analgesic activities of Morphine.]
[L01XB01, procarbazine, Procarbazine may increase the analgesic activities of Morphine.]
[C10AB05, fenofibrate, The metabolism of Morphine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Morphine.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Morphine.]
[N05AA03, promazine, The risk or severity of adverse effects can be increased when Promazine is combined with Morphine.]
[R06AD02, promethazine, The risk or severity of adverse effects can be increased when Promethazine is combined with Morphine.]
[C01BC03, propafenone, The serum concentration of Morphine can be increased when it is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Morphine is combined with Propanidid.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Morphine.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Morphine.]
[N05AC01, periciazine, The risk or severity of hypotension and CNS depression can be increased when Periciazine is combined with Morphine.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Morphine.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Morphine.]
[N01AX10, propofol, Morphine may increase the sedative activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Morphine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The risk or severity of adverse effects can be increased when Morphine is combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Morphine is combined with Rizatriptan.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Morphine is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Morphine.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Morphine is combined with Protriptyline.]
[R01BA02, pseudoephedrine, Pseudoephedrine may increase the analgesic activities of Morphine.]
[N05AX12, aripiprazole, The risk or severity of adverse effects can be increased when Aripiprazole is combined with Morphine.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Diphemanil is combined with Morphine.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Isopropamide is combined with Morphine.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Methscopolamine is combined with Morphine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Morphine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Morphine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Morphine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Morphine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Morphine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Morphine is combined with Mepyramine.]
[P01BD01, pyrimethamine, The metabolism of Morphine can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The risk or severity of adverse effects can be increased when Quinidine is combined with Morphine.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Morphine is combined with Quinine.]
[C02AA01, rescinnamine, Morphine may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Morphine.]
[J04AB02, rifampin, The metabolism of Morphine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Morphine is combined with Oxitriptan.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Morphine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Morphine.]
[N04BD01, selegiline, Selegiline may increase the analgesic activities of Morphine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Morphine is combined with Obinutuzumab.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Morphine.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Morphine is combined with Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Morphine.]
[C03DA01, spironolactone, The metabolism of Morphine can be decreased when combined with Spironolactone.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Ipratropium is combined with Morphine.]
