[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[L01EX19, ripretinib, Ripretinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[V08CA05, mangafodipir, Lamivudine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AX29, fostemsavir, Fostemsavir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[P01BA01, chloroquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Lamivudine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The serum concentration of Lamivudine can be increased when it is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02BA03, choline salicylate, The serum concentration of Lamivudine can be increased when it is combined with Choline salicylate.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Etofibrate.]
[M01AX25, chondroitin sulfates, Lamivudine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[J05AJ04, cabotegravir, The excretion of Lamivudine can be decreased when combined with Cabotegravir.]
[L01EX21, tepotinib, Tepotinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[V03AF12, trilaciclib, The serum concentration of Lamivudine can be increased when it is combined with Trilaciclib.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C01CA19, fenoldopam, Lamivudine may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01JA01, fluorescein, The excretion of Lamivudine can be decreased when combined with Fluorescein.]
[N02BG07, flupirtine, Lamivudine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of adverse effects can be increased when Formoterol is combined with Lamivudine.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A02BA01, cimetidine, The serum concentration of Lamivudine can be increased when it is combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01MB06, cinoxacin, The excretion of Lamivudine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Lamivudine can be increased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Lamivudine.]
[L01XA01, cisplatin, Lamivudine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, Belumosudil may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[P01CA03, fexinidazole, The serum concentration of Lamivudine can be increased when it is combined with Fexinidazole.]
[V09AB03, ioflupane I-123, Lamivudine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Lamivudine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Lamivudine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J04BA01, clofazimine, Clofazimine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Clofibrate is combined with Lamivudine.]
[N01BB10, levobupivacaine, Lamivudine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[L01EJ03, pacritinib, The serum concentration of Lamivudine can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, Lamivudine may decrease the excretion rate of Clomipramine which could result in a higher serum level.]
[N03AE01, clonazepam, Lamivudine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J02AC06, oteseconazole, The serum concentration of Lamivudine can be increased when it is combined with Oteseconazole.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Clozapine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01GB12, arbekacin, Lamivudine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Lamivudine.]
[M04AC01, colchicine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Colchicine.]
[J01XB01, colistin, Lamivudine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Leflunomide.]
[A04AA03, tropisetron, Lamivudine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Lamivudine may decrease the excretion rate of Nateglinide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AB14, valganciclovir, The risk or severity of cytopenia can be increased when Valganciclovir is combined with Lamivudine.]
[C05BB03, invert sugar, Lamivudine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Lamivudine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Lamivudine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Lamivudine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Lamivudine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02CC05, almotriptan, Lamivudine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J02AC02, itraconazole, Itraconazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Acyclovir is combined with Lamivudine.]
[N05BA10, ketazolam, Lamivudine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EA01, imatinib, Imatinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AX09, lamotrigine, The serum concentration of Lamivudine can be increased when it is combined with Lamotrigine.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Lamivudine.]
[N07BC04, lofexidine, Lamivudine may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C09AA03, lisinopril, Lamivudine may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Lamivudine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Mebeverine.]
[J01DH02, meropenem, Lamivudine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Lamivudine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C10AA07, rosuvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Cytarabine.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01AX04, dacarbazine, Lamivudine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N07BB05, nalmefene, Lamivudine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Lamivudine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, Lamivudine may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Lamivudine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06AA01, desipramine, The serum concentration of Lamivudine can be increased when it is combined with Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[V04CH02, indigo carmine, Lamivudine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S03BA01, dexamethasone, Dexamethasone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B01AC04, clopidogrel, The serum concentration of Lamivudine can be increased when it is combined with Clopidogrel.]
[P03AC04, permethrin, Lamivudine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Lamivudine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R05DA08, pholcodine, Lamivudine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A03AA07, dicyclomine, Lamivudine may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Lamivudine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[L01EB02, erlotinib, Erlotinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[D07XC04, diflucortolone, Lamivudine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C01AA05, digoxin, Lamivudine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Lamivudine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Lamivudine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[V03AB09, dimercaprol, Lamivudine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Lamivudine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G02AD02, dinoprostone, The serum concentration of Lamivudine can be increased when it is combined with Dinoprostone.]
[R06AA02, diphenhydramine, The serum concentration of Lamivudine can be increased when it is combined with Diphenhydramine.]
[S01AX06, resorcinol, Lamivudine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The serum concentration of Lamivudine can be increased when it is combined with Disopyramide.]
[R06AE09, levocetirizine, Lamivudine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EX01, sunitinib, Sunitinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Lamivudine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C01EB18, ranolazine, The serum concentration of Lamivudine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R03AC12, salmeterol, The serum concentration of Lamivudine can be increased when it is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C01CA07, dobutamine, Lamivudine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA04, dopamine, The serum concentration of Lamivudine can be increased when it is combined with Dopamine.]
[N06AA12, doxepin, Lamivudine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A08AA10, sibutramine, Lamivudine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Simvastatin is combined with Lamivudine.]
[A12CA02, sodium sulfate, Lamivudine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[V04CX07, edrophonium, Lamivudine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[J01CG02, tazobactam, The excretion of Lamivudine can be decreased when combined with Tazobactam.]
[L01AX03, temozolomide, Lamivudine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[D01BA02, terbinafine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Terbinafine.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Lamivudine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06AG03, toloxatone, Lamivudine may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Lamivudine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA01, epinephrine, The serum concentration of Lamivudine can be increased when it is combined with Epinephrine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lamivudine.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Iloprost.]
[N03AG01, valproic acid, The excretion of Lamivudine can be decreased when combined with Valproic acid.]
[L03AX05, pidotimod, Lamivudine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Lamivudine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C10AA04, fluvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L04AD02, tacrolimus, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Tacrolimus.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Lamivudine.]
[P01AX07, trimetrexate, Lamivudine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The excretion of Lamivudine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Lamivudine.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Lamivudine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Lamivudine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A02BA03, famotidine, The serum concentration of Lamivudine can be increased when it is combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02AB03, fentanyl, Lamivudine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Lamivudine may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Lamivudine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G04BD02, flavoxate, Lamivudine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J02AX01, flucytosine, Lamivudine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Lamivudine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05CD01, flurazepam, The serum concentration of Lamivudine can be increased when it is combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S02AA17, fosfomycin, Lamivudine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01BC03, tegafur, Lamivudine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Lamivudine.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01AD09, ganciclovir, The risk or severity of cytopenia can be increased when Ganciclovir is combined with Lamivudine.]
[C10AB04, gemfibrozil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Gemfibrozil.]
[J01XA03, telavancin, Lamivudine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, Dasatinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A10BB01, glyburide, The excretion of Lamivudine can be decreased when combined with Glyburide.]
[A10BB07, glipizide, Lamivudine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Lamivudine.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01CB04, aurothioglucose, Lamivudine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Lamivudine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EX01, guanethidine, Lamivudine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05AH04, quetiapine, Lamivudine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Lamivudine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C09CA01, losartan, The excretion of Lamivudine can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Lamivudine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C09AA04, perindopril, Lamivudine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Lamivudine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Lamivudine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G04BD06, propiverine, Lamivudine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[B05AA07, hetastarch, Lamivudine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Risedronic acid.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B05XA08, sodium acetate, Lamivudine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Lamivudine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
