[P02BB01, trichlorfon, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Metrifonate.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[G04BD01, emepronium, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C09AA02, enalapril, Quetiapine may increase the hypotensive activities of Enalapril.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Quetiapine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Quetiapine.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Quetiapine.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Quetiapine is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Toremifene.]
[C03CA04, torsemide, Quetiapine may increase the hypotensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Quetiapine is combined with Tramazoline.]
[C09AA10, trandolapril, Quetiapine may increase the hypotensive activities of Trandolapril.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A03AB08, tridihexethyl, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Quetiapine.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Quetiapine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Quetiapine.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C02CA06, urapidil, Quetiapine may increase the hypotensive activities of Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Quetiapine.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01CA04, vinorelbine, The metabolism of Quetiapine can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Quetiapine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Quetiapine is combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Quetiapine.]
[S01GA03, xylometazoline, The therapeutic efficacy of Xylometazoline can be decreased when used in combination with Quetiapine.]
[C08CA12, mepirodipine, The risk or severity of hypotension can be increased when Quetiapine is combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Quetiapine.]
[C09AA15, zofenopril, Quetiapine may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Quetiapine is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Quetiapine.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C02AC02, guanfacine, Quetiapine may increase the hypotensive activities of Guanfacine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Iloprost is combined with Quetiapine.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Quetiapine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CA02, ergotamine, The serum concentration of Quetiapine can be increased when it is combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Valproic acid.]
[L03AX05, pidotimod, Quetiapine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Quetiapine.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Quetiapine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[R03BA05, fluticasone, The metabolism of Quetiapine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Quetiapine can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Quetiapine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L02AA03, ethinyl estradiol, The metabolism of Quetiapine can be decreased when combined with Ethinylestradiol.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Amifostine is combined with Quetiapine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Quetiapine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Quetiapine.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Quetiapine.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Quetiapine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Quetiapine.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Quetiapine.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Quetiapine.]
[A02BA04, nizatidine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Quetiapine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Quetiapine.]
[R06AX12, terfenadine, The serum concentration of Quetiapine can be increased when it is combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Quetiapine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Quetiapine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Quetiapine.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Quetiapine.]
[M01CB01, gold sodium thiomalate, Quetiapine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Quetiapine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Quetiapine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C08CA02, felodipine, Quetiapine may increase the hypotensive activities of Felodipine.]
[C08EA01, fendiline, The risk or severity of hypotension can be increased when Quetiapine is combined with Fendiline.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Quetiapine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Quetiapine.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Quetiapine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Quetiapine is combined with Fentanyl.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Quetiapine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Quetiapine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[G04BD02, flavoxate, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Quetiapine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Quetiapine is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Quetiapine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[D07AC08, fluocinonide, The metabolism of Quetiapine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[H02AB03, fluocortolone, The metabolism of Quetiapine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Quetiapine.]
[N06AB03, fluoxetine, The serum concentration of Quetiapine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Flupentixol.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Quetiapine.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Quetiapine.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Quetiapine.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Quetiapine.]
[J05AE10, darunavir, The serum concentration of Quetiapine can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Quetiapine may increase the hypotensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Quetiapine is combined with Eszopiclone.]
[N05AL05, amisulpride, Quetiapine may increase the antipsychotic activities of Amisulpride.]
[N06DA04, galantamine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Galantamine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C08DA02, gallopamil, The risk or severity of hypotension can be increased when Quetiapine is combined with Gallopamil.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C10AB04, gemfibrozil, Quetiapine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Quetiapine.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Quetiapine.]
[N04BC06, cabergoline, The therapeutic efficacy of Cabergoline can be decreased when used in combination with Quetiapine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Quetiapine.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Quetiapine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Quetiapine.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Quetiapine.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Quetiapine.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Quetiapine.]
[H04AA01, glucagon, Quetiapine may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Quetiapine.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Quetiapine.]
[C05AE01, nitroglycerin, Quetiapine may increase the hypotensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Dofetilide.]
[C02CA04, doxazosin, Quetiapine may increase the hypotensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Quetiapine.]
[C07AB09, esmolol, Quetiapine may increase the hypotensive activities of Esmolol.]
[M01CB04, aurothioglucose, Quetiapine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Quetiapine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Quetiapine is combined with Fluindione.]
[C09AA09, fosinopril, Quetiapine may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Quetiapine may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Quetiapine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Quetiapine.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Quetiapine.]
[N07XX04, sodium oxybate, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Quetiapine.]
[C01DA05, pentaerythritol tetranitrate, Quetiapine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Quetiapine can be decreased when combined with Fluticasone furoate.]
[N06BX13, idebenone, Quetiapine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Quetiapine.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01CE02, irinotecan, The metabolism of Quetiapine can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C09CA01, losartan, Quetiapine may increase the hypotensive activities of Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Quetiapine.]
[G03DC01, allylestrenol, Quetiapine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Quetiapine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Quetiapine.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Quetiapine.]
[J05AG01, nevirapine, The metabolism of Quetiapine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, Quetiapine may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypotension can be increased when Quetiapine is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Oxatomide.]
[C09AA04, perindopril, Quetiapine may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Quetiapine may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Quetiapine may increase the hypotensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Quetiapine can be decreased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Quetiapine may increase the hypotensive activities of Hydroflumethiazide.]
[B05XA17, potassium acetate, Quetiapine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[G04BD06, propiverine, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Quetiapine can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[B05AA07, hetastarch, Quetiapine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Hydroxyzine.]
[C02AC06, rilmenidine, Quetiapine may increase the hypotensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Ibuprofen is combined with Quetiapine.]
[B05XA08, sodium acetate, Quetiapine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Quetiapine can be decreased when combined with Idarubicin.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Quetiapine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Quetiapine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Quetiapine is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Quetiapine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Terlipressin.]
[R01AD07, tixocortol, Quetiapine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Quetiapine.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C03BA11, indapamide, Quetiapine may increase the hypotensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Quetiapine.]
[C02CA02, indoramin, Quetiapine may increase the hypotensive activities of Indoramin.]
[A11HA07, inositol, Quetiapine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Quetiapine is combined with Milnacipran.]
[A03AA30, piperidolate, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Quetiapine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Quetiapine.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R06AE01, buclizine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Quetiapine.]
[C10AA06, cerivastatin, The metabolism of Quetiapine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Anagrelide.]
[C07AA01, alprenolol, Quetiapine may increase the hypotensive activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Quetiapine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Quetiapine.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Quetiapine.]
[S01EC03, dorzolamide, Quetiapine may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Quetiapine.]
[C09AA16, imidapril, Quetiapine may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Quetiapine.]
[J04AC01, isoniazid, The metabolism of Quetiapine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Quetiapine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Quetiapine.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Quetiapine.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Isosorbide dinitrate is combined with Quetiapine.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Quetiapine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01AA24, kanamycin, Quetiapine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Quetiapine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C02KD01, ketanserin, Quetiapine may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Quetiapine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The serum concentration of Quetiapine can be increased when it is combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Quetiapine.]
[L04AA24, abatacept, The metabolism of Quetiapine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Mizolastine.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Quetiapine.]
[N04BC09, rotigotine, Quetiapine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Quetiapine.]
[C07AG01, labetalol, Quetiapine may increase the hypotensive activities of Labetalol.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Quetiapine.]
[C02AA05, deserpidine, Quetiapine may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Quetiapine.]
[N07AA30, ambenonium, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Quetiapine.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[G03AD01, levonorgestrel, The metabolism of Quetiapine can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Quetiapine is combined with Levodopa.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C08EX01, lidoflazine, The risk or severity of hypotension can be increased when Quetiapine is combined with Lidoflazine.]
[S01AA21, amikacin, Quetiapine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Quetiapine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The therapeutic efficacy of Lisuride can be decreased when used in combination with Quetiapine.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A07DA03, loperamide, The risk or severity of hypotension can be increased when Quetiapine is combined with Loperamide.]
[N05BA06, lorazepam, The serum concentration of Lorazepam can be increased when it is combined with Quetiapine.]
