[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Zolpidem.]
[C08CX01, mibefradil, The metabolism of Zolpidem can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AE01, saquinavir, The metabolism of Zolpidem can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Zolpidem.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A02BX03, pirenzepine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, Piritramide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Zolpidem.]
[J01MA11, grepafloxacin, The metabolism of Zolpidem can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, Pizotifen may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AG02, delavirdine, The metabolism of Zolpidem can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Zolpidem.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A10BG02, rosiglitazone, The metabolism of Zolpidem can be decreased when combined with Rosiglitazone.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L04AC08, canakinumab, The metabolism of Zolpidem can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Zolpidem can be increased when it is combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Zolpidem.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Zolpidem.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Zolpidem.]
[S03BA02, prednisolone, The metabolism of Zolpidem can be increased when combined with Prednisolone.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[P01BA03, primaquine, The metabolism of Zolpidem can be decreased when combined with Primaquine.]
[N03AA03, primidone, Primidone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M04AB01, probenecid, The metabolism of Zolpidem can be increased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Zolpidem.]
[S01HA05, procaine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01XB01, procarbazine, Procarbazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C10AB05, fenofibrate, The metabolism of Zolpidem can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04AA04, procyclidine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Zolpidem can be decreased when combined with Progesterone.]
[N05AA03, promazine, Promazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C01BC03, propafenone, The metabolism of Zolpidem can be decreased when combined with Propafenone.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AB05, propantheline, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AC04, propoxyphene, Dextropropoxyphene may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Zolpidem.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Zolpidem.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AX12, aripiprazole, Aripiprazole may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AB15, diphemanil, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C01BA01, quinidine, The metabolism of Zolpidem can be decreased when combined with Quinidine.]
[P01BC01, quinine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A02BA02, ranitidine, The metabolism of Zolpidem can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J04AB02, rifampin, The therapeutic efficacy of Zolpidem can be decreased when used in combination with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Zolpidem.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04BD01, selegiline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Zolpidem.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[D07AB02, hydrocortisone butyrate, The metabolism of Zolpidem can be increased when combined with Hydrocortisone butyrate.]
[H02CA04, levoketoconazole, The metabolism of Zolpidem can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
