[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Duloxetine.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Fenoprofen.]
[R03CC04, fenoterol, Duloxetine may increase the tachycardic activities of Fenoterol.]
[N02AB03, fentanyl, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Duloxetine.]
[R03CC02, albuterol, Duloxetine may increase the tachycardic activities of Salbutamol.]
[B01AD05, plasmin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Fibrinolysin.]
[L01BB06, clofarabine, The risk or severity of orthostatic hypotension and syncope can be increased when Clofarabine is combined with Duloxetine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Duloxetine.]
[G04BD02, flavoxate, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Duloxetine.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Duloxetine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Duloxetine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Duloxetine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Duloxetine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Duloxetine.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Melitracen is combined with Duloxetine.]
[V03AZ01, ethanol, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Duloxetine can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Duloxetine can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Duloxetine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of adverse effects can be increased when Flupentixol is combined with Duloxetine.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Duloxetine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Duloxetine.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fluspirilene is combined with Duloxetine.]
[L02BB01, flutamide, Duloxetine may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[S02AA17, fosfomycin, Duloxetine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[L01BC03, tegafur, Duloxetine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, Duloxetine may increase the tachycardic activities of Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Alcuronium is combined with Duloxetine.]
[G01AX06, furazolidone, The risk or severity of serotonin syndrome can be increased when Furazolidone is combined with Duloxetine.]
[J05AE10, darunavir, The metabolism of Duloxetine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The risk or severity of orthostatic hypotension and syncope can be increased when Furosemide is combined with Duloxetine.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Duloxetine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Amisulpride is combined with Duloxetine.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Duloxetine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Gallamine is combined with Duloxetine.]
[S01AD09, ganciclovir, Duloxetine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Barbexaclone is combined with Duloxetine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Bifemelane is combined with Duloxetine.]
[C10AB04, gemfibrozil, The metabolism of Duloxetine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Duloxetine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Duloxetine.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Liraglutide.]
[J05AG04, etravirine, The metabolism of Duloxetine can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Methsuximide is combined with Duloxetine.]
[N01AH02, alfentanil, The risk or severity of serotonin syndrome can be increased when Alfentanil is combined with Duloxetine.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of orthostatic hypotension and syncope can be increased when Dexmedetomidine is combined with Duloxetine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Duloxetine.]
[C05AE01, nitroglycerin, The risk or severity of orthostatic hypotension and syncope can be increased when Nitroglycerin is combined with Duloxetine.]
[C02CA04, doxazosin, The risk or severity of orthostatic hypotension and syncope can be increased when Doxazosin is combined with Duloxetine.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Duloxetine.]
[L01EX02, sorafenib, The metabolism of Duloxetine can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The risk or severity of orthostatic hypotension and syncope can be increased when Esmolol is combined with Duloxetine.]
[M01CB04, aurothioglucose, Duloxetine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Duloxetine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Fluindione.]
[C09AA09, fosinopril, The risk or severity of orthostatic hypotension and syncope can be increased when Fosinopril is combined with Duloxetine.]
[S01EX01, guanethidine, Duloxetine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Duloxetine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Duloxetine.]
[N01AB01, halothane, The risk or severity of orthostatic hypotension and syncope can be increased when Halothane is combined with Duloxetine.]
[N05AH04, quetiapine, The risk or severity of orthostatic hypotension and syncope can be increased when Quetiapine is combined with Duloxetine.]
[N06BX13, idebenone, Duloxetine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Iprazochrome is combined with Duloxetine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Allobarbital is combined with Duloxetine.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C09CA01, losartan, The risk or severity of orthostatic hypotension and syncope can be increased when Losartan is combined with Duloxetine.]
[S01XA14, heparin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Heparin.]
[G03DC01, allylestrenol, Duloxetine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Mesalazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Duloxetine.]
[R03CC05, hexoprenaline, Duloxetine may increase the tachycardic activities of Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Duloxetine.]
[C08CA10, nilvadipine, The risk or severity of orthostatic hypotension and syncope can be increased when Nilvadipine is combined with Duloxetine.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Nimesulide.]
[C09AA04, perindopril, The risk or severity of orthostatic hypotension and syncope can be increased when Perindopril is combined with Duloxetine.]
[C02DB02, hydralazine, The risk or severity of orthostatic hypotension and syncope can be increased when Hydralazine is combined with Duloxetine.]
[C03AA03, hydrochlorothiazide, The risk or severity of orthostatic hypotension and syncope can be increased when Hydrochlorothiazide is combined with Duloxetine.]
[R05DA03, hydrocodone, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, The risk or severity of orthostatic hypotension and syncope can be increased when Hydroflumethiazide is combined with Duloxetine.]
[B05XA17, potassium acetate, Duloxetine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[G04BD06, propiverine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Duloxetine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Prothipendyl is combined with Duloxetine.]
[B05AA07, hetastarch, Duloxetine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[C02AC06, rilmenidine, Duloxetine may increase the tachycardic activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Ibuprofen.]
[B05XA08, sodium acetate, Duloxetine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Duloxetine.]
[L01AA06, ifosfamide, Duloxetine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of orthostatic hypotension and syncope can be increased when Sufentanil is combined with Duloxetine.]
[N06AA02, imipramine, The risk or severity of orthostatic hypotension and syncope can be increased when Imipramine is combined with Duloxetine.]
[L01CD01, paclitaxel, The risk or severity of orthostatic hypotension and syncope can be increased when Paclitaxel is combined with Duloxetine.]
[R01AD07, tixocortol, Duloxetine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of orthostatic hypotension and syncope can be increased when Tizanidine is combined with Duloxetine.]
[L01CE01, topotecan, Duloxetine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The risk or severity of orthostatic hypotension and syncope can be increased when Indapamide is combined with Duloxetine.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Indomethacin.]
[C02CA02, indoramin, The risk or severity of orthostatic hypotension and syncope can be increased when Indoramin is combined with Duloxetine.]
[A11HA07, inositol, Duloxetine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Duloxetine is combined with Milnacipran.]
[A03AA30, piperidolate, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Duloxetine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Articaine is combined with Duloxetine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Sitagliptin.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Duloxetine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Duloxetine.]
[R06AE01, buclizine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Duloxetine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Duloxetine.]
[C03BA02, quinethazone, The risk or severity of hyponatremia can be increased when Duloxetine is combined with Quinethazone.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Duloxetine.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Iprindole is combined with Duloxetine.]
[N06AF05, iproniazid, The risk or severity of serotonin syndrome can be increased when Iproniazid is combined with Duloxetine.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Chlorproethazine is combined with Duloxetine.]
[N06AF01, isocarboxazid, The risk or severity of serotonin syndrome can be increased when Isocarboxazid is combined with Duloxetine.]
[P01AX06, atovaquone, The metabolism of Duloxetine can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, Duloxetine may increase the tachycardic activities of Isoetharine.]
[C09AA16, imidapril, The risk or severity of orthostatic hypotension and syncope can be increased when Imidapril is combined with Duloxetine.]
[N01AB06, isoflurane, The risk or severity of orthostatic hypotension and syncope can be increased when Isoflurane is combined with Duloxetine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Duloxetine.]
[J04AC01, isoniazid, The metabolism of Duloxetine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Duloxetine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, Duloxetine may increase the tachycardic activities of Isoprenaline.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Exenatide.]
[C01DA14, isosorbide mononitrate, The risk or severity of orthostatic hypotension and syncope can be increased when Isosorbide mononitrate is combined with Duloxetine.]
[C05AE02, isosorbide dinitrate, The risk or severity of orthostatic hypotension and syncope can be increased when Isosorbide dinitrate is combined with Duloxetine.]
[D10BA01, isotretinoin, Duloxetine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of orthostatic hypotension and syncope can be increased when Isoxsuprine is combined with Duloxetine.]
[B01AE06, bivalirudin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Bivalirudin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Duloxetine.]
[S01AA24, kanamycin, Duloxetine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Duloxetine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Duloxetine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Ketanserin is combined with Duloxetine.]
[B01AC22, prasugrel, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Duloxetine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of orthostatic hypotension and syncope can be increased when Olanzapine is combined with Duloxetine.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Duloxetine can be increased when combined with Abatacept.]
[C01CA22, arbutamine, Duloxetine may increase the tachycardic activities of Arbutamine.]
[N04BC09, rotigotine, The risk or severity of orthostatic hypotension and syncope can be increased when Rotigotine is combined with Duloxetine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Duloxetine.]
[D10AX03, azelaic acid, Duloxetine may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The risk or severity of orthostatic hypotension and syncope can be increased when Labetalol is combined with Duloxetine.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Amantadine.]
[A06AX03, lubiprostone, Duloxetine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Duloxetine.]
[C03CC01, ethacrynic acid, The risk or severity of orthostatic hypotension and syncope can be increased when Etacrynic acid is combined with Duloxetine.]
[N04BA01, levodopa, The risk or severity of orthostatic hypotension and syncope can be increased when Levodopa is combined with Duloxetine.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Duloxetine.]
[S01AA21, amikacin, Duloxetine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Duloxetine can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of orthostatic hypotension and syncope can be increased when Amiloride is combined with Duloxetine.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Duloxetine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Lofepramine is combined with Duloxetine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Duloxetine.]
[C10AA02, lovastatin, The metabolism of Duloxetine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Duloxetine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Duloxetine.]
[L01EG01, temsirolimus, The metabolism of Duloxetine can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, Duloxetine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Duloxetine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Duloxetine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Duloxetine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, The risk or severity of orthostatic hypotension and syncope can be increased when Mannitol is combined with Duloxetine.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Duloxetine.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Duloxetine.]
[C02BB01, mecamylamine, The risk or severity of orthostatic hypotension and syncope can be increased when Mecamylamine is combined with Duloxetine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Duloxetine.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Medazepam is combined with Duloxetine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Duloxetine.]
[N06DX01, memantine, Duloxetine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Duloxetine.]
[C01CA11, mephentermine, Duloxetine may increase the tachycardic activities of Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Duloxetine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Duloxetine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Duloxetine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Duloxetine.]
[N02AX05, meptazinol, The risk or severity of serotonin syndrome can be increased when Meptazinol is combined with Duloxetine.]
[G04BX16, tiopronin, Duloxetine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Duloxetine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Duloxetine.]
[C01CA09, metaraminol, Duloxetine may increase the tachycardic activities of Metaraminol.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Metformin.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Duloxetine.]
[H01CB03, lanreotide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Duloxetine.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Duloxetine.]
[A03AB07, methantheline, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Duloxetine.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Duloxetine.]
[J05AF05, lamivudine, Duloxetine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Duloxetine.]
[S01EC05, methazolamide, The risk or severity of orthostatic hypotension and syncope can be increased when Methazolamide is combined with Duloxetine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Metergoline is combined with Duloxetine.]
[H03BB02, methimazole, The metabolism of Duloxetine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Duloxetine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Duloxetine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Duloxetine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Ziconotide is combined with Duloxetine.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, Duloxetine may increase the tachycardic activities of Methoxamine.]
[D05BA02, methoxsalen, Duloxetine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Duloxetine.]
[C03AA08, methyclothiazide, The risk or severity of orthostatic hypotension and syncope can be increased when Methyclothiazide is combined with Duloxetine.]
[C02AB01, methyldopa, The risk or severity of orthostatic hypotension and syncope can be increased when Methyldopa is combined with Duloxetine.]
[V04CG05, methylene blue, Duloxetine may increase the serotonergic activities of Methylene blue.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Duloxetine.]
[G03EK01, methyltestosterone, Duloxetine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Duloxetine.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Duloxetine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Duloxetine.]
[C03BA08, metolazone, The risk or severity of orthostatic hypotension and syncope can be increased when Metolazone is combined with Duloxetine.]
[C07AB02, metoprolol, The risk or severity of orthostatic hypotension and syncope can be increased when Metoprolol is combined with Duloxetine.]
[P01AB01, metronidazole, The metabolism of Duloxetine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Duloxetine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Duloxetine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Duloxetine.]
[S02AA13, miconazole, The metabolism of Duloxetine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Duloxetine.]
[B01AB07, parnaparin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Duloxetine.]
[C01CA17, midodrine, Duloxetine may increase the tachycardic activities of Midodrine.]
[G03XB01, mifepristone, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Tinzaparin.]
[J05AH01, zanamivir, Duloxetine may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The risk or severity of orthostatic hypotension and syncope can be increased when Valsartan is combined with Duloxetine.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[D11AX01, minoxidil, The risk or severity of orthostatic hypotension and syncope can be increased when Minoxidil is combined with Duloxetine.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Duloxetine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Duloxetine.]
[L03AC01, aldesleukin, The risk or severity of orthostatic hypotension and syncope can be increased when Aldesleukin is combined with Duloxetine.]
[C01BD01, amiodarone, The metabolism of Duloxetine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Duloxetine.]
[N02AA01, morphine, The risk or severity of orthostatic hypotension and syncope can be increased when Morphine is combined with Duloxetine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Duloxetine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Duloxetine can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Duloxetine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Duloxetine.]
[L04AA06, mycophenolic acid, Duloxetine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Duloxetine.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Duloxetine.]
[P01BA06, amodiaquine, The metabolism of Duloxetine can be decreased when combined with Amodiaquine.]
[R03BB01, ipratropium bromide, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Duloxetine.]
[N03AB05, fosphenytoin, The risk or severity of adverse effects can be increased when Fosphenytoin is combined with Duloxetine.]
[C07AA12, nadolol, The risk or severity of orthostatic hypotension and syncope can be increased when Nadolol is combined with Duloxetine.]
[J01CA04, amoxicillin, Duloxetine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of orthostatic hypotension and syncope can be increased when Ropinirole is combined with Duloxetine.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Naftidrofuryl is combined with Duloxetine.]
[N02AF02, nalbuphine, The risk or severity of serotonin syndrome can be increased when Nalbuphine is combined with Duloxetine.]
[V03AB15, naloxone, Duloxetine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Duloxetine.]
