[S02DA03, antipyrine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Antipyrine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Guanfacine.]
[R06AE01, buclizine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Guanfacine.]
[C07AA01, alprenolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Guanfacine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of hypertension can be increased when Iprindole is combined with Guanfacine.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Guanfacine.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Guanfacine.]
[S01EC03, dorzolamide, Dorzolamide may increase the hypotensive activities of Guanfacine.]
[R03CC06, isoetharine, Isoetharine may decrease the antihypertensive activities of Guanfacine.]
[C09AA16, imidapril, Guanfacine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Guanfacine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Guanfacine.]
[J04AC01, isoniazid, The metabolism of Guanfacine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Guanfacine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, Isoprenaline may decrease the antihypertensive activities of Guanfacine.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Isosorbide dinitrate is combined with Guanfacine.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Guanfacine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Guanfacine.]
[S01AA24, kanamycin, Guanfacine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ketanserin.]
[B01AC22, prasugrel, Guanfacine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Guanfacine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Ketoprofen.]
[C01CA22, arbutamine, Arbutamine may decrease the antihypertensive activities of Guanfacine.]
[N04BC09, rotigotine, Guanfacine may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Labetalol.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Guanfacine.]
[C02AA05, deserpidine, Guanfacine may decrease the antihypertensive activities of Deserpidine.]
[A06AX03, lubiprostone, Guanfacine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Guanfacine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Guanfacine.]
[C08EX01, lidoflazine, Guanfacine may increase the bradycardic activities of Lidoflazine.]
[S01AA21, amikacin, Guanfacine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[N06AA07, lofepramine, The risk or severity of hypertension can be increased when Lofepramine is combined with Guanfacine.]
[A07DA03, loperamide, Loperamide may increase the bradycardic activities of Guanfacine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Guanfacine.]
[C10AA02, lovastatin, The metabolism of Guanfacine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Guanfacine.]
[B05XA11, magnesium chloride, Guanfacine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Guanfacine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Guanfacine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Guanfacine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Guanfacine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Guanfacine.]
[C02BB01, mecamylamine, Guanfacine may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Guanfacine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Medazepam.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Guanfacine is combined with Melatonin.]
[N06DX01, memantine, Guanfacine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Guanfacine.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Guanfacine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Guanfacine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Guanfacine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Guanfacine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Guanfacine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Guanfacine is combined with Meptazinol.]
[G04BX16, tiopronin, Guanfacine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Guanfacine.]
[N05AX13, paliperidone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Guanfacine.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Guanfacine.]
[H01CB03, lanreotide, Guanfacine may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Guanfacine.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Metamfetamine.]
[A03AB07, methantheline, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Guanfacine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Methaqualone.]
[J05AF05, lamivudine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lamivudine.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Guanfacine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[H03BB02, methimazole, The metabolism of Guanfacine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Guanfacine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Guanfacine.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Guanfacine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Guanfacine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Guanfacine is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Guanfacine can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, Guanfacine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Guanfacine.]
[G02AB01, methylergonovine, Methylergometrine may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Guanfacine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Guanfacine.]
[G03EK01, methyltestosterone, Guanfacine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Guanfacine is combined with Methyprylon.]
[N02CA04, methysergide, Methysergide may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Guanfacine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Metoprolol.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N06AX03, mianserin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Guanfacine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Aminophenazone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Guanfacine.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Guanfacine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C09CA03, valsartan, Guanfacine may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[D11AX01, minoxidil, Guanfacine may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Guanfacine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Guanfacine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Guanfacine.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Guanfacine.]
[C01BD01, amiodarone, The metabolism of Guanfacine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Guanfacine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Guanfacine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Guanfacine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Guanfacine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Guanfacine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Guanfacine.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Guanfacine is combined with Silodosin.]
[N06AA17, amoxapine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Guanfacine can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Nadolol.]
[J01CA04, amoxicillin, Guanfacine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Guanfacine may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Guanfacine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Guanfacine.]
[V03AB15, naloxone, The metabolism of Guanfacine can be decreased when combined with Naloxone.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Guanfacine.]
[N06BA01, amphetamine, Amphetamine may decrease the antihypertensive activities of Guanfacine.]
[M02AA12, naproxen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Naproxen.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Guanfacine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Guanfacine.]
[S03AA01, neomycin, Guanfacine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Guanfacine.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Levosimendan is combined with Guanfacine.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AX14, iloperidone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Guanfacine.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX16, plerixafor, Guanfacine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Guanfacine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Guanfacine may decrease the antihypertensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C01CE01, inamrinone, Guanfacine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Guanfacine.]
[C08CA04, nicardipine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Nicotine is combined with Guanfacine.]
[C08CA05, nifedipine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Nifedipine.]
[M02AA17, niflumic acid, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Guanfacine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Guanfacine may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Guanfacine may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Nitrazepam.]
[C08CA08, nitrendipine, Guanfacine may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Guanfacine.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Guanfacine.]
[N04BC05, pramipexole, Guanfacine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Guanfacine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Norepinephrine.]
[C02KX01, bosentan, Guanfacine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Nortriptyline.]
[G02CA02, nylidrin, Nylidrin may decrease the antihypertensive activities of Guanfacine.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Guanfacine.]
[N06AA05, opipramol, The risk or severity of hypertension can be increased when Opipramol is combined with Guanfacine.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Guanfacine is combined with Opium.]
[R03CB03, metaproterenol, Orciprenaline may decrease the antihypertensive activities of Guanfacine.]
[G04CA02, tamsulosin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Tamsulosin.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Guanfacine.]
[C07AA02, oxprenolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Guanfacine.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Guanfacine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[M03AC01, pancuronium, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Guanfacine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Papaverine.]
[N05CC05, paraldehyde, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Guanfacine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[G04BD11, fesoterodine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Guanfacine is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Guanfacine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Guanfacine.]
[N05CA01, pentobarbital, The metabolism of Guanfacine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Guanfacine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Guanfacine.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Perazine.]
[N04BC02, pergolide, Pergolide may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[C08EX02, perhexiline, Guanfacine may increase the bradycardic activities of Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Guanfacine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Guanfacine.]
[A10BA01, phenformin, The risk or severity of adverse effects can be increased when Phenformin is combined with Guanfacine.]
[N03AA02, phenobarbital, The metabolism of Guanfacine can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Phenoxybenzamine.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Guanfacine.]
[V03AB36, phentolamine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, Phenylephrine may decrease the antihypertensive activities of Guanfacine.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may decrease the antihypertensive activities of Guanfacine.]
[N03AB02, phenytoin, The metabolism of Guanfacine can be increased when combined with Phenytoin.]
[S01AE05, levofloxacin, Guanfacine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Guanfacine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C08CX01, mibefradil, Guanfacine may decrease the antihypertensive activities of Mibefradil.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Pimozide.]
[C07AA03, pindolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Guanfacine can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Pipotiazine.]
[N06BX03, piracetam, Guanfacine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Guanfacine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Piritramide.]
[S01BC06, piroxicam, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02CX01, pizotyline, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Pizotifen.]
[J05AG02, delavirdine, The metabolism of Guanfacine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Guanfacine may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Guanfacine is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Guanfacine.]
[C03AA05, polythiazide, The therapeutic efficacy of Guanfacine can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Guanfacine can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, Guanfacine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C07AB01, practolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Prazepam.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Guanfacine.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C01DX02, prenylamine, Guanfacine may increase the bradycardic activities of Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Guanfacine.]
[P01BA03, primaquine, The metabolism of Guanfacine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Guanfacine can be increased when combined with Primidone.]
[M04AB01, probenecid, The risk or severity of adverse effects can be increased when Probenecid is combined with Guanfacine.]
[C01BA02, procainamide, Guanfacine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Guanfacine.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Guanfacine.]
[C10AB05, fenofibrate, Guanfacine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Guanfacine.]
[N04AA04, procyclidine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The risk or severity of adverse effects can be increased when Progesterone is combined with Guanfacine.]
[N05AA03, promazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Guanfacine is combined with Propanidid.]
[A03AB05, propantheline, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Guanfacine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Guanfacine.]
[C07AA05, propranolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Guanfacine.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Guanfacine.]
[N06AA11, protriptyline, The risk or severity of hypertension can be increased when Protriptyline is combined with Guanfacine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Guanfacine.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Guanfacine.]
[N07XX07, dalfampridine, Guanfacine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
