[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Labetalol.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Labetalol is combined with Paclitaxel.]
[R01AD07, tixocortol, Labetalol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Labetalol.]
[L01CE01, topotecan, Labetalol may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Labetalol.]
[S01BC01, indomethacin, Indomethacin may decrease the antihypertensive activities of Labetalol.]
[C02CA02, indoramin, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Indoramin.]
[A11HA07, inositol, Labetalol may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The serum concentration of Labetalol can be increased when it is combined with Milnacipran.]
[A03AA30, piperidolate, The risk or severity of Tachycardia can be increased when Labetalol is combined with Piperidolate.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Labetalol is combined with Varenicline.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Labetalol.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Labetalol.]
[R06AE01, buclizine, The risk or severity of Tachycardia can be increased when Buclizine is combined with Labetalol.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Labetalol.]
[C10AA06, cerivastatin, The metabolism of Labetalol can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Labetalol.]
[C07AA01, alprenolol, Alprenolol may increase the orthostatic hypotensive activities of Labetalol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Labetalol.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Labetalol.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Labetalol.]
[N05AA07, chlorproethazine, The serum concentration of Labetalol can be increased when it is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Labetalol.]
[S01EC03, dorzolamide, Labetalol may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Labetalol.]
[C09AA16, imidapril, Labetalol may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Labetalol.]
[S01EB07, isoflurophate, Isoflurophate may increase the bradycardic activities of Labetalol.]
[N04BX02, entacapone, The metabolism of Labetalol can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Labetalol can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Labetalol may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Labetalol.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Labetalol.]
[C01DA14, isosorbide mononitrate, Labetalol may increase the vasodilatory activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Labetalol is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Labetalol may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Labetalol.]
[N06AX18, reboxetine, The metabolism of Labetalol can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Labetalol may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Labetalol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the bradycardic activities of Labetalol.]
[C02KD01, ketanserin, Labetalol may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Labetalol may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Labetalol can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[M02AA10, ketoprofen, Ketoprofen may decrease the antihypertensive activities of Labetalol.]
[V03AC03, deferasirox, The metabolism of Labetalol can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Labetalol can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Labetalol.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Labetalol.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the antihypertensive activities of Labetalol.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the antihypertensive activities of Labetalol.]
[C01DA05, pentaerythritol tetranitrate, Labetalol may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[N04BB01, amantadine, Labetalol may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AA05, deserpidine, Deserpidine may increase the hypotensive activities of Labetalol.]
[N07AA30, ambenonium, Ambenonium may increase the bradycardic activities of Labetalol.]
[A06AX03, lubiprostone, Labetalol may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Labetalol.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Labetalol is combined with Levodopa.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Labetalol.]
[C08EX01, lidoflazine, The risk or severity of bradycardia can be increased when Lidoflazine is combined with Labetalol.]
[S01AA21, amikacin, Labetalol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Labetalol can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Labetalol may increase the vasoconstricting activities of Lisuride.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Labetalol.]
[A07DA03, loperamide, The risk or severity of bradycardia can be increased when Loperamide is combined with Labetalol.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Labetalol can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Labetalol.]
[L01EG01, temsirolimus, The metabolism of Labetalol can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, Labetalol may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Labetalol may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The risk or severity of bradycardia can be increased when Magnesium sulfate is combined with Labetalol.]
[L01BA05, pralatrexate, Labetalol may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Labetalol can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Labetalol.]
[C02BB01, mecamylamine, Labetalol may increase the hypotensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, Mechlorethamine may increase the bradycardic activities of Labetalol.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Labetalol.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the antihypertensive activities of Labetalol.]
[C01AA08, medigoxin, Labetalol may increase the bradycardic activities of Metildigoxin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be decreased when Mefloquine is combined with Labetalol.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Dalteparin.]
[N06DX01, memantine, Memantine may increase the bradycardic activities of Labetalol.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C01CA11, mephentermine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Labetalol can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Labetalol.]
[N01BB03, mepivacaine, The serum concentration of Mepivacaine can be increased when it is combined with Labetalol.]
[G04BX16, tiopronin, Labetalol may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The serum concentration of Labetalol can be increased when it is combined with Mesoridazine.]
[N05AX13, paliperidone, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Labetalol.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Labetalol.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Labetalol.]
[H01CB03, lanreotide, Labetalol may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The metabolism of Labetalol can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Metamfetamine.]
[A03AB07, methantheline, The risk or severity of Tachycardia can be increased when Labetalol is combined with Methantheline.]
[J05AF05, lamivudine, Labetalol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Labetalol may increase the vasoconstricting activities of Metergoline.]
[H03BB02, methimazole, The excretion of Labetalol can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Labetalol may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Labetalol.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of bradycardia can be increased when Ziconotide is combined with Labetalol.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Labetalol.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Labetalol.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Labetalol can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Labetalol.]
[V04CG05, methylene blue, The serum concentration of Labetalol can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, Labetalol may increase the vasoconstricting activities of Methylergometrine.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Labetalol is combined with Aminophylline.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Labetalol.]
[G03EK01, methyltestosterone, Labetalol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, Labetalol may increase the vasoconstricting activities of Methysergide.]
[A03FA01, metoclopramide, Metoclopramide may increase the bradycardic activities of Labetalol.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Labetalol can be decreased when combined with Metoprolol.]
[V04CD01, metyrapone, Labetalol may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Labetalol.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Labetalol.]
[S02AA13, miconazole, The metabolism of Labetalol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the antihypertensive activities of Labetalol.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Parnaparin.]
[N05CD08, midazolam, Labetalol may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Labetalol.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Labetalol.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Labetalol.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Labetalol.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Lisdexamfetamine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Labetalol.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Labetalol.]
[C01BD01, amiodarone, The therapeutic efficacy of Labetalol can be increased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Labetalol.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Labetalol.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Labetalol.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Labetalol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Labetalol can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Ammonium chloride.]
[L01EX03, pazopanib, The metabolism of Labetalol can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, Labetalol may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Labetalol.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be decreased when Amodiaquine is combined with Labetalol.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Labetalol is combined with Silodosin.]
[N06AA17, amoxapine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Labetalol.]
[C07AA12, nadolol, Nadolol may increase the orthostatic hypotensive activities of Labetalol.]
[J01CA04, amoxicillin, Labetalol may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Labetalol.]
[V03AB15, naloxone, Labetalol may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Labetalol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Labetalol.]
[N06BA01, amphetamine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the antihypertensive activities of Labetalol.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Labetalol.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Labetalol is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Labetalol.]
[L02BG04, letrozole, The metabolism of Labetalol can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Labetalol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Labetalol.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Labetalol.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Labetalol is combined with Levosimendan.]
[B01AC17, tirofiban, Labetalol may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[S01EB06, neostigmine, Neostigmine may increase the bradycardic activities of Labetalol.]
[N05AX14, iloperidone, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Labetalol is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L03AX16, plerixafor, Labetalol may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Labetalol may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The serum concentration of Labetalol can be increased when it is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Labetalol can be decreased when combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C01CE01, inamrinone, Labetalol may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Labetalol can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Labetalol.]
[C08CA04, nicardipine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicardipine.]
[C04AE02, nicergoline, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicergoline.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Labetalol is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Labetalol.]
[M02AA17, niflumic acid, Niflumic acid may decrease the antihypertensive activities of Labetalol.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Labetalol is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of bradycardia can be increased when Nimodipine is combined with Labetalol.]
[C08CA07, nisoldipine, The risk or severity of bradycardia can be increased when Nisoldipine is combined with Labetalol.]
[C08CA08, nitrendipine, The risk or severity of bradycardia can be increased when Nitrendipine is combined with Labetalol.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Labetalol.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Nitrofurantoin.]
[N05CF03, zaleplon, Labetalol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Pramipexole is combined with Labetalol.]
[C02DD01, nitroprusside, Nitroprusside may increase the hypotensive activities of Labetalol.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Labetalol.]
[C01CA03, norepinephrine, The therapeutic efficacy of Labetalol can be increased when used in combination with Norepinephrine.]
[C02KX01, bosentan, Bosentan may increase the hypotensive activities of Labetalol.]
[N06AA10, nortriptyline, Nortriptyline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[G02CA02, nylidrin, The risk or severity of bradycardia can be increased when Nylidrin is combined with Labetalol.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Labetalol.]
[L04AC04, rilonacept, The metabolism of Labetalol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Labetalol can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Labetalol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Labetalol.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Labetalol.]
[G04CA02, tamsulosin, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tamsulosin.]
[C01AC01, ouabain, Labetalol may increase the bradycardic activities of Ouabain.]
[J01CF04, oxacillin, Labetalol may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Labetalol can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Labetalol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, Oxprenolol may increase the orthostatic hypotensive activities of Labetalol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Labetalol.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Labetalol.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Labetalol can be decreased when used in combination with Oxymetazoline.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Labetalol.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the antihypertensive activities of Labetalol.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia can be increased when Oxyphenonium is combined with Labetalol.]
[N05AH05, asenapine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Danaparoid.]
[M03AC01, pancuronium, Pancuronium may increase the bradycardic activities of Labetalol.]
[J04AB30, capreomycin, Labetalol may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Labetalol is combined with Papaverine.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Labetalol.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Labetalol.]
[C07AA23, penbutolol, Penbutolol may increase the orthostatic hypotensive activities of Labetalol.]
[N05AG03, penfluridol, The risk or severity of bradycardia can be increased when Penfluridol is combined with Labetalol.]
[J01CE09, penicillin G procaine, Labetalol may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Labetalol.]
[L01XX08, pentostatin, Labetalol may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Labetalol.]
[N05AB10, perazine, The serum concentration of Labetalol can be increased when it is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Labetalol.]
[C08EX02, perhexiline, The risk or severity of bradycardia can be increased when Perhexiline is combined with Labetalol.]
[N05AB03, perphenazine, The serum concentration of Labetalol can be increased when it is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Labetalol.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Labetalol.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Labetalol.]
[N03AA02, phenobarbital, The metabolism of Labetalol can be increased when combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the antihypertensive activities of Labetalol.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Labetalol.]
[A02BC06, dexlansoprazole, The metabolism of Labetalol can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Labetalol.]
[N03AB02, phenytoin, The metabolism of Labetalol can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Labetalol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Labetalol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V03AB19, physostigmine, Physostigmine may increase the bradycardic activities of Labetalol.]
[B02BA01, vitamin K1, Labetalol may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of bradycardia can be increased when Mibefradil is combined with Labetalol.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Labetalol is combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Labetalol.]
[C07AA03, pindolol, Pindolol may increase the orthostatic hypotensive activities of Labetalol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Labetalol can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Labetalol.]
[N05AC04, pipothiazine, The serum concentration of Labetalol can be increased when it is combined with Pipotiazine.]
[N06BX03, piracetam, Labetalol may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Labetalol may increase the hypotensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Pirenzepine.]
[S01BC06, piroxicam, Piroxicam may decrease the antihypertensive activities of Labetalol.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N02CX01, pizotyline, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Labetalol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Labetalol may increase the hypotensive activities of Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Labetalol.]
[L04AC08, canakinumab, The metabolism of Labetalol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Labetalol can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Labetalol can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Labetalol.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Labetalol.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Labetalol.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Labetalol.]
[C07AB01, practolol, Practolol may increase the orthostatic hypotensive activities of Labetalol.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Labetalol.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Labetalol.]
[H02AB07, prednisone, Labetalol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C01DX02, prenylamine, The risk or severity of bradycardia can be increased when Prenylamine is combined with Labetalol.]
[P01BA03, primaquine, The metabolism of Labetalol can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Labetalol can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Labetalol can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Labetalol.]
