[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Imatinib.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Imatinib.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Imatinib.]
[L01EG01, temsirolimus, The serum concentration of Temsirolimus can be increased when it is combined with Imatinib.]
[G04BX01, magnesium hydroxide, The absorption of Imatinib can be decreased when combined with Magnesium hydroxide.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Imatinib is combined with Pralatrexate.]
[L01EA03, nilotinib, The serum concentration of Imatinib can be increased when it is combined with Nilotinib.]
[N06AA21, maprotiline, The serum concentration of Maprotiline can be increased when it is combined with Imatinib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Imatinib is combined with Mechlorethamine.]
[R06AE05, meclizine, The serum concentration of Meclizine can be increased when it is combined with Imatinib.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Imatinib.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Imatinib.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Imatinib.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Imatinib.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Imatinib.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Imatinib.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Imatinib is combined with Melphalan.]
[N06DX01, memantine, The serum concentration of Memantine can be increased when it is combined with Imatinib.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Imatinib.]
[N03AB04, mephenytoin, The serum concentration of Mephenytoin can be increased when it is combined with Imatinib.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Imatinib.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Mepivacaine.]
[N05AC03, mesoridazine, The serum concentration of Mesoridazine can be increased when it is combined with Imatinib.]
[N05AX13, paliperidone, The serum concentration of Paliperidone can be increased when it is combined with Imatinib.]
[A10BA02, metformin, The serum concentration of Metformin can be increased when it is combined with Imatinib.]
[A04AA04, dolasetron, The serum concentration of Dolasetron can be increased when it is combined with Imatinib.]
[N07BC02, methadone, The serum concentration of Methadone can be increased when it is combined with Imatinib.]
[N06BA03, methamphetamine, The serum concentration of Metamfetamine can be increased when it is combined with Imatinib.]
[J05AF05, lamivudine, Imatinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[H03BB02, methimazole, The serum concentration of Imatinib can be increased when it is combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Imatinib is combined with Pemetrexed.]
[L04AX03, methotrexate, The serum concentration of Methotrexate can be increased when it is combined with Imatinib.]
[N05AA02, methotrimeprazine, The serum concentration of Methotrimeprazine can be increased when it is combined with Imatinib.]
[D05BA02, methoxsalen, The metabolism of Imatinib can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The serum concentration of Methoxyflurane can be increased when it is combined with Imatinib.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Imatinib.]
[V04CG05, methylene blue, The serum concentration of Methylene blue can be increased when it is combined with Imatinib.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be increased when it is combined with Imatinib.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Imatinib is combined with Methylprednisolone.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Imatinib.]
[A03FA01, metoclopramide, The serum concentration of Metoclopramide can be increased when it is combined with Imatinib.]
[C07AB02, metoprolol, The serum concentration of Metoprolol can be increased when it is combined with Imatinib.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Imatinib.]
[C01BB02, mexiletine, The serum concentration of Mexiletine can be increased when it is combined with Imatinib.]
[N06AX03, mianserin, The serum concentration of Mianserin can be increased when it is combined with Imatinib.]
[S02AA13, miconazole, The metabolism of Imatinib can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The serum concentration of Aminophenazone can be increased when it is combined with Imatinib.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Imatinib.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Imatinib.]
[G03XB01, mifepristone, The serum concentration of Imatinib can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Imatinib.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Imatinib.]
[L01XX23, mitotane, The metabolism of Imatinib can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Imatinib is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The serum concentration of Lisdexamfetamine can be increased when it is combined with Imatinib.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Imatinib.]
[C01BD01, amiodarone, The serum concentration of Imatinib can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Imatinib.]
[N02AA01, morphine, The metabolism of Imatinib can be decreased when combined with Morphine.]
[A04AA05, palonosetron, The serum concentration of Palonosetron can be increased when it is combined with Imatinib.]
[L04AB05, certolizumab pegol, The metabolism of Imatinib can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Imatinib can be decreased when combined with Eltrombopag.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Ofatumumab.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Imatinib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Imatinib is combined with Mycophenolic acid.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Imatinib.]
[G03XC01, raloxifene, Imatinib may decrease the excretion rate of Raloxifene which could result in a higher serum level.]
[N06AA17, amoxapine, The serum concentration of Amoxapine can be increased when it is combined with Imatinib.]
[N03AB05, fosphenytoin, The metabolism of Imatinib can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Imatinib.]
[C07AA12, nadolol, The serum concentration of Nadolol can be increased when it is combined with Imatinib.]
[J01CF06, nafcillin, The metabolism of Imatinib can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The serum concentration of Imatinib can be increased when it is combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Imatinib can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The serum concentration of Amphetamine can be increased when it is combined with Imatinib.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Imatinib.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[N06AX21, duloxetine, The serum concentration of Duloxetine can be increased when it is combined with Imatinib.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Imatinib.]
[L01CD02, docetaxel, The serum concentration of Docetaxel can be increased when it is combined with Imatinib.]
[L02BG04, letrozole, The metabolism of Imatinib can be decreased when combined with Letrozole.]
[A10BX02, repaglinide, Imatinib may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Imatinib.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Imatinib.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Imatinib.]
[N06AX23, desvenlafaxine, The metabolism of Imatinib can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[M04AA03, febuxostat, The excretion of Imatinib can be decreased when combined with Febuxostat.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Imatinib.]
[C10AD02, niacin, The metabolism of Imatinib can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The serum concentration of Nicardipine can be increased when it is combined with Imatinib.]
[C04AE02, nicergoline, The serum concentration of Nicergoline can be increased when it is combined with Imatinib.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Imatinib.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Nicotine is combined with Imatinib.]
[C08CA05, nifedipine, The serum concentration of Nifedipine can be increased when it is combined with Imatinib.]
[C08CA06, nimodipine, The serum concentration of Nimodipine can be increased when it is combined with Imatinib.]
[C08CA07, nisoldipine, The serum concentration of Nisoldipine can be increased when it is combined with Imatinib.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Imatinib.]
[J01XE01, nitrofurantoin, Imatinib may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Imatinib.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Imatinib.]
[C01CA03, norepinephrine, The serum concentration of Norepinephrine can be increased when it is combined with Imatinib.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Imatinib.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Imatinib.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Imatinib.]
[R05DA07, noscapine, The metabolism of Imatinib can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Imatinib.]
[L03AB07, interferon beta-1a, The metabolism of Imatinib can be decreased when combined with Interferon beta-1a.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Imatinib.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Imatinib.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Imatinib.]
[L04AC04, rilonacept, The metabolism of Imatinib can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Imatinib.]
[N02AA02, opium, The serum concentration of Opium can be increased when it is combined with Imatinib.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Imatinib.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Imatinib.]
[G04CA02, tamsulosin, The serum concentration of Tamsulosin can be increased when it is combined with Imatinib.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Imatinib.]
[P02BA02, oxamniquine, The metabolism of Imatinib can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Imatinib can be decreased when combined with Oxandrolone.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Imatinib.]
[C07AA02, oxprenolol, The serum concentration of Oxprenolol can be increased when it is combined with Imatinib.]
[N02AA05, oxycodone, The serum concentration of Oxycodone can be increased when it is combined with Imatinib.]
[N02AA11, oxymorphone, The serum concentration of Oxymorphone can be increased when it is combined with Imatinib.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Imatinib.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Imatinib.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Imatinib.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Imatinib.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Imatinib is combined with Paramethasone.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Imatinib.]
[G04BD11, fesoterodine, The serum concentration of Fesoterodine can be increased when it is combined with Imatinib.]
[C07AA23, penbutolol, The serum concentration of Penbutolol can be increased when it is combined with Imatinib.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Penfluridol is combined with Imatinib.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Imatinib is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Imatinib.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Imatinib.]
[N05CA01, pentobarbital, The metabolism of Imatinib can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Imatinib.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Imatinib.]
[C08EX02, perhexiline, The serum concentration of Perhexiline can be increased when it is combined with Imatinib.]
[N05AB03, perphenazine, The serum concentration of Perphenazine can be increased when it is combined with Imatinib.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Imatinib.]
[N02BE03, phenacetin, The serum concentration of Phenacetin can be increased when it is combined with Imatinib.]
[A10BA01, phenformin, The serum concentration of Phenformin can be increased when it is combined with Imatinib.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Imatinib.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Imatinib.]
[N03AA02, phenobarbital, The metabolism of Imatinib can be increased when combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Phenoxybenzamine is combined with Imatinib.]
[B01AA04, phenprocoumon, The serum concentration of Phenprocoumon can be increased when it is combined with Imatinib.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Imatinib.]
[S01GA05, phenylephrine, The metabolism of Imatinib can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Imatinib can be decreased when combined with Dexlansoprazole.]
[N03AB02, phenytoin, The metabolism of Imatinib can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Imatinib can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Imatinib.]
[L02BB03, bicalutamide, The serum concentration of Bicalutamide can be increased when it is combined with Imatinib.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Mibefradil is combined with Imatinib.]
[N05AG02, pimozide, The serum concentration of Pimozide can be increased when it is combined with Imatinib.]
[C07AA03, pindolol, The serum concentration of Pindolol can be increased when it is combined with Imatinib.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Imatinib.]
[J05AE01, saquinavir, The serum concentration of Imatinib can be increased when it is combined with Saquinavir.]
[P02CB01, piperazine, The serum concentration of Piperazine can be increased when it is combined with Imatinib.]
[N05AC04, pipothiazine, The serum concentration of Pipotiazine can be increased when it is combined with Imatinib.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Imatinib.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Imatinib.]
[J05AG02, delavirdine, The serum concentration of Imatinib can be increased when it is combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Imatinib.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Imatinib.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Imatinib.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Imatinib.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Imatinib.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Imatinib is combined with Anastrozole.]
[A03AE01, alosetron, The metabolism of Imatinib can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Imatinib can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Imatinib.]
[J05AE03, ritonavir, The serum concentration of Imatinib can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Imatinib.]
[V03AB21, potassium iodide, The therapeutic efficacy of Potassium Iodide can be decreased when used in combination with Imatinib.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Imatinib.]
[C07AB01, practolol, The serum concentration of Practolol can be increased when it is combined with Imatinib.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Imatinib.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Imatinib.]
[C02CA01, prazosin, Imatinib may decrease the excretion rate of Prazosin which could result in a higher serum level.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Imatinib is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Imatinib is combined with Prednisone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Imatinib.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Prenylamine is combined with Imatinib.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Imatinib can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Imatinib can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Imatinib can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Imatinib.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Imatinib.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Imatinib is combined with Procarbazine.]
[C10AB05, fenofibrate, Imatinib may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The serum concentration of Prochlorperazine can be increased when it is combined with Imatinib.]
[G03DA04, progesterone, The serum concentration of Progesterone can be increased when it is combined with Imatinib.]
[N05AA03, promazine, The serum concentration of Promazine can be increased when it is combined with Imatinib.]
[R06AD02, promethazine, The serum concentration of Promethazine can be increased when it is combined with Imatinib.]
[C01BC03, propafenone, The serum concentration of Propafenone can be increased when it is combined with Imatinib.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Imatinib.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Imatinib.]
[N02AC04, propoxyphene, The serum concentration of Dextropropoxyphene can be increased when it is combined with Imatinib.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Imatinib.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Imatinib.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Imatinib.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Imatinib.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Imatinib.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Imatinib.]
[N05AX12, aripiprazole, The serum concentration of Aripiprazole can be increased when it is combined with Imatinib.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Imatinib.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Imatinib.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Imatinib.]
[P01BD01, pyrimethamine, The metabolism of Imatinib can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Imatinib.]
[C01BA01, quinidine, The serum concentration of Quinidine can be increased when it is combined with Imatinib.]
[P01BC01, quinine, The serum concentration of Quinine can be increased when it is combined with Imatinib.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Imatinib.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Imatinib can be decreased when it is combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Imatinib.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Imatinib is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Imatinib.]
[N05CA06, secobarbital, The metabolism of Imatinib can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The serum concentration of Selegiline can be increased when it is combined with Imatinib.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Imatinib.]
[C07AA07, sotalol, The serum concentration of Sotalol can be increased when it is combined with Imatinib.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Imatinib.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Imatinib.]
[C03DA01, spironolactone, The metabolism of Imatinib can be decreased when combined with Spironolactone.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Imatinib.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Imatinib is combined with Hydrocortisone butyrate.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Imatinib is combined with Paclitaxel poliglumex.]
[H02CA04, levoketoconazole, The serum concentration of Imatinib can be increased when it is combined with Levoketoconazole.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Imatinib which could result in a higher serum level.]
