[P02BB01, trichlorfon, The therapeutic efficacy of Imipramine can be decreased when used in combination with Metrifonate.]
[D10BA01, isotretinoin, Imipramine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Imipramine.]
[N06AX18, reboxetine, The metabolism of Imipramine can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Imipramine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Imipramine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Imipramine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Imipramine.]
[J02AB02, ketoconazole, The metabolism of Imipramine can be decreased when combined with Ketoconazole.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Imipramine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Imipramine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Mizolastine.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Imipramine.]
[N04BC09, rotigotine, Imipramine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Imipramine can be decreased when combined with Nalidixic acid.]
[C07AG01, labetalol, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Imipramine.]
[C02AA05, deserpidine, Imipramine may decrease the antihypertensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Imipramine.]
[N07AA30, ambenonium, The therapeutic efficacy of Imipramine can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Imipramine.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Imipramine.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Imipramine is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Imipramine.]
[C08EX01, lidoflazine, The risk or severity of hypotension can be increased when Imipramine is combined with Lidoflazine.]
[J01FF02, lincomycin, Imipramine may increase the neurotoxic activities of Lincomycin.]
[S01AA21, amikacin, Imipramine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Imipramine can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Imipramine.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A07DA03, loperamide, The risk or severity of hypotension can be increased when Imipramine is combined with Loperamide.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C10AA02, lovastatin, The metabolism of Imipramine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of Imipramine can be increased when it is combined with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Imipramine.]
[L01EG01, temsirolimus, The serum concentration of Imipramine can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Imipramine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Imipramine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Imipramine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Imipramine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Imipramine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Imipramine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Imipramine.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Imipramine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Imipramine.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Meclofenamic acid.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Imipramine.]
[P01BC02, mefloquine, The serum concentration of Imipramine can be increased when it is combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N06DX01, memantine, The metabolism of Imipramine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Imipramine is combined with Meperidine.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Imipramine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Imipramine.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Imipramine.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Imipramine is combined with Meptazinol.]
[G04BX16, tiopronin, Imipramine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The metabolism of Imipramine can be increased when combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Imipramine.]
[N05AX13, paliperidone, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Paliperidone.]
[C01CA09, metaraminol, Imipramine may increase the vasopressor activities of Metaraminol.]
[A10BA02, metformin, Imipramine may decrease the hypoglycemic activities of Metformin.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Imipramine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Imipramine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Imipramine.]
[A03AB07, methantheline, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Imipramine.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[H03BB02, methimazole, The metabolism of Imipramine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Imipramine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CA15, methohexital, The metabolism of Imipramine can be increased when combined with Methohexital.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, Imipramine may increase the vasopressor activities of Methoxamine.]
[D05BA02, methoxsalen, The metabolism of Imipramine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Imipramine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Imipramine.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Imipramine.]
[V04CG05, methylene blue, Imipramine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Imipramine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Imipramine.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Methylphenidate is combined with Imipramine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Imipramine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Imipramine.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Imipramine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Imipramine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Imipramine.]
[V04CD01, metyrapone, Imipramine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Imipramine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Imipramine.]
[S02AA13, miconazole, The metabolism of Imipramine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Imipramine.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C01CA17, midodrine, Imipramine may increase the vasopressor activities of Midodrine.]
[G03XB01, mifepristone, The serum concentration of Imipramine can be decreased when it is combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Imipramine.]
[J05AH01, zanamivir, Imipramine may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, Imipramine may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[D11AX01, minoxidil, Imipramine may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Imipramine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Imipramine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Imipramine.]
[C01BD01, amiodarone, The metabolism of Imipramine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Imipramine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Imipramine is combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Imipramine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Imipramine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Imipramine.]
[G04BA01, ammonium chloride, Imipramine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Imipramine.]
[L04AA06, mycophenolic acid, Imipramine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CA02, amobarbital, The metabolism of Imipramine can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Imipramine.]
[G04CA04, silodosin, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[G03XC01, raloxifene, The metabolism of Imipramine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Imipramine can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Imipramine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Imipramine.]
[J01CA04, amoxicillin, Imipramine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Imipramine is combined with Ropinirole.]
[J01CF06, nafcillin, The metabolism of Imipramine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Imipramine is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Imipramine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Imipramine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Imipramine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Imipramine may increase the vasopressor activities of Naphazoline.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Imipramine.]
[M02AA12, naproxen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Naproxen.]
[A10BG01, troglitazone, Imipramine may decrease the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Imipramine is combined with Duloxetine.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Imipramine.]
[L02BG04, letrozole, The metabolism of Imipramine can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Imipramine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Imipramine is combined with Remifentanil.]
[A10BX02, repaglinide, Imipramine may decrease the hypoglycemic activities of Repaglinide.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Levosimendan.]
[B01AC17, tirofiban, Imipramine may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Imipramine is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[L03AX16, plerixafor, Imipramine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Imipramine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Imipramine can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Imipramine can be decreased when combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[C01CE01, inamrinone, Imipramine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Imipramine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the serotonergic activities of Imipramine.]
[C08CA04, nicardipine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicardipine.]
[C04AE02, nicergoline, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicergoline.]
[P02DA01, niclosamide, The metabolism of Imipramine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Imipramine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Imipramine.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Imipramine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of hypotension can be increased when Imipramine is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of hypotension can be increased when Imipramine is combined with Nisoldipine.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C08CA08, nitrendipine, The risk or severity of hypotension can be increased when Imipramine is combined with Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Imipramine.]
[J01XE01, nitrofurantoin, Imipramine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N04BC05, pramipexole, Imipramine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Imipramine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C01CA03, norepinephrine, Imipramine may increase the vasopressor activities of Norepinephrine.]
[G03DC02, norethindrone, The metabolism of Imipramine can be increased when combined with Norethisterone.]
[S01AE02, norfloxacin, The metabolism of Imipramine can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Imipramine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nortriptyline.]
[A16AX07, sapropterin, The serum concentration of Imipramine can be increased when it is combined with Sapropterin.]
[L03AB07, interferon beta-1a, The metabolism of Imipramine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be decreased when used in combination with Imipramine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Imipramine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Imipramine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Imipramine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Imipramine is combined with Opium.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Imipramine.]
[G04CA02, tamsulosin, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tamsulosin.]
[J01CF04, oxacillin, Imipramine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Imipramine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Imipramine.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Imipramine.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Imipramine is combined with Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Imipramine.]
[S01GA04, oxymetazoline, Imipramine may increase the vasopressor activities of Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Imipramine is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Imipramine.]
[N05AH05, asenapine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M03AC01, pancuronium, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Imipramine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Papaverine.]
[N05CC05, paraldehyde, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the serotonergic activities of Imipramine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Imipramine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Imipramine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Imipramine.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[J01CE09, penicillin G procaine, Imipramine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Imipramine is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Imipramine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Imipramine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Imipramine.]
[N05AB10, perazine, The serum concentration of Imipramine can be increased when it is combined with Perazine.]
[N04BC02, pergolide, Imipramine may increase the vasopressor activities of Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Imipramine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Imipramine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Imipramine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Imipramine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the serotonergic activities of Imipramine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Imipramine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Imipramine is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Imipramine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Imipramine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Imipramine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Imipramine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Imipramine is combined with Phenprocoumon.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Imipramine.]
[V03AB36, phentolamine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Phenylbutazone.]
[S01GA05, phenylephrine, Imipramine may increase the vasopressor activities of Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Imipramine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Imipramine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Imipramine.]
[L04AB06, golimumab, The metabolism of Imipramine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Physostigmine.]
[B02BA01, vitamin K1, Imipramine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[C08CX01, mibefradil, The serum concentration of Imipramine can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Imipramine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Imipramine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Imipramine.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Imipramine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Imipramine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Imipramine.]
[N06BX03, piracetam, Imipramine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Imipramine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Imipramine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Grepafloxacin.]
[N02CX01, pizotyline, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Imipramine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Imipramine may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A10BG02, rosiglitazone, Imipramine may decrease the hypoglycemic activities of Rosiglitazone.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Imipramine.]
[A03AE01, alosetron, The metabolism of Imipramine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Imipramine can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Imipramine may increase the neurotoxic activities of Polymyxin B.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
