[S02DA03, antipyrine, The metabolism of Pomalidomide can be decreased when combined with Antipyrine.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C02KX02, ambrisentan, The serum concentration of Pomalidomide can be increased when it is combined with Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Pomalidomide can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Pomalidomide can be decreased when combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Pomalidomide can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Pomalidomide can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Pomalidomide.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Sibutramine.]
[C10AA01, simvastatin, The serum concentration of Pomalidomide can be increased when it is combined with Simvastatin.]
[A12CA02, sodium sulfate, Pomalidomide may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Pomalidomide.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C07AB13, talinolol, The serum concentration of Pomalidomide can be increased when it is combined with Talinolol.]
[H01AA01, corticotropin, The metabolism of Pomalidomide can be increased when combined with Corticotropin.]
[J01MA05, temafloxacin, The metabolism of Pomalidomide can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Pomalidomide.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Pomalidomide can be increased when combined with Terbinafine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Thiopropazate.]
[G04BD01, emepronium, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Tofisopam is combined with Pomalidomide.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AX11, topiramate, The metabolism of Pomalidomide can be increased when combined with Topiramate.]
[L02BA02, toremifene, The serum concentration of Pomalidomide can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Pomalidomide.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Triclofos is combined with Pomalidomide.]
[A03AB08, tridihexethyl, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Pomalidomide.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Pomalidomide.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Pomalidomide.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Trofosfamide.]
[N04AA12, tropatepine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Pomalidomide.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Pomalidomide.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Urapidil.]
[J01MA04, enoxacin, The serum concentration of Pomalidomide can be increased when it is combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Veralipride.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Pomalidomide.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Pomalidomide.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Pomalidomide.]
[C08CA12, mepirodipine, The metabolism of Pomalidomide can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Pomalidomide can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pomalidomide.]
[N05CF02, zolpidem, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AX15, zonisamide, The serum concentration of Pomalidomide can be increased when it is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Zotepine.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Pomalidomide.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Pomalidomide.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Pomalidomide.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Pomalidomide.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Pomalidomide.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Pomalidomide.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Pomalidomide.]
[N02CA02, ergotamine, The metabolism of Pomalidomide can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Pomalidomide may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The serum concentration of Pomalidomide can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Pomalidomide.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Pomalidomide can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Pomalidomide can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Pomalidomide.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Pomalidomide can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Pomalidomide can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Pomalidomide can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Pomalidomide can be increased when combined with Fluticasone.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Pomalidomide.]
[L02AA03, ethinyl estradiol, The metabolism of Pomalidomide can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N04AA05, profenamine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Pomalidomide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Pomalidomide.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Pomalidomide.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Pomalidomide.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Pomalidomide.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Sertindole is combined with Pomalidomide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Pomalidomide.]
[R06AX11, astemizole, The metabolism of Pomalidomide can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Pomalidomide can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Pomalidomide.]
[N06AB08, fluvoxamine, The serum concentration of Pomalidomide can be increased when it is combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Pomalidomide can be decreased when combined with Tocainide.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Pomalidomide.]
[C10AA03, pravastatin, The serum concentration of Pomalidomide can be increased when it is combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Pomalidomide may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Pomalidomide may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Pomalidomide.]
[A02BA03, famotidine, The metabolism of Pomalidomide can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Pomalidomide can be increased when combined with Albendazole.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Pomalidomide.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Pomalidomide.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Pomalidomide.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Pomalidomide.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Pomalidomide.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G04BD02, flavoxate, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Pomalidomide can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01CF05, floxacillin, The metabolism of Pomalidomide can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The serum concentration of Pomalidomide can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Pomalidomide.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Pomalidomide.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Pomalidomide.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Pomalidomide.]
[D07AC08, fluocinonide, The metabolism of Pomalidomide can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Pomalidomide can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Pomalidomide.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Pomalidomide.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Pomalidomide.]
[N06AB03, fluoxetine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Pomalidomide.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Pomalidomide.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pomalidomide.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fluspirilene is combined with Pomalidomide.]
[L02BB01, flutamide, The metabolism of Pomalidomide can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Pomalidomide.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Pomalidomide.]
[J05AE10, darunavir, The serum concentration of Pomalidomide can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA04, alendronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Pomalidomide is combined with Alendronic acid.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Pomalidomide is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Amisulpride is combined with Pomalidomide.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Gallamine.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AA04, barbexaclone, The metabolism of Pomalidomide can be increased when combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Pomalidomide can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Pomalidomide can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Pomalidomide.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Pomalidomide.]
[J05AG04, etravirine, The metabolism of Pomalidomide can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Methsuximide is combined with Pomalidomide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Pomalidomide.]
[L01EH01, lapatinib, The serum concentration of Pomalidomide can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Pomalidomide can be decreased when combined with Glyburide.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The metabolism of Pomalidomide can be decreased when combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Pomalidomide.]
[C02CA04, doxazosin, The metabolism of Pomalidomide can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The serum concentration of Pomalidomide can be increased when it is combined with Sorafenib.]
[M01CB04, aurothioglucose, Pomalidomide may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Pomalidomide.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[D01BA01, griseofulvin, The metabolism of Pomalidomide can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Pomalidomide.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Pomalidomide.]
[N05AH04, quetiapine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX13, idebenone, Pomalidomide may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Iprazochrome.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Pomalidomide.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Allobarbital.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Pomalidomide.]
[C09CA01, losartan, The metabolism of Pomalidomide can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Pomalidomide.]
[G03DC01, allylestrenol, The metabolism of Pomalidomide can be decreased when combined with Allylestrenol.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Pomalidomide.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Pomalidomide.]
[J05AG01, nevirapine, The metabolism of Pomalidomide can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Pomalidomide can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Pomalidomide.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C02DB02, hydralazine, The metabolism of Pomalidomide can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Pomalidomide can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Pomalidomide may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G04BD06, propiverine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Pomalidomide.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Prothipendyl.]
[B05AA07, hetastarch, Pomalidomide may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Pomalidomide.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[J04AB04, rifabutin, The metabolism of Pomalidomide can be increased when combined with Rifabutin.]
[M05BA07, risedronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Pomalidomide is combined with Risedronic acid.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[B05XA08, sodium acetate, Pomalidomide may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Pomalidomide.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Pomalidomide.]
[L01AA06, ifosfamide, The metabolism of Pomalidomide can be increased when combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Pomalidomide can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pomalidomide.]
[N06AA02, imipramine, The metabolism of Pomalidomide can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Pomalidomide can be increased when combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Pomalidomide can be decreased when combined with Tizanidine.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Pomalidomide.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Pomalidomide.]
[A11HA07, inositol, Pomalidomide may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Pomalidomide.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Pomalidomide.]
[N06AX17, milnacipran, The metabolism of Pomalidomide can be decreased when combined with Milnacipran.]
[A03AA30, piperidolate, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Pomalidomide.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Articaine.]
[A10BH01, sitagliptin, The serum concentration of Pomalidomide can be increased when it is combined with Sitagliptin.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Pomalidomide.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Pomalidomide.]
[R06AE01, buclizine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Pomalidomide can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Pomalidomide can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Pomalidomide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Pomalidomide.]
[V03AB01, ipecac, Pomalidomide may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Iproniazid is combined with Pomalidomide.]
[J05AB13, penciclovir, The metabolism of Pomalidomide can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Pomalidomide.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pomalidomide.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Pomalidomide.]
[J04AC01, isoniazid, The metabolism of Pomalidomide can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Pomalidomide may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Pomalidomide.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Pomalidomide.]
[S01AA24, kanamycin, Pomalidomide may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Pomalidomide can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Pomalidomide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Pomalidomide.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Pomalidomide.]
[J02AB02, ketoconazole, The metabolism of Pomalidomide can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Pomalidomide can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[V03AC03, deferasirox, The serum concentration of Pomalidomide can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Pomalidomide can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Pomalidomide may increase the sedative activities of Rotigotine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01MB02, nalidixic acid, The metabolism of Pomalidomide can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
