[S02DA03, antipyrine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Antipyrine.]
[A12AA11, calcium pangamate, Metolazone may decrease the excretion rate of Calcium pangamate which could result in a higher serum level.]
[N05BA06, lorazepam, Metolazone may increase the excretion rate of Lorazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA11, magnesium chloride, Metolazone may increase the excretion rate of Magnesium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BX01, magnesium hydroxide, The risk or severity of adverse effects can be increased when Metolazone is combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The risk or severity of adverse effects can be increased when Metolazone is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of adverse effects can be increased when Metolazone is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Metolazone may increase the excretion rate of Pralatrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Metolazone is combined with Mannitol.]
[N06AA21, maprotiline, Metolazone may increase the excretion rate of Maprotiline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Metolazone is combined with Mecamylamine.]
[R06AE05, meclizine, The serum concentration of Metolazone can be increased when it is combined with Meclizine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Metolazone can be decreased when used in combination with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Metolazone is combined with Metildigoxin.]
[A06AB07, cascara sagrada, The risk or severity of adverse effects can be increased when Metolazone is combined with Frangula purshiana bark.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Metolazone may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AB02, meperidine, Metolazone may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Metolazone.]
[N03AA01, mephobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Methylphenobarbital is combined with Metolazone.]
[N01BB03, mepivacaine, Metolazone may increase the excretion rate of Mepivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX05, meptazinol, The therapeutic efficacy of Metolazone can be decreased when used in combination with Meptazinol.]
[G04BX16, tiopronin, Metolazone may increase the excretion rate of Tiopronin which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BC01, mersalyl, Metolazone may increase the excretion rate of Mersalyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Metolazone may increase the excretion rate of Paliperidone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Metolazone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Metolazone.]
[N07BC02, methadone, Metolazone may increase the excretion rate of Methadone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA03, methamphetamine, Metolazone may increase the excretion rate of Metamfetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB07, methantheline, The serum concentration of Metolazone can be increased when it is combined with Methantheline.]
[J05AF05, lamivudine, Metolazone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA30, metharbital, The serum concentration of Metolazone can be increased when it is combined with Metharbital.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Metolazone.]
[H03BB02, methimazole, Metolazone may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BA04, pemetrexed, Metolazone may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, The risk or severity of hypotension and orthostatic hypotension can be increased when Methohexital is combined with Metolazone.]
[A11HA02, pyridoxine, Metolazone may increase the excretion rate of Pyridoxine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Metolazone is combined with Ziconotide.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Metolazone is combined with Methotrexate.]
[N05AA02, methotrimeprazine, Methotrimeprazine may decrease the antihypertensive activities of Metolazone.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Metolazone.]
[D05BA02, methoxsalen, Metolazone may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Metolazone.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Metolazone can be increased when used in combination with Methyclothiazide.]
[A06AC06, methylcellulose, The risk or severity of adverse effects can be increased when Metolazone is combined with Methylcellulose.]
[C02AB01, methyldopa, Metolazone may increase the excretion rate of Methyldopa which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Metolazone.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Metolazone.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Metolazone.]
[H02AB04, methylprednisolone, Methylprednisolone may increase the hypokalemic activities of Metolazone.]
[D07AC14, methylprednisolone aceponate, Methylprednisolone aceponate may increase the hypokalemic activities of Metolazone.]
[G03EK01, methyltestosterone, Metolazone may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA04, methysergide, Methysergide may decrease the antihypertensive activities of Metolazone.]
[A03FA01, metoclopramide, Metolazone may increase the excretion rate of Metoclopramide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA05, pentaerythritol tetranitrate, Metolazone may increase the excretion rate of Pentaerythritol tetranitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA09, fluticasone furoate, Fluticasone furoate may increase the hypokalemic activities of Metolazone.]
[C07AB02, metoprolol, Metolazone may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CD01, metyrapone, Metolazone may increase the excretion rate of Metyrapone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Metolazone.]
[N02BB03, aminopyrine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Aminophenazone.]
[N05CD08, midazolam, Metolazone may increase the excretion rate of Midazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Metolazone.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Metolazone.]
[A06AA01, mineral oil, The risk or severity of adverse effects can be increased when Metolazone is combined with Mineral oil.]
[J05AH01, zanamivir, Metolazone may increase the excretion rate of Zanamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Metolazone.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Metolazone.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Metolazone.]
[L03AC01, aldesleukin, Metolazone may increase the excretion rate of Aldesleukin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Metolazone.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Metolazone is combined with Amiodarone.]
[N06AA09, amitriptyline, Metolazone may increase the excretion rate of Amitriptyline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA01, morphine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Morphine.]
[A04AA05, palonosetron, Metolazone may increase the excretion rate of Palonosetron which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Metolazone may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BA01, ammonium chloride, Metolazone may increase the excretion rate of Ammonium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA06, mycophenolic acid, Metolazone may increase the excretion rate of Mycophenolic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC03, vecuronium, The serum concentration of Metolazone can be increased when it is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Amobarbital is combined with Metolazone.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Metolazone is combined with Silodosin.]
[N06AA17, amoxapine, Amoxapine may decrease the antihypertensive activities of Metolazone.]
[C07AA12, nadolol, Metolazone may increase the excretion rate of Nadolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA04, amoxicillin, Metolazone may increase the excretion rate of Amoxicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Metolazone.]
[N02AF02, nalbuphine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, Metolazone may increase the excretion rate of Naloxone which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BB04, naltrexone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Naltrexone.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Metolazone.]
[N06BA01, amphetamine, Metolazone may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA12, naproxen, The therapeutic efficacy of Metolazone can be decreased when used in combination with Naproxen.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Metolazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Metolazone is combined with Duloxetine.]
[N04BX01, tolcapone, Metolazone may increase the excretion rate of Tolcapone which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA01, neomycin, Metolazone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The therapeutic efficacy of Metolazone can be decreased when used in combination with Remifentanil.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Metolazone.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Metolazone is combined with Levosimendan.]
[B01AC17, tirofiban, Metolazone may increase the excretion rate of Tirofiban which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX14, iloperidone, Iloperidone may decrease the antihypertensive activities of Metolazone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Metolazone is combined with Amphotericin B.]
[S01AA19, ampicillin, Metolazone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AX16, plerixafor, Metolazone may increase the excretion rate of Plerixafor which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA23, netilmicin, Metolazone may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of hyponatremia can be increased when Desvenlafaxine is combined with Metolazone.]
[C09CA07, telmisartan, Metolazone may increase the hypotensive activities of Telmisartan.]
[J05AB11, valacyclovir, Metolazone may increase the excretion rate of Valaciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[H05BX02, paricalcitol, The risk or severity of hypokalemia can be increased when Paricalcitol is combined with Metolazone.]
[C01CE01, inamrinone, Metolazone may increase the excretion rate of Amrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Metolazone.]
[C08CA04, nicardipine, Metolazone may increase the hypotensive activities of Nicardipine.]
[C04AE02, nicergoline, Nicergoline may decrease the antihypertensive activities of Metolazone.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Metolazone is combined with Nicotine.]
[C08CA05, nifedipine, Metolazone may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA17, niflumic acid, The therapeutic efficacy of Metolazone can be decreased when used in combination with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Metolazone is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the hypotensive activities of Metolazone.]
[C08CA07, nisoldipine, Metolazone may increase the excretion rate of Nisoldipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA08, nitrendipine, Metolazone may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Metolazone may increase the excretion rate of Nitric Oxide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XE01, nitrofurantoin, Metolazone may increase the excretion rate of Nitrofurantoin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF03, zaleplon, Metolazone may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC05, pramipexole, Metolazone may increase the excretion rate of Pramipexole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DD01, nitroprusside, Metolazone may increase the excretion rate of Nitroprusside which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Metolazone.]
[C01CA03, norepinephrine, The risk or severity of Cardiac Arrhythmia can be increased when Norepinephrine is combined with Metolazone.]
[C02KX01, bosentan, Metolazone may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may decrease the antihypertensive activities of Metolazone.]
[G02CA02, nylidrin, Nylidrin may decrease the antihypertensive activities of Metolazone.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Metolazone.]
[N02AA02, opium, Metolazone may increase the excretion rate of Opium which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB03, metaproterenol, Orciprenaline may decrease the antihypertensive activities of Metolazone.]
[G04CA02, tamsulosin, Metolazone may increase the excretion rate of Tamsulosin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AC01, ouabain, The risk or severity of adverse effects can be increased when Metolazone is combined with Ouabain.]
[J01CF04, oxacillin, Metolazone may increase the excretion rate of Oxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA04, oxazepam, Metolazone may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA02, oxprenolol, Metolazone may increase the hypotensive activities of Oxprenolol.]
[N02AA05, oxycodone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Oxycodone.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Metolazone.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Metolazone can be decreased when used in combination with Oxymetazoline.]
[N02AA11, oxymorphone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Oxymorphone.]
[S01BC02, oxyphenbutazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The serum concentration of Metolazone can be increased when it is combined with Oxyphenonium.]
[N05AH05, asenapine, Asenapine may decrease the antihypertensive activities of Metolazone.]
[N02AX06, tapentadol, The therapeutic efficacy of Metolazone can be decreased when used in combination with Tapentadol.]
[M03AC01, pancuronium, The serum concentration of Metolazone can be increased when it is combined with Pancuronium.]
[J04AB30, capreomycin, Metolazone may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Metolazone is combined with Papaverine.]
[H02AB05, paramethasone, Paramethasone may increase the hypokalemic activities of Metolazone.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Metolazone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[G04BD11, fesoterodine, Metolazone may increase the excretion rate of Fesoterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA23, penbutolol, Metolazone may increase the excretion rate of Penbutolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CE09, penicillin G procaine, Metolazone may increase the excretion rate of Procaine benzylpenicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA14, penicillin G, Metolazone may decrease the excretion rate of Benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Pentobarbital is combined with Metolazone.]
[L01XX08, pentostatin, Metolazone may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Metolazone.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Metolazone.]
[N02AD02, phenazocine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Phenazocine.]
[G04BX06, phenazopyridine, Metolazone may increase the excretion rate of Phenazopyridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Metolazone.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Metolazone.]
[N03AA02, phenobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Phenobarbital is combined with Metolazone.]
[A06AB01, oxyphenisatin, The risk or severity of adverse effects can be increased when Metolazone is combined with Oxyphenisatin.]
[N01AH04, phenoperidine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Phenoperidine.]
[C04AX02, phenoxybenzamine, Phenoxybenzamine may decrease the antihypertensive activities of Metolazone.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Metolazone.]
[V03AB36, phentolamine, Metolazone may increase the excretion rate of Phentolamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, Phenylephrine may decrease the antihypertensive activities of Metolazone.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may decrease the antihypertensive activities of Metolazone.]
[S01AE05, levofloxacin, Metolazone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B02BA01, vitamin K1, Metolazone may increase the excretion rate of Phylloquinone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AB12, cidofovir, Metolazone may increase the excretion rate of Cidofovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CX01, mibefradil, Metolazone may increase the hypotensive activities of Mibefradil.]
[C07AA03, pindolol, Metolazone may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA12, piperacillin, Metolazone may increase the excretion rate of Piperacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BX03, piracetam, Metolazone may increase the excretion rate of Piracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA02, eprosartan, Metolazone may increase the hypotensive activities of Eprosartan.]
[A02BX03, pirenzepine, The serum concentration of Metolazone can be increased when it is combined with Pirenzepine.]
[N02AC03, pirinitramide, The therapeutic efficacy of Metolazone can be decreased when used in combination with Piritramide.]
[S01BC06, piroxicam, The therapeutic efficacy of Metolazone can be decreased when used in combination with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[N02CX01, pizotyline, Pizotifen may decrease the antihypertensive activities of Metolazone.]
[C09CA04, irbesartan, Metolazone may increase the hypotensive activities of Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Metolazone.]
[A06AD15, polyethylene glycols, The risk or severity of adverse effects can be increased when Metolazone is combined with Polyethylene glycol.]
[C03AA05, polythiazide, The therapeutic efficacy of Metolazone can be increased when used in combination with Polythiazide.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Metolazone.]
[B05XA01, potassium chloride, Metolazone may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Metolazone is combined with Insulin lispro.]
[C07AB01, practolol, Metolazone may increase the hypotensive activities of Practolol.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Metolazone.]
[S03BA02, prednisolone, Prednisolone may increase the hypokalemic activities of Metolazone.]
[H02AB07, prednisone, Prednisone may increase the hypokalemic activities of Metolazone.]
[N03AA03, primidone, The risk or severity of hypotension and orthostatic hypotension can be increased when Primidone is combined with Metolazone.]
[M04AB01, probenecid, Metolazone may increase the excretion rate of Probenecid which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA02, procainamide, Metolazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Metolazone.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Metolazone.]
[C10AB05, fenofibrate, Metolazone may increase the excretion rate of Fenofibrate which could result in a lower serum level and potentially a reduction in efficacy.]
[N04AA04, procyclidine, The serum concentration of Metolazone can be increased when it is combined with Procyclidine.]
[N05AA03, promazine, Promazine may decrease the antihypertensive activities of Metolazone.]
[R06AD02, promethazine, Metolazone may increase the excretion rate of Promethazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BC03, propafenone, Propafenone may decrease the antihypertensive activities of Metolazone.]
[A03AB05, propantheline, Metolazone may increase the excretion rate of Propantheline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC01, periciazine, Periciazine may decrease the antihypertensive activities of Metolazone.]
[N05CM06, propiomazine, Propiomazine may decrease the antihypertensive activities of Metolazone.]
[N01AX10, propofol, Propofol may decrease the antihypertensive activities of Metolazone.]
[N02AC04, propoxyphene, The therapeutic efficacy of Metolazone can be decreased when used in combination with Dextropropoxyphene.]
[C07AA05, propranolol, Metolazone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AB01, proscillaridin, The risk or severity of adverse effects can be increased when Metolazone is combined with Proscillaridin.]
[N02CC04, rizatriptan, Metolazone may increase the excretion rate of Rizatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Metolazone.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Metolazone.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Metolazone.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Metolazone.]
[N07XX07, dalfampridine, Metolazone may increase the excretion rate of Dalfampridine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB15, diphemanil, The serum concentration of Metolazone can be increased when it is combined with Diphemanil.]
[A03AB09, isopropamide, The serum concentration of Metolazone can be increased when it is combined with Isopropamide.]
[S01FA03, methscopolamine, The serum concentration of Metolazone can be increased when it is combined with Methscopolamine.]
[N05CA07, talbutal, The serum concentration of Metolazone can be increased when it is combined with Talbutal.]
[P02CC01, pyrantel, Metolazone may increase the excretion rate of Pyrantel which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK01, pyrazinamide, Metolazone may increase the excretion rate of Pyrazinamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA01, quinidine, Metolazone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Metolazone.]
[A02BA02, ranitidine, Metolazone may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA01, rescinnamine, The risk or severity of hypotension can be increased when Metolazone is combined with Rescinnamine.]
[C02AA02, reserpine, Metolazone may increase the excretion rate of Reserpine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP01, ribavirin, Metolazone may increase the excretion rate of Ribavirin which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Metolazone.]
[G02CA01, ritodrine, Ritodrine may decrease the antihypertensive activities of Metolazone.]
[N02BA05, salicylamide, The therapeutic efficacy of Metolazone can be decreased when used in combination with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The therapeutic efficacy of Metolazone can be decreased when used in combination with Salicylic acid.]
[S01FA02, scopolamine, The serum concentration of Metolazone can be increased when it is combined with Scopolamine.]
[N05CA06, secobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Secobarbital is combined with Metolazone.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Metolazone.]
[L01FA03, obinutuzumab, Metolazone may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Metolazone may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Metolazone may increase the excretion rate of Sodium fluoride which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CC01, sorbitol, The risk or severity of adverse effects can be increased when Metolazone is combined with Sorbitol.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Sotalol is combined with Metolazone.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, The serum concentration of Metolazone can be increased when it is combined with Ipratropium.]
