[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Ranolazine.]
[N06AX17, milnacipran, The metabolism of Ranolazine can be decreased when combined with Milnacipran.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Ranolazine.]
[A10BH01, sitagliptin, The serum concentration of Sitagliptin can be increased when it is combined with Ranolazine.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Ranolazine.]
[N05CH02, ramelteon, Ranolazine may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Ranolazine.]
[C10AA06, cerivastatin, The metabolism of Ranolazine can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Anagrelide.]
[C07AA01, alprenolol, The serum concentration of Alprenolol can be increased when it is combined with Ranolazine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The serum concentration of Ipecac can be increased when it is combined with Ranolazine.]
[N06AF05, iproniazid, The metabolism of Ranolazine can be decreased when combined with Iproniazid.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ranolazine.]
[N04BX02, entacapone, The metabolism of Ranolazine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Ranolazine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Ranolazine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, Ranolazine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[N06AX18, reboxetine, The metabolism of Ranolazine can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Ranolazine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Ranolazine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ranolazine can be increased when combined with Ketamine.]
[B01AC22, prasugrel, Ranolazine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Ranolazine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The serum concentration of Olanzapine can be increased when it is combined with Ranolazine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Ranolazine can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Ranolazine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Mizolastine.]
[N04BC09, rotigotine, The serum concentration of Rotigotine can be increased when it is combined with Ranolazine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C07AG01, labetalol, The serum concentration of Labetalol can be increased when it is combined with Ranolazine.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Ranolazine.]
[A06AX03, lubiprostone, Ranolazine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Ranolazine.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Ranolazine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Ranolazine.]
[S01AA21, amikacin, Ranolazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Ranolazine can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Ranolazine.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The serum concentration of Lisuride can be increased when it is combined with Ranolazine.]
[A07DA03, loperamide, The serum concentration of Loperamide can be increased when it is combined with Ranolazine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C10AA02, lovastatin, The risk or severity of myopathy and rhabdomyolysis can be increased when Ranolazine is combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of Ranolazine can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Ranolazine can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Ranolazine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Ranolazine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Ranolazine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Ranolazine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Mannitol can be increased when it is combined with Ranolazine.]
[N06AA21, maprotiline, The serum concentration of Maprotiline can be increased when it is combined with Ranolazine.]
[C02BB01, mecamylamine, Ranolazine may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[R06AE05, meclizine, The serum concentration of Meclizine can be increased when it is combined with Ranolazine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Ranolazine.]
[P01BC02, mefloquine, The serum concentration of Ranolazine can be increased when it is combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, The serum concentration of Memantine can be increased when it is combined with Ranolazine.]
[N02AB02, meperidine, Ranolazine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N03AB04, mephenytoin, The serum concentration of Mephenytoin can be increased when it is combined with Ranolazine.]
[N03AA01, mephobarbital, The metabolism of Ranolazine can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, Ranolazine may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Ranolazine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The metabolism of Ranolazine can be increased when combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The serum concentration of Mesoridazine can be increased when it is combined with Ranolazine.]
[N05AX13, paliperidone, The serum concentration of Ranolazine can be increased when it is combined with Paliperidone.]
[A10BA02, metformin, The serum concentration of Metformin can be increased when it is combined with Ranolazine.]
[A04AA04, dolasetron, The serum concentration of Dolasetron can be increased when it is combined with Ranolazine.]
[N07BC02, methadone, The serum concentration of Methadone can be increased when it is combined with Ranolazine.]
[N06BA03, methamphetamine, The serum concentration of Metamfetamine can be increased when it is combined with Ranolazine.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Ranolazine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Ranolazine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Ranolazine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Ranolazine.]
[N05AA02, methotrimeprazine, The serum concentration of Methotrimeprazine can be increased when it is combined with Ranolazine.]
[D05BA02, methoxsalen, Ranolazine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The serum concentration of Methoxyflurane can be increased when it is combined with Ranolazine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Ranolazine may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Ranolazine can be increased when it is combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Ranolazine.]
[H02AB04, methylprednisolone, The metabolism of Ranolazine can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Ranolazine can be increased when combined with Rufinamide.]
[G03EK01, methyltestosterone, Ranolazine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Ranolazine.]
[A03FA01, metoclopramide, The serum concentration of Metoclopramide can be increased when it is combined with Ranolazine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The serum concentration of Metoprolol can be increased when it is combined with Ranolazine.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ranolazine.]
[V04CD01, metyrapone, The metabolism of Ranolazine can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The serum concentration of Mexiletine can be increased when it is combined with Ranolazine.]
[N06AX03, mianserin, The serum concentration of Mianserin can be increased when it is combined with Ranolazine.]
[S02AA13, miconazole, The metabolism of Ranolazine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The serum concentration of Aminophenazone can be increased when it is combined with Ranolazine.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Ranolazine.]
[G03XB01, mifepristone, The metabolism of Ranolazine can be increased when combined with Mifepristone.]
[J05AH01, zanamivir, Ranolazine may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[L01XX23, mitotane, The metabolism of Ranolazine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The serum concentration of Lisdexamfetamine can be increased when it is combined with Ranolazine.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Ranolazine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Ranolazine.]
[N02AA01, morphine, The serum concentration of Morphine can be increased when it is combined with Ranolazine.]
[A04AA05, palonosetron, The serum concentration of Palonosetron can be increased when it is combined with Ranolazine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Ranolazine can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Ranolazine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Ranolazine.]
[L04AA06, mycophenolic acid, Ranolazine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N05CA02, amobarbital, The metabolism of Ranolazine can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Ranolazine.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Ranolazine.]
[N06AA17, amoxapine, The serum concentration of Amoxapine can be increased when it is combined with Ranolazine.]
[N03AB05, fosphenytoin, The metabolism of Ranolazine can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The serum concentration of Nadolol can be increased when it is combined with Ranolazine.]
[J01CA04, amoxicillin, Ranolazine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[J01CF06, nafcillin, The metabolism of Ranolazine can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Ranolazine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Ranolazine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The serum concentration of Amphetamine can be increased when it is combined with Ranolazine.]
[M02AA12, naproxen, Ranolazine may decrease the excretion rate of Naproxen which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Ranolazine can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The serum concentration of Duloxetine can be increased when it is combined with Ranolazine.]
[N04BX01, tolcapone, Ranolazine may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Ranolazine.]
[S03AA01, neomycin, Ranolazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, Ranolazine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Levosimendan.]
[B01AC17, tirofiban, Ranolazine may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Ranolazine.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[S01AA19, ampicillin, Ranolazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Ranolazine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Ranolazine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Ranolazine can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Ranolazine may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C01CE01, inamrinone, Ranolazine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Ranolazine can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Ranolazine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The serum concentration of Nicergoline can be increased when it is combined with Ranolazine.]
[C08CA05, nifedipine, The metabolism of Ranolazine can be increased when combined with Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Nimodipine.]
[C08CA07, nisoldipine, Ranolazine may decrease the excretion rate of Nisoldipine which could result in a higher serum level.]
[C08CA08, nitrendipine, Ranolazine may decrease the excretion rate of Nitrendipine which could result in a higher serum level.]
[R07AX01, nitric oxide, Ranolazine may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Ranolazine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Ranolazine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Ranolazine.]
[C02DD01, nitroprusside, Ranolazine may decrease the excretion rate of Nitroprusside which could result in a higher serum level.]
[C01CA03, norepinephrine, The serum concentration of Norepinephrine can be increased when it is combined with Ranolazine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Ranolazine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ranolazine.]
[C02KX01, bosentan, The metabolism of Ranolazine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Ranolazine.]
[A16AX07, sapropterin, The serum concentration of Ranolazine can be increased when it is combined with Sapropterin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Ranolazine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Ranolazine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Ranolazine can be increased when combined with Omeprazole.]
[N02AA02, opium, The serum concentration of Opium can be increased when it is combined with Ranolazine.]
[G04CA02, tamsulosin, The serum concentration of Tamsulosin can be increased when it is combined with Ranolazine.]
[J01CF04, oxacillin, Ranolazine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Ranolazine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Ranolazine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Ranolazine.]
[C07AA02, oxprenolol, The serum concentration of Oxprenolol can be increased when it is combined with Ranolazine.]
[N02AA05, oxycodone, The serum concentration of Oxycodone can be increased when it is combined with Ranolazine.]
[N02AA11, oxymorphone, The serum concentration of Oxymorphone can be increased when it is combined with Ranolazine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Ranolazine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Asenapine.]
[J04AB30, capreomycin, Ranolazine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Papaverine.]
[H02AB05, paramethasone, The metabolism of Ranolazine can be increased when combined with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Ranolazine.]
[G04BD11, fesoterodine, The serum concentration of Fesoterodine can be increased when it is combined with Ranolazine.]
[C07AA23, penbutolol, The serum concentration of Penbutolol can be increased when it is combined with Ranolazine.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Ranolazine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Ranolazine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Ranolazine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Ranolazine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C08EX02, perhexiline, The serum concentration of Perhexiline can be increased when it is combined with Ranolazine.]
[N05AB03, perphenazine, The serum concentration of Perphenazine can be increased when it is combined with Ranolazine.]
[N02BE03, phenacetin, The serum concentration of Phenacetin can be increased when it is combined with Ranolazine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N06AF03, phenelzine, Ranolazine may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The serum concentration of Phenformin can be increased when it is combined with Ranolazine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Ranolazine.]
[N03AA02, phenobarbital, The metabolism of Ranolazine can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Ranolazine.]
[V03AB36, phentolamine, Ranolazine may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Ranolazine can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Ranolazine can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Ranolazine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Ranolazine.]
[B02BA01, vitamin K1, Ranolazine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C08CX01, mibefradil, The serum concentration of Ranolazine can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The serum concentration of Pimozide can be increased when it is combined with Ranolazine.]
[C07AA03, pindolol, The serum concentration of Pindolol can be increased when it is combined with Ranolazine.]
[C10AA05, atorvastatin, The serum concentration of Atorvastatin can be increased when it is combined with Ranolazine.]
[J01CA12, piperacillin, Ranolazine may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Ranolazine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The serum concentration of Piperazine can be increased when it is combined with Ranolazine.]
[N05AC04, pipothiazine, The serum concentration of Pipotiazine can be increased when it is combined with Ranolazine.]
[N06BX03, piracetam, Ranolazine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Ranolazine can be decreased when combined with Delavirdine.]
[A10BG02, rosiglitazone, Ranolazine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L04AC08, canakinumab, The metabolism of Ranolazine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Ranolazine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Ranolazine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Ranolazine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C10AA08, pitavastatin, Ranolazine may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, The serum concentration of Practolol can be increased when it is combined with Ranolazine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Ranolazine.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Ranolazine.]
[S03BA02, prednisolone, The metabolism of Ranolazine can be increased when combined with Prednisolone.]
[H02AB07, prednisone, Ranolazine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Prenylamine.]
[P01BA03, primaquine, The metabolism of Ranolazine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Ranolazine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Ranolazine can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Probucol.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Ranolazine.]
[C10AB05, fenofibrate, Ranolazine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The serum concentration of Prochlorperazine can be increased when it is combined with Ranolazine.]
[G03DA04, progesterone, The metabolism of Ranolazine can be increased when combined with Progesterone.]
[N05AA03, promazine, The serum concentration of Promazine can be increased when it is combined with Ranolazine.]
[R06AD02, promethazine, The serum concentration of Promethazine can be increased when it is combined with Ranolazine.]
[C01BC03, propafenone, The serum concentration of Ranolazine can be increased when it is combined with Propafenone.]
[A03AB05, propantheline, Ranolazine may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Ranolazine.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Ranolazine.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Ranolazine.]
[N02AC04, propoxyphene, The serum concentration of Dextropropoxyphene can be increased when it is combined with Ranolazine.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Ranolazine.]
[N02CC04, rizatriptan, Ranolazine may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Ranolazine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Ranolazine.]
[N05AX12, aripiprazole, The serum concentration of Aripiprazole can be increased when it is combined with Ranolazine.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Ranolazine.]
[P02CC01, pyrantel, Ranolazine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Ranolazine may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[R06AC01, pyrilamine, The metabolism of Ranolazine can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, The serum concentration of Ranolazine can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The metabolism of Ranolazine can be increased when combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Ranolazine.]
[C02AA02, reserpine, The serum concentration of Ranolazine can be increased when it is combined with Reserpine.]
[J05AP01, ribavirin, Ranolazine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Ranolazine can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N05CA06, secobarbital, The metabolism of Ranolazine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The serum concentration of Selegiline can be increased when it is combined with Ranolazine.]
[J01GB08, sisomicin, Ranolazine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Ranolazine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Ranolazine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The serum concentration of Sotalol can be increased when it is combined with Ranolazine.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Ranolazine.]
[C03DA01, spironolactone, Ranolazine may decrease the excretion rate of Spironolactone which could result in a higher serum level.]
[N05CC01, chloral hydrate, Ranolazine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Valproic acid.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AB02, hydrocortisone butyrate, The metabolism of Ranolazine can be increased when combined with Hydrocortisone butyrate.]
[D07AB11, hydrocortisone probutate, The metabolism of Ranolazine can be increased when combined with Hydrocortisone probutate.]
[C01DA14, isosorbide mononitrate, Ranolazine may increase the vasodilatory activities of Isosorbide mononitrate.]
[H02CA04, levoketoconazole, The metabolism of Ranolazine can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Ranolazine may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
