[P02BB01, trichlorfon, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Metrifonate.]
[C03BA02, quinethazone, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Quinethazone.]
[L03AB09, interferon alfacon-1, The metabolism of Paroxetine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Paroxetine.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Iprindole is combined with Paroxetine.]
[N06AF05, iproniazid, Iproniazid may increase the serotonergic activities of Paroxetine.]
[J05AB13, penciclovir, The metabolism of Paroxetine can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Chlorproethazine is combined with Paroxetine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the serotonergic activities of Paroxetine.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Isoetharine is combined with Paroxetine.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Paroxetine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Paroxetine.]
[J04AC01, isoniazid, The metabolism of Paroxetine can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Isoprenaline.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Exenatide.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Isoxsuprine.]
[B01AE06, bivalirudin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Bivalirudin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Paroxetine.]
[H01AC01, somatropin, The metabolism of Paroxetine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Paroxetine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Paroxetine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Ketanserin is combined with Paroxetine.]
[B01AC22, prasugrel, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Paroxetine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Paroxetine.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Paroxetine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Paroxetine can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Arbutamine.]
[N04BC09, rotigotine, Paroxetine may increase the sedative activities of Rotigotine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Paroxetine.]
[J01MB02, nalidixic acid, The metabolism of Paroxetine can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Paroxetine.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Amantadine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Paroxetine.]
[N07AA30, ambenonium, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Paroxetine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Paroxetine.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Paroxetine.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Paroxetine.]
[N06BA13, armodafinil, The metabolism of Paroxetine can be decreased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Paroxetine.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Paroxetine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Lofepramine is combined with Paroxetine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Paroxetine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Paroxetine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Paroxetine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Paroxetine.]
[L01EG01, temsirolimus, The metabolism of Paroxetine can be decreased when combined with Temsirolimus.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Paroxetine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Paroxetine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Paroxetine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Paroxetine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Paroxetine.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Paroxetine.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Paroxetine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Paroxetine.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Medazepam is combined with Paroxetine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Paroxetine.]
[P01BC02, mefloquine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Paroxetine.]
[N06DX01, memantine, The metabolism of Paroxetine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Paroxetine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Paroxetine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Paroxetine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Paroxetine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Paroxetine.]
[N02AX05, meptazinol, The risk or severity of serotonin syndrome can be increased when Meptazinol is combined with Paroxetine.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Paroxetine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Paroxetine.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Metaraminol is combined with Paroxetine.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Metformin.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Paroxetine.]
[H01CB03, lanreotide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Paroxetine.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Paroxetine.]
[A03AB07, methantheline, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Paroxetine.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Paroxetine.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Paroxetine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Metergoline is combined with Paroxetine.]
[H03BB02, methimazole, The metabolism of Paroxetine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Paroxetine can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Paroxetine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Paroxetine.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Ziconotide is combined with Paroxetine.]
[N05AA02, methotrimeprazine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Methoxamine.]
[D05BA02, methoxsalen, The metabolism of Paroxetine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Paroxetine.]
[C03AA08, methyclothiazide, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Methyclothiazide.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Paroxetine.]
[V04CG05, methylene blue, Paroxetine may increase the serotonergic activities of Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Paroxetine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Paroxetine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Paroxetine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Paroxetine.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Paroxetine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Paroxetine.]
[C03BA08, metolazone, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Metolazone.]
[C07AB02, metoprolol, The metabolism of Paroxetine can be decreased when combined with Metoprolol.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Paroxetine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Paroxetine.]
[S02AA13, miconazole, The metabolism of Paroxetine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Paroxetine.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Midodrine is combined with Paroxetine.]
[G03XB01, mifepristone, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Tinzaparin.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Paroxetine.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Paroxetine.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[L01XX23, mitotane, The metabolism of Paroxetine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Paroxetine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Paroxetine.]
[C01BD01, amiodarone, The metabolism of Paroxetine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Paroxetine.]
[N02AA01, morphine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Paroxetine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Paroxetine.]
[L04AB05, certolizumab pegol, The metabolism of Paroxetine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Paroxetine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Paroxetine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Paroxetine.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Paroxetine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Paroxetine.]
[N03AB05, fosphenytoin, The serum concentration of Paroxetine can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Paroxetine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Paroxetine.]
[N04BC04, ropinirole, Paroxetine may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Paroxetine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Naftidrofuryl is combined with Paroxetine.]
[N02AF02, nalbuphine, The risk or severity of serotonin syndrome can be increased when Nalbuphine is combined with Paroxetine.]
[V03AB15, naloxone, The metabolism of Paroxetine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Paroxetine.]
[L04AC03, anakinra, The metabolism of Paroxetine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Naphazoline.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Paroxetine.]
[M02AA12, naproxen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Naproxen.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Paroxetine can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Paroxetine.]
[L02BG04, letrozole, The metabolism of Paroxetine can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of serotonin syndrome can be increased when Remifentanil is combined with Paroxetine.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Repaglinide.]
[B01AC17, tirofiban, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Tirofiban.]
[S01EB06, neostigmine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Paroxetine.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Paroxetine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Paroxetine can be decreased when combined with Telmisartan.]
[C10AD02, niacin, The metabolism of Paroxetine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the serotonergic activities of Paroxetine.]
[C08CA04, nicardipine, The metabolism of Paroxetine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Paroxetine.]
[P02DA01, niclosamide, The metabolism of Paroxetine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Paroxetine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Paroxetine.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Niflumic acid.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Paroxetine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Paroxetine.]
[N04BC05, pramipexole, Paroxetine may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Paroxetine.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Paroxetine.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Norepinephrine is combined with Paroxetine.]
[S01AE02, norfloxacin, The metabolism of Paroxetine can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Paroxetine.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Paroxetine.]
[B01AC16, eptifibatide, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Eptifibatide.]
[L03AB07, interferon beta-1a, The metabolism of Paroxetine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Reviparin.]
[H01CB02, octreotide, The risk or severity of hypoglycemia can be increased when Octreotide is combined with Paroxetine.]
[L04AC04, rilonacept, The metabolism of Paroxetine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Paroxetine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Opipramol is combined with Paroxetine.]
[N02AA02, opium, The risk or severity of serotonin syndrome can be increased when Opium is combined with Paroxetine.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Orciprenaline.]
[B01AD07, reteplase, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Ancrod.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Paroxetine.]
[P02BA02, oxamniquine, The metabolism of Paroxetine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Paroxetine.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Paroxetine.]
[N02AA05, oxycodone, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Paroxetine.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of serotonin syndrome can be increased when Oxymorphone is combined with Paroxetine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Oxypertine is combined with Paroxetine.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Asenapine is combined with Paroxetine.]
[B01AB09, danaparoid, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Danaparoid.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Paroxetine.]
[N05CC05, paraldehyde, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the serotonergic activities of Paroxetine.]
[J01MA03, pefloxacin, The metabolism of Paroxetine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Paroxetine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Paroxetine.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Penfluridol is combined with Paroxetine.]
[N02AD01, pentazocine, The risk or severity of serotonin syndrome can be increased when Pentazocine is combined with Paroxetine.]
[N05CA01, pentobarbital, The metabolism of Paroxetine can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Perazine is combined with Paroxetine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Paroxetine.]
[C08EX02, perhexiline, The metabolism of Paroxetine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Paroxetine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Paroxetine.]
[N02AD02, phenazocine, The risk or severity of serotonin syndrome can be increased when Phenazocine is combined with Paroxetine.]
[N06AF03, phenelzine, Phenelzine may increase the serotonergic activities of Paroxetine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Paroxetine.]
[B01AA02, phenindione, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Paroxetine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Paroxetine.]
[N01AH04, phenoperidine, The risk or severity of serotonin syndrome can be increased when Phenoperidine is combined with Paroxetine.]
[B01AA04, phenprocoumon, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Paroxetine.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Paroxetine can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Paroxetine can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Phenylpropanolamine is combined with Paroxetine.]
[N03AB02, phenytoin, The serum concentration of Paroxetine can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Paroxetine can be increased when combined with Golimumab.]
[V03AB19, physostigmine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Physostigmine.]
[C08CX01, mibefradil, The metabolism of Paroxetine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Paroxetine is combined with Pimozide.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Paroxetine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Paroxetine.]
[J05AE01, saquinavir, The metabolism of Paroxetine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Paroxetine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Paroxetine.]
[A02BX03, pirenzepine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of serotonin syndrome can be increased when Piritramide is combined with Paroxetine.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Piroxicam.]
[J01MA11, grepafloxacin, The metabolism of Paroxetine can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, The risk or severity of adverse effects can be increased when Pizotifen is combined with Paroxetine.]
[J05AG02, delavirdine, The metabolism of Paroxetine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Paroxetine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Proxibarbal is combined with Paroxetine.]
[B01AC13, abciximab, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Alteplase.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Rosiglitazone.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Paroxetine.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Paroxetine.]
[L04AC08, canakinumab, The metabolism of Paroxetine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Paroxetine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Saxagliptin.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Paroxetine is combined with Potassium chloride.]
[V03AB21, potassium iodide, The therapeutic efficacy of Potassium Iodide can be decreased when used in combination with Paroxetine.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Paroxetine.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Paroxetine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Paroxetine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Paroxetine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Paroxetine.]
[P01BA03, primaquine, The metabolism of Paroxetine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Paroxetine can be increased when combined with Primidone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Paroxetine.]
[S01HA05, procaine, Procaine may increase the serotonergic activities of Paroxetine.]
[L01XB01, procarbazine, Procarbazine may increase the serotonergic activities of Paroxetine.]
[C10AB05, fenofibrate, The metabolism of Paroxetine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Paroxetine.]
[N04AA04, procyclidine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Paroxetine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Paroxetine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Paroxetine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Paroxetine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Propanidid is combined with Paroxetine.]
[A03AB05, propantheline, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Paroxetine.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Paroxetine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Paroxetine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Paroxetine.]
[N02AC04, propoxyphene, The risk or severity of serotonin syndrome can be increased when Dextropropoxyphene is combined with Paroxetine.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Paroxetine.]
[N02CC04, rizatriptan, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Rizatriptan.]
[B01AC09, epoprostenol, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Paroxetine.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Paroxetine.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Paroxetine.]
[A03AB15, diphemanil, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Paroxetine.]
