[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rilpivirine.]
[R03BA05, fluticasone, The metabolism of Tenofovir alafenamide can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The excretion of Tenofovir alafenamide can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Gadodiamide.]
[C01BD05, ibutilide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ibutilide.]
[N03AD01, ethosuximide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Ethosuximide.]
[N03AB01, ethotoin, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Ethotoin.]
[M01AC06, meloxicam, Meloxicam may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N01AX07, etomidate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Etomidate.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Tenofovir alafenamide.]
[L04AD02, tacrolimus, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tacrolimus.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Tenofovir alafenamide.]
[R06AX12, terfenadine, The metabolism of Tenofovir alafenamide can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Trimetrexate.]
[N06AX12, bupropion, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Bupropion.]
[N06AB08, fluvoxamine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fluvoxamine.]
[L02AE02, leuprolide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Leuprolide.]
[C10AA03, pravastatin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sodium aurothiomalate.]
[B05AA05, dextran, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dextran.]
[V03AF02, dexrazoxane, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dexrazoxane.]
[A02BA03, famotidine, The excretion of Tenofovir alafenamide can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Levocarnitine.]
[P02CA03, albendazole, The metabolism of Tenofovir alafenamide can be decreased when combined with Albendazole.]
[N03AX26, fenfluramine, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N02AB03, fentanyl, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fentanyl.]
[R03CC02, albuterol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Salbutamol.]
[L01BB06, clofarabine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Clofarabine.]
[N07AX03, cevimeline, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cevimeline.]
[G04BD02, flavoxate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flavoxate.]
[N02BG04, floctafenine, Floctafenine may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01CF05, floxacillin, The metabolism of Tenofovir alafenamide can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flucytosine.]
[V03AB25, flumazenil, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flumazenil.]
[N07CA03, flunarizine, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Flunarizine.]
[D07AC08, fluocinonide, The metabolism of Tenofovir alafenamide can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Tenofovir alafenamide can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Tenofovir alafenamide can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Floxuridine.]
[N06AB03, fluoxetine, The metabolism of Tenofovir alafenamide can be decreased when combined with Fluoxetine.]
[N05CD01, flurazepam, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flurazepam.]
[S01BC04, flurbiprofen, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flurbiprofen.]
[L02BB01, flutamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flutamide.]
[V04CX02, folic acid, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Folic acid.]
[S02AA17, fosfomycin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fosfomycin.]
[S01AA07, framycetin, Framycetin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01BC03, tegafur, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tegafur.]
[C03CA01, furosemide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Furosemide.]
[M05BA04, alendronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir alafenamide is combined with Alendronic acid.]
[N05CF04, eszopiclone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Eszopiclone.]
[S01AD09, ganciclovir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ganciclovir.]
[N03AA04, barbexaclone, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Barbexaclone.]
[C10AB04, gemfibrozil, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Gemfibrozil.]
[J01XA03, telavancin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Telavancin.]
[L01EA02, dasatinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dasatinib.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Tenofovir alafenamide.]
[J05AG04, etravirine, The metabolism of Tenofovir alafenamide can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Methsuximide.]
[L01EH01, lapatinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The excretion of Tenofovir alafenamide can be decreased when combined with Glyburide.]
[A10BB07, glipizide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Glipizide.]
[N05CM18, dexmedetomidine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dexmedetomidine.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Tenofovir alafenamide.]
[C02CA04, doxazosin, The metabolism of Tenofovir alafenamide can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sorafenib.]
[M01CB04, aurothioglucose, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Aurothioglucose.]
[S01LA03, pegaptanib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pegaptanib.]
[C09AA09, fosinopril, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fosinopril.]
[D01BA01, griseofulvin, The metabolism of Tenofovir alafenamide can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Guanethidine.]
[L02AE03, goserelin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Goserelin.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Tenofovir alafenamide.]
[N05AH04, quetiapine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Quetiapine.]
[N06BX13, idebenone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Idebenone.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Tenofovir alafenamide.]
[M04AA01, allopurinol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Allopurinol.]
[C09CA01, losartan, The metabolism of Tenofovir alafenamide can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Allylestrenol.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Tenofovir alafenamide.]
[C01CE02, milrinone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Milrinone.]
[N05CA16, hexobarbital, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Hexobarbital.]
[C08CA10, nilvadipine, The metabolism of Tenofovir alafenamide can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the nephrotoxic activities of Tenofovir alafenamide.]
[C09AA04, perindopril, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Perindopril.]
[C02DB02, hydralazine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the nephrotoxic activities of Tenofovir alafenamide.]
[S02BA01, hydrocortisone, The metabolism of Tenofovir alafenamide can be increased when combined with Hydrocortisone.]
[B05XA17, potassium acetate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Potassium acetate.]
[V03AB33, hydroxocobalamin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Hydroxocobalamin.]
[G04BD06, propiverine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Propiverine.]
[B05AA07, hetastarch, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Hydroxyethyl Starch.]
[J04AB04, rifabutin, The metabolism of Tenofovir alafenamide can be increased when combined with Rifabutin.]
[M05BA07, risedronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir alafenamide is combined with Risedronic acid.]
[R02AX02, ibuprofen, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ibuprofen.]
[B05XA08, sodium acetate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sodium acetate.]
[L01AA06, ifosfamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ifosfamide.]
[N06AA02, imipramine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Tenofovir alafenamide.]
[R01AD07, tixocortol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tixocortol.]
[M03BX02, tizanidine, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Tizanidine.]
[L01CE01, topotecan, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Topotecan.]
[C03BA11, indapamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Indapamide.]
[S01BC01, indomethacin, Indomethacin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[A11HA07, inositol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Inositol.]
[N06AX17, milnacipran, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Milnacipran.]
[S01XA28, varenicline, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Varenicline.]
[A10BH01, sitagliptin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sitagliptin.]
[N05BA12, alprazolam, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Alprazolam.]
[N05CH02, ramelteon, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ramelteon.]
[C10AA06, cerivastatin, The metabolism of Tenofovir alafenamide can be increased when combined with Cerivastatin.]
[V03AB01, ipecac, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ipecac.]
[G04BE01, alprostadil, The excretion of Tenofovir alafenamide can be decreased when combined with Alprostadil.]
[J04AC01, isoniazid, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Isoniazid.]
[J05AX05, inosine pranobex, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Inosine pranobex.]
[C01DA14, isosorbide mononitrate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Isosorbide mononitrate.]
[D10BA01, isotretinoin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Isotretinoin.]
[P02CF01, ivermectin, The excretion of Tenofovir alafenamide can be decreased when combined with Ivermectin.]
[S01AA24, kanamycin, Kanamycin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L04AC07, tocilizumab, The metabolism of Tenofovir alafenamide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ketamine.]
[B01AC22, prasugrel, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Prasugrel.]
[H02CA04, levoketoconazole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Levoketoconazole.]
[M02AA10, ketoprofen, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Tenofovir alafenamide can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Tenofovir alafenamide can be increased when combined with Abatacept.]
[D10AX03, azelaic acid, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Azelaic acid.]
[J01MB02, nalidixic acid, The excretion of Tenofovir alafenamide can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may increase the nephrotoxic activities of Tenofovir alafenamide.]
[C07AG01, labetalol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Labetalol.]
[N04BB01, amantadine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Amantadine.]
[A06AX03, lubiprostone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lubiprostone.]
[N03AX18, lacosamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the nephrotoxic activities of Tenofovir alafenamide.]
[S01AA21, amikacin, Amikacin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N06BA13, armodafinil, The metabolism of Tenofovir alafenamide can be increased when combined with Armodafinil.]
[N05BA06, lorazepam, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Tenofovir alafenamide can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Loxapine.]
[D06BA03, mafenide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mafenide.]
[L01EG01, temsirolimus, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Magnesium chloride.]
[G04BX01, magnesium hydroxide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Magnesium hydroxide.]
[V04CC02, magnesium sulfate, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pralatrexate.]
[L01EA03, nilotinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mannitol.]
[N06AA21, maprotiline, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Maprotiline.]
[C02BB01, mecamylamine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mecamylamine.]
[M02AA18, meclofenamic acid, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Meclofenamic acid.]
[N05BA03, medazepam, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Medazepam.]
[P01BC02, mefloquine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mefloquine.]
[N05CH01, melatonin, The excretion of Tenofovir alafenamide can be decreased when combined with Melatonin.]
[N06DX01, memantine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Memantine.]
[N02AB02, meperidine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Meperidine.]
[N03AB04, mephenytoin, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Mephenytoin.]
[N03AA01, mephobarbital, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mepivacaine.]
[G04BX16, tiopronin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tiopronin.]
[L02BG01, aminoglutethimide, The metabolism of Tenofovir alafenamide can be increased when combined with Aminoglutethimide.]
[C03BC01, mersalyl, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mersalyl.]
[N05AX13, paliperidone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Paliperidone.]
[A10BA02, metformin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Metformin.]
[H01CB03, lanreotide, The metabolism of Tenofovir alafenamide can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methadone.]
[N06BA03, methamphetamine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Metamfetamine.]
[J05AF05, lamivudine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lamivudine.]
[N03AA30, metharbital, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Metharbital.]
[S01EC05, methazolamide, The excretion of Tenofovir alafenamide can be decreased when combined with Methazolamide.]
[H03BB02, methimazole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methimazole.]
[L01BA04, pemetrexed, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pemetrexed.]
[N05CA15, methohexital, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Methohexital.]
[A11HA02, pyridoxine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pyridoxine.]
[L04AX03, methotrexate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methotrexate.]
[D05BA02, methoxsalen, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methoxsalen.]
[C02AB01, methyldopa, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methyldopa.]
[V04CG05, methylene blue, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Tenofovir alafenamide can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Tenofovir alafenamide.]
[H02AB04, methylprednisolone, The metabolism of Tenofovir alafenamide can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Rufinamide.]
[G03EK01, methyltestosterone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methyltestosterone.]
[N02CA04, methysergide, The metabolism of Tenofovir alafenamide can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Metoclopramide.]
[C03BA08, metolazone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Metolazone.]
[C07AB02, metoprolol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Tenofovir alafenamide can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Metyrapone.]
[S02AA13, miconazole, The metabolism of Tenofovir alafenamide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may increase the nephrotoxic activities of Tenofovir alafenamide.]
[G03XB01, mifepristone, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Mifepristone.]
[J05AH01, zanamivir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Zanamivir.]
[C09CA03, valsartan, The excretion of Tenofovir alafenamide can be decreased when combined with Valsartan.]
[J01AA08, minocycline, The excretion of Tenofovir alafenamide can be decreased when combined with Minocycline.]
[J01FA11, miocamycin, The metabolism of Tenofovir alafenamide can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Tenofovir alafenamide can be increased when combined with Mitotane.]
[L03AC01, aldesleukin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Aldesleukin.]
[C01BD01, amiodarone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Amitriptyline.]
[A04AA05, palonosetron, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Palonosetron.]
[J01DD06, moxalactam, Latamoxef may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L04AB05, certolizumab pegol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Eltrombopag.]
[G04BA01, ammonium chloride, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ammonium chloride.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Tenofovir alafenamide.]
[L04AA06, mycophenolic acid, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Amobarbital.]
[G03XC01, raloxifene, The metabolism of Tenofovir alafenamide can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Fosphenytoin.]
[C07AA12, nadolol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nadolol.]
[J01CA04, amoxicillin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Amoxicillin.]
[J01CF06, nafcillin, The metabolism of Tenofovir alafenamide can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Tenofovir alafenamide can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Amphetamine.]
[M02AA12, naproxen, Naproxen may increase the nephrotoxic activities of Tenofovir alafenamide.]
[A10BG01, troglitazone, The metabolism of Tenofovir alafenamide can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Duloxetine.]
[N04BX01, tolcapone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tolcapone.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Tenofovir alafenamide.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Tenofovir alafenamide is combined with Neomycin.]
[B01AC17, tirofiban, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tirofiban.]
[J02AA01, amphotericin B, Amphotericin B may increase the nephrotoxic activities of Tenofovir alafenamide.]
[S01AA19, ampicillin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ampicillin.]
[L03AX16, plerixafor, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Plerixafor.]
[S01AA23, netilmicin, Netilmicin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N06AX23, desvenlafaxine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Telmisartan.]
[J05AB11, valacyclovir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Valaciclovir.]
[M04AA03, febuxostat, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Febuxostat.]
[C01CE01, inamrinone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Amrinone.]
[C10AD02, niacin, The metabolism of Tenofovir alafenamide can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Tenofovir alafenamide can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may increase the nephrotoxic activities of Tenofovir alafenamide.]
[C08CA07, nisoldipine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nisoldipine.]
[N05CD02, nitrazepam, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Nitrazepam.]
[R07AX01, nitric oxide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nitrofurantoin.]
[N05CF03, zaleplon, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Zaleplon.]
[N04BC05, pramipexole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pramipexole.]
[C02DD01, nitroprusside, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nitroprusside.]
[G03DC02, norethindrone, The metabolism of Tenofovir alafenamide can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The excretion of Tenofovir alafenamide can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Tenofovir alafenamide can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Tenofovir alafenamide.]
[R05DA07, noscapine, The metabolism of Tenofovir alafenamide can be decreased when combined with Noscapine.]
[A16AX07, sapropterin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sapropterin.]
[G01AA01, nystatin, The excretion of Tenofovir alafenamide can be decreased when combined with Nystatin.]
[H01CB02, octreotide, The metabolism of Tenofovir alafenamide can be decreased when combined with Octreotide.]
[S02AA16, ofloxacin, The excretion of Tenofovir alafenamide can be decreased when combined with Ofloxacin.]
[J01FA05, oleandomycin, The metabolism of Tenofovir alafenamide can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Tenofovir alafenamide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Omeprazole.]
[N02AA02, opium, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Opium.]
[G04CA02, tamsulosin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tamsulosin.]
[C01AC01, ouabain, The excretion of Tenofovir alafenamide can be decreased when combined with Ouabain.]
[M05BA08, zoledronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir alafenamide is combined with Zoledronic acid.]
[J01CF04, oxacillin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Oxacillin.]
[N05BA04, oxazepam, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Oxazepam.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the nephrotoxic activities of Tenofovir alafenamide.]
[S01AA04, oxytetracycline, The excretion of Tenofovir alafenamide can be decreased when combined with Oxytetracycline.]
[V04CH30, 4-aminohippuric acid, The excretion of Tenofovir alafenamide can be decreased when combined with Aminohippuric acid.]
[J04AB30, capreomycin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Capreomycin.]
[N05CC05, paraldehyde, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Tenofovir alafenamide can be increased when combined with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[G04BD11, fesoterodine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fesoterodine.]
[C07AA23, penbutolol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Penbutolol.]
[S01AA14, penicillin G, The excretion of Tenofovir alafenamide can be decreased when combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Procaine benzylpenicillin.]
[N05CA01, pentobarbital, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Pentobarbital.]
[L01XX08, pentostatin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pentostatin.]
[C04AD03, pentoxifylline, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pentoxifylline.]
[N02BE03, phenacetin, The excretion of Tenofovir alafenamide can be decreased when combined with Phenacetin.]
[G04BX06, phenazopyridine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Phenazopyridine.]
[N06AF03, phenelzine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Phenelzine.]
[N03AA02, phenobarbital, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Phenobarbital.]
