[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Antipyrine.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia can be increased when Pirenzepine is combined with Dobutamine.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Dobutamine.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N02CX01, pizotyline, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Pizotifen.]
[C09CA04, irbesartan, Dobutamine may decrease the antihypertensive activities of Irbesartan.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C03AA05, polythiazide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Polythiazide.]
[A10BH03, saxagliptin, Dobutamine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[V03AB21, potassium iodide, The risk or severity of adverse effects can be increased when Dobutamine is combined with Potassium Iodide.]
[C07AB01, practolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Practolol.]
[C02CA01, prazosin, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Prazosin.]
[S03BA02, prednisolone, The risk or severity of hypokalemia can be increased when Prednisolone is combined with Dobutamine.]
[H02AB07, prednisone, The risk or severity of hypokalemia can be increased when Prednisone is combined with Dobutamine.]
[M04AB01, probenecid, Dobutamine may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Dobutamine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypertensive activities of Dobutamine.]
[L01XB01, procarbazine, Procarbazine may increase the hypertensive activities of Dobutamine.]
[C10AB05, fenofibrate, Dobutamine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N04AA04, procyclidine, The risk or severity of Tachycardia can be increased when Procyclidine is combined with Dobutamine.]
[N05AA03, promazine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, Dobutamine may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Propafenone.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AC01, periciazine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Propiomazine.]
[N01AX10, propofol, The risk or severity of hypertension can be increased when Propofol is combined with Dobutamine.]
[C07AA05, propranolol, Propranolol may decrease the bronchodilatory activities of Dobutamine.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Dobutamine is combined with Propylthiouracil.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Dobutamine is combined with Rizatriptan.]
[B01AC09, epoprostenol, Dobutamine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, Protriptyline may increase the vasopressor activities of Dobutamine.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Aripiprazole.]
[N07XX07, dalfampridine, Dobutamine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Methscopolamine.]
[P02CC01, pyrantel, Dobutamine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01BA01, quinidine, Dobutamine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02BA02, ranitidine, Dobutamine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA01, rescinnamine, Dobutamine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Dobutamine may decrease the antihypertensive activities of Reserpine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Dobutamine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Ritodrine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Dobutamine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Dobutamine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Dobutamine is combined with Salicylic acid.]
[S01FA02, scopolamine, The risk or severity of Tachycardia can be increased when Scopolamine is combined with Dobutamine.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N04BD01, selegiline, Selegiline may increase the hypertensive activities of Dobutamine.]
[J01GB08, sisomicin, Dobutamine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Dobutamine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Dobutamine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, Sotalol may decrease the bronchodilatory activities of Dobutamine.]
[C03DA01, spironolactone, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Spironolactone.]
[N05CC01, chloral hydrate, Dobutamine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hypokalemia can be increased when Hydrocortisone butyrate is combined with Dobutamine.]
[C01DA14, isosorbide mononitrate, Dobutamine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium pangamate.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia can be increased when Ipratropium is combined with Dobutamine.]
