[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dexmedetomidine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Alfentanil.]
[A10BB07, glipizide, Dexmedetomidine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N07XX04, sodium oxybate, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Dexmedetomidine.]
[C01DA05, pentaerythritol tetranitrate, Dexmedetomidine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Dexmedetomidine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Glutethimide.]
[C05AE01, nitroglycerin, Dexmedetomidine may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Dexmedetomidine.]
[C07AB09, esmolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Esmolol.]
[M01CB04, aurothioglucose, Dexmedetomidine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Dexmedetomidine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Dexmedetomidine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Dexmedetomidine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Dexmedetomidine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Halothane.]
[N05AH04, quetiapine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Quetiapine.]
[N06BX13, idebenone, Dexmedetomidine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C09CA01, losartan, Dexmedetomidine may decrease the antihypertensive activities of Losartan.]
[G03DC01, allylestrenol, Dexmedetomidine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Dexmedetomidine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Dexmedetomidine.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Dexmedetomidine.]
[C08CA10, nilvadipine, Dexmedetomidine may decrease the antihypertensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Nimesulide.]
[C09AA04, perindopril, Dexmedetomidine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Dexmedetomidine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Dexmedetomidine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[G04BD06, propiverine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Dexmedetomidine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Prothipendyl.]
[B05AA07, hetastarch, Dexmedetomidine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[C02AC06, rilmenidine, Dexmedetomidine may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Ibuprofen.]
[B05XA08, sodium acetate, Dexmedetomidine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Dexmedetomidine.]
[L01AA06, ifosfamide, Dexmedetomidine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Dexmedetomidine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Paclitaxel.]
[R01AD07, tixocortol, Dexmedetomidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Dexmedetomidine.]
[L01CE01, topotecan, Dexmedetomidine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Dexmedetomidine.]
[C02CA02, indoramin, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Indoramin.]
[A11HA07, inositol, Dexmedetomidine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Milnacipran.]
[A03AA30, piperidolate, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Dexmedetomidine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Articaine.]
[A10BH01, sitagliptin, Dexmedetomidine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Dexmedetomidine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ramelteon.]
[R06AE01, buclizine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Dexmedetomidine.]
[C07AA01, alprenolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Dexmedetomidine.]
[N06AA13, iprindole, The risk or severity of hypertension can be increased when Iprindole is combined with Dexmedetomidine.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Dexmedetomidine.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Dexmedetomidine.]
[C09AA16, imidapril, Dexmedetomidine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Dexmedetomidine.]
[J04AC01, isoniazid, Dexmedetomidine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Dexmedetomidine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Isoprenaline.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Dexmedetomidine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Dexmedetomidine.]
[S01AA24, kanamycin, Dexmedetomidine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ketanserin.]
[B01AC22, prasugrel, Dexmedetomidine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[N05AH03, olanzapine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Ketoprofen.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Arbutamine.]
[N04BC09, rotigotine, Dexmedetomidine may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Labetalol.]
[N04BB01, amantadine, Dexmedetomidine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AA05, deserpidine, Dexmedetomidine may decrease the antihypertensive activities of Deserpidine.]
[A06AX03, lubiprostone, Dexmedetomidine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Dexmedetomidine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dexmedetomidine.]
[C08EX01, lidoflazine, Dexmedetomidine may increase the bradycardic activities of Lidoflazine.]
[S01AA21, amikacin, Dexmedetomidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[N06AA07, lofepramine, The risk or severity of hypertension can be increased when Lofepramine is combined with Dexmedetomidine.]
[A07DA03, loperamide, Dexmedetomidine may increase the bradycardic activities of Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Dexmedetomidine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Dexmedetomidine.]
[B05XA11, magnesium chloride, Dexmedetomidine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Dexmedetomidine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Dexmedetomidine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Dexmedetomidine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Dexmedetomidine.]
[C02BB01, mecamylamine, Dexmedetomidine may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Medazepam.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Melatonin.]
[N06DX01, memantine, Dexmedetomidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Dexmedetomidine.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Dexmedetomidine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Dexmedetomidine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Dexmedetomidine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Meptazinol.]
[G04BX16, tiopronin, Dexmedetomidine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Dexmedetomidine.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dolasetron.]
[H01CB03, lanreotide, Dexmedetomidine may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Dexmedetomidine.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Metamfetamine.]
[A03AB07, methantheline, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Methaqualone.]
[J05AF05, lamivudine, Dexmedetomidine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Dexmedetomidine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[H03BB02, methimazole, Dexmedetomidine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Dexmedetomidine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Dexmedetomidine.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Dexmedetomidine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Dexmedetomidine is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Methoxamine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Dexmedetomidine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[G02AB01, methylergonovine, Methylergometrine may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Dexmedetomidine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Dexmedetomidine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Dexmedetomidine.]
[G03EK01, methyltestosterone, Dexmedetomidine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Methyprylon.]
[N02CA04, methysergide, Methysergide may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Dexmedetomidine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Metoprolol.]
[V04CD01, metyrapone, Dexmedetomidine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Dexmedetomidine.]
[N06AX03, mianserin, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Mianserin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Dexmedetomidine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Midazolam.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Dexmedetomidine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C09CA03, valsartan, Dexmedetomidine may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[D11AX01, minoxidil, Dexmedetomidine may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Dexmedetomidine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Dexmedetomidine.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Dexmedetomidine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Dexmedetomidine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Dexmedetomidine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Dexmedetomidine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Dexmedetomidine.]
[G04BA01, ammonium chloride, Dexmedetomidine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Dexmedetomidine.]
[L04AA06, mycophenolic acid, Dexmedetomidine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Dexmedetomidine.]
[G04CA04, silodosin, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Silodosin.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Dexmedetomidine.]
[N03AB05, fosphenytoin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Fosphenytoin.]
[C07AA12, nadolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Nadolol.]
[J01CA04, amoxicillin, Dexmedetomidine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Nalbuphine.]
[V03AB15, naloxone, Dexmedetomidine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Dexmedetomidine.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Dexmedetomidine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Dexmedetomidine.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Dexmedetomidine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Dexmedetomidine.]
[S03AA01, neomycin, Dexmedetomidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Remifentanil.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Levosimendan.]
[B01AC17, tirofiban, Dexmedetomidine may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L03AX16, plerixafor, Dexmedetomidine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Dexmedetomidine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Dexmedetomidine may decrease the antihypertensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C01CE01, inamrinone, Dexmedetomidine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[C08CA04, nicardipine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Dexmedetomidine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Dexmedetomidine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Dexmedetomidine may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Dexmedetomidine may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Nitrazepam.]
[C08CA08, nitrendipine, Dexmedetomidine may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Dexmedetomidine.]
[J01XE01, nitrofurantoin, Dexmedetomidine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Zaleplon.]
[N04BC05, pramipexole, Dexmedetomidine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Dexmedetomidine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Dexmedetomidine.]
[C02KX01, bosentan, Dexmedetomidine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Dexmedetomidine.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Nylidrin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Dexmedetomidine.]
[N06AA05, opipramol, The risk or severity of hypertension can be increased when Opipramol is combined with Dexmedetomidine.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Orciprenaline.]
[G04CA02, tamsulosin, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Tamsulosin.]
[J01CF04, oxacillin, Dexmedetomidine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Oxazepam.]
[C07AA02, oxprenolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dexmedetomidine.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[M03AC01, pancuronium, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Dexmedetomidine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Papaverine.]
