[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Halothane.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Prazepam.]
[C02CA01, prazosin, Halothane may decrease the antihypertensive activities of Prazosin.]
[H02AB07, prednisone, The metabolism of Halothane can be increased when combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Halothane.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Halothane.]
[M04AB01, probenecid, The metabolism of Halothane can be decreased when combined with Probenecid.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Halothane is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Halothane is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Halothane can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Halothane.]
[N04AA04, procyclidine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Halothane can be increased when combined with Progesterone.]
[N05AA03, promazine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The risk or severity of hypertension can be increased when Halothane is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Halothane is combined with Propanidid.]
[A03AB05, propantheline, Halothane may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Halothane is combined with Periciazine.]
[N05CM06, propiomazine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Halothane.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Halothane.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Halothane.]
[C07AA05, propranolol, Halothane may decrease the antihypertensive activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Halothane.]
[B01AC09, epoprostenol, Halothane may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Halothane can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Halothane.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Pseudoephedrine is combined with Halothane.]
[N05AX12, aripiprazole, Halothane may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Halothane may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Halothane may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Halothane.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Halothane is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Halothane is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Halothane is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Halothane is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Halothane is combined with Mepyramine.]
[C01BA01, quinidine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Halothane.]
[C02AA01, rescinnamine, Halothane may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Halothane.]
[J04AB02, rifampin, The metabolism of Halothane can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Halothane is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Halothane.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Halothane is combined with Oxitriptan.]
[A16AA02, S-adenosylmethionine, The metabolism of Halothane can be decreased when combined with Ademetionine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Halothane is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Halothane.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Halothane.]
[S01FA02, scopolamine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Halothane.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Halothane is combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Halothane is combined with Obinutuzumab.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Sotalol is combined with Halothane.]
[C03DA01, spironolactone, The risk or severity of adverse effects can be increased when Spironolactone is combined with Halothane.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Isosorbide mononitrate is combined with Halothane.]
[H02CA04, levoketoconazole, The metabolism of Halothane can be decreased when combined with Levoketoconazole.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Halothane is combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Halothane.]
[R03BB01, ipratropium bromide, Halothane may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
