[S02DA03, antipyrine, The metabolism of Vortioxetine can be decreased when combined with Antipyrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Vortioxetine.]
[L02AA03, ethinyl estradiol, The metabolism of Vortioxetine can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N04AA05, profenamine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Vortioxetine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Vortioxetine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Vortioxetine.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Vortioxetine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Etilefrine is combined with Vortioxetine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Vortioxetine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Vortioxetine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Sertindole.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Vortioxetine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Vortioxetine.]
[R06AX12, terfenadine, The metabolism of Vortioxetine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Vortioxetine.]
[N06AB08, fluvoxamine, The metabolism of Vortioxetine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Vortioxetine can be decreased when combined with Encainide.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Vortioxetine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Vortioxetine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Vortioxetine can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Vortioxetine can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Vortioxetine is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Vortioxetine.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Fenoterol is combined with Vortioxetine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Vortioxetine.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Salbutamol is combined with Vortioxetine.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G04BD02, flavoxate, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Vortioxetine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Floctafenine is combined with Vortioxetine.]
[J02AC01, fluconazole, The metabolism of Vortioxetine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Vortioxetine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Vortioxetine.]
[D07AC08, fluocinonide, The metabolism of Vortioxetine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Vortioxetine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Vortioxetine can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Vortioxetine.]
[N06AB03, fluoxetine, The serum concentration of Vortioxetine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Vortioxetine.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Vortioxetine.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Vortioxetine.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Adrafinil is combined with Vortioxetine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Alcuronium.]
[G01AX06, furazolidone, The metabolism of Vortioxetine can be decreased when combined with Furazolidone.]
[J05AE10, darunavir, The metabolism of Vortioxetine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Vortioxetine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Vortioxetine can be decreased when combined with Galantamine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Gallamine.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Barbexaclone is combined with Vortioxetine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Vortioxetine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Vortioxetine.]
[N04BC06, cabergoline, Cabergoline may increase the vasoconstricting activities of Vortioxetine.]
[J05AG04, etravirine, The metabolism of Vortioxetine can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Methsuximide is combined with Vortioxetine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Vortioxetine.]
[L01EH01, lapatinib, The metabolism of Vortioxetine can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Vortioxetine can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Vortioxetine can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vortioxetine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Vortioxetine.]
[C05AE01, nitroglycerin, Vortioxetine may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, The metabolism of Vortioxetine can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Vortioxetine.]
[C07AB09, esmolol, Vortioxetine may decrease the antihypertensive activities of Esmolol.]
[M01CB04, aurothioglucose, Vortioxetine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Fluindione.]
[C09AA09, fosinopril, Vortioxetine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Vortioxetine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Vortioxetine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Vortioxetine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Vortioxetine.]
[N05AH04, quetiapine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX13, idebenone, Vortioxetine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Vortioxetine can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Vortioxetine can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Allylestrenol may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Vortioxetine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Vortioxetine.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Hexoprenaline is combined with Vortioxetine.]
[J05AG01, nevirapine, The metabolism of Vortioxetine can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Vortioxetine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Vortioxetine is combined with Nimesulide.]
[C09AA04, perindopril, Vortioxetine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Vortioxetine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Vortioxetine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Vortioxetine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G04BD06, propiverine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Vortioxetine can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Prothipendyl.]
[B05AA07, hetastarch, Vortioxetine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[J04AB04, rifabutin, The metabolism of Vortioxetine can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Vortioxetine may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Vortioxetine can be decreased when combined with Ibuprofen.]
[B05XA08, sodium acetate, Vortioxetine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Vortioxetine can be decreased when combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Vortioxetine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Vortioxetine.]
[N06AA02, imipramine, The metabolism of Vortioxetine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Vortioxetine.]
[R01AD07, tixocortol, Vortioxetine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Vortioxetine.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Vortioxetine.]
[C02CA02, indoramin, Vortioxetine may decrease the antihypertensive activities of Indoramin.]
[A11HA07, inositol, Vortioxetine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Milnacipran.]
[A03AA30, piperidolate, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Articaine is combined with Vortioxetine.]
[A10BH01, sitagliptin, The metabolism of Vortioxetine can be decreased when combined with Sitagliptin.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Vortioxetine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Vortioxetine.]
[R06AE01, buclizine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Vortioxetine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Vortioxetine is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Vortioxetine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Vortioxetine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Iprindole.]
[N06AF05, iproniazid, The metabolism of Vortioxetine can be decreased when combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The metabolism of Vortioxetine can be decreased when combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Vortioxetine can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Vortioxetine.]
[C09AA16, imidapril, Vortioxetine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vortioxetine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Vortioxetine.]
[J04AC01, isoniazid, The metabolism of Vortioxetine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Vortioxetine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Isoprenaline is combined with Vortioxetine.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Isoxsuprine is combined with Vortioxetine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Vortioxetine.]
[S01AA24, kanamycin, Vortioxetine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Vortioxetine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Vortioxetine.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Vortioxetine is combined with Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Vortioxetine is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Vortioxetine can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Vortioxetine can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Vortioxetine.]
[V03AC03, deferasirox, The metabolism of Vortioxetine can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Vortioxetine can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Arbutamine is combined with Vortioxetine.]
[N04BC09, rotigotine, Vortioxetine may increase the sedative activities of Rotigotine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Tiaprofenic acid is combined with Vortioxetine.]
[C07AG01, labetalol, The metabolism of Vortioxetine can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Vortioxetine.]
[C02AA05, deserpidine, Vortioxetine may decrease the antihypertensive activities of Deserpidine.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Vortioxetine.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Vortioxetine can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Vortioxetine.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Vortioxetine.]
[S01AA21, amikacin, Vortioxetine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Vortioxetine can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may increase the vasoconstricting activities of Vortioxetine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Lofepramine.]
[A07DA03, loperamide, The metabolism of Vortioxetine can be decreased when combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Vortioxetine.]
[C10AA02, lovastatin, The metabolism of Vortioxetine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Vortioxetine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Vortioxetine.]
[B05XA11, magnesium chloride, Vortioxetine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Vortioxetine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Vortioxetine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Pralatrexate may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Vortioxetine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Vortioxetine.]
[C02BB01, mecamylamine, Vortioxetine may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Vortioxetine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Vortioxetine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Medazepam.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Vortioxetine.]
[N06DX01, memantine, The metabolism of Vortioxetine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Vortioxetine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Mephentermine is combined with Vortioxetine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Vortioxetine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Vortioxetine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Vortioxetine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Vortioxetine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Meptazinol.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Vortioxetine.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Vortioxetine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Vortioxetine.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Vortioxetine.]
[A03AB07, methantheline, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Vortioxetine.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Vortioxetine.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Vortioxetine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the vasoconstricting activities of Vortioxetine.]
[H03BB02, methimazole, The metabolism of Vortioxetine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Vortioxetine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Vortioxetine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Vortioxetine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Ziconotide is combined with Vortioxetine.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Vortioxetine.]
[D05BA02, methoxsalen, The metabolism of Vortioxetine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Vortioxetine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Vortioxetine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Vortioxetine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, Methylergometrine may increase the vasoconstricting activities of Vortioxetine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Vortioxetine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Vortioxetine.]
[G03EK01, methyltestosterone, The metabolism of Vortioxetine can be decreased when combined with Methyltestosterone.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Vortioxetine.]
[N02CA04, methysergide, Methysergide may increase the vasoconstricting activities of Vortioxetine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Vortioxetine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Vortioxetine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Vortioxetine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Vortioxetine can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Vortioxetine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Mianserin is combined with Vortioxetine.]
[S02AA13, miconazole, The metabolism of Vortioxetine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Vortioxetine can be decreased when combined with Aminophenazone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Vortioxetine.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Vortioxetine.]
[G03XB01, mifepristone, The serum concentration of Vortioxetine can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Vortioxetine can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[D11AX01, minoxidil, Vortioxetine may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Vortioxetine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Lisdexamfetamine is combined with Vortioxetine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Vortioxetine can be decreased when combined with Amiodarone.]
