[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ramelteon.]
[R06AE01, buclizine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Zaleplon can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Zaleplon.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Zaleplon may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Zaleplon is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Zaleplon is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Zaleplon is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Zaleplon.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Zaleplon.]
[J04AC01, isoniazid, The metabolism of Zaleplon can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Zaleplon may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Zaleplon may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Zaleplon may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Zaleplon.]
[S01AA24, kanamycin, Zaleplon may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Zaleplon can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ketanserin.]
[B01AC22, prasugrel, Zaleplon may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Zaleplon can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Zaleplon can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Zaleplon can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Zaleplon may increase the sedative activities of Rotigotine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Gamolenic acid.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A06AX03, lubiprostone, Zaleplon may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Zaleplon.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Zaleplon is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Lidocaine.]
[S01AA21, amikacin, Zaleplon may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Zaleplon can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Zaleplon.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Zaleplon.]
[C10AA02, lovastatin, The metabolism of Zaleplon can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Zaleplon.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Zaleplon.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Zaleplon.]
[B05XA11, magnesium chloride, Zaleplon may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Zaleplon may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Zaleplon can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Zaleplon may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Zaleplon can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Zaleplon.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Zaleplon.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Melatonin.]
[N06DX01, memantine, Zaleplon may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Zaleplon.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Zaleplon.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Zaleplon.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Zaleplon.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Meptazinol.]
[G04BX16, tiopronin, Zaleplon may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Zaleplon.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Paliperidone.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Zaleplon.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Zaleplon.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Metamfetamine.]
[A03AB07, methantheline, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Zaleplon is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Methaqualone.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Zaleplon.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Zaleplon is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Zaleplon can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Zaleplon may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Zaleplon.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Zaleplon.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Zaleplon is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Zaleplon is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Zaleplon may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Zaleplon is combined with Methylene blue.]
[R03DA05, aminophylline, Zaleplon may increase the excretion rate of Aminophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA04, methylphenidate, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Zaleplon.]
[G03EK01, methyltestosterone, Zaleplon may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Zaleplon.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Zaleplon.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[P01AB01, metronidazole, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Metronidazole.]
[V04CD01, metyrapone, Zaleplon may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Zaleplon can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Zaleplon.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Zaleplon.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[L01XX23, mitotane, The metabolism of Zaleplon can be increased when combined with Mitotane.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Zaleplon can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Zaleplon.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Zaleplon.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Zaleplon can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Zaleplon may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Zaleplon may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Zaleplon is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Zaleplon is combined with Amobarbital.]
[R03BB01, ipratropium bromide, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Zaleplon can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Zaleplon may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Zaleplon may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Zaleplon may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Zaleplon is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Zaleplon.]
[V03AB15, naloxone, The metabolism of Zaleplon can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Zaleplon can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Zaleplon.]
[N06BA01, amphetamine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Zaleplon can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Zaleplon.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Zaleplon.]
[S03AA01, neomycin, Zaleplon may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Zaleplon.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Iloperidone.]
[J02AA01, amphotericin B, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L03AX16, plerixafor, Zaleplon may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Zaleplon may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C01CE01, inamrinone, Zaleplon may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Nialamide.]
[C08CA04, nicardipine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C08CA05, nifedipine, Zaleplon may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Nitrazepam.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Zaleplon.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N07XX04, sodium oxybate, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[C01DA05, pentaerythritol tetranitrate, Zaleplon may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[N04BC05, pramipexole, Zaleplon may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Zaleplon.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Zaleplon.]
[N06AA10, nortriptyline, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[L04AC04, rilonacept, The metabolism of Zaleplon can be increased when combined with Rilonacept.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Zaleplon is combined with Opium.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Zaleplon.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Zaleplon.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A03AB03, oxyphenonium, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[M03AC01, pancuronium, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Zaleplon may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Zaleplon.]
[N05CC05, paraldehyde, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Zaleplon can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Zaleplon is combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G04BD11, fesoterodine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Zaleplon may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Zaleplon.]
[N05CA01, pentobarbital, The metabolism of Zaleplon can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Zaleplon may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Zaleplon may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Pergolide.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Zaleplon.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Zaleplon.]
[N03AA02, phenobarbital, The metabolism of Zaleplon can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Phenoperidine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Zaleplon can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Zaleplon can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Zaleplon may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Zaleplon may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Zaleplon can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Zaleplon.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Zaleplon.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Zaleplon.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Zaleplon can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Pipotiazine.]
[N06BX03, piracetam, Zaleplon may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02CX01, pizotyline, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Zaleplon can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Zaleplon is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Zaleplon is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Zaleplon can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Zaleplon can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Zaleplon may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Zaleplon.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Zaleplon can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Zaleplon can be increased when combined with Primidone.]
[M04AB01, probenecid, Zaleplon may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Zaleplon may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Procarbazine.]
[C10AB05, fenofibrate, Zaleplon may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Zaleplon.]
[N04AA04, procyclidine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Zaleplon.]
[N05AA03, promazine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Zaleplon is combined with Propanidid.]
[A03AB05, propantheline, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Periciazine.]
[N05CM06, propiomazine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Zaleplon.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Zaleplon.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Zaleplon.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Zaleplon.]
[B01AC09, epoprostenol, Zaleplon may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Zaleplon.]
[N05AX12, aripiprazole, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, Zaleplon may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Zaleplon.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Zaleplon is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Zaleplon is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Zaleplon is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Mepyramine.]
