[S02DA03, antipyrine, The metabolism of Pimozide can be decreased when combined with Antipyrine.]
[N03AB05, fosphenytoin, The metabolism of Pimozide can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Pimozide can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Pimozide can be decreased when combined with Nadolol.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Pimozide.]
[J01CF06, nafcillin, The metabolism of Pimozide can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Pimozide is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Pimozide.]
[V03AB15, naloxone, The metabolism of Pimozide can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Pimozide can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The therapeutic efficacy of Amphetamine can be decreased when used in combination with Pimozide.]
[M02AA12, naproxen, The metabolism of Pimozide can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Pimozide can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of QTc prolongation can be increased when Duloxetine is combined with Pimozide.]
[N04BX01, tolcapone, The therapeutic efficacy of Tolcapone can be decreased when used in combination with Pimozide.]
[L01CD02, docetaxel, The metabolism of Pimozide can be decreased when combined with Docetaxel.]
[S03AA01, neomycin, Neomycin may increase the neurotoxic activities of Pimozide.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Pimozide.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Pimozide.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Pimozide.]
[N06AX23, desvenlafaxine, The risk or severity of QTc prolongation can be increased when Desvenlafaxine is combined with Pimozide.]
[C10AD02, niacin, The metabolism of Pimozide can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Pimozide is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Pimozide can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Pimozide can be decreased when combined with Nicergoline.]
[P02DA01, niclosamide, The metabolism of Pimozide can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Pimozide can be decreased when combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Pimozide.]
[C08CA07, nisoldipine, The metabolism of Pimozide can be decreased when combined with Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Nitrazepam.]
[C08CA08, nitrendipine, The metabolism of Pimozide can be decreased when combined with Nitrendipine.]
[N05CF03, zaleplon, The metabolism of Pimozide can be decreased when combined with Zaleplon.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Pimozide.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Pimozide is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Pimozide is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Pimozide can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The metabolism of Pimozide can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Pimozide can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Pimozide.]
[R05DA07, noscapine, The metabolism of Pimozide can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Pimozide can be decreased when combined with Interferon beta-1a.]
[H01CB02, octreotide, The serum concentration of Pimozide can be increased when it is combined with Octreotide.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Pimozide.]
[J01FA05, oleandomycin, The metabolism of Pimozide can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Pimozide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Pimozide can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Pimozide is combined with Opipramol.]
[N02AA02, opium, The metabolism of Pimozide can be decreased when combined with Opium.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Pimozide.]
[G04CA02, tamsulosin, The metabolism of Pimozide can be decreased when combined with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Pimozide can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pimozide.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Pimozide.]
[C07AA02, oxprenolol, The metabolism of Pimozide can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Pimozide can be decreased when combined with Oxycodone.]
[N02AA11, oxymorphone, The metabolism of Pimozide can be decreased when combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Pimozide is combined with Oxypertine.]
[A03AB03, oxyphenonium, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Pimozide.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[M03AC01, pancuronium, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Pimozide.]
[N05CC05, paraldehyde, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Pimozide can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Pimozide is combined with Pargyline.]
[J01MA03, pefloxacin, The metabolism of Pimozide can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Pimozide can be decreased when combined with Fesoterodine.]
[C07AA23, penbutolol, The metabolism of Pimozide can be decreased when combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Penfluridol is combined with Pimozide.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Pimozide.]
[N05CA01, pentobarbital, The metabolism of Pimozide can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Pimozide can be decreased when combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Pimozide.]
[C08EX02, perhexiline, The metabolism of Pimozide can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Pimozide can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Pimozide can be decreased when combined with Phenacetin.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Pimozide is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Pimozide.]
[A10BA01, phenformin, The metabolism of Pimozide can be decreased when combined with Phenformin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Pimozide.]
[N03AA02, phenobarbital, The metabolism of Pimozide can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Pimozide is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Pimozide.]
[A08AA01, phentermine, The therapeutic efficacy of Phentermine can be decreased when used in combination with Pimozide.]
[M02AA01, phenylbutazone, The metabolism of Pimozide can be increased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Pimozide can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The metabolism of Pimozide can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Pimozide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Pimozide.]
[L02BB03, bicalutamide, The metabolism of Pimozide can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The metabolism of Pimozide can be decreased when combined with Mibefradil.]
[J01MB04, pipemidic acid, The metabolism of Pimozide can be decreased when combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[C07AA03, pindolol, The metabolism of Pimozide can be decreased when combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Pimozide.]
[J05AE01, saquinavir, The metabolism of Pimozide can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Pimozide can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Pimozide can be decreased when combined with Pipotiazine.]
[A02BX03, pirenzepine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Pimozide.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Pimozide is combined with Piritramide.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Pimozide.]
[N02CX01, pizotyline, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Pimozide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Pimozide can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Pimozide is combined with Proxibarbal.]
[A03AE01, alosetron, The metabolism of Pimozide can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Pimozide can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Pimozide may increase the neurotoxic activities of Polymyxin B.]
[J05AE03, ritonavir, The serum concentration of Pimozide can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Pimozide can be decreased when combined with Saxagliptin.]
[C07AB01, practolol, The metabolism of Pimozide can be decreased when combined with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Pimozide.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Pimozide can be decreased when combined with Praziquantel.]
[S03BA02, prednisolone, The metabolism of Pimozide can be increased when combined with Prednisolone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Pimozide.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Prenylamine is combined with Pimozide.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Pimozide.]
[P01BA03, primaquine, The metabolism of Pimozide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Pimozide can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Pimozide can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Pimozide.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Pimozide.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Pimozide.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Pimozide.]
[C10AB05, fenofibrate, The metabolism of Pimozide can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Pimozide can be decreased when combined with Prochlorperazine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Pimozide.]
[G03DA04, progesterone, The metabolism of Pimozide can be decreased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Pimozide can be decreased when combined with Promazine.]
[R06AD02, promethazine, The metabolism of Pimozide can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Pimozide can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Pimozide is combined with Propanidid.]
[A03AB05, propantheline, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Periciazine.]
[N05CM06, propiomazine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Pimozide can be decreased when combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Pimozide can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Pimozide can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Pimozide can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Pimozide.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Pimozide.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Pseudoephedrine can be decreased when used in combination with Pimozide.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Pimozide.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Pimozide is combined with Dalfampridine.]
[A03AB15, diphemanil, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Pimozide.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Pimozide is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Pimozide is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Pimozide is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Pimozide is combined with Pyrantel.]
[R06AC01, pyrilamine, The metabolism of Pimozide can be decreased when combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Pimozide can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, The metabolism of Pimozide can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Pimozide can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Pimozide can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The metabolism of Pimozide can be increased when combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Pimozide can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Pimozide is combined with Oxitriptan.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation and ventricular arrhythmias can be increased when Roxithromycin is combined with Pimozide.]
[S01FA02, scopolamine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Pimozide can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The therapeutic efficacy of Selegiline can be decreased when used in combination with Pimozide.]
[H01CB01, somatostatin, The metabolism of Pimozide can be decreased when combined with Somatostatin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Pimozide.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Pimozide.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
