[S02DA03, antipyrine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Antipyrine.]
[J04AC01, isoniazid, Torasemide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AX05, inosine pranobex, Torasemide may increase the excretion rate of Inosine pranobex which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB01, isoproterenol, The risk or severity of hypokalemia can be increased when Isoprenaline is combined with Torasemide.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Torasemide.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Torasemide is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Torasemide may increase the excretion rate of Isotretinoin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Torasemide.]
[P02CF01, ivermectin, The excretion of Torasemide can be decreased when combined with Ivermectin.]
[S01AA24, kanamycin, The serum concentration of Kanamycin can be increased when it is combined with Torasemide.]
[L04AC07, tocilizumab, The metabolism of Torasemide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Torasemide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KD01, ketanserin, Torasemide may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Torasemide may increase the excretion rate of Prasugrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AB02, ketoconazole, The metabolism of Torasemide can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Torasemide is combined with Olanzapine.]
[M02AA10, ketoprofen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Torasemide can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Torasemide can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypokalemia can be increased when Arbutamine is combined with Torasemide.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Torasemide.]
[C07AG01, labetalol, Torasemide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BB01, amantadine, Torasemide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA05, deserpidine, Torasemide may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The risk or severity of adverse effects can be increased when Torasemide is combined with Lactulose.]
[A06AX03, lubiprostone, The risk or severity of adverse effects can be increased when Torasemide is combined with Lubiprostone.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Torasemide.]
[C03CC01, ethacrynic acid, The risk or severity of ototoxicity can be increased when Torasemide is combined with Etacrynic acid.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Torasemide is combined with Levodopa.]
[S01AA21, amikacin, The serum concentration of Amikacin can be increased when it is combined with Torasemide.]
[N06BA13, armodafinil, The metabolism of Torasemide can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Torasemide is combined with Amiloride.]
[N02CA07, lisuride, Lisuride may decrease the antihypertensive activities of Torasemide.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Torasemide.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Torasemide.]
[N05BA06, lorazepam, Torasemide may increase the excretion rate of Lorazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA02, lovastatin, The metabolism of Torasemide can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Torasemide.]
[B05XA11, magnesium chloride, Torasemide may increase the excretion rate of Magnesium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BX01, magnesium hydroxide, The risk or severity of adverse effects can be increased when Torasemide is combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The risk or severity of adverse effects can be increased when Torasemide is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of adverse effects can be increased when Torasemide is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Torasemide may increase the excretion rate of Pralatrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA03, nilotinib, The excretion of Torasemide can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Torasemide is combined with Mannitol.]
[N06AA21, maprotiline, Torasemide may increase the excretion rate of Maprotiline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Torasemide is combined with Mecamylamine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Torasemide can be decreased when used in combination with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Torasemide is combined with Metildigoxin.]
[A06AB07, cascara sagrada, The risk or severity of adverse effects can be increased when Torasemide is combined with Frangula purshiana bark.]
[N06DX01, memantine, Torasemide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AB02, meperidine, Torasemide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Torasemide.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Torasemide.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Torasemide.]
[N01BB03, mepivacaine, Torasemide may increase the excretion rate of Mepivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX05, meptazinol, The therapeutic efficacy of Torasemide can be decreased when used in combination with Meptazinol.]
[G04BX16, tiopronin, Torasemide may increase the excretion rate of Tiopronin which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BC01, mersalyl, Torasemide may increase the excretion rate of Mersalyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Torasemide may increase the excretion rate of Paliperidone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Torasemide.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Torasemide.]
[N07BC02, methadone, Torasemide may increase the excretion rate of Methadone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA03, methamphetamine, Torasemide may increase the excretion rate of Metamfetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF05, lamivudine, Torasemide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Torasemide is combined with Methazolamide.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Torasemide.]
[H03BB02, methimazole, Torasemide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BA04, pemetrexed, Torasemide may increase the excretion rate of Pemetrexed which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Torasemide.]
[A11HA02, pyridoxine, Torasemide may increase the excretion rate of Pyridoxine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Torasemide is combined with Ziconotide.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Torasemide is combined with Methotrexate.]
[N05AA02, methotrimeprazine, Methotrimeprazine may decrease the antihypertensive activities of Torasemide.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Torasemide.]
[D05BA02, methoxsalen, Torasemide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Torasemide.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Torasemide can be increased when used in combination with Methyclothiazide.]
[A06AC06, methylcellulose, The risk or severity of adverse effects can be increased when Torasemide is combined with Methylcellulose.]
[C02AB01, methyldopa, Torasemide may increase the excretion rate of Methyldopa which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Torasemide.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Torasemide.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Torasemide.]
[H02AB04, methylprednisolone, The risk or severity of hypokalemia can be increased when Methylprednisolone is combined with Torasemide.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hypokalemia can be increased when Methylprednisolone aceponate is combined with Torasemide.]
[G03EK01, methyltestosterone, Torasemide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA04, methysergide, Methysergide may decrease the antihypertensive activities of Torasemide.]
[A03FA01, metoclopramide, Torasemide may increase the excretion rate of Metoclopramide which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA08, metolazone, Torasemide may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Torasemide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01AB01, metronidazole, The metabolism of Torasemide can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Torasemide may increase the excretion rate of Metyrapone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Torasemide.]
[S02AA13, miconazole, The metabolism of Torasemide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Aminophenazone.]
[N05CD08, midazolam, Torasemide may increase the excretion rate of Midazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Torasemide.]
[G03XB01, mifepristone, The serum concentration of Torasemide can be increased when it is combined with Mifepristone.]
[A06AA01, mineral oil, The risk or severity of adverse effects can be increased when Torasemide is combined with Mineral oil.]
[J05AH01, zanamivir, Torasemide may increase the excretion rate of Zanamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA03, valsartan, The metabolism of Torasemide can be decreased when combined with Valsartan.]
[D11AX01, minoxidil, Torasemide may increase the hypotensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Torasemide.]
[L03AC01, aldesleukin, Torasemide may increase the excretion rate of Aldesleukin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Torasemide.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Torasemide.]
[N06AA09, amitriptyline, Torasemide may increase the excretion rate of Amitriptyline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Torasemide.]
[A04AA05, palonosetron, Torasemide may increase the excretion rate of Palonosetron which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AB05, certolizumab pegol, The metabolism of Torasemide can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Torasemide can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Torasemide may increase the excretion rate of Ammonium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Torasemide.]
[L04AA06, mycophenolic acid, Torasemide may increase the excretion rate of Mycophenolic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC03, vecuronium, Torasemide may decrease the neuromuscular blocking activities of Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Torasemide.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Torasemide.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Torasemide is combined with Silodosin.]
[G03XC01, raloxifene, The metabolism of Torasemide can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Amoxapine may decrease the antihypertensive activities of Torasemide.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Torasemide.]
[C07AA12, nadolol, Torasemide may increase the excretion rate of Nadolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA04, amoxicillin, Torasemide may increase the excretion rate of Amoxicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Torasemide is combined with Ropinirole.]
[N02AF02, nalbuphine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, Torasemide may increase the excretion rate of Naloxone which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BB04, naltrexone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Naltrexone.]
[L04AC03, anakinra, The metabolism of Torasemide can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Torasemide.]
[N06BA01, amphetamine, Torasemide may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA12, naproxen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Naproxen.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Torasemide.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Torasemide is combined with Duloxetine.]
[N04BX01, tolcapone, Torasemide may increase the excretion rate of Tolcapone which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA01, neomycin, The risk or severity of ototoxicity can be increased when Torasemide is combined with Neomycin.]
[N01AH06, remifentanil, The therapeutic efficacy of Torasemide can be decreased when used in combination with Remifentanil.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Torasemide.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Torasemide is combined with Levosimendan.]
[B01AC17, tirofiban, Torasemide may increase the excretion rate of Tirofiban which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX14, iloperidone, Iloperidone may decrease the antihypertensive activities of Torasemide.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Torasemide is combined with Amphotericin B.]
[S01AA19, ampicillin, Torasemide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AX16, plerixafor, Torasemide may increase the excretion rate of Plerixafor which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA23, netilmicin, The serum concentration of Netilmicin can be increased when it is combined with Torasemide.]
[N06AX23, desvenlafaxine, Torasemide may increase the excretion rate of Desvenlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA07, telmisartan, Torasemide may increase the hypotensive activities of Telmisartan.]
[J05AB11, valacyclovir, Torasemide may increase the excretion rate of Valaciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CE01, inamrinone, Torasemide may increase the excretion rate of Amrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Torasemide.]
[C08CA04, nicardipine, The metabolism of Torasemide can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may decrease the antihypertensive activities of Torasemide.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Torasemide.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Torasemide is combined with Nicotine.]
[C08CA05, nifedipine, Torasemide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA17, niflumic acid, The therapeutic efficacy of Torasemide can be decreased when used in combination with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Torasemide is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Torasemide may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Torasemide may increase the excretion rate of Nisoldipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA08, nitrendipine, Torasemide may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Torasemide may increase the excretion rate of Nitric Oxide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XE01, nitrofurantoin, Torasemide may increase the excretion rate of Nitrofurantoin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF03, zaleplon, Torasemide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC05, pramipexole, Torasemide may increase the excretion rate of Pramipexole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DD01, nitroprusside, Torasemide may increase the excretion rate of Nitroprusside which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Torasemide.]
[C01CA03, norepinephrine, The risk or severity of hypokalemia can be increased when Norepinephrine is combined with Torasemide.]
[C02KX01, bosentan, The metabolism of Torasemide can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may decrease the antihypertensive activities of Torasemide.]
[R05DA07, noscapine, The metabolism of Torasemide can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, Nylidrin may decrease the antihypertensive activities of Torasemide.]
[G01AA01, nystatin, The excretion of Torasemide can be decreased when combined with Nystatin.]
[L04AC04, rilonacept, The metabolism of Torasemide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Torasemide.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Torasemide.]
[N02AA02, opium, Torasemide may increase the excretion rate of Opium which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB03, metaproterenol, The risk or severity of hypokalemia can be increased when Orciprenaline is combined with Torasemide.]
[G04CA02, tamsulosin, Torasemide may increase the excretion rate of Tamsulosin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AC01, ouabain, The risk or severity of adverse effects can be increased when Torasemide is combined with Ouabain.]
[M05BA08, zoledronic acid, The risk or severity of hypocalcemia can be increased when Torasemide is combined with Zoledronic acid.]
[J01CF04, oxacillin, Torasemide may increase the excretion rate of Oxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[A14AA08, oxandrolone, The metabolism of Torasemide can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Torasemide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA02, oxprenolol, Torasemide may increase the hypotensive activities of Oxprenolol.]
[N02AA05, oxycodone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Oxycodone.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Torasemide.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Torasemide can be decreased when used in combination with Oxymetazoline.]
[N02AA11, oxymorphone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Oxymorphone.]
[S01BC02, oxyphenbutazone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Oxyphenbutazone.]
[V04CH30, 4-aminohippuric acid, The excretion of Torasemide can be decreased when combined with Aminohippuric acid.]
[J04AA01, aminosalicylic acid, The risk or severity of adverse effects can be increased when Torasemide is combined with Aminosalicylic acid.]
[N05AH05, asenapine, Asenapine may decrease the antihypertensive activities of Torasemide.]
[N02AX06, tapentadol, The therapeutic efficacy of Torasemide can be decreased when used in combination with Tapentadol.]
[M03AC01, pancuronium, Torasemide may decrease the neuromuscular blocking activities of Pancuronium.]
[J04AB30, capreomycin, The serum concentration of Capreomycin can be increased when it is combined with Torasemide.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Torasemide is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of hypokalemia can be increased when Paramethasone is combined with Torasemide.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Torasemide.]
[A07AA06, paromomycin, The serum concentration of Paromomycin can be increased when it is combined with Torasemide.]
[G04BD11, fesoterodine, Torasemide may increase the excretion rate of Fesoterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA23, penbutolol, Torasemide may increase the excretion rate of Penbutolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CE09, penicillin G procaine, Torasemide may increase the excretion rate of Procaine benzylpenicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA14, penicillin G, Torasemide may decrease the excretion rate of Benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Torasemide.]
[L01XX08, pentostatin, Torasemide may increase the excretion rate of Pentostatin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Torasemide.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Torasemide.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Torasemide.]
[N02AD02, phenazocine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Phenazocine.]
[G04BX06, phenazopyridine, Torasemide may increase the excretion rate of Phenazopyridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Torasemide.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Torasemide.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Torasemide.]
[A06AB01, oxyphenisatin, The risk or severity of adverse effects can be increased when Torasemide is combined with Oxyphenisatin.]
[N01AH04, phenoperidine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Phenoperidine.]
[C04AX02, phenoxybenzamine, Phenoxybenzamine may decrease the antihypertensive activities of Torasemide.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Torasemide.]
[V03AB36, phentolamine, Torasemide may increase the excretion rate of Phentolamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, Phenylephrine may decrease the antihypertensive activities of Torasemide.]
[R01BA01, phenylpropanolamine, The risk or severity of hypokalemia can be increased when Phenylpropanolamine is combined with Torasemide.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Torasemide.]
[L04AB06, golimumab, The metabolism of Torasemide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Torasemide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B02BA01, vitamin K1, Torasemide may increase the excretion rate of Phylloquinone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AB12, cidofovir, Torasemide may increase the excretion rate of Cidofovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CX01, mibefradil, Torasemide may increase the hypotensive activities of Mibefradil.]
[C07AA03, pindolol, Torasemide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Torasemide.]
[J01CA12, piperacillin, Torasemide may increase the excretion rate of Piperacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE01, saquinavir, The metabolism of Torasemide can be decreased when combined with Saquinavir.]
[N06BX03, piracetam, Torasemide may increase the excretion rate of Piracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA02, eprosartan, Torasemide may increase the hypotensive activities of Eprosartan.]
[N02AC03, pirinitramide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Piritramide.]
[S01BC06, piroxicam, The therapeutic efficacy of Torasemide can be decreased when used in combination with Piroxicam.]
[N02CX01, pizotyline, Pizotifen may decrease the antihypertensive activities of Torasemide.]
[J05AG02, delavirdine, The metabolism of Torasemide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Torasemide can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Torasemide.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Torasemide.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Torasemide.]
[A06AD15, polyethylene glycols, The risk or severity of adverse effects can be increased when Torasemide is combined with Polyethylene glycol.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Torasemide.]
[L04AC08, canakinumab, The metabolism of Torasemide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Torasemide can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Torasemide can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Torasemide.]
[B05XA01, potassium chloride, Torasemide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Torasemide is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Torasemide.]
[C07AB01, practolol, Torasemide may increase the hypotensive activities of Practolol.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Torasemide.]
[S03BA02, prednisolone, The risk or severity of hypokalemia can be increased when Prednisolone is combined with Torasemide.]
[H02AB07, prednisone, The risk or severity of hypokalemia can be increased when Prednisone is combined with Torasemide.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Torasemide.]
[M04AB01, probenecid, The risk or severity of adverse effects can be increased when Probenecid is combined with Torasemide.]
[C01BA02, procainamide, Torasemide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Torasemide.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Torasemide.]
[C10AB05, fenofibrate, Torasemide may increase the excretion rate of Fenofibrate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Torasemide.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Torasemide.]
[R06AD02, promethazine, Torasemide may increase the excretion rate of Promethazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BC03, propafenone, Propafenone may decrease the antihypertensive activities of Torasemide.]
[A03AB05, propantheline, Torasemide may increase the excretion rate of Propantheline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC01, periciazine, Periciazine may decrease the antihypertensive activities of Torasemide.]
[N05CM06, propiomazine, Propiomazine may decrease the antihypertensive activities of Torasemide.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Torasemide.]
[N02AC04, propoxyphene, The therapeutic efficacy of Torasemide can be decreased when used in combination with Dextropropoxyphene.]
[C07AA05, propranolol, Torasemide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AB01, proscillaridin, The risk or severity of adverse effects can be increased when Torasemide is combined with Proscillaridin.]
[N02CC04, rizatriptan, Torasemide may increase the excretion rate of Rizatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Torasemide.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Torasemide.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Torasemide.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Torasemide.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Torasemide.]
[N07XX07, dalfampridine, Torasemide may increase the excretion rate of Dalfampridine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CC01, pyrantel, Torasemide may decrease the neuromuscular blocking activities of Pyrantel.]
[J04AK01, pyrazinamide, Torasemide may increase the excretion rate of Pyrazinamide which could result in a lower serum level and potentially a reduction in efficacy.]
[P01BD01, pyrimethamine, The metabolism of Torasemide can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Torasemide can be decreased when combined with Quinidine.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Torasemide.]
