[P02BB01, trichlorfon, The therapeutic efficacy of Clozapine can be decreased when used in combination with Metrifonate.]
[J04AC01, isoniazid, The metabolism of Clozapine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Clozapine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Clozapine.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Clozapine.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Clozapine is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Clozapine is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Clozapine.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Clozapine.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Clozapine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[S01AA24, kanamycin, Clozapine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Clozapine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Clozapine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[B01AC22, prasugrel, Clozapine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Clozapine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Clozapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Clozapine is combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Clozapine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Clozapine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Mizolastine.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Clozapine.]
[N04BC09, rotigotine, Clozapine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Clozapine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Clozapine.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be decreased when combined with Clozapine.]
[C02AA05, deserpidine, Clozapine may decrease the antihypertensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Clozapine.]
[N07AA30, ambenonium, The therapeutic efficacy of Clozapine can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Clozapine.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Clozapine.]
[L01DC03, mitomycin, The risk or severity of neutropenia can be increased when Mitomycin is combined with Clozapine.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Clozapine.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Clozapine is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Clozapine.]
[C08EX01, lidoflazine, The risk or severity of hypotension can be increased when Clozapine is combined with Lidoflazine.]
[J01FF02, lincomycin, Clozapine may increase the neurotoxic activities of Lincomycin.]
[S01AA21, amikacin, Clozapine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Clozapine can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Clozapine.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Clozapine.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01AD02, lomustine, The risk or severity of neutropenia can be increased when Lomustine is combined with Clozapine.]
[A07DA03, loperamide, The risk or severity of hypotension can be increased when Clozapine is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Clozapine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Clozapine.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Clozapine.]
[L01EG01, temsirolimus, The risk or severity of neutropenia can be increased when Temsirolimus is combined with Clozapine.]
[B05XA11, magnesium chloride, Clozapine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Clozapine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Clozapine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Clozapine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Clozapine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The risk or severity of neutropenia can be increased when Nilotinib is combined with Clozapine.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Clozapine.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C02BB01, mecamylamine, Clozapine may decrease the antihypertensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, The risk or severity of neutropenia can be increased when Mechlorethamine is combined with Clozapine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Clozapine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Clozapine is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Medazepam is combined with Clozapine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Clozapine.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be decreased when combined with Clozapine.]
[P01BC02, mefloquine, The metabolism of Mefloquine can be decreased when combined with Clozapine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01AA03, melphalan, The risk or severity of neutropenia can be increased when Melphalan is combined with Clozapine.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Clozapine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Clozapine is combined with Meperidine.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Clozapine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Clozapine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Clozapine is combined with Meptazinol.]
[G04BX16, tiopronin, Clozapine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Clozapine.]
[N05AX13, paliperidone, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Clozapine.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Clozapine.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Clozapine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Clozapine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Clozapine.]
[A03AB07, methantheline, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J05AF05, lamivudine, Clozapine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[H03BB02, methimazole, The risk or severity of neutropenia can be increased when Methimazole is combined with Clozapine.]
[L01BA04, pemetrexed, The risk or severity of neutropenia can be increased when Pemetrexed is combined with Clozapine.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Clozapine is combined with Ziconotide.]
[L04AX03, methotrexate, The risk or severity of neutropenia can be increased when Methotrexate is combined with Clozapine.]
[N05AA02, methotrimeprazine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Clozapine.]
[D05BA02, methoxsalen, The metabolism of Clozapine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Clozapine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Clozapine.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Clozapine.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Clozapine.]
[G02AB01, methylergonovine, The metabolism of Methylergometrine can be decreased when combined with Clozapine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Clozapine.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Clozapine is combined with Methylphenidate.]
[H02AB04, methylprednisolone, The metabolism of Methylprednisolone can be decreased when combined with Clozapine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Clozapine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Clozapine.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Clozapine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Clozapine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Clozapine.]
[V04CD01, metyrapone, The metabolism of Clozapine can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Clozapine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Clozapine.]
[S02AA13, miconazole, The metabolism of Clozapine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Clozapine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Clozapine.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Clozapine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Clozapine.]
[J05AH01, zanamivir, Clozapine may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Clozapine can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[D11AX01, minoxidil, Clozapine may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Clozapine can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of neutropenia can be increased when Mitoxantrone is combined with Clozapine.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Clozapine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L03AC01, aldesleukin, The risk or severity of neutropenia can be increased when Aldesleukin is combined with Clozapine.]
[C01BD01, amiodarone, The serum concentration of Clozapine can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Clozapine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Clozapine is combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Clozapine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Clozapine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Clozapine.]
[G04BA01, ammonium chloride, Clozapine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Clozapine.]
[L04AA06, mycophenolic acid, Clozapine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[P01BA06, amodiaquine, The metabolism of Clozapine can be decreased when combined with Amodiaquine.]
[G04CA04, silodosin, The metabolism of Silodosin can be decreased when combined with Clozapine.]
[N06AA17, amoxapine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Clozapine can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of neutropenia can be increased when Interferon beta-1b is combined with Clozapine.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Clozapine.]
[J01CA04, amoxicillin, Clozapine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Clozapine.]
[J01CF06, nafcillin, The metabolism of Clozapine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Clozapine is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Clozapine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Clozapine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Clozapine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Clozapine.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Clozapine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Clozapine.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Clozapine.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Clozapine is combined with Duloxetine.]
[N04BX01, tolcapone, The therapeutic efficacy of Tolcapone can be decreased when used in combination with Clozapine.]
[L01CD02, docetaxel, The risk or severity of neutropenia can be increased when Docetaxel is combined with Clozapine.]
[L02BG04, letrozole, The metabolism of Clozapine can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Clozapine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Clozapine is combined with Remifentanil.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Clozapine.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Levosimendan.]
[B01AC17, tirofiban, Clozapine may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Clozapine.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Clozapine is combined with Amphotericin B.]
[S01AA19, ampicillin, Clozapine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Clozapine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Clozapine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Clozapine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Clozapine may decrease the antihypertensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Clozapine.]
[C01CE01, inamrinone, Clozapine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of neutropenia can be increased when Amsacrine is combined with Clozapine.]
[C10AD02, niacin, The metabolism of Clozapine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Clozapine.]
[C08CA04, nicardipine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicardipine.]
[C04AE02, nicergoline, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicergoline.]
[P02DA01, niclosamide, The metabolism of Clozapine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Clozapine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Clozapine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Clozapine is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Clozapine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of hypotension can be increased when Clozapine is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of hypotension can be increased when Clozapine is combined with Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Clozapine.]
[C08CA08, nitrendipine, The risk or severity of hypotension can be increased when Clozapine is combined with Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Clozapine is combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, Clozapine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Clozapine.]
[C02DD01, nitroprusside, Clozapine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Clozapine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Clozapine.]
[S01AE02, norfloxacin, The metabolism of Clozapine can be decreased when combined with Norfloxacin.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Clozapine.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Clozapine.]
[N06AA10, nortriptyline, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nortriptyline.]
[R05DA07, noscapine, The metabolism of Clozapine can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Clozapine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be decreased when used in combination with Clozapine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Clozapine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Clozapine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Clozapine.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Clozapine is combined with Opium.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Clozapine.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Clozapine.]
[G04CA02, tamsulosin, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tamsulosin.]
[J01CF04, oxacillin, Clozapine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Clozapine can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Clozapine can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Clozapine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Clozapine.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Clozapine.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Clozapine is combined with Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Clozapine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Oxymetazoline can be decreased when used in combination with Clozapine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Clozapine is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Clozapine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Clozapine.]
[N05AH05, asenapine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M03AC01, pancuronium, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Clozapine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be decreased when combined with Clozapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Papaverine.]
[N05CC05, paraldehyde, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Paramethasone can be decreased when combined with Clozapine.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Clozapine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Clozapine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Clozapine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Clozapine.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M01CC01, penicillamine, The risk or severity of neutropenia can be increased when Penicillamine is combined with Clozapine.]
[J01CE09, penicillin G procaine, Clozapine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Clozapine is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Clozapine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of neutropenia can be increased when Pentostatin is combined with Clozapine.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Clozapine.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Clozapine.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Clozapine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Clozapine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Clozapine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Clozapine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Clozapine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Clozapine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Clozapine is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Clozapine.]
[N03AA02, phenobarbital, The metabolism of Clozapine can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Clozapine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Clozapine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Clozapine.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Clozapine.]
[V03AB36, phentolamine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Clozapine can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Clozapine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Clozapine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Clozapine.]
[N03AB02, phenytoin, The serum concentration of Clozapine can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Clozapine can be increased when combined with Golimumab.]
