[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Formoterol.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Formoterol.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Formoterol.]
[A10BA01, phenformin, The risk or severity of adverse effects can be increased when Phenformin is combined with Formoterol.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Formoterol.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Formoterol can be decreased when combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Formoterol.]
[V03AB36, phentolamine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Formoterol can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, Phenylephrine may increase the sympathomimetic activities of Formoterol.]
[A02BC06, dexlansoprazole, The metabolism of Formoterol can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may increase the sympathomimetic activities of Formoterol.]
[N03AB02, phenytoin, The metabolism of Formoterol can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Formoterol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Levofloxacin.]
[C08CX01, mibefradil, The metabolism of Formoterol can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Formoterol can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Formoterol.]
[C07AA03, pindolol, Pindolol may decrease the bronchodilatory activities of Formoterol.]
[J05AE01, saquinavir, The risk or severity of adverse effects can be increased when Saquinavir is combined with Formoterol.]
[P02CB01, piperazine, The metabolism of Formoterol can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Formoterol can be decreased when combined with Pipotiazine.]
[C09CA02, eprosartan, Formoterol may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia can be increased when Pirenzepine is combined with Formoterol.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Formoterol.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Grepafloxacin.]
[N02CX01, pizotyline, The therapeutic efficacy of Formoterol can be decreased when used in combination with Pizotifen.]
[J05AG02, delavirdine, The metabolism of Formoterol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Formoterol may decrease the antihypertensive activities of Irbesartan.]
[A10BG02, rosiglitazone, The metabolism of Formoterol can be decreased when combined with Rosiglitazone.]
[A03AE01, alosetron, The metabolism of Formoterol can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Formoterol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Formoterol can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Formoterol.]
[C07AB01, practolol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Formoterol.]
[C02CA01, prazosin, The therapeutic efficacy of Formoterol can be decreased when used in combination with Prazosin.]
[S03BA02, prednisolone, The risk or severity of hypokalemia can be increased when Prednisolone is combined with Formoterol.]
[H02AB07, prednisone, The risk or severity of hypokalemia can be increased when Prednisone is combined with Formoterol.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Prenylamine.]
[P01BA03, primaquine, The metabolism of Formoterol can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Formoterol can be decreased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Formoterol can be decreased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Formoterol.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Formoterol.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Formoterol.]
[C10AB05, fenofibrate, The metabolism of Formoterol can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Prochlorperazine.]
[N04AA04, procyclidine, The risk or severity of Tachycardia can be increased when Procyclidine is combined with Formoterol.]
[G03DA04, progesterone, The metabolism of Formoterol can be decreased when combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Formoterol can be decreased when combined with Propafenone.]
[A03AB05, propantheline, The risk or severity of Tachycardia can be increased when Propantheline is combined with Formoterol.]
[N05AC01, periciazine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Formoterol.]
[N02AC04, propoxyphene, The metabolism of Formoterol can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, Propranolol may decrease the bronchodilatory activities of Formoterol.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Rizatriptan is combined with Formoterol.]
[B01AC09, epoprostenol, Formoterol may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Formoterol can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of hypertension can be increased when Protriptyline is combined with Formoterol.]
[R01BA02, pseudoephedrine, Pseudoephedrine may increase the sympathomimetic activities of Formoterol.]
[N05AX12, aripiprazole, The therapeutic efficacy of Formoterol can be decreased when used in combination with Aripiprazole.]
[A03AB15, diphemanil, The risk or severity of Tachycardia can be increased when Formoterol is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of Tachycardia can be increased when Formoterol is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Methscopolamine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Formoterol can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Formoterol can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Formoterol can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Formoterol may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Formoterol.]
[J04AB02, rifampin, The metabolism of Formoterol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, Rimiterol may increase the sympathomimetic activities of Formoterol.]
[G02CA01, ritodrine, Ritodrine may increase the sympathomimetic activities of Formoterol.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Formoterol is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Formoterol.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Formoterol.]
[S01FA02, scopolamine, The risk or severity of Tachycardia can be increased when Scopolamine is combined with Formoterol.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Formoterol.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Formoterol.]
[C03DA01, spironolactone, The therapeutic efficacy of Formoterol can be decreased when used in combination with Spironolactone.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Valproic acid.]
[A05AA01, chenodeoxycholic acid, The metabolism of Formoterol can be decreased when combined with Chenodeoxycholic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hypokalemia can be increased when Hydrocortisone butyrate is combined with Formoterol.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia can be increased when Ipratropium is combined with Formoterol.]
