[S02DA03, antipyrine, The metabolism of Hydroxychloroquine can be decreased when combined with Antipyrine.]
[N06AX23, desvenlafaxine, The metabolism of Hydroxychloroquine can be decreased when combined with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Hydroxychloroquine.]
[C10AD02, niacin, The metabolism of Hydroxychloroquine can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Hydroxychloroquine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Hydroxychloroquine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Hydroxychloroquine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Nimodipine.]
[N05CD02, nitrazepam, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Hydroxychloroquine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Hydroxychloroquine.]
[N05CF03, zaleplon, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Hydroxychloroquine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Hydroxychloroquine.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Hydroxychloroquine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Hydroxychloroquine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Hydroxychloroquine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Hydroxychloroquine can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Hydroxychloroquine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Hydroxychloroquine.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Hydroxychloroquine.]
[P02BA02, oxamniquine, The metabolism of Hydroxychloroquine can be decreased when combined with Oxamniquine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Hydroxychloroquine.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Hydroxychloroquine.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Hydroxychloroquine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Asenapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Papaverine.]
[N05CC05, paraldehyde, The therapeutic efficacy of Paraldehyde can be decreased when used in combination with Hydroxychloroquine.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Hydroxychloroquine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Hydroxychloroquine.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Hydroxychloroquine.]
[C07AA23, penbutolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Hydroxychloroquine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Hydroxychloroquine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Hydroxychloroquine.]
[N05CA01, pentobarbital, The therapeutic efficacy of Pentobarbital can be decreased when used in combination with Hydroxychloroquine.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Hydroxychloroquine.]
[N05AB10, perazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Perazine.]
[C08EX02, perhexiline, The metabolism of Hydroxychloroquine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Hydroxychloroquine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Hydroxychloroquine.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Hydroxychloroquine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Pheniramine.]
[N03AA02, phenobarbital, The therapeutic efficacy of Phenobarbital can be decreased when used in combination with Hydroxychloroquine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Hydroxychloroquine.]
[N03AB02, phenytoin, The therapeutic efficacy of Phenytoin can be decreased when used in combination with Hydroxychloroquine.]
[L04AB06, golimumab, The metabolism of Hydroxychloroquine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Levofloxacin.]
[C08CX01, mibefradil, The metabolism of Hydroxychloroquine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Hydroxychloroquine.]
[C07AA03, pindolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Hydroxychloroquine can be decreased when combined with Atorvastatin.]
[J05AE01, saquinavir, The metabolism of Hydroxychloroquine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Hydroxychloroquine.]
[N05AC04, pipothiazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Pipotiazine.]
[S01BC06, piroxicam, The metabolism of Hydroxychloroquine can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Hydroxychloroquine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Hydroxychloroquine can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Hydroxychloroquine can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Hydroxychloroquine.]
[L02BG03, anastrozole, The metabolism of Hydroxychloroquine can be decreased when combined with Anastrozole.]
[L04AC08, canakinumab, The metabolism of Hydroxychloroquine can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Hydroxychloroquine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Hydroxychloroquine.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Hydroxychloroquine.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Hydroxychloroquine.]
[C07AB01, practolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Prajmaline.]
[P02BA01, praziquantel, Hydroxychloroquine can cause a decrease in the absorption of Praziquantel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Hydroxychloroquine.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Hydroxychloroquine.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Hydroxychloroquine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The therapeutic efficacy of Primidone can be decreased when used in combination with Hydroxychloroquine.]
[M04AB01, probenecid, The metabolism of Hydroxychloroquine can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Hydroxychloroquine.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Hydroxychloroquine.]
[C10AB05, fenofibrate, The metabolism of Hydroxychloroquine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Prochlorperazine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Hydroxychloroquine.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Hydroxychloroquine can be decreased when combined with Propafenone.]
[N05AC01, periciazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Periciazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Hydroxychloroquine.]
[N02AC04, propoxyphene, The metabolism of Hydroxychloroquine can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Hydroxychloroquine.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Hydroxychloroquine.]
[R03DC03, montelukast, The metabolism of Hydroxychloroquine can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Hydroxychloroquine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Hydroxychloroquine.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Hydroxychloroquine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Mepyramine.]
[P01BD01, pyrimethamine, The metabolism of Hydroxychloroquine can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Hydroxychloroquine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be increased when used in combination with Hydroxychloroquine.]
[A02BA02, ranitidine, The metabolism of Hydroxychloroquine can be decreased when combined with Ranitidine.]
[J04AB02, rifampin, The metabolism of Hydroxychloroquine can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Hydroxychloroquine.]
[N05CA06, secobarbital, The therapeutic efficacy of Secobarbital can be decreased when used in combination with Hydroxychloroquine.]
[N04BD01, selegiline, The metabolism of Hydroxychloroquine can be decreased when combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Hydroxychloroquine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Hydroxychloroquine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Hydroxychloroquine.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Hydroxychloroquine.]
[C03DA01, spironolactone, The metabolism of Hydroxychloroquine can be decreased when combined with Spironolactone.]
[H02CA04, levoketoconazole, The metabolism of Hydroxychloroquine can be decreased when combined with Levoketoconazole.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
