[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Buspirone is combined with Antipyrine.]
[C07AB09, esmolol, Buspirone may decrease the antihypertensive activities of Esmolol.]
[M01CB04, aurothioglucose, Buspirone may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Buspirone may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Buspirone is combined with Fluindione.]
[C09AA09, fosinopril, Buspirone may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Buspirone may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Buspirone can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Buspirone.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Buspirone is combined with Halothane.]
[N05AH04, quetiapine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX13, idebenone, Buspirone may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Buspirone is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Buspirone.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Buspirone is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[C09CA01, losartan, Buspirone may decrease the antihypertensive activities of Losartan.]
[G03DC01, allylestrenol, Buspirone may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Buspirone.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Buspirone is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Buspirone is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Buspirone can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Buspirone can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Buspirone is combined with Nimesulide.]
[C09AA04, perindopril, Buspirone may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Buspirone may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Buspirone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Buspirone may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[G04BD06, propiverine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Buspirone can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Buspirone is combined with Prothipendyl.]
[B05AA07, hetastarch, Buspirone may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[C02AC06, rilmenidine, Buspirone may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Buspirone is combined with Ibuprofen.]
[B05XA08, sodium acetate, Buspirone may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Buspirone.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Buspirone.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Buspirone is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Buspirone can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Buspirone.]
[R01AD07, tixocortol, Buspirone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Buspirone is combined with Tizanidine.]
[L01CE01, topotecan, Buspirone may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Buspirone.]
[C02CA02, indoramin, Buspirone may decrease the antihypertensive activities of Indoramin.]
[A11HA07, inositol, Buspirone may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Buspirone is combined with Milnacipran.]
[A03AA30, piperidolate, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Buspirone may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Buspirone is combined with Articaine.]
[A10BH01, sitagliptin, Buspirone may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Buspirone.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Buspirone is combined with Ramelteon.]
[R06AE01, buclizine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Buspirone can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Buspirone is combined with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Buspirone may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Buspirone is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of hypertension can be increased when Iproniazid is combined with Buspirone.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of hypertension can be increased when Isocarboxazid is combined with Buspirone.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Buspirone.]
[C09AA16, imidapril, Buspirone may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Buspirone is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Buspirone is combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Buspirone can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Buspirone may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Buspirone is combined with Isoprenaline.]
[C01DA14, isosorbide mononitrate, Buspirone may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Buspirone may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Buspirone is combined with Isoxsuprine.]
[J01FA07, josamycin, The metabolism of Buspirone can be decreased when combined with Josamycin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Buspirone.]
[S01AA24, kanamycin, Buspirone may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Buspirone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Buspirone is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Buspirone is combined with Ketanserin.]
[B01AC22, prasugrel, Buspirone may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Buspirone can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Buspirone can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Buspirone is combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Buspirone can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Buspirone is combined with Arbutamine.]
[N04BC09, rotigotine, Buspirone may increase the sedative activities of Rotigotine.]
[D10AX03, azelaic acid, Buspirone may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Buspirone is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Buspirone can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Amantadine.]
[C02AA05, deserpidine, Buspirone may decrease the antihypertensive activities of Deserpidine.]
[A06AX03, lubiprostone, Buspirone may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Buspirone is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Buspirone can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Buspirone is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Buspirone.]
[S01AA21, amikacin, Buspirone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Buspirone can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Buspirone is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Buspirone is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Buspirone.]
[C10AA02, lovastatin, The metabolism of Buspirone can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Buspirone.]
[L01EG01, temsirolimus, The metabolism of Buspirone can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, Buspirone may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Buspirone may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Buspirone can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Buspirone may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Buspirone can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Buspirone is combined with Mazindol.]
[C02BB01, mecamylamine, Buspirone may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Buspirone is combined with Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Buspirone is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Medazepam.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Buspirone is combined with Melatonin.]
[N06DX01, memantine, Buspirone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Buspirone.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Buspirone is combined with Mephenytoin.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Buspirone is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Buspirone is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Buspirone.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Buspirone is combined with Meptazinol.]
[G04BX16, tiopronin, Buspirone may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Buspirone is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Buspirone is combined with Metaraminol.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Buspirone is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Buspirone.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Buspirone is combined with Metamfetamine.]
[A03AB07, methantheline, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Buspirone is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Buspirone is combined with Methaqualone.]
[J05AF05, lamivudine, Buspirone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Buspirone.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Buspirone is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Buspirone can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Buspirone may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Buspirone.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Buspirone.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Buspirone is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Buspirone is combined with Methoxamine.]
[D05BA02, methoxsalen, Buspirone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Buspirone is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Buspirone may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Buspirone may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Buspirone.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Buspirone.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Buspirone.]
[G03EK01, methyltestosterone, Buspirone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Buspirone is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Buspirone.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Buspirone.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Buspirone can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Buspirone.]
[V04CD01, metyrapone, Buspirone may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Buspirone can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Buspirone is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Buspirone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Buspirone is combined with Aminophenazone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Buspirone is combined with Midazolam.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Buspirone.]
[G03XB01, mifepristone, The metabolism of Buspirone can be decreased when combined with Mifepristone.]
[J05AH01, zanamivir, Buspirone may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, Buspirone may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[D11AX01, minoxidil, Buspirone may decrease the antihypertensive activities of Minoxidil.]
[J01FA11, miocamycin, The metabolism of Buspirone can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Buspirone can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Buspirone is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Buspirone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Buspirone.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Buspirone.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Buspirone.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Buspirone can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Buspirone may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Buspirone can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, Buspirone may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Buspirone is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Buspirone is combined with Amobarbital.]
[R03BB01, ipratropium bromide, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Buspirone.]
[N03AB05, fosphenytoin, The metabolism of Buspirone can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Buspirone may decrease the antihypertensive activities of Nadolol.]
[J01CA04, amoxicillin, Buspirone may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Buspirone.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Buspirone is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Buspirone is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Buspirone can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Buspirone can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Buspirone is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Buspirone.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Buspirone is combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Buspirone can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Buspirone can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Buspirone.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Buspirone.]
[S03AA01, neomycin, Buspirone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Buspirone is combined with Remifentanil.]
[B01AC17, tirofiban, Buspirone may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Buspirone is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[L03AX16, plerixafor, Buspirone may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Buspirone may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Buspirone is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Buspirone may decrease the antihypertensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[C01CE01, inamrinone, Buspirone may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Buspirone can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of hypertension can be increased when Nialamide is combined with Buspirone.]
[C08CA04, nicardipine, The metabolism of Buspirone can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Buspirone is combined with Nicergoline.]
[C08CA05, nifedipine, Buspirone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Buspirone is combined with Niflumic acid.]
[C08CA06, nimodipine, Buspirone may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Buspirone may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Nitrazepam.]
[C08CA08, nitrendipine, Buspirone may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Buspirone may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Buspirone is combined with Zaleplon.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Buspirone.]
[C02DD01, nitroprusside, Buspirone may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Buspirone is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Buspirone is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Buspirone.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Buspirone.]
[C02KX01, bosentan, Buspirone may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Buspirone.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Buspirone is combined with Nylidrin.]
[J01FA05, oleandomycin, The metabolism of Buspirone can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Buspirone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Buspirone can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Buspirone is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Buspirone is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Buspirone is combined with Orciprenaline.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Buspirone.]
[G04CA02, tamsulosin, Buspirone may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Buspirone may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Buspirone can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Buspirone is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Buspirone is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Buspirone is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Buspirone is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[M03AC01, pancuronium, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Buspirone may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Buspirone can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of hypertension can be increased when Pargyline is combined with Buspirone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[G04BD11, fesoterodine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Buspirone is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Buspirone is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Buspirone may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Buspirone is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Buspirone can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Buspirone may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Buspirone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Buspirone is combined with Pergolide.]
