[P02BB01, trichlorfon, The therapeutic efficacy of Atropine can be decreased when used in combination with Metrifonate.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Ofloxacin.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Atropine is combined with Orciprenaline.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Atropine.]
[C07AA02, oxprenolol, Atropine may increase the arrhythmogenic activities of Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Atropine is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Atropine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Atropine is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Atropine is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Atropine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Atropine.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Atropine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Asenapine.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Atropine is combined with Tapentadol.]
[M03AC01, pancuronium, Pancuronium may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Papaverine.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C02KC01, pargyline, The risk or severity of hypertension can be increased when Pargyline is combined with Atropine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Atropine.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Atropine is combined with Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AG03, penfluridol, Atropine may increase the arrhythmogenic activities of Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Atropine is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Atropine is combined with Pentobarbital.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C08EX02, perhexiline, Atropine may increase the arrhythmogenic activities of Perhexiline.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Atropine is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of hypertension can be increased when Phenelzine is combined with Atropine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Atropine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Atropine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Atropine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Atropine may decrease the antihypertensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Atropine.]
[V03AB36, phentolamine, Atropine may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Atropine is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Atropine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Atropine.]
[N03AB02, phenytoin, Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Atropine can be decreased when used in combination with Physostigmine.]
[C08CX01, mibefradil, Atropine may increase the arrhythmogenic activities of Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Atropine is combined with Pimozide.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C10AA05, atorvastatin, Atropine may decrease the excretion rate of Atorvastatin which could result in a higher serum level.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Atropine is combined with Saquinavir.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09CA02, eprosartan, Atropine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Atropine is combined with Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Atropine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Atropine.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Grepafloxacin.]
[N02CX01, pizotyline, Pizotifen may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09CA04, irbesartan, Atropine may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Atropine which could result in a higher serum level.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Atropine.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C03AA05, polythiazide, Atropine may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, Ritonavir may decrease the excretion rate of Atropine which could result in a higher serum level.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Atropine is combined with Potassium chloride.]
[C10AA08, pitavastatin, Atropine may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, Atropine may increase the arrhythmogenic activities of Practolol.]
[C01BA08, prajmaline, Atropine may increase the arrhythmogenic activities of Prajmaline.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C02CA01, prazosin, Atropine may decrease the antihypertensive activities of Prazosin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Atropine is combined with Antazoline.]
[C01DX02, prenylamine, Atropine may increase the arrhythmogenic activities of Prenylamine.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Primaquine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Atropine is combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Atropine is combined with Probucol.]
[C01BA02, procainamide, Atropine may increase the arrhythmogenic activities of Procainamide.]
[S01HA05, procaine, The risk or severity of hypertension can be increased when Procaine is combined with Atropine.]
[L01XB01, procarbazine, The risk or severity of hypertension can be increased when Procarbazine is combined with Atropine.]
[C10AB05, fenofibrate, Atropine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Atropine.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N05AA03, promazine, Promazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01BC03, propafenone, Atropine may increase the arrhythmogenic activities of Propafenone.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Atropine is combined with Propantheline.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Romidepsin.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Atropine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Propranolol may increase the arrhythmogenic activities of Atropine.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[B01AC09, epoprostenol, Atropine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Atropine is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Aripiprazole may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Atropine is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Atropine is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Atropine is combined with Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Atropine can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01BA01, quinidine, Atropine may increase the arrhythmogenic activities of Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Quinine.]
[C02AA01, rescinnamine, Atropine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Atropine which could result in a higher serum level.]
[J04AB02, rifampin, Rifampicin may decrease the excretion rate of Atropine which could result in a higher serum level.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Atropine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Atropine is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Atropine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Atropine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Atropine is combined with Salicylic acid.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Atropine is combined with Secobarbital.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Atropine.]
[N04BD01, selegiline, The risk or severity of hypertension can be increased when Selegiline is combined with Atropine.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Atropine.]
[C07AA07, sotalol, Sotalol may increase the arrhythmogenic activities of Atropine.]
[C03DA01, spironolactone, Spironolactone may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Atropine is combined with Valproic acid.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Atropine which could result in a higher serum level.]
