[S02DA03, antipyrine, The metabolism of Ifosfamide can be decreased when combined with Antipyrine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Ifosfamide can be decreased when combined with Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Ifosfamide can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Ifosfamide can be increased when combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Ifosfamide may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[G04BD06, propiverine, Ifosfamide may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Ifosfamide may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Ifosfamide.]
[N05BB01, hydroxyzine, The metabolism of Ifosfamide can be decreased when combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Ifosfamide can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be increased when combined with Ifosfamide.]
[B05XA08, sodium acetate, Ifosfamide may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Ifosfamide is combined with Sodium citrate.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ifosfamide.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Antilymphocyte immunoglobulin (horse).]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Ifosfamide may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Ifosfamide can be increased when combined with Fluticasone furoate.]
[N06AA02, imipramine, The metabolism of Ifosfamide can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Ifosfamide can be increased when combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Ifosfamide.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Ifosfamide.]
[A11HA07, inositol, Ifosfamide may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ifosfamide.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Ifosfamide.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Ifosfamide.]
[S01XA28, varenicline, Ifosfamide may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be increased when combined with Ifosfamide.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Ifosfamide.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C10AA06, cerivastatin, The metabolism of Ifosfamide can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Ifosfamide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Ifosfamide.]
[V03AB01, ipecac, Ifosfamide may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AF05, iproniazid, The metabolism of Ifosfamide can be decreased when combined with Iproniazid.]
[P01AX06, atovaquone, The metabolism of Ifosfamide can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The metabolism of Ifosfamide can be decreased when combined with Isoflurane.]
[J04AC01, isoniazid, The metabolism of Ifosfamide can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Ifosfamide may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C05AE02, isosorbide dinitrate, The risk or severity of methemoglobinemia can be increased when Isosorbide dinitrate is combined with Ifosfamide.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Bivalirudin.]
[S01AA24, kanamycin, Ifosfamide may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Ifosfamide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ifosfamide can be increased when combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Ifosfamide.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Ifosfamide is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Ifosfamide can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Ifosfamide can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Ifosfamide can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Ifosfamide can be increased when combined with Abatacept.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Ifosfamide can be decreased when combined with Lacosamide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ifosfamide.]
[G03AD01, levonorgestrel, The metabolism of Ifosfamide can be decreased when combined with Levonorgestrel.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Lidocaine.]
[S01AA21, amikacin, Ifosfamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Ifosfamide can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Ifosfamide.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Lomustine.]
[A07DA03, loperamide, The metabolism of Loperamide can be increased when combined with Ifosfamide.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Ifosfamide.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Ifosfamide.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Ifosfamide.]
[B05XA11, magnesium chloride, Ifosfamide may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Ifosfamide may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Ifosfamide can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Ifosfamide.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Ifosfamide.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Dalteparin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Ifosfamide.]
[N06DX01, memantine, The metabolism of Ifosfamide can be decreased when combined with Memantine.]
[N02AB02, meperidine, The metabolism of Ifosfamide can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The metabolism of Ifosfamide can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Ifosfamide can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Mepivacaine.]
[G04BX16, tiopronin, Ifosfamide may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The metabolism of Ifosfamide can be increased when combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The metabolism of Ifosfamide can be decreased when combined with Paliperidone.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[H01CB03, lanreotide, The metabolism of Ifosfamide can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Ifosfamide can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, Ifosfamide may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Ifosfamide can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Ifosfamide.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Ifosfamide.]
[D05BA02, methoxsalen, The metabolism of Ifosfamide can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Ifosfamide can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Ifosfamide can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Ifosfamide can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Ifosfamide.]
[H02AB04, methylprednisolone, The metabolism of Ifosfamide can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Ifosfamide can be increased when combined with Rufinamide.]
[G03EK01, methyltestosterone, The metabolism of Ifosfamide can be decreased when combined with Methyltestosterone.]
[N02CA04, methysergide, The metabolism of Ifosfamide can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Metoclopramide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Ifosfamide can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Ifosfamide can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Ifosfamide can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Ifosfamide can be decreased when combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Ifosfamide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be increased when combined with Ifosfamide.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Ifosfamide.]
[G03XB01, mifepristone, The serum concentration of Ifosfamide can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Ifosfamide can be decreased when combined with Valsartan.]
[J01FA11, miocamycin, The metabolism of Ifosfamide can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Ifosfamide can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The metabolism of Ifosfamide can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Ifosfamide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Ifosfamide can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Morphine can be increased when combined with Ifosfamide.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Ifosfamide can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Ifosfamide can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Ifosfamide may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Ifosfamide.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Ifosfamide.]
[N05CA02, amobarbital, The metabolism of Ifosfamide can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be increased when combined with Ifosfamide.]
[G03XC01, raloxifene, The metabolism of Ifosfamide can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The metabolism of Ifosfamide can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Ifosfamide.]
[C07AA12, nadolol, Ifosfamide may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01CF06, nafcillin, The metabolism of Ifosfamide can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Ifosfamide can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Ifosfamide can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be increased when combined with Ifosfamide.]
[A10BG01, troglitazone, The metabolism of Ifosfamide can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Ifosfamide.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Ifosfamide.]
[L02BG04, letrozole, The metabolism of Ifosfamide can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Ifosfamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be increased when combined with Ifosfamide.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Ifosfamide.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Ifosfamide.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L03AX16, plerixafor, Ifosfamide may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Ifosfamide may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Ifosfamide can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C01CE01, inamrinone, Ifosfamide may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Ifosfamide.]
[C10AD02, niacin, The metabolism of Ifosfamide can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Ifosfamide can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Ifosfamide.]
[N07BA01, nicotine, The metabolism of Ifosfamide can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Ifosfamide can be increased when combined with Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[V03AB22, amyl nitrite, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Amyl Nitrite.]
[C08CA07, nisoldipine, The metabolism of Ifosfamide can be decreased when combined with Nisoldipine.]
[C08CA08, nitrendipine, The metabolism of Ifosfamide can be decreased when combined with Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of methemoglobinemia can be increased when Nitric Oxide is combined with Ifosfamide.]
[J01XE01, nitrofurantoin, The risk or severity of methemoglobinemia can be increased when Nitrofurantoin is combined with Ifosfamide.]
[N05CF03, zaleplon, The metabolism of Ifosfamide can be decreased when combined with Zaleplon.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C02DD01, nitroprusside, The risk or severity of methemoglobinemia can be increased when Nitroprusside is combined with Ifosfamide.]
[N01AX13, nitrous oxide, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Nitrous oxide.]
[G03DC02, norethindrone, The metabolism of Ifosfamide can be decreased when combined with Norethisterone.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Ifosfamide.]
[C02KX01, bosentan, The metabolism of Ifosfamide can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Ifosfamide.]
[R05DA07, noscapine, The metabolism of Ifosfamide can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Ifosfamide.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of Ifosfamide can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Ifosfamide can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Ifosfamide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Ifosfamide can be increased when combined with Omeprazole.]
[N02AA02, opium, Ifosfamide may decrease the excretion rate of Opium which could result in a higher serum level.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Ifosfamide is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ifosfamide is combined with Ancrod.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Ifosfamide.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A14AA08, oxandrolone, The metabolism of Ifosfamide can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N02AA05, oxycodone, The metabolism of Ifosfamide can be decreased when combined with Oxycodone.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J04AA01, aminosalicylic acid, The risk or severity of methemoglobinemia can be increased when Aminosalicylic acid is combined with Ifosfamide.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Ifosfamide is combined with Danaparoid.]
[J04AB30, capreomycin, Ifosfamide may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Ifosfamide.]
[H02AB05, paramethasone, The metabolism of Ifosfamide can be increased when combined with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[G04BD11, fesoterodine, Ifosfamide may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Ifosfamide may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Ifosfamide.]
[J01CE09, penicillin G procaine, Ifosfamide may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Ifosfamide.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Ifosfamide.]
[N05CA01, pentobarbital, The metabolism of Ifosfamide can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Ifosfamide.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Ifosfamide.]
[C08EX02, perhexiline, The metabolism of Ifosfamide can be decreased when combined with Perhexiline.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Ifosfamide.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Ifosfamide.]
[G04BX06, phenazopyridine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Phenazopyridine.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Ifosfamide is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Ifosfamide can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Ifosfamide is combined with Phenprocoumon.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Ifosfamide can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Ifosfamide can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Ifosfamide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Ifosfamide.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Ifosfamide can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Ifosfamide can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Ifosfamide.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Ifosfamide.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Ifosfamide can be decreased when combined with Saquinavir.]
[N06BX03, piracetam, Ifosfamide may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be increased when combined with Ifosfamide.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J05AG02, delavirdine, The metabolism of Ifosfamide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Ifosfamide can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Ifosfamide is combined with Abciximab.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be increased when combined with Ifosfamide.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Ifosfamide is combined with Alteplase.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be increased when combined with Ifosfamide.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Ifosfamide is combined with Anastrozole.]
[A03AE01, alosetron, The metabolism of Ifosfamide can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Ifosfamide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Ifosfamide can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Ifosfamide can be decreased when combined with Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be increased when combined with Ifosfamide.]
[P02BA01, praziquantel, The metabolism of Ifosfamide can be decreased when combined with Praziquantel.]
[S03BA02, prednisolone, The metabolism of Ifosfamide can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Ifosfamide.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Ifosfamide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Ifosfamide can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Ifosfamide can be increased when combined with Probenecid.]
[C01BA02, procainamide, Ifosfamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Ifosfamide.]
