[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Levofloxacin.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Levofloxacin.]
[S02AA12, rifamycin SV, The excretion of Levofloxacin can be decreased when combined with Rifamycin.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Levofloxacin.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Levofloxacin.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Levofloxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Levofloxacin.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levofloxacin.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may increase the neuroexcitatory activities of Levofloxacin.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Levofloxacin.]
[N02BA06, salsalate, Salsalate may increase the neuroexcitatory activities of Levofloxacin.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Levofloxacin.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Dosulepin is combined with Levofloxacin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Levofloxacin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Levofloxacin.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Levofloxacin.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Levofloxacin.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A12CA02, sodium sulfate, Levofloxacin may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Levofloxacin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Sultopride.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Levofloxacin.]
[H01AA01, corticotropin, The risk or severity of tendinopathy can be increased when Corticotropin is combined with Levofloxacin.]
[J01CG02, tazobactam, The excretion of Levofloxacin can be decreased when combined with Tazobactam.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Temafloxacin.]
[J01CA17, temocillin, The serum concentration of Levofloxacin can be increased when it is combined with Temocillin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may increase the neuroexcitatory activities of Levofloxacin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Terodiline.]
[C09AA02, enalapril, The excretion of Levofloxacin can be decreased when combined with Enalapril.]
[M01AG02, tolfenamic acid, Tolfenamic acid may increase the neuroexcitatory activities of Levofloxacin.]
[N06AG03, toloxatone, Levofloxacin may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Levofloxacin.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Levofloxacin may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of tendinopathy can be increased when Trilostane is combined with Levofloxacin.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Levofloxacin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Levofloxacin.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Levofloxacin.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B05XA12, zinc chloride, Zinc chloride can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA18, zinc sulfate, Zinc sulfate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M01AB04, zomepirac, Zomepirac may increase the neuroexcitatory activities of Levofloxacin.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Levofloxacin.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Levofloxacin.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Valproic acid.]
[L03AX05, pidotimod, Levofloxacin may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Levofloxacin.]
[N05CD04, estazolam, Levofloxacin may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of tendinopathy can be increased when Fluticasone furoate is combined with Levofloxacin.]
[R03BA05, fluticasone, The risk or severity of tendinopathy can be increased when Fluticasone is combined with Levofloxacin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Levofloxacin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Levofloxacin.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Levofloxacin.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Levofloxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Terfenadine.]
[P01AX07, trimetrexate, Levofloxacin may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Levofloxacin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Levofloxacin.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Levofloxacin.]
[C10AA03, pravastatin, The excretion of Levofloxacin can be decreased when combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Levofloxacin may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Levofloxacin may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Levofloxacin.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Levofloxacin.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Fendiline.]
[M01AE04, fenoprofen, Fenoprofen may increase the neuroexcitatory activities of Levofloxacin.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Levofloxacin.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[G04BD02, flavoxate, Levofloxacin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may increase the neuroexcitatory activities of Levofloxacin.]
[J01CF05, floxacillin, The serum concentration of Levofloxacin can be increased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Levofloxacin.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[H02AA02, fludrocortisone, The risk or severity of tendinopathy can be increased when Fludrocortisone is combined with Levofloxacin.]
[V03AB25, flumazenil, Levofloxacin may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of tendinopathy can be increased when Flumethasone is combined with Levofloxacin.]
[D07AC08, fluocinonide, The risk or severity of tendinopathy can be increased when Fluocinonide is combined with Levofloxacin.]
[H02AB03, fluocortolone, The risk or severity of tendinopathy can be increased when Fluocortolone is combined with Levofloxacin.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Levofloxacin.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Levofloxacin.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Flupentixol.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may increase the neuroexcitatory activities of Levofloxacin.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01BC03, tegafur, Levofloxacin may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Levofloxacin.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Levofloxacin.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C10AB04, gemfibrozil, Levofloxacin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Levofloxacin.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Levofloxacin.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Levofloxacin.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Levofloxacin.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Levofloxacin.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Levofloxacin.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Levofloxacin.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Levofloxacin.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Levofloxacin.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Dofetilide.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Levofloxacin.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Levofloxacin.]
[M01CB04, aurothioglucose, Levofloxacin may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Levofloxacin may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Levofloxacin.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01EX01, guanethidine, Levofloxacin may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Levofloxacin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Levofloxacin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Quetiapine.]
[N06BX13, idebenone, Levofloxacin may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Levofloxacin.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Levofloxacin.]
[B05CB03, magnesium citrate, Magnesium citrate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC03, magnesium gluconate, Magnesium gluconate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03DC01, allylestrenol, Levofloxacin may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may increase the neuroexcitatory activities of Levofloxacin.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the neuroexcitatory activities of Levofloxacin.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Oxatomide.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C02DB02, hydralazine, Levofloxacin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[S02BA01, hydrocortisone, The risk or severity of tendinopathy can be increased when Hydrocortisone is combined with Levofloxacin.]
[D07AB02, hydrocortisone butyrate, The risk or severity of tendinopathy can be increased when Hydrocortisone butyrate is combined with Levofloxacin.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Levofloxacin may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[G04BD06, propiverine, Levofloxacin may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Levofloxacin.]
[B05AA07, hetastarch, Levofloxacin may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Hydroxyzine.]
[R02AX02, ibuprofen, Ibuprofen may increase the neuroexcitatory activities of Levofloxacin.]
[B05XA08, sodium acetate, Levofloxacin may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Levofloxacin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Levofloxacin.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Levofloxacin.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Levofloxacin.]
[L01CE01, topotecan, The excretion of Topotecan can be decreased when combined with Levofloxacin.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may increase the neuroexcitatory activities of Levofloxacin.]
[A16AX05, zinc acetate, Zinc acetate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CB02, zinc gluconate, Zinc gluconate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A11HA07, inositol, Levofloxacin may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Levofloxacin may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Levofloxacin may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Levofloxacin.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Levofloxacin.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Levofloxacin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Anagrelide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Levofloxacin may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[G04BE01, alprostadil, The excretion of Levofloxacin can be decreased when combined with Alprostadil.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Levofloxacin.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J05AX05, inosine pranobex, Levofloxacin may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Levofloxacin.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01AA24, kanamycin, Levofloxacin may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AX03, ketamine, Levofloxacin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Levofloxacin may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Levofloxacin.]
[H02CA04, levoketoconazole, The excretion of Levofloxacin can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Levofloxacin.]
[M02AA10, ketoprofen, Ketoprofen may increase the neuroexcitatory activities of Levofloxacin.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Mizolastine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Levofloxacin.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may increase the neuroexcitatory activities of Levofloxacin.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Levofloxacin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Levofloxacin.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA11, amdinocillin, The serum concentration of Levofloxacin can be increased when it is combined with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The serum concentration of Levofloxacin can be increased when it is combined with Pivmecillinam.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Levofloxacin.]
[S01AA21, amikacin, Levofloxacin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Levofloxacin.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B05XA11, magnesium chloride, Magnesium chloride can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, Magnesium sulfate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01BA05, pralatrexate, Levofloxacin may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Levofloxacin.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may increase the neuroexcitatory activities of Levofloxacin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Levofloxacin.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Mepivacaine.]
[G04BX16, tiopronin, Levofloxacin may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Mesoridazine is combined with Levofloxacin.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Paliperidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Levofloxacin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Levofloxacin.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Levofloxacin.]
[N06BA03, methamphetamine, Levofloxacin may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01BA04, pemetrexed, Levofloxacin may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Levofloxacin.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
