[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bupropion.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Bupropion.]
[N04BB01, amantadine, The excretion of Amantadine can be decreased when combined with Bupropion.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Bupropion is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Bupropion is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of seizure can be increased when Bupropion is combined with Lidocaine.]
[S01AA21, amikacin, Bupropion may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Bupropion can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Bupropion is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of seizure can be increased when Bupropion is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Bupropion.]
[C10AA02, lovastatin, The metabolism of Bupropion can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Bupropion.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Bupropion.]
[B05XA11, magnesium chloride, Bupropion may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Bupropion may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Bupropion can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Bupropion may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The risk or severity of seizure can be increased when Bupropion is combined with Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Bupropion.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Bupropion.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Bupropion is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of seizure can be increased when Bupropion is combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Bupropion.]
[N06DX01, memantine, The excretion of Memantine can be decreased when combined with Bupropion.]
[N02AB02, meperidine, The risk or severity of seizure can be increased when Bupropion is combined with Meperidine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Bupropion.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Bupropion.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Bupropion.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Bupropion.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Bupropion is combined with Meptazinol.]
[G04BX16, tiopronin, Bupropion may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Bupropion.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Bupropion.]
[A10BA02, metformin, The excretion of Metformin can be decreased when combined with Bupropion.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Bupropion.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Bupropion.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Bupropion.]
[A03AB07, methantheline, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Bupropion is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Bupropion is combined with Methaqualone.]
[J05AF05, lamivudine, The excretion of Lamivudine can be decreased when combined with Bupropion.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Bupropion.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Bupropion is combined with Metergoline.]
[H03BB02, methimazole, The serum concentration of Bupropion can be increased when it is combined with Methimazole.]
[L01BA04, pemetrexed, Bupropion may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Bupropion.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Bupropion.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Bupropion is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Bupropion.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Methylene blue is combined with Bupropion.]
[R03DA05, aminophylline, The risk or severity of seizure can be increased when Bupropion is combined with Aminophylline.]
[N06BA04, methylphenidate, The risk or severity of seizure can be increased when Bupropion is combined with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Bupropion.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Bupropion.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Bupropion.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Bupropion.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Bupropion.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Bupropion.]
[P01AB01, metronidazole, The risk or severity of seizure can be increased when Bupropion is combined with Metronidazole.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Bupropion.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Bupropion.]
[S02AA13, miconazole, The serum concentration of Bupropion can be increased when it is combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Bupropion.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Bupropion.]
[G03XB01, mifepristone, The serum concentration of Bupropion can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Bupropion can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Bupropion.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Bupropion is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Bupropion can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of seizure can be increased when Bupropion is combined with Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Bupropion.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Bupropion.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Bupropion can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Bupropion may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Bupropion.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Bupropion is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Bupropion is combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Bupropion can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The serum concentration of Bupropion can be increased when it is combined with Raloxifene.]
[N06AA17, amoxapine, The risk or severity of seizure can be increased when Bupropion is combined with Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Bupropion can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Bupropion.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Bupropion is combined with Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Bupropion is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Bupropion.]
[V03AB15, naloxone, Bupropion may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Bupropion can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The risk or severity of seizure can be increased when Bupropion is combined with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Bupropion can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Bupropion.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Bupropion is combined with Tolcapone.]
[S03AA01, neomycin, Bupropion may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Bupropion.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Bupropion.]
[J02AA01, amphotericin B, The risk or severity of seizure can be increased when Bupropion is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L03AX16, plerixafor, Bupropion may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Bupropion may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of seizure can be increased when Bupropion is combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C01CE01, inamrinone, Bupropion may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Nialamide is combined with Bupropion.]
[C08CA04, nicardipine, The metabolism of Bupropion can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Bupropion.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Bupropion.]
[N07BA01, nicotine, The metabolism of Bupropion can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Bupropion.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Bupropion is combined with Nitrazepam.]
[R07AX01, nitric oxide, The serum concentration of Bupropion can be increased when it is combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Bupropion.]
[N04BC05, pramipexole, The excretion of Pramipexole can be decreased when combined with Bupropion.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Bupropion is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Bupropion is combined with Nomifensine.]
[C01CA03, norepinephrine, The excretion of Norepinephrine can be decreased when combined with Bupropion.]
[C02KX01, bosentan, The metabolism of Bupropion can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The risk or severity of seizure can be increased when Bupropion is combined with Nortriptyline.]
[R05DA07, noscapine, The metabolism of Bupropion can be decreased when combined with Noscapine.]
[L04AC04, rilonacept, The metabolism of Bupropion can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Bupropion can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of seizure can be increased when Bupropion is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Bupropion.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Bupropion.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A14AA08, oxandrolone, The metabolism of Bupropion can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Bupropion.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Bupropion.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Bupropion.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Bupropion.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Bupropion is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A03AB03, oxyphenonium, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Bupropion is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[M03AC01, pancuronium, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Bupropion may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Pargyline is combined with Bupropion.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Bupropion.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Bupropion.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Bupropion is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Bupropion may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of seizure can be increased when Bupropion is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Bupropion.]
[L01XX08, pentostatin, Bupropion may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Bupropion is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Bupropion is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Bupropion.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Bupropion.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Bupropion.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Bupropion is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Bupropion.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Bupropion.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Bupropion is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Bupropion can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Bupropion is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Bupropion is combined with Phenprocoumon.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Bupropion can be decreased when combined with Phenylbutazone.]
[R01BA01, phenylpropanolamine, The risk or severity of seizure can be increased when Bupropion is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Bupropion.]
[L04AB06, golimumab, The metabolism of Bupropion can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AG02, pimozide, The risk or severity of seizure can be increased when Bupropion is combined with Pimozide.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Bupropion.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Bupropion.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Bupropion.]
[N06BX03, piracetam, Bupropion may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The risk or severity of adverse effects can be increased when Bupropion is combined with Piribedil.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Bupropion is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N02CX01, pizotyline, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Bupropion.]
[C09CA04, irbesartan, The metabolism of Bupropion can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Bupropion is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Bupropion.]
[L04AC08, canakinumab, The metabolism of Bupropion can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Bupropion can be increased when combined with Ritonavir.]
[A10BH03, saxagliptin, Bupropion may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Bupropion.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Bupropion.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Bupropion is combined with Prazepam.]
[C02CA01, prazosin, The excretion of Prazosin can be decreased when combined with Bupropion.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Bupropion.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Bupropion.]
[M04AB01, probenecid, The metabolism of Bupropion can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Bupropion.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Bupropion.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Bupropion.]
[C10AB05, fenofibrate, The metabolism of Bupropion can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Bupropion.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Bupropion is combined with Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Bupropion.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Bupropion.]
[R06AD02, promethazine, The risk or severity of seizure can be increased when Bupropion is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Bupropion.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Bupropion is combined with Propanidid.]
[A03AB05, propantheline, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Bupropion is combined with Periciazine.]
[N05CM06, propiomazine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Bupropion.]
[N01AX10, propofol, The risk or severity of seizure can be increased when Bupropion is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of seizure can be increased when Bupropion is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Bupropion.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Bupropion.]
[B01AC09, epoprostenol, Bupropion may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Bupropion can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of seizure can be increased when Bupropion is combined with Protriptyline.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Bupropion.]
[N07XX07, dalfampridine, The excretion of Dalfampridine can be decreased when combined with Bupropion.]
[A03AB15, diphemanil, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Bupropion.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Bupropion is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Bupropion is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Bupropion is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Bupropion is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Bupropion is combined with Mepyramine.]
[C01BA01, quinidine, The risk or severity of seizure can be increased when Bupropion is combined with Quinidine.]
[P01BC01, quinine, The risk or severity of seizure can be increased when Bupropion is combined with Quinine.]
[A02BA02, ranitidine, The excretion of Ranitidine can be decreased when combined with Bupropion.]
[C02AA02, reserpine, The excretion of Reserpine can be decreased when combined with Bupropion.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Bupropion is combined with Oxitriptan.]
[J01FA06, roxithromycin, The serum concentration of Bupropion can be increased when it is combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S01FA02, scopolamine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Bupropion.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Bupropion.]
[J01GB08, sisomicin, Bupropion may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Bupropion may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Bupropion may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Bupropion.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[H02CA04, levoketoconazole, The serum concentration of Bupropion can be increased when it is combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[D11AX02, gamma-linolenic acid, The risk or severity of seizure can be increased when Bupropion is combined with Gamolenic acid.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
