[S02DA03, antipyrine, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Antipyrine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Diflunisal.]
[H02AB04, methylprednisolone, The risk or severity of gastrointestinal irritation can be increased when Methylprednisolone is combined with Diflunisal.]
[D07AC14, methylprednisolone aceponate, The risk or severity of gastrointestinal irritation can be increased when Methylprednisolone aceponate is combined with Diflunisal.]
[G03EK01, methyltestosterone, Diflunisal may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, The risk or severity of hypertension can be increased when Methysergide is combined with Diflunisal.]
[A03FA01, metoclopramide, Diflunisal may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Diflunisal.]
[C07AB02, metoprolol, Diflunisal may decrease the antihypertensive activities of Metoprolol.]
[V04CD01, metyrapone, Diflunisal may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, The risk or severity of hypertension can be increased when Diflunisal is combined with Mianserin.]
[N02BB03, aminopyrine, The risk or severity of adverse effects can be increased when Diflunisal is combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Parnaparin.]
[N05CD08, midazolam, Diflunisal may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Diflunisal.]
[G03XB01, mifepristone, Diflunisal may increase the hypoglycemic activities of Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Tinzaparin.]
[J05AH01, zanamivir, Diflunisal may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Valsartan is combined with Diflunisal.]
[D11AX01, minoxidil, The therapeutic efficacy of Minoxidil can be decreased when used in combination with Diflunisal.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Diflunisal is combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, Diflunisal may decrease the excretion rate of Aldesleukin which could result in a higher serum level.]
[C01BD01, amiodarone, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of gastrointestinal bleeding can be increased when Amitriptyline is combined with Diflunisal.]
[A04AA05, palonosetron, Diflunisal may decrease the excretion rate of Palonosetron which could result in a higher serum level.]
[J01DD06, moxalactam, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Latamoxef.]
[L04AB05, certolizumab pegol, Diflunisal may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, The serum concentration of Diflunisal can be increased when it is combined with Ammonium chloride.]
[L04AA06, mycophenolic acid, The metabolism of Mycophenolic acid can be decreased when combined with Diflunisal.]
[N06AA17, amoxapine, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Diflunisal.]
[N03AB05, fosphenytoin, The protein binding of Fosphenytoin can be decreased when combined with Diflunisal.]
[C07AA12, nadolol, Diflunisal may decrease the antihypertensive activities of Nadolol.]
[J01CA04, amoxicillin, Diflunisal may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Diflunisal may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Diflunisal is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Diflunisal.]
[M02AA12, naproxen, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Naproxen.]
[A10BG01, troglitazone, Diflunisal may increase the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Diflunisal.]
[N04BX01, tolcapone, Diflunisal may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Neomycin.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Diflunisal is combined with Remifentanil.]
[A10BX02, repaglinide, Diflunisal may increase the hypoglycemic activities of Repaglinide.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Diflunisal is combined with Tirofiban.]
[N05AX14, iloperidone, The risk or severity of hypertension can be increased when Diflunisal is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of nephrotoxicity can be increased when Amphotericin B is combined with Diflunisal.]
[S01AA19, ampicillin, Diflunisal may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Diflunisal may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Diflunisal may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of gastrointestinal bleeding can be increased when Desvenlafaxine is combined with Diflunisal.]
[C09CA07, telmisartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Telmisartan is combined with Diflunisal.]
[J05AB11, valacyclovir, The risk or severity of nephrotoxicity can be increased when Valaciclovir is combined with Diflunisal.]
[M04AA03, febuxostat, The metabolism of Febuxostat can be decreased when combined with Diflunisal.]
[C01CE01, inamrinone, Diflunisal may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of hypertension can be increased when Diflunisal is combined with Nialamide.]
[C08CA04, nicardipine, The therapeutic efficacy of Nicardipine can be decreased when used in combination with Diflunisal.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Diflunisal.]
[C08CA05, nifedipine, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of adverse effects can be increased when Diflunisal is combined with Niflumic acid.]
[C08CA06, nimodipine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Diflunisal.]
[C08CA07, nisoldipine, The therapeutic efficacy of Nisoldipine can be decreased when used in combination with Diflunisal.]
[C08CA08, nitrendipine, The therapeutic efficacy of Nitrendipine can be decreased when used in combination with Diflunisal.]
[R07AX01, nitric oxide, Diflunisal may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Nitrofurantoin is combined with Diflunisal.]
[N05CF03, zaleplon, Diflunisal may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Diflunisal may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, The therapeutic efficacy of Nitroprusside can be decreased when used in combination with Diflunisal.]
[N01AX13, nitrous oxide, The risk or severity of hypertension can be increased when Diflunisal is combined with Nitrous oxide.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Diflunisal.]
[S01AE02, norfloxacin, Diflunisal may increase the neuroexcitatory activities of Norfloxacin.]
[C02KX01, bosentan, The therapeutic efficacy of Bosentan can be decreased when used in combination with Diflunisal.]
[N06AA10, nortriptyline, The risk or severity of gastrointestinal bleeding can be increased when Nortriptyline is combined with Diflunisal.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Diflunisal is combined with Eptifibatide.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Diflunisal is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Reviparin.]
[S02AA16, ofloxacin, Diflunisal may increase the neuroexcitatory activities of Ofloxacin.]
[N06AA05, opipramol, The risk or severity of gastrointestinal bleeding can be increased when Opipramol is combined with Diflunisal.]
[N02AA02, opium, Diflunisal may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Diflunisal.]
[B01AD07, reteplase, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Ancrod.]
[G04CA02, tamsulosin, Diflunisal may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[C01AC01, ouabain, The serum concentration of Ouabain can be decreased when it is combined with Diflunisal.]
[M05BA08, zoledronic acid, The risk or severity of gastrointestinal bleeding can be increased when Diflunisal is combined with Zoledronic acid.]
[J01CF04, oxacillin, Diflunisal may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, The metabolism of Oxazepam can be decreased when combined with Diflunisal.]
[J01MB05, oxolinic acid, Diflunisal may increase the neuroexcitatory activities of Oxolinic acid.]
[C07AA02, oxprenolol, Diflunisal may decrease the antihypertensive activities of Oxprenolol.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Diflunisal is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Diflunisal is combined with Oxymetazoline.]
[S01BC02, oxyphenbutazone, The risk or severity of adverse effects can be increased when Diflunisal is combined with Oxyphenbutazone.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Diflunisal.]
[J04AA01, aminosalicylic acid, The therapeutic efficacy of Aminosalicylic acid can be decreased when used in combination with Diflunisal.]
[N05AH05, asenapine, The risk or severity of hypertension can be increased when Diflunisal is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Danaparoid.]
[N02AX06, tapentadol, The metabolism of Tapentadol can be decreased when combined with Diflunisal.]
[J04AB30, capreomycin, Diflunisal may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of gastrointestinal irritation can be increased when Paramethasone is combined with Diflunisal.]
[C02KC01, pargyline, The therapeutic efficacy of Pargyline can be decreased when used in combination with Diflunisal.]
[A07AA06, paromomycin, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Paromomycin.]
[J01MA03, pefloxacin, Diflunisal may increase the neuroexcitatory activities of Pefloxacin.]
[G04BD11, fesoterodine, Diflunisal may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Diflunisal may decrease the antihypertensive activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Diflunisal may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Diflunisal may decrease the excretion rate of Pentobarbital which could result in a higher serum level.]
[L01XX08, pentostatin, Diflunisal may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Diflunisal is combined with Pentoxifylline.]
[N04BC02, pergolide, The risk or severity of hypertension can be increased when Diflunisal is combined with Pergolide.]
[C08EX02, perhexiline, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Perhexiline.]
[G04BX06, phenazopyridine, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Phenazopyridine.]
[N06AF03, phenelzine, The risk or severity of hypertension can be increased when Phenelzine is combined with Diflunisal.]
[A10BA01, phenformin, Diflunisal may increase the hypoglycemic activities of Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Phenindione.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Phenoxybenzamine can be decreased when used in combination with Diflunisal.]
[B01AA04, phenprocoumon, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Diflunisal.]
[V03AB36, phentolamine, The therapeutic efficacy of Phentolamine can be decreased when used in combination with Diflunisal.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Diflunisal.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Diflunisal.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Diflunisal.]
[S01AE05, levofloxacin, Diflunisal may increase the neuroexcitatory activities of Levofloxacin.]
[B02BA01, vitamin K1, Diflunisal may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, The risk or severity of nephrotoxicity can be increased when Cidofovir is combined with Diflunisal.]
[C08CX01, mibefradil, The therapeutic efficacy of Mibefradil can be decreased when used in combination with Diflunisal.]
[C07AA03, pindolol, Diflunisal may decrease the antihypertensive activities of Pindolol.]
[J01CA12, piperacillin, Diflunisal may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[N06BX03, piracetam, Diflunisal may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Eprosartan is combined with Diflunisal.]
[S01BC06, piroxicam, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Piroxicam.]
[J01DD16, cefditoren, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefditoren.]
[J01MA11, grepafloxacin, Diflunisal may increase the neuroexcitatory activities of Grepafloxacin.]
[N02CX01, pizotyline, The risk or severity of hypertension can be increased when Diflunisal is combined with Pizotifen.]
[C09CA04, irbesartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Irbesartan is combined with Diflunisal.]
[B01AC13, abciximab, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Alteplase.]
[A10BG02, rosiglitazone, Diflunisal may increase the hypoglycemic activities of Rosiglitazone.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Diflunisal is combined with Polymyxin B.]
[C03AA05, polythiazide, The therapeutic efficacy of Polythiazide can be decreased when used in combination with Diflunisal.]
[A10BH03, saxagliptin, Diflunisal may increase the hypoglycemic activities of Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Diflunisal.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Diflunisal.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Diflunisal is combined with Insulin lispro.]
[C07AB01, practolol, Diflunisal may decrease the antihypertensive activities of Practolol.]
[C02CA01, prazosin, The therapeutic efficacy of Prazosin can be decreased when used in combination with Diflunisal.]
[S03BA02, prednisolone, The risk or severity of gastrointestinal irritation can be increased when Prednisolone is combined with Diflunisal.]
[H02AB07, prednisone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Diflunisal.]
[M02AA16, feprazone, The risk or severity of adverse effects can be increased when Diflunisal is combined with Feprazone.]
[C01DX02, prenylamine, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Prenylamine.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Diflunisal which could result in a higher serum level.]
[C01BA02, procainamide, Diflunisal may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Diflunisal.]
[N05AA03, promazine, The risk or severity of hypertension can be increased when Promazine is combined with Diflunisal.]
[R06AD02, promethazine, Diflunisal may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, Diflunisal may decrease the antihypertensive activities of Propafenone.]
[A03AB05, propantheline, Diflunisal may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N05AC01, periciazine, The risk or severity of hypertension can be increased when Diflunisal is combined with Periciazine.]
[N05CM06, propiomazine, The risk or severity of hypertension can be increased when Propiomazine is combined with Diflunisal.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Diflunisal.]
[C07AA05, propranolol, Diflunisal may decrease the antihypertensive activities of Propranolol.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be decreased when it is combined with Diflunisal.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Diflunisal is combined with Rizatriptan.]
[B01AC09, epoprostenol, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of gastrointestinal bleeding can be increased when Protriptyline is combined with Diflunisal.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Pseudoephedrine is combined with Diflunisal.]
[N05AX12, aripiprazole, The risk or severity of hypertension can be increased when Diflunisal is combined with Aripiprazole.]
[N07XX07, dalfampridine, Diflunisal may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Diflunisal may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Diflunisal may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Diflunisal.]
[C01BA01, quinidine, Diflunisal may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, Diflunisal may increase the hypoglycemic activities of Quinine.]
[A02BA02, ranitidine, Diflunisal may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA01, rescinnamine, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Rescinnamine.]
[C02AA02, reserpine, The therapeutic efficacy of Reserpine can be decreased when used in combination with Diflunisal.]
[J05AP01, ribavirin, Diflunisal may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Diflunisal is combined with Ritodrine.]
[N02BA05, salicylamide, The risk or severity of adverse effects can be increased when Diflunisal is combined with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of adverse effects can be increased when Diflunisal is combined with Salicylic acid.]
[N05CA06, secobarbital, Diflunisal may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[N04BD01, selegiline, The risk or severity of hypertension can be increased when Diflunisal is combined with Selegiline.]
[J01GB08, sisomicin, Diflunisal may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Diflunisal may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Diflunisal may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, Diflunisal may decrease the antihypertensive activities of Sotalol.]
[C03DA01, spironolactone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Spironolactone.]
[N05CC01, chloral hydrate, Diflunisal may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The serum concentration of Valproic acid can be increased when it is combined with Diflunisal.]
[M05BA01, etidronic acid, The risk or severity of gastrointestinal bleeding can be increased when Diflunisal is combined with Etidronic acid.]
[M05BA04, alendronic acid, The risk or severity of adverse effects can be increased when Diflunisal is combined with Alendronic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of gastrointestinal irritation can be increased when Hydrocortisone butyrate is combined with Diflunisal.]
[C01DA14, isosorbide mononitrate, Diflunisal may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10AX03, azelaic acid, Diflunisal may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
