[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Antipyrine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Procarbazine.]
[N05AB04, prochlorperazine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Sufentanil.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Sufentanil.]
[N05AA03, promazine, The risk or severity of adverse effects can be increased when Promazine is combined with Sufentanil.]
[R06AD02, promethazine, The risk or severity of adverse effects can be increased when Promethazine is combined with Sufentanil.]
[C01BC03, propafenone, The risk or severity of hypertension can be increased when Sufentanil is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Sufentanil is combined with Propanidid.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Sufentanil.]
[N05AC01, periciazine, The risk or severity of hypotension and CNS depression can be increased when Periciazine is combined with Sufentanil.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Sufentanil.]
[N01AX10, propofol, Sufentanil may increase the sedative activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Sufentanil.]
[C07AA05, propranolol, Sufentanil may decrease the antihypertensive activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Sufentanil is combined with Rizatriptan.]
[B01AC09, epoprostenol, Sufentanil may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Sufentanil.]
[R01BA02, pseudoephedrine, Pseudoephedrine may increase the analgesic activities of Sufentanil.]
[N05AX12, aripiprazole, The risk or severity of adverse effects can be increased when Aripiprazole is combined with Sufentanil.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Diphemanil is combined with Sufentanil.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Isopropamide is combined with Sufentanil.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Methscopolamine is combined with Sufentanil.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Sufentanil.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Sufentanil is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Mepyramine.]
[C01BA01, quinidine, The risk or severity of adverse effects can be increased when Quinidine is combined with Sufentanil.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Sufentanil.]
[C02AA01, rescinnamine, Sufentanil may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Sufentanil.]
[J04AB02, rifampin, The metabolism of Sufentanil can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Sufentanil is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sufentanil is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Sufentanil is combined with Salicylic acid.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Sufentanil.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Sufentanil.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Sufentanil is combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Sufentanil is combined with Obinutuzumab.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Sufentanil.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Sotalol is combined with Sufentanil.]
[C03DA01, spironolactone, The therapeutic efficacy of Spironolactone can be decreased when used in combination with Sufentanil.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Isosorbide mononitrate.]
[H02CA04, levoketoconazole, The metabolism of Sufentanil can be decreased when combined with Levoketoconazole.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Sufentanil is combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Sufentanil.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Ipratropium is combined with Sufentanil.]
