[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Eletriptan.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Eletriptan is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Eletriptan is combined with Orciprenaline.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Eletriptan.]
[P02BA02, oxamniquine, The metabolism of Eletriptan can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Eletriptan can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Eletriptan is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Eletriptan is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Eletriptan is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[M03AC01, pancuronium, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[N05CC05, paraldehyde, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pargyline.]
[G04BD11, fesoterodine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Eletriptan can be increased when combined with Pentobarbital.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Perazine.]
[N04BC02, pergolide, Pergolide may increase the vasoconstricting activities of Eletriptan.]
[C08EX02, perhexiline, The metabolism of Eletriptan can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be increased when combined with Eletriptan.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Eletriptan.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Eletriptan is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Eletriptan can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Eletriptan may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Eletriptan is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Eletriptan.]
[V03AB36, phentolamine, Eletriptan may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Eletriptan can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Eletriptan is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Eletriptan is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Eletriptan can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Eletriptan can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Eletriptan can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Eletriptan.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Eletriptan can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Eletriptan.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pipotiazine.]
[C09CA02, eprosartan, Eletriptan may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Eletriptan is combined with Piroxicam.]
[N02CX01, pizotyline, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Eletriptan can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Eletriptan may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Eletriptan is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Eletriptan.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Eletriptan is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Eletriptan can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Eletriptan may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Eletriptan can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Eletriptan.]
[C07AB01, practolol, Eletriptan may decrease the antihypertensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Prazepam.]
[C02CA01, prazosin, Eletriptan may decrease the antihypertensive activities of Prazosin.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Eletriptan can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Eletriptan can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Eletriptan can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Eletriptan.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Eletriptan can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Prochlorperazine.]
[N04AA04, procyclidine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Eletriptan can be decreased when combined with Progesterone.]
[N05AA03, promazine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Eletriptan can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Eletriptan is combined with Propanidid.]
[A03AB05, propantheline, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Periciazine.]
[N05CM06, propiomazine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Eletriptan may decrease the antihypertensive activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Rizatriptan.]
[B01AC09, epoprostenol, Eletriptan may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be increased when combined with Eletriptan.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Eletriptan is combined with Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Eletriptan is combined with Talbutal.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Eletriptan can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Eletriptan can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Eletriptan can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Eletriptan may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Eletriptan can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Eletriptan is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Eletriptan is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Eletriptan is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Eletriptan is combined with Salicylic acid.]
[S01FA02, scopolamine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Secobarbital.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Eletriptan is combined with Selegiline.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Eletriptan.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Eletriptan is combined with Valproic acid.]
[R03BB01, ipratropium bromide, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
