[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Buprenorphine.]
[C01CA11, mephentermine, Mephentermine may increase the analgesic activities of Buprenorphine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AX05, meptazinol, Meptazinol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03BC01, mersalyl, The therapeutic efficacy of Mersalyl can be decreased when used in combination with Buprenorphine.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AX13, paliperidone, Paliperidone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Buprenorphine.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Methantheline is combined with Buprenorphine.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AF05, lamivudine, Buprenorphine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01EC05, methazolamide, The therapeutic efficacy of Methazolamide can be decreased when used in combination with Buprenorphine.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[H03BB02, methimazole, The metabolism of Buprenorphine can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Buprenorphine.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Methyclothiazide can be decreased when used in combination with Buprenorphine.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Buprenorphine.]
[V04CG05, methylene blue, Buprenorphine may increase the serotonergic activities of Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Buprenorphine.]
[N03AF03, rufinamide, Rufinamide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Buprenorphine.]
[C03BA08, metolazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Buprenorphine.]
[C07AB02, metoprolol, The metabolism of Buprenorphine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Buprenorphine can be decreased when combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Buprenorphine.]
[N06AX03, mianserin, Mianserin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S02AA13, miconazole, The metabolism of Buprenorphine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Buprenorphine.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G03XB01, mifepristone, The serum concentration of Buprenorphine can be increased when it is combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Buprenorphine.]
[C09CA03, valsartan, The metabolism of Buprenorphine can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01XX23, mitotane, The metabolism of Buprenorphine can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, Buprenorphine may decrease the excretion rate of Mitoxantrone which could result in a higher serum level.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may increase the analgesic activities of Buprenorphine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C01BD01, amiodarone, The metabolism of Buprenorphine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AA01, morphine, Morphine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AB05, certolizumab pegol, The metabolism of Buprenorphine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Buprenorphine can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Buprenorphine.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[P01BA06, amodiaquine, The metabolism of Buprenorphine can be decreased when combined with Amodiaquine.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Ipratropium is combined with Buprenorphine.]
[G03XC01, raloxifene, Buprenorphine may decrease the excretion rate of Raloxifene which could result in a higher serum level.]
[N06AA17, amoxapine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AB05, fosphenytoin, Fosphenytoin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Buprenorphine.]
[N04BC04, ropinirole, Buprenorphine may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AF02, nalbuphine, Nalbuphine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N07BB04, naltrexone, The therapeutic efficacy of Naltrexone can be decreased when used in combination with Buprenorphine.]
[L04AC03, anakinra, The metabolism of Buprenorphine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06BA01, amphetamine, Amphetamine may increase the analgesic activities of Buprenorphine.]
[M02AA12, naproxen, The metabolism of Buprenorphine can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Buprenorphine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Buprenorphine.]
[N01AH06, remifentanil, Remifentanil may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BX02, repaglinide, The metabolism of Buprenorphine can be decreased when combined with Repaglinide.]
[N05AX14, iloperidone, Iloperidone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C10AD02, niacin, The metabolism of Buprenorphine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Nicardipine is combined with Buprenorphine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Buprenorphine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Buprenorphine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Buprenorphine.]
[M02AA17, niflumic acid, The metabolism of Buprenorphine can be decreased when combined with Niflumic acid.]
[C08CA07, nisoldipine, The metabolism of Buprenorphine can be decreased when combined with Nisoldipine.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Buprenorphine.]
[J01XE01, nitrofurantoin, Buprenorphine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04BC05, pramipexole, Buprenorphine may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Buprenorphine.]
[C02KX01, bosentan, The metabolism of Buprenorphine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R05DA07, noscapine, The metabolism of Buprenorphine can be decreased when combined with Noscapine.]
[L04AC04, rilonacept, The metabolism of Buprenorphine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Buprenorphine.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AA02, opium, Opium may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Buprenorphine.]
[P02BA02, oxamniquine, The metabolism of Buprenorphine can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Buprenorphine can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AA05, oxycodone, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AA11, oxymorphone, Oxymorphone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Buprenorphine.]
[N05AH05, asenapine, Asenapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M03AC01, pancuronium, Pancuronium may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[H02AB05, paramethasone, The metabolism of Buprenorphine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Fesoterodine is combined with Buprenorphine.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AD01, pentazocine, Pentazocine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CA01, pentobarbital, Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C08EX02, perhexiline, The metabolism of Buprenorphine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Buprenorphine.]
[N02AD02, phenazocine, Phenazocine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AF03, phenelzine, Phenelzine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Buprenorphine.]
[N03AA02, phenobarbital, Phenobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Buprenorphine.]
[N01AH04, phenoperidine, Phenoperidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Buprenorphine.]
[A08AA01, phentermine, Phentermine may increase the analgesic activities of Buprenorphine.]
[M02AA01, phenylbutazone, The metabolism of Buprenorphine can be decreased when combined with Phenylbutazone.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Buprenorphine.]
[N03AB02, phenytoin, Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AB06, golimumab, The metabolism of Buprenorphine can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Buprenorphine.]
[C08CX01, mibefradil, The metabolism of Buprenorphine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Buprenorphine.]
[J05AE01, saquinavir, The metabolism of Buprenorphine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Buprenorphine.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Buprenorphine.]
[N02AC03, pirinitramide, Piritramide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01BC06, piroxicam, The metabolism of Buprenorphine can be decreased when combined with Piroxicam.]
[N02CX01, pizotyline, Pizotifen may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AG02, delavirdine, The metabolism of Buprenorphine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Buprenorphine can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[D05AX05, tazarotene, The metabolism of Buprenorphine can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Buprenorphine can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Buprenorphine.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Buprenorphine.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AC08, canakinumab, The metabolism of Buprenorphine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Polythiazide can be decreased when used in combination with Buprenorphine.]
[J05AE03, ritonavir, The serum concentration of Buprenorphine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Buprenorphine.]
[C10AA08, pitavastatin, Buprenorphine may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Buprenorphine.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Buprenorphine.]
[C02CA01, prazosin, Buprenorphine may decrease the excretion rate of Prazosin which could result in a higher serum level.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[P01BA03, primaquine, The metabolism of Buprenorphine can be decreased when combined with Primaquine.]
[N03AA03, primidone, Primidone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M04AB01, probenecid, The metabolism of Buprenorphine can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Buprenorphine.]
[S01HA05, procaine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01XB01, procarbazine, Procarbazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C10AB05, fenofibrate, The metabolism of Buprenorphine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Buprenorphine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Buprenorphine.]
[N05AA03, promazine, Promazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C01BC03, propafenone, The metabolism of Buprenorphine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Buprenorphine.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Buprenorphine.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AC04, propoxyphene, Dextropropoxyphene may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Buprenorphine.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R03DC03, montelukast, The metabolism of Buprenorphine can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may increase the analgesic activities of Buprenorphine.]
[N05AX12, aripiprazole, Aripiprazole may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Diphemanil is combined with Buprenorphine.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Isopropamide is combined with Buprenorphine.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Methscopolamine is combined with Buprenorphine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[P01BD01, pyrimethamine, The metabolism of Buprenorphine can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Buprenorphine.]
[C01BA01, quinidine, The risk or severity of adverse effects can be increased when Quinidine is combined with Buprenorphine.]
[P01BC01, quinine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A02BA02, ranitidine, The metabolism of Buprenorphine can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J04AB02, rifampin, The metabolism of Buprenorphine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A07EC01, sulfasalazine, Buprenorphine may decrease the excretion rate of Sulfasalazine which could result in a higher serum level.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Buprenorphine.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04BD01, selegiline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Buprenorphine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Buprenorphine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Buprenorphine.]
[C03DA01, spironolactone, The metabolism of Buprenorphine can be decreased when combined with Spironolactone.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Buprenorphine.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Buprenorphine.]
