[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dopamine is combined with Antipyrine.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Dopamine.]
[A03AB15, diphemanil, The risk or severity of Tachycardia can be increased when Dopamine is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of Tachycardia can be increased when Dopamine is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Methscopolamine.]
[P02CC01, pyrantel, Dopamine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[P01AX05, quinacrine, The serum concentration of Dopamine can be increased when it is combined with Quinacrine.]
[C01BA01, quinidine, Dopamine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The serum concentration of Dopamine can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Dopamine can be increased when it is combined with Ranitidine.]
[C02AA01, rescinnamine, Dopamine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The serum concentration of Reserpine can be increased when it is combined with Dopamine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Dopamine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Dopamine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Dopamine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Dopamine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Dopamine.]
[S01FA02, scopolamine, The risk or severity of Tachycardia can be increased when Scopolamine is combined with Dopamine.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Dopamine can be decreased when combined with Selegiline.]
[J01GB08, sisomicin, Dopamine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Dopamine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Dopamine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Dopamine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Dopamine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[H02CA04, levoketoconazole, The serum concentration of Dopamine can be increased when it is combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia can be increased when Ipratropium is combined with Dopamine.]
