[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Procaine.]
[R03BA05, fluticasone, The therapeutic efficacy of Procaine can be decreased when used in combination with Fluticasone.]
[C01CA15, gepefrine, Procaine may increase the hypertensive activities of Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Procaine.]
[V03AF05, amifostine, Procaine may increase the orthostatic hypotensive activities of Amifostine.]
[J04AD03, ethionamide, The risk or severity of methemoglobinemia can be increased when Ethionamide is combined with Procaine.]
[L01AG01, ethoglucid, The risk or severity of methemoglobinemia can be increased when Etoglucid is combined with Procaine.]
[N04AA05, profenamine, Profenamine may increase the neuromuscular blocking activities of Procaine.]
[N03AD01, ethosuximide, The risk or severity of methemoglobinemia can be increased when Ethosuximide is combined with Procaine.]
[N03AB01, ethotoin, The risk or severity of methemoglobinemia can be increased when Ethotoin is combined with Procaine.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Procaine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Procaine.]
[L01CB01, etoposide, The risk or severity of methemoglobinemia can be increased when Etoposide is combined with Procaine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Procaine is combined with Sertindole.]
[A02BA04, nizatidine, Nizatidine may increase the neuromuscular blocking activities of Procaine.]
[J01MA08, fleroxacin, The risk or severity of methemoglobinemia can be increased when Fleroxacin is combined with Procaine.]
[R06AX12, terfenadine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[P01AX07, trimetrexate, The risk or severity of methemoglobinemia can be increased when Trimetrexate is combined with Procaine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Procaine is combined with Bupropion.]
[N06AB08, fluvoxamine, Procaine may increase the serotonergic activities of Fluvoxamine.]
[R01AX06, mupirocin, The risk or severity of methemoglobinemia can be increased when Mupirocin is combined with Procaine.]
[L02AE02, leuprolide, The risk or severity of methemoglobinemia can be increased when Leuprolide is combined with Procaine.]
[B05AA05, dextran, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Dextran.]
[C08CA02, felodipine, Procaine may increase the hypotensive activities of Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Fenfluramine.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Procaine is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of adverse effects can be increased when Procaine is combined with Salbutamol.]
[B01AD05, plasmin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Fibrinolysin.]
[L01BB06, clofarabine, The risk or severity of methemoglobinemia can be increased when Clofarabine is combined with Procaine.]
[L04AA40, cladribine, The risk or severity of methemoglobinemia can be increased when Cladribine is combined with Procaine.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Procaine is combined with Cevimeline.]
[G04BD02, flavoxate, Procaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01CF05, floxacillin, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Procaine.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Procaine can be decreased when used in combination with Fludrocortisone.]
[D07XB01, flumethasone, The therapeutic efficacy of Procaine can be decreased when used in combination with Flumethasone.]
[N07CA03, flunarizine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Procaine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The therapeutic efficacy of Procaine can be decreased when used in combination with Fluocinonide.]
[N06AA14, melitracen, Procaine may increase the serotonergic activities of Melitracen.]
[H02AB03, fluocortolone, The therapeutic efficacy of Procaine can be decreased when used in combination with Fluocortolone.]
[V03AZ01, ethanol, Procaine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The risk or severity of methemoglobinemia can be increased when Floxuridine is combined with Procaine.]
[S01CB05, fluorometholone, The therapeutic efficacy of Procaine can be decreased when used in combination with Fluorometholone.]
[L01BC02, fluorouracil, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Procaine.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Fluoxetine.]
[N05AF01, flupenthixol, Procaine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Procaine.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Procaine is combined with Fluspirilene.]
[L02BB01, flutamide, The risk or severity of methemoglobinemia can be increased when Flutamide is combined with Procaine.]
[S02AA17, fosfomycin, The risk or severity of methemoglobinemia can be increased when Fosfomycin is combined with Procaine.]
[S01AA07, framycetin, The risk or severity of methemoglobinemia can be increased when Framycetin is combined with Procaine.]
[L01BC03, tegafur, The risk or severity of methemoglobinemia can be increased when Tegafur is combined with Procaine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Procaine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Procaine.]
[C03CA01, furosemide, Procaine may increase the hypotensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Procaine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Procaine is combined with Amisulpride.]
[N06DA04, galantamine, Galantamine may increase the neuromuscular blocking activities of Procaine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Procaine is combined with Gallamine.]
[N03AA04, barbexaclone, The risk or severity of methemoglobinemia can be increased when Barbexaclone is combined with Procaine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Procaine is combined with Bifemelane.]
[J01XA03, telavancin, The risk or severity of methemoglobinemia can be increased when Telavancin is combined with Procaine.]
[L02BX02, degarelix, The risk or severity of methemoglobinemia can be increased when Degarelix is combined with Procaine.]
[L01EA02, dasatinib, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Procaine.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Procaine.]
[A10BJ02, liraglutide, Procaine may increase the hypoglycemic activities of Liraglutide.]
[N03AD03, methsuximide, The risk or severity of methemoglobinemia can be increased when Methsuximide is combined with Procaine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Procaine.]
[L01EH01, lapatinib, The risk or severity of methemoglobinemia can be increased when Lapatinib is combined with Procaine.]
[A10BB01, glyburide, Procaine may increase the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Procaine may increase the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Procaine may increase the hypoglycemic activities of Glipizide.]
[N05CM18, dexmedetomidine, Procaine may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Procaine is combined with Glutethimide.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Procaine.]
[C05AE01, nitroglycerin, Procaine may increase the hypotensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Procaine may increase the hypotensive activities of Doxazosin.]
[L01EX02, sorafenib, The risk or severity of methemoglobinemia can be increased when Sorafenib is combined with Procaine.]
[C07AB09, esmolol, Procaine may increase the bradycardic activities of Esmolol.]
[B01AA12, fluindione, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Fluindione.]
[R02AB30, gramicidin, The risk or severity of methemoglobinemia can be increased when Gramicidin D is combined with Procaine.]
[C09AA09, fosinopril, Procaine may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Procaine may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of methemoglobinemia can be increased when Goserelin is combined with Procaine.]
[P01BX01, halofantrine, The risk or severity of methemoglobinemia can be increased when Halofantrine is combined with Procaine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Procaine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Procaine.]
[N05AH04, quetiapine, Procaine may increase the orthostatic hypotensive activities of Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Procaine is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Procaine is combined with Iprazochrome.]
[L01CE02, irinotecan, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Procaine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Procaine is combined with Allobarbital.]
[C09CA01, losartan, Procaine may increase the hypotensive activities of Losartan.]
[S01XA14, heparin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Heparin.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Procaine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Procaine.]
[L01XX03, altretamine, Altretamine may increase the orthostatic hypotensive activities of Procaine.]
[N05CA16, hexobarbital, The risk or severity of methemoglobinemia can be increased when Hexobarbital is combined with Procaine.]
[R03CC05, hexoprenaline, The risk or severity of adverse effects can be increased when Procaine is combined with Hexoprenaline.]
[C08CA10, nilvadipine, Procaine may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Nimesulide.]
[C09AA04, perindopril, Procaine may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Procaine may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Procaine may increase the hypotensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Procaine may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Procaine can be decreased when used in combination with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The therapeutic efficacy of Procaine can be decreased when used in combination with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, Procaine may increase the hypotensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Procaine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Procaine is combined with Prothipendyl.]
[L01XX05, hydroxyurea, The risk or severity of methemoglobinemia can be increased when Hydroxyurea is combined with Procaine.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[J04AB04, rifabutin, The risk or severity of methemoglobinemia can be increased when Rifabutin is combined with Procaine.]
[C02AC06, rilmenidine, Procaine may increase the hypotensive activities of Rilmenidine.]
[B05CB02, sodium citrate, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Sodium citrate.]
[L01DB06, idarubicin, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Procaine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Procaine.]
[L01AA06, ifosfamide, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Procaine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Procaine.]
[N06AA02, imipramine, Procaine may increase the serotonergic activities of Imipramine.]
[L01CD01, paclitaxel, The risk or severity of methemoglobinemia can be increased when Paclitaxel is combined with Procaine.]
[L01CD03, paclitaxel poliglumex, The risk or severity of methemoglobinemia can be increased when Paclitaxel poliglumex is combined with Procaine.]
[J01XA02, teicoplanin, The risk or severity of methemoglobinemia can be increased when Teicoplanin is combined with Procaine.]
[R01AD07, tixocortol, The therapeutic efficacy of Procaine can be decreased when used in combination with Tixocortol.]
[M03BX02, tizanidine, The risk or severity of methemoglobinemia can be increased when Tizanidine is combined with Procaine.]
[L01CE01, topotecan, The risk or severity of methemoglobinemia can be increased when Topotecan is combined with Procaine.]
[C03BA11, indapamide, Procaine may increase the hypotensive activities of Indapamide.]
[C02CA02, indoramin, Procaine may increase the hypotensive activities of Indoramin.]
[L03AB04, interferon alfa-2a, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Procaine.]
[L03AB05, interferon alfa-2b, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Procaine.]
[N06AX17, milnacipran, Procaine may increase the serotonergic activities of Milnacipran.]
[A03AA30, piperidolate, Procaine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Procaine is combined with Varenicline.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Articaine.]
[A10BH01, sitagliptin, Procaine may increase the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Procaine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Procaine is combined with Ramelteon.]
[R06AE01, buclizine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, Procaine may increase the hypoglycemic activities of Vildagliptin.]
[L01XX35, anagrelide, The risk or severity of methemoglobinemia can be increased when Anagrelide is combined with Procaine.]
[C07AA01, alprenolol, Procaine may increase the bradycardic activities of Alprenolol.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Procaine.]
[N06AA13, iprindole, Procaine may increase the serotonergic activities of Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Procaine is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Procaine is combined with Isocarboxazid.]
[P01AX06, atovaquone, The risk or severity of methemoglobinemia can be increased when Atovaquone is combined with Procaine.]
[R03CC06, isoetharine, The risk or severity of adverse effects can be increased when Procaine is combined with Isoetharine.]
[C09AA16, imidapril, Procaine may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Procaine.]
[S01EB07, isoflurophate, Isoflurophate may increase the neuromuscular blocking activities of Procaine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Procaine.]
[J04AC01, isoniazid, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Procaine.]
[R03CB01, isoproterenol, Isoprenaline may increase the neuromuscular blocking activities of Procaine.]
[A10BJ01, exenatide, Procaine may increase the hypoglycemic activities of Exenatide.]
[C01DA14, isosorbide mononitrate, Procaine may increase the orthostatic hypotensive activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, Procaine may increase the orthostatic hypotensive activities of Isosorbide dinitrate.]
[C04AA01, isoxsuprine, Procaine may increase the orthostatic hypotensive activities of Isoxsuprine.]
[B01AE06, bivalirudin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Bivalirudin.]
[J01FA07, josamycin, The risk or severity of methemoglobinemia can be increased when Josamycin is combined with Procaine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Procaine.]
[S01AA24, kanamycin, The risk or severity of methemoglobinemia can be increased when Kanamycin is combined with Procaine.]
[N01AX03, ketamine, Ketamine may increase the neuromuscular blocking activities of Procaine.]
[C02KD01, ketanserin, Procaine may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Prasugrel.]
[N05AH03, olanzapine, Procaine may increase the orthostatic hypotensive activities of Olanzapine.]
[C01CA22, arbutamine, The risk or severity of adverse effects can be increased when Procaine is combined with Arbutamine.]
[N04BC09, rotigotine, Procaine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of methemoglobinemia can be increased when Nalidixic acid is combined with Procaine.]
[C07AG01, labetalol, Procaine may increase the bradycardic activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Amantadine.]
[C02AA05, deserpidine, Procaine may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Procaine.]
[N07AA30, ambenonium, Ambenonium may increase the neuromuscular blocking activities of Procaine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Procaine.]
[N03AX18, lacosamide, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Procaine.]
[C03CC01, ethacrynic acid, Procaine may increase the orthostatic hypotensive activities of Etacrynic acid.]
[J01CA11, amdinocillin, The risk or severity of methemoglobinemia can be increased when Amdinocillin is combined with Procaine.]
[J01CA08, amdinocillin pivoxil, The risk or severity of methemoglobinemia can be increased when Pivmecillinam is combined with Procaine.]
[L01DC03, mitomycin, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Procaine.]
[N04BA01, levodopa, Procaine may increase the orthostatic hypotensive activities of Levodopa.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Procaine.]
[J01FF02, lincomycin, The risk or severity of methemoglobinemia can be increased when Lincomycin is combined with Procaine.]
[S01AA21, amikacin, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Procaine.]
[C03DB01, amiloride, Procaine may increase the orthostatic hypotensive activities of Amiloride.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Procaine.]
[N06AA07, lofepramine, Procaine may increase the serotonergic activities of Lofepramine.]
[L01AD02, lomustine, The risk or severity of methemoglobinemia can be increased when Lomustine is combined with Procaine.]
[N05BA06, lorazepam, The risk or severity of methemoglobinemia can be increased when Lorazepam is combined with Procaine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Procaine.]
[J01AA04, lymecycline, The risk or severity of methemoglobinemia can be increased when Lymecycline is combined with Procaine.]
[L01EG01, temsirolimus, The risk or severity of methemoglobinemia can be increased when Temsirolimus is combined with Procaine.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Procaine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Procaine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Procaine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, The risk or severity of methemoglobinemia can be increased when Pralatrexate is combined with Procaine.]
[L01EA03, nilotinib, The risk or severity of methemoglobinemia can be increased when Nilotinib is combined with Procaine.]
[V04CX04, mannitol, Procaine may increase the orthostatic hypotensive activities of Mannitol.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Procaine is combined with Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Procaine.]
[C02BB01, mecamylamine, Procaine may increase the hypotensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, The risk or severity of methemoglobinemia can be increased when Mechlorethamine is combined with Procaine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Procaine is combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of methemoglobinemia can be increased when Medazepam is combined with Procaine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Procaine.]
[P01BC02, mefloquine, The risk or severity of methemoglobinemia can be increased when Mefloquine is combined with Procaine.]
[J01FG01, pristinamycin, The risk or severity of methemoglobinemia can be increased when Pristinamycin is combined with Procaine.]
[B01AB06, nadroparin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Procaine is combined with Melatonin.]
[L01AA03, melphalan, The risk or severity of methemoglobinemia can be increased when Melphalan is combined with Procaine.]
[N06DX01, memantine, The risk or severity of adverse effects can be increased when Procaine is combined with Memantine.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Procaine is combined with Meperidine.]
[C01CA11, mephentermine, Procaine may increase the hypertensive activities of Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of methemoglobinemia can be increased when Mephenytoin is combined with Procaine.]
[N03AA01, mephobarbital, The risk or severity of methemoglobinemia can be increased when Methylphenobarbital is combined with Procaine.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Procaine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meptazinol is combined with Procaine.]
[L02BG01, aminoglutethimide, The risk or severity of methemoglobinemia can be increased when Aminoglutethimide is combined with Procaine.]
[N05AC03, mesoridazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Procaine is combined with Paliperidone.]
[C01CA09, metaraminol, Procaine may increase the hypertensive activities of Metaraminol.]
[A10BA02, metformin, Procaine may increase the hypoglycemic activities of Metformin.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Procaine is combined with Dolasetron.]
[H01CB03, lanreotide, The risk or severity of methemoglobinemia can be increased when Lanreotide is combined with Procaine.]
[J01AA05, methacycline, The risk or severity of methemoglobinemia can be increased when Metacycline is combined with Procaine.]
[N07BC02, methadone, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Methadone.]
[N06BA03, methamphetamine, Procaine may increase the hypertensive activities of Metamfetamine.]
[A03AB07, methantheline, Procaine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Procaine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Procaine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of methemoglobinemia can be increased when Metharbital is combined with Procaine.]
[S01EC05, methazolamide, Procaine may increase the orthostatic hypotensive activities of Methazolamide.]
[L01XD04, aminolevulinic acid, The risk or severity of methemoglobinemia can be increased when Aminolevulinic acid is combined with Procaine.]
[J01XX05, methenamine, The risk or severity of methemoglobinemia can be increased when Methenamine is combined with Procaine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Procaine is combined with Metergoline.]
[L01BA04, pemetrexed, The risk or severity of methemoglobinemia can be increased when Pemetrexed is combined with Procaine.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Procaine.]
[N05CA15, methohexital, The risk or severity of methemoglobinemia can be increased when Methohexital is combined with Procaine.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Procaine is combined with Ziconotide.]
[L04AX03, methotrexate, The risk or severity of methemoglobinemia can be increased when Methotrexate is combined with Procaine.]
[N05AA02, methotrimeprazine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, Procaine may increase the hypertensive activities of Methoxamine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Procaine.]
[C03AA08, methyclothiazide, Procaine may increase the orthostatic hypotensive activities of Methyclothiazide.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Procaine.]
[C02AB01, methyldopa, Procaine may decrease the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Procaine may increase the serotonergic activities of Methylene blue.]
[N06BA04, methylphenidate, Procaine may increase the hypertensive activities of Methylphenidate.]
[H02AB04, methylprednisolone, The risk or severity of methemoglobinemia can be increased when Methylprednisolone is combined with Procaine.]
[D07AC14, methylprednisolone aceponate, The therapeutic efficacy of Procaine can be decreased when used in combination with Methylprednisolone aceponate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Procaine.]
[G03EK01, methyltestosterone, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Procaine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Procaine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Procaine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Procaine is combined with Metoclopramide.]
[C03BA08, metolazone, Procaine may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, Procaine may increase the bradycardic activities of Metoprolol.]
[P01AB01, metronidazole, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Procaine.]
[J01CA10, mezlocillin, The risk or severity of methemoglobinemia can be increased when Mezlocillin is combined with Procaine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Procaine is combined with Mianserin.]
[B01AB07, parnaparin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Procaine.]
[C01CA17, midodrine, Procaine may increase the hypertensive activities of Midodrine.]
[G03XB01, mifepristone, Procaine may increase the hypoglycemic activities of Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Tinzaparin.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Procaine.]
[C09CA03, valsartan, Procaine may increase the hypotensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[D11AX01, minoxidil, Procaine may increase the hypotensive activities of Minoxidil.]
[J01FA11, miocamycin, The risk or severity of methemoglobinemia can be increased when Miocamycin is combined with Procaine.]
[L01DC02, plicamycin, The risk or severity of methemoglobinemia can be increased when Plicamycin is combined with Procaine.]
[L01AX01, mitobronitol, The risk or severity of methemoglobinemia can be increased when Mitobronitol is combined with Procaine.]
[L01XX23, mitotane, The risk or severity of methemoglobinemia can be increased when Mitotane is combined with Procaine.]
[L01DB07, mitoxantrone, The risk or severity of methemoglobinemia can be increased when Mitoxantrone is combined with Procaine.]
[N06BA12, lisdexamfetamine, Procaine may increase the hypertensive activities of Lisdexamfetamine.]
[L03AA03, molgramostim, The risk or severity of methemoglobinemia can be increased when Molgramostim is combined with Procaine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Procaine is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of methemoglobinemia can be increased when Aldesleukin is combined with Procaine.]
[C01BD01, amiodarone, Procaine may increase the orthostatic hypotensive activities of Amiodarone.]
[N06AA09, amitriptyline, Procaine may increase the serotonergic activities of Amitriptyline.]
[N02AA01, morphine, Procaine may increase the analgesic activities of Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Procaine.]
[J01DD06, moxalactam, The risk or severity of methemoglobinemia can be increased when Latamoxef is combined with Procaine.]
[L04AA52, ofatumumab, The risk or severity of methemoglobinemia can be increased when Ofatumumab is combined with Procaine.]
[L01EX03, pazopanib, The risk or severity of methemoglobinemia can be increased when Pazopanib is combined with Procaine.]
[L04AA06, mycophenolic acid, The risk or severity of methemoglobinemia can be increased when Mycophenolic acid is combined with Procaine.]
