[P02BB01, trichlorfon, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Metrifonate.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Amoxapine.]
[C09AA16, imidapril, Amoxapine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, The metabolism of Amoxapine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The risk or severity of serotonin syndrome can be increased when Amoxapine is combined with Isoniazid.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Amoxapine.]
[A10BJ01, exenatide, Amoxapine may decrease the hypoglycemic activities of Exenatide.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Amoxapine.]
[N06AX18, reboxetine, The metabolism of Amoxapine can be decreased when combined with Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Amoxapine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[J02AB02, ketoconazole, The metabolism of Amoxapine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Amoxapine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Mizolastine.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Amoxapine.]
[N04BC09, rotigotine, Amoxapine may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Amantadine.]
[C02AA05, deserpidine, Amoxapine may decrease the antihypertensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Amoxapine.]
[N07AA30, ambenonium, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Amoxapine.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Amoxapine.]
[S02DA01, lidocaine, The metabolism of Amoxapine can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of hypotension can be increased when Amoxapine is combined with Lidoflazine.]
[J01FF02, lincomycin, Amoxapine may increase the neurotoxic activities of Lincomycin.]
[N02CA07, lisuride, The metabolism of Amoxapine can be decreased when combined with Lisuride.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A07DA03, loperamide, The risk or severity of hypotension can be increased when Amoxapine is combined with Loperamide.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C10AA02, lovastatin, The metabolism of Amoxapine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L01EG01, temsirolimus, The metabolism of Amoxapine can be decreased when combined with Temsirolimus.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Amoxapine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Amoxapine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Amoxapine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Amoxapine can be decreased when combined with Maprotiline.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Amoxapine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, The metabolism of Amoxapine can be decreased when combined with Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Meclofenamic acid.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Amoxapine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Amoxapine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06DX01, memantine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Meperidine.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Amoxapine.]
[N03AB04, mephenytoin, The metabolism of Amoxapine can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Amoxapine can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Amoxapine is combined with Meptazinol.]
[N05AC03, mesoridazine, The serum concentration of Amoxapine can be increased when it is combined with Mesoridazine.]
[N05AX13, paliperidone, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Paliperidone.]
[C01CA09, metaraminol, Amoxapine may increase the vasopressor activities of Metaraminol.]
[A10BA02, metformin, Amoxapine may decrease the hypoglycemic activities of Metformin.]
[A04AA04, dolasetron, The metabolism of Amoxapine can be decreased when combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Amoxapine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Amoxapine.]
[A03AB07, methantheline, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[H03BB02, methimazole, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Amoxapine.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CA15, methohexital, The metabolism of Amoxapine can be increased when combined with Methohexital.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Amoxapine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, Amoxapine may increase the vasopressor activities of Methoxamine.]
[N02BG09, methoxyflurane, The metabolism of Amoxapine can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The serum concentration of Methyclothiazide can be increased when it is combined with Amoxapine.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Amoxapine.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Amoxapine.]
[V04CG05, methylene blue, Amoxapine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Amoxapine.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Amoxapine is combined with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Amoxapine.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Amoxapine.]
[C03BA08, metolazone, Amoxapine may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The metabolism of Amoxapine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Amoxapine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Amoxapine.]
[S02AA13, miconazole, The metabolism of Amoxapine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Aminophenazone.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C01CA17, midodrine, Amoxapine may increase the vasopressor activities of Midodrine.]
[G03XB01, mifepristone, The metabolism of Amoxapine can be decreased when combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Amoxapine.]
[C09CA03, valsartan, Amoxapine may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[D11AX01, minoxidil, Amoxapine may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Amoxapine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C01BD01, amiodarone, The metabolism of Amoxapine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Amoxapine can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Amoxapine can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The metabolism of Amoxapine can be decreased when combined with Pazopanib.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CA02, amobarbital, The metabolism of Amoxapine can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Amodiaquine.]
[G04CA04, silodosin, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Amoxapine is combined with Ipratropium.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Nalidixic acid.]
[N03AB05, fosphenytoin, Fosphenytoin may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C07AA12, nadolol, The metabolism of Amoxapine can be decreased when combined with Nadolol.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Amoxapine.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Amoxapine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Amoxapine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Amoxapine may increase the vasopressor activities of Naphazoline.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Amoxapine.]
[M02AA12, naproxen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Naproxen.]
[A10BG01, troglitazone, Amoxapine may decrease the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The metabolism of Amoxapine can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S03AA01, neomycin, Amoxapine may increase the neurotoxic activities of Neomycin.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Amoxapine is combined with Remifentanil.]
[A10BX02, repaglinide, Amoxapine may decrease the hypoglycemic activities of Repaglinide.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Levosimendan.]
[S01EB06, neostigmine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Iloperidone.]
[N06AX23, desvenlafaxine, The metabolism of Amoxapine can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Amoxapine may decrease the antihypertensive activities of Telmisartan.]
[C10AD02, niacin, The metabolism of Amoxapine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the serotonergic activities of Amoxapine.]
[C08CA04, nicardipine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicardipine.]
[C04AE02, nicergoline, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicergoline.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Amoxapine.]
[C08CA05, nifedipine, The metabolism of Amoxapine can be decreased when combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Nisoldipine.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C08CA08, nitrendipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Nitrendipine.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Amoxapine.]
[C02DD01, nitroprusside, Amoxapine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C01CA03, norepinephrine, Amoxapine may increase the vasopressor activities of Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Norfloxacin.]
[C02KX01, bosentan, Amoxapine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be decreased when used in combination with Amoxapine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Amoxapine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Amoxapine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Amoxapine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Amoxapine is combined with Opium.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Amoxapine.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Amoxapine.]
[G04CA02, tamsulosin, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Amoxapine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The metabolism of Amoxapine can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Amoxapine is combined with Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Amoxapine.]
[S01GA04, oxymetazoline, Amoxapine may increase the vasopressor activities of Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Amoxapine is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Amoxapine.]
[N05AH05, asenapine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M03AC01, pancuronium, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Papaverine.]
[N05CC05, paraldehyde, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the serotonergic activities of Amoxapine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Amoxapine.]
[G04BD11, fesoterodine, The metabolism of Amoxapine can be decreased when combined with Fesoterodine.]
[C07AA23, penbutolol, The metabolism of Amoxapine can be decreased when combined with Penbutolol.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Amoxapine can be increased when combined with Pentobarbital.]
[N05AB10, perazine, The serum concentration of Amoxapine can be increased when it is combined with Perazine.]
[N04BC02, pergolide, Amoxapine may increase the vasopressor activities of Pergolide.]
[C08EX02, perhexiline, The metabolism of Amoxapine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The serum concentration of Amoxapine can be increased when it is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Amoxapine can be decreased when combined with Phenacetin.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the serotonergic activities of Amoxapine.]
[A10BA01, phenformin, The metabolism of Amoxapine can be decreased when combined with Phenformin.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Amoxapine is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Amoxapine can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Amoxapine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Amoxapine is combined with Phenprocoumon.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Amoxapine.]
[V03AB36, phentolamine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Phenylbutazone.]
[S01GA05, phenylephrine, Amoxapine may increase the vasopressor activities of Phenylephrine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Amoxapine.]
[N03AB02, phenytoin, The metabolism of Amoxapine can be decreased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Amoxapine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Physostigmine.]
[C08CX01, mibefradil, The metabolism of Amoxapine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Amoxapine.]
[C07AA03, pindolol, The metabolism of Amoxapine can be decreased when combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Amoxapine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Amoxapine can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The serum concentration of Amoxapine can be increased when it is combined with Pipotiazine.]
[C09CA02, eprosartan, Amoxapine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Amoxapine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Amoxapine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Grepafloxacin.]
[N02CX01, pizotyline, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Amoxapine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Amoxapine may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10BG02, rosiglitazone, Amoxapine may decrease the hypoglycemic activities of Rosiglitazone.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Amoxapine.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L04AC08, canakinumab, The metabolism of Amoxapine can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Amoxapine may increase the neurotoxic activities of Polymyxin B.]
[C03AA05, polythiazide, Amoxapine may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Amoxapine can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, Amoxapine may decrease the hypoglycemic activities of Saxagliptin.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Amoxapine is combined with Potassium chloride.]
[V03AB21, potassium iodide, The risk or severity of Cardiac Arrhythmia can be increased when Potassium Iodide is combined with Amoxapine.]
[A10AD04, insulin lispro, Amoxapine may decrease the hypoglycemic activities of Insulin lispro.]
[C07AB01, practolol, The metabolism of Amoxapine can be decreased when combined with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Prajmaline.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C02CA01, prazosin, Prazosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Antazoline.]
[M02AA16, feprazone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Feprazone.]
[C01DX02, prenylamine, The risk or severity of hypotension can be increased when Amoxapine is combined with Prenylamine.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[P01BA03, primaquine, The metabolism of Amoxapine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Amoxapine can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Amoxapine.]
[S01HA05, procaine, Procaine may increase the serotonergic activities of Amoxapine.]
[L01XB01, procarbazine, Procarbazine may increase the serotonergic activities of Amoxapine.]
[N05AB04, prochlorperazine, The serum concentration of Amoxapine can be increased when it is combined with Prochlorperazine.]
[N04AA04, procyclidine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Amoxapine can be decreased when combined with Progesterone.]
[N05AA03, promazine, Promazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[R06AD02, promethazine, The serum concentration of Amoxapine can be increased when it is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Amoxapine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A03AB05, propantheline, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Periciazine.]
[N05CM06, propiomazine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Romidepsin.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Amoxapine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Amoxapine can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Amoxapine.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[B01AC09, epoprostenol, Amoxapine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Amoxapine.]
[N05AX12, aripiprazole, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Aripiprazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Amoxapine is combined with Dalfampridine.]
[A03AB15, diphemanil, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
