[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Azathioprine.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Azathioprine can be decreased when combined with Grepafloxacin.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[A03AE01, alosetron, The metabolism of Azathioprine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Azathioprine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Azathioprine can be increased when combined with Ritonavir.]
[A10BH03, saxagliptin, Azathioprine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Azathioprine.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Azathioprine.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Azathioprine.]
[P01BA03, primaquine, The metabolism of Azathioprine can be increased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Azathioprine can be increased when combined with Primidone.]
[M04AB01, probenecid, Azathioprine may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Azathioprine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Procarbazine.]
[C10AB05, fenofibrate, Azathioprine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AA03, promazine, The metabolism of Azathioprine can be decreased when combined with Promazine.]
[R06AD02, promethazine, Azathioprine may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, The metabolism of Azathioprine can be decreased when combined with Propafenone.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C07AA05, propranolol, The metabolism of Azathioprine can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Azathioprine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[B01AC09, epoprostenol, Azathioprine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N07XX07, dalfampridine, Azathioprine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Azathioprine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Azathioprine.]
[C01BA01, quinidine, The metabolism of Azathioprine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Azathioprine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Azathioprine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Rescinnamine is combined with Azathioprine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J05AP01, ribavirin, The serum concentration of the active metabolites of Azathioprine can be increased when Azathioprine is used in combination with Ribavirin.]
[J04AB02, rifampin, The metabolism of Azathioprine can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Azathioprine.]
[S01BC08, salicylic acid, The metabolism of Azathioprine can be decreased when combined with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Azathioprine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Obinutuzumab.]
[J01GB08, sisomicin, Azathioprine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Azathioprine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Azathioprine.]
[V04CC01, sorbitol, Azathioprine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Azathioprine is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Azathioprine.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AG01, valproic acid, The metabolism of Azathioprine can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Azathioprine is combined with Hydrocortisone butyrate.]
[M04AA03, febuxostat, Febuxostat - azathioprine and mercaptopurine]
