[P02BB01, trichlorfon, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Metrifonate.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Olanzapine.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Olanzapine.]
[J05AG01, nevirapine, The metabolism of Olanzapine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypotension can be increased when Olanzapine is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Oxatomide.]
[C09AA04, perindopril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Perindopril.]
[C02DB02, hydralazine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, The serum concentration of Hydroflumethiazide can be increased when it is combined with Olanzapine.]
[G04BD06, propiverine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Hydroxyzine.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Olanzapine.]
[M05BA07, risedronic acid, Olanzapine can cause an increase in the absorption of Risedronic acid resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Olanzapine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Olanzapine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Olanzapine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Olanzapine.]
[H01AC02, somatrem, The metabolism of Olanzapine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Olanzapine is combined with Sufentanil.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Olanzapine is combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Terlipressin.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Olanzapine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Indapamide.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Olanzapine.]
[C02CA02, indoramin, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Indoramin.]
[L03AB04, interferon alfa-2a, The metabolism of Olanzapine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Olanzapine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Olanzapine is combined with Milnacipran.]
[A03AA30, piperidolate, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Olanzapine.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R06AE01, buclizine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Olanzapine.]
[C10AA06, cerivastatin, The metabolism of Olanzapine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may increase the orthostatic hypotensive activities of Olanzapine.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Olanzapine.]
[L03AB09, interferon alfacon-1, The metabolism of Olanzapine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Olanzapine.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Olanzapine.]
[J05AB13, penciclovir, The metabolism of Olanzapine can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Olanzapine.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Olanzapine.]
[C09AA16, imidapril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Olanzapine.]
[J04AC01, isoniazid, The metabolism of Olanzapine can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Olanzapine.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Olanzapine.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Olanzapine is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Olanzapine is combined with Isosorbide dinitrate.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Olanzapine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[H01AC01, somatropin, The metabolism of Olanzapine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Olanzapine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Olanzapine.]
[J02AB02, ketoconazole, Olanzapine can cause a decrease in the absorption of Ketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02CA04, levoketoconazole, Olanzapine can cause a decrease in the absorption of Levoketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Olanzapine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Olanzapine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Mizolastine.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Olanzapine.]
[N04BC09, rotigotine, Olanzapine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Olanzapine can be decreased when combined with Nalidixic acid.]
[C07AG01, labetalol, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Olanzapine.]
[C02AA05, deserpidine, Olanzapine may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Olanzapine.]
[N07AA30, ambenonium, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Olanzapine.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Olanzapine is combined with Levodopa.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C08EX01, lidoflazine, The risk or severity of hypotension can be increased when Olanzapine is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Olanzapine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Olanzapine is combined with Amiloride.]
[N02CA07, lisuride, The therapeutic efficacy of Lisuride can be decreased when used in combination with Olanzapine.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A07DA03, loperamide, The risk or severity of hypotension can be increased when Olanzapine is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Olanzapine.]
[C10AA02, lovastatin, The metabolism of Olanzapine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Olanzapine.]
[L01EG01, temsirolimus, The metabolism of Olanzapine can be decreased when combined with Temsirolimus.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Olanzapine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Olanzapine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Olanzapine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, Olanzapine can cause a decrease in the absorption of Nilotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Olanzapine is combined with Mannitol.]
[N06AA21, maprotiline, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Mecamylamine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Olanzapine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Mefloquine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Olanzapine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Meperidine.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Olanzapine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Olanzapine is combined with Meptazinol.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AX13, paliperidone, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Olanzapine.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Olanzapine.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Olanzapine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Olanzapine.]
[A03AB07, methantheline, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Methazolamide.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[H03BB02, methimazole, The metabolism of Olanzapine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Olanzapine.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Olanzapine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Olanzapine.]
[D05BA02, methoxsalen, The metabolism of Olanzapine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C03AA08, methyclothiazide, The serum concentration of Methyclothiazide can be increased when it is combined with Olanzapine.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Olanzapine.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Olanzapine.]
[V04CG05, methylene blue, Olanzapine may increase the serotonergic activities of Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Olanzapine.]
[N06BA04, methylphenidate, The therapeutic efficacy of Methylphenidate can be decreased when used in combination with Olanzapine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Olanzapine.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Olanzapine.]
[C03BA08, metolazone, The serum concentration of Metolazone can be increased when it is combined with Olanzapine.]
[C07AB02, metoprolol, The metabolism of Olanzapine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Olanzapine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Olanzapine.]
[S02AA13, miconazole, The metabolism of Olanzapine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Olanzapine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Olanzapine.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Olanzapine.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Olanzapine.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Olanzapine.]
[C09CA03, valsartan, The risk or severity of adverse effects can be increased when Valsartan is combined with Olanzapine.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Olanzapine is combined with Minoxidil.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Olanzapine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Olanzapine.]
[C01BD01, amiodarone, The metabolism of Olanzapine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Olanzapine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L04AB05, certolizumab pegol, The metabolism of Olanzapine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Olanzapine.]
[L01EX03, pazopanib, The therapeutic efficacy of Pazopanib can be decreased when used in combination with Olanzapine.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Amodiaquine.]
[G04CA04, silodosin, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[N06AA17, amoxapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Olanzapine.]
[L03AB08, interferon beta-1b, The metabolism of Olanzapine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, Nadolol may increase the orthostatic hypotensive activities of Olanzapine.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Olanzapine.]
[J01CF06, nafcillin, The metabolism of Olanzapine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Olanzapine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Olanzapine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Olanzapine.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Olanzapine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Olanzapine.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Olanzapine.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Olanzapine is combined with Duloxetine.]
[N04BX01, tolcapone, The therapeutic efficacy of Tolcapone can be decreased when used in combination with Olanzapine.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Olanzapine is combined with Remifentanil.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Olanzapine.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Levosimendan.]
[S01EB06, neostigmine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Olanzapine is combined with Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The risk or severity of adverse effects can be increased when Olanzapine is combined with Telmisartan.]
[C10AD02, niacin, The metabolism of Olanzapine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Olanzapine.]
[C08CA04, nicardipine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicardipine.]
[C04AE02, nicergoline, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nicergoline.]
[P02DA01, niclosamide, The metabolism of Olanzapine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Olanzapine.]
[C08CA05, nifedipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Nifedipine.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Olanzapine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Nisoldipine.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C08CA08, nitrendipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Nitric Oxide.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Olanzapine.]
[C02DD01, nitroprusside, The risk or severity of adverse effects can be increased when Nitroprusside is combined with Olanzapine.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Olanzapine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Olanzapine.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Olanzapine.]
[L03AB07, interferon beta-1a, The metabolism of Olanzapine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be decreased when used in combination with Olanzapine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Olanzapine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Olanzapine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Olanzapine.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Olanzapine is combined with Opium.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Olanzapine.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Olanzapine.]
[G04CA02, tamsulosin, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tamsulosin.]
[V08CB01, ferumoxsil, Olanzapine can cause a decrease in the absorption of Ferumoxsil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P02BA02, oxamniquine, The metabolism of Olanzapine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Oxolinic acid.]
[C07AA02, oxprenolol, Oxprenolol may increase the orthostatic hypotensive activities of Olanzapine.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Olanzapine is combined with Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Olanzapine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Oxymetazoline can be decreased when used in combination with Olanzapine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Olanzapine is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A03AB03, oxyphenonium, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Olanzapine.]
[N05AH05, asenapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M03AC01, pancuronium, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Papaverine.]
[N05CC05, paraldehyde, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Olanzapine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Pefloxacin.]
[G04BD11, fesoterodine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may increase the orthostatic hypotensive activities of Olanzapine.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Olanzapine.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Olanzapine.]
[C08EX02, perhexiline, The metabolism of Olanzapine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Olanzapine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Olanzapine.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Olanzapine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Olanzapine is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Olanzapine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Olanzapine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Olanzapine.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Olanzapine.]
