[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Propofol.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Propofol.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Propofol.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Propofol is combined with Isoprenaline.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Propofol is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Propofol is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Isotretinoin.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Propofol is combined with Isoxsuprine.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Propofol.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Propofol.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Propofol.]
[L04AC07, tocilizumab, The metabolism of Propofol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Propofol is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Propofol is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Propofol.]
[J02AB02, ketoconazole, The metabolism of Propofol can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Propofol can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The metabolism of Ketoprofen can be decreased when combined with Propofol.]
[V03AC03, deferasirox, The metabolism of Deferasirox can be decreased when combined with Propofol.]
[L04AA24, abatacept, The metabolism of Propofol can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Mizolastine.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Propofol is combined with Arbutamine.]
[N04BC09, rotigotine, Propofol may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Propofol is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Propofol is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Propofol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Amantadine.]
[C02AA05, deserpidine, Propofol may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Propofol is combined with Lacosamide.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Propofol is combined with Etacrynic acid.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Propofol is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Propofol.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Propofol can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Propofol.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amiloride is combined with Propofol.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Propofol.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Propofol is combined with Lofepramine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Propofol.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Propofol.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Propofol.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Propofol.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Propofol.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Propofol.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Propofol can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Propofol.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Mannitol is combined with Propofol.]
[N06AA21, maprotiline, Propofol may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Propofol.]
[C02BB01, mecamylamine, Propofol may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Propofol.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Propofol is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Propofol.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Propofol is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Propofol can be decreased when combined with Memantine.]
[N02AB02, meperidine, Meperidine may increase the sedative activities of Propofol.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Propofol is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Propofol.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Propofol.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Propofol is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Propofol.]
[N02AX05, meptazinol, Meptazinol may increase the sedative activities of Propofol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Propofol is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Propofol is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Propofol.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Propofol.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Propofol.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Propofol is combined with Metamfetamine.]
[A03AB07, methantheline, Propofol may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Propofol is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Propofol is combined with Methaqualone.]
[J05AF05, lamivudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Propofol.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Propofol.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Methazolamide is combined with Propofol.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Propofol is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Propofol can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Propofol.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Propofol.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Propofol is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Propofol.]
[N05AA02, methotrimeprazine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Propofol.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Propofol is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Propofol.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the orthostatic hypotensive activities of Propofol.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Propofol.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Propofol.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Propofol.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Propofol.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Propofol.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Propofol is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Propofol.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Propofol.]
[C03BA08, metolazone, Propofol may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, Propofol may decrease the antihypertensive activities of Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Propofol is combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Propofol can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Propofol is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Propofol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Propofol.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Propofol.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Propofol.]
[G03XB01, mifepristone, The serum concentration of Propofol can be increased when it is combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Propofol can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[D11AX01, minoxidil, The metabolism of Minoxidil can be decreased when combined with Propofol.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Propofol is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Propofol is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Propofol.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Propofol.]
[N06AA09, amitriptyline, Propofol may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, Morphine may increase the sedative activities of Propofol.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Propofol.]
[L04AB05, certolizumab pegol, The metabolism of Propofol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Propofol can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Propofol.]
[L04AA06, mycophenolic acid, The metabolism of Mycophenolic acid can be decreased when combined with Propofol.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Propofol is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Propofol.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Raltegravir.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Propofol.]
[R03BB01, ipratropium bromide, Propofol may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Propofol can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Propofol.]
[C07AA12, nadolol, Propofol may decrease the antihypertensive activities of Nadolol.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Propofol is combined with Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Propofol is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, Nalbuphine may increase the sedative activities of Propofol.]
[V03AB15, naloxone, The metabolism of Naloxone can be decreased when combined with Propofol.]
[N07BB04, naltrexone, Naltrexone may increase the sedative activities of Propofol.]
[L04AC03, anakinra, The metabolism of Propofol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Propofol.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Propofol.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Propofol.]
[A10BG01, troglitazone, The metabolism of Propofol can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Propofol is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Propofol.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Propofol.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Letrozole.]
[N01AH06, remifentanil, Remifentanil may increase the sedative activities of Propofol.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Propofol.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Propofol is combined with Levosimendan.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Propofol.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Amphotericin B is combined with Propofol.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Propofol is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Propofol may decrease the antihypertensive activities of Telmisartan.]
[M04AA03, febuxostat, The metabolism of Febuxostat can be decreased when combined with Propofol.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Propofol.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Propofol.]
[C08CA04, nicardipine, The metabolism of Propofol can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Propofol.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Propofol.]
[N07BA01, nicotine, The metabolism of Propofol can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Nifedipine.]
[M02AA17, niflumic acid, The metabolism of Propofol can be decreased when combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Propofol is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Propofol may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Propofol may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Propofol.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Propofol is combined with Zaleplon.]
[N04BC05, pramipexole, Propofol may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Propofol may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Propofol is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Propofol is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Propofol.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Propofol.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Propofol can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Propofol.]
[R05DA07, noscapine, The metabolism of Propofol can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Propofol is combined with Nylidrin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Propofol.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Propofol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Propofol can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Propofol is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Propofol is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Propofol.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Tamsulosin is combined with Propofol.]
[A14AA08, oxandrolone, The metabolism of Propofol can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Propofol is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Propofol is combined with Oxprenolol.]
[N02AA05, oxycodone, Oxycodone may increase the sedative activities of Propofol.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Propofol is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Propofol is combined with Oxymetazoline.]
[N02AA11, oxymorphone, Oxymorphone may increase the sedative activities of Propofol.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Propofol is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Propofol is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Propofol may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Propofol.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[M03AC01, pancuronium, Propofol may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Papaverine.]
[N05CC05, paraldehyde, Propofol may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Propofol.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Propofol.]
[G04BD11, fesoterodine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Propofol is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Propofol is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Penicillamine.]
[N02AD01, pentazocine, Pentazocine may increase the sedative activities of Propofol.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Propofol.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Propofol is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Propofol is combined with Pergolide.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Propofol is combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Propofol is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Propofol.]
[N02AD02, phenazocine, Phenazocine may increase the sedative activities of Propofol.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Propofol.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Propofol can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, Phenoperidine may increase the sedative activities of Propofol.]
[C04AX02, phenoxybenzamine, Propofol may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Propofol.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Propofol.]
[V03AB36, phentolamine, Propofol may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Propofol can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Propofol.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Propofol.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Propofol.]
[L04AB06, golimumab, The metabolism of Propofol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Propofol.]
[C08CX01, mibefradil, Propofol may decrease the antihypertensive activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Propofol.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Propofol is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Propofol.]
[J05AE01, saquinavir, The metabolism of Propofol can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Propofol is combined with Pipotiazine.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Eprosartan.]
[A02BX03, pirenzepine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, Piritramide may increase the sedative activities of Propofol.]
[S01BC06, piroxicam, The metabolism of Propofol can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Grepafloxacin.]
[N02CX01, pizotyline, Propofol may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Propofol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Propofol can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Propofol is combined with Proxibarbal.]
[D05AX05, tazarotene, The metabolism of Propofol can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Propofol can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Propofol.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Propofol is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Propofol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Propofol may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Propofol can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Pitavastatin.]
[C07AB01, practolol, Propofol may decrease the antihypertensive activities of Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Propofol is combined with Prajmaline.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Prazepam.]
[C02CA01, prazosin, Propofol may decrease the antihypertensive activities of Prazosin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Propofol is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Propofol.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Primaquine.]
[N03AA03, primidone, The metabolism of Propofol can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Propofol can be decreased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Propofol is combined with Procainamide.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Propofol.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Propofol.]
[C10AB05, fenofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Propofol.]
[N04AA04, procyclidine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Propofol can be decreased when combined with Progesterone.]
[N05AA03, promazine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The risk or severity of hypertension can be increased when Propofol is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Propofol is combined with Propanidid.]
[A03AB05, propantheline, Propofol may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Propofol is combined with Periciazine.]
[N05CM06, propiomazine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Propofol.]
[N07XX04, sodium oxybate, Propofol may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Propofol.]
[C07AA05, propranolol, Propofol may decrease the antihypertensive activities of Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Propofol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Propofol is combined with Rizatriptan.]
[B01AC09, epoprostenol, Propofol may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Propofol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Propofol.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Propofol is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Propofol.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Propofol is combined with Dalfampridine.]
[A03AB15, diphemanil, Propofol may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Propofol may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Propofol.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Propofol is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Propofol is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Propofol is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Propofol is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Propofol is combined with Mepyramine.]
[P01BD01, pyrimethamine, The metabolism of Propofol can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Propofol.]
