[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methimazole.]
[S02AA17, fosfomycin, Methimazole may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Methimazole.]
[J05AE10, darunavir, The metabolism of Darunavir can be decreased when combined with Methimazole.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be increased when it is combined with Methimazole.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Methimazole.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be decreased when combined with Methimazole.]
[S01AD09, ganciclovir, Methimazole may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Methimazole.]
[J01XA03, telavancin, Methimazole may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Methimazole.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Methimazole.]
[C01CA21, cafedrine, Methimazole may decrease the excretion rate of Cafedrine which could result in a higher serum level.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Methimazole.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be decreased when combined with Methimazole.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be decreased when combined with Methimazole.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Methimazole.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Methimazole.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Methimazole.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Methimazole.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Methimazole.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Methimazole.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Methimazole.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Methimazole.]
[C07AB09, esmolol, The excretion of Esmolol can be decreased when combined with Methimazole.]
[M01CB04, aurothioglucose, Methimazole may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Methimazole may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, Methimazole may decrease the anticoagulant activities of Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[S01EX01, guanethidine, Methimazole may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Methimazole.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Methimazole.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Methimazole.]
[N05AH04, quetiapine, The serum concentration of Quetiapine can be increased when it is combined with Methimazole.]
[N06BX13, idebenone, Methimazole may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Methimazole.]
[L01CE02, irinotecan, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Methimazole.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Methimazole.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Methimazole.]
[S01XA14, heparin, Methimazole may increase the anticoagulant activities of Heparin.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Methimazole.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Methimazole.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Methimazole.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Methimazole.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be decreased when combined with Methimazole.]
[M02AA26, nimesulide, The metabolism of Nimesulide can be decreased when combined with Methimazole.]
[C09AA04, perindopril, Methimazole may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Methimazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Methimazole.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Methimazole.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Methimazole.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Methimazole may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[G04BD06, propiverine, The metabolism of Propiverine can be decreased when combined with Methimazole.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Methimazole.]
[B05AA07, hetastarch, Methimazole may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Methimazole.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Methimazole is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be decreased when combined with Methimazole.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be decreased when combined with Methimazole.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Methimazole.]
[B05XA08, sodium acetate, Methimazole may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, Methimazole may increase the anticoagulant activities of Sodium citrate.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Methimazole is combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Methimazole.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be decreased when combined with Methimazole.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Methimazole.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Methimazole.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Methimazole is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Methimazole.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Methimazole is combined with Topotecan.]
[C03BA11, indapamide, The metabolism of Indapamide can be decreased when combined with Methimazole.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Methimazole.]
[A11HA07, inositol, Methimazole may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Methimazole.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Methimazole.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be decreased when combined with Methimazole.]
[S01XA28, varenicline, Methimazole may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Eculizumab.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Methimazole.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Methimazole.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Methimazole.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Methimazole.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Methimazole.]
[C07AA01, alprenolol, The excretion of Alprenolol can be decreased when combined with Methimazole.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Methimazole.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Methimazole.]
[N06AA13, iprindole, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Iprindole.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Methimazole.]
[P01AX06, atovaquone, The metabolism of Atovaquone can be decreased when combined with Methimazole.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be decreased when combined with Methimazole.]
[J04AC01, isoniazid, Methimazole may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Methimazole may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of adverse effects can be increased when Isoprenaline is combined with Methimazole.]
[C01DA14, isosorbide mononitrate, Methimazole may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Methimazole.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Isoxsuprine is combined with Methimazole.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Methimazole.]
[B01AE06, bivalirudin, Methimazole may increase the anticoagulant activities of Bivalirudin.]
[N06AX18, reboxetine, The metabolism of Reboxetine can be decreased when combined with Methimazole.]
[S01AA24, kanamycin, Methimazole may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Methimazole.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Methimazole.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Methimazole.]
[J02AB02, ketoconazole, The metabolism of Ketoconazole can be decreased when combined with Methimazole.]
[H02CA04, levoketoconazole, The metabolism of Levoketoconazole can be decreased when combined with Methimazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Methimazole.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Methimazole is combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Methimazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C07AG01, labetalol, The excretion of Labetalol can be decreased when combined with Methimazole.]
[N04BB01, amantadine, Methimazole may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be decreased when combined with Methimazole.]
[A06AX03, lubiprostone, Methimazole may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Methimazole.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Methimazole.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Methimazole.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Methimazole.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Methimazole.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be decreased when combined with Methimazole.]
[S01AA21, amikacin, Methimazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Methimazole.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The serum concentration of Lisuride can be increased when it is combined with Methimazole.]
[N06AA07, lofepramine, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Lofepramine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Methimazole is combined with Lomustine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Methimazole.]
[N05BA06, lorazepam, The metabolism of Lorazepam can be decreased when combined with Methimazole.]
[C10AA02, lovastatin, The serum concentration of Lovastatin can be increased when it is combined with Methimazole.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Methimazole.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Methimazole.]
[B05XA11, magnesium chloride, Methimazole may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Methimazole may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Methimazole is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Methimazole.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Methimazole.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Methimazole is combined with Mechlorethamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Methimazole.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Methimazole.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be decreased when combined with Methimazole.]
[P01BC02, mefloquine, The metabolism of Mefloquine can be decreased when combined with Methimazole.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, Methimazole may increase the anticoagulant activities of Nadroparin.]
[B01AB05, enoxaparin, Methimazole may increase the anticoagulant activities of Enoxaparin.]
[B01AB04, dalteparin, Methimazole may increase the anticoagulant activities of Dalteparin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Methimazole.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Methimazole is combined with Melphalan.]
[N06DX01, memantine, Methimazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Methimazole.]
[C01CA11, mephentermine, The risk or severity of adverse effects can be increased when Mephentermine is combined with Methimazole.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Methimazole.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Methimazole.]
[N01BB03, mepivacaine, Methimazole may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Methimazole may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Methimazole.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Methimazole.]
[C01CA09, metaraminol, The risk or severity of adverse effects can be increased when Metaraminol is combined with Methimazole.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Methimazole.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Methimazole.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Methimazole.]
[N05CM01, methaqualone, The metabolism of Methaqualone can be decreased when combined with Methimazole.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The serum concentration of Metergoline can be increased when it is combined with Methimazole.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Methimazole is combined with Antilymphocyte immunoglobulin (horse).]
[C01DA05, pentaerythritol tetranitrate, Methimazole may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Methimazole.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Methimazole.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be decreased when combined with Methimazole.]
[C01CA10, methoxamine, The risk or severity of adverse effects can be increased when Methoxamine is combined with Methimazole.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Methimazole.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methimazole may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Methimazole.]
[G02AB01, methylergonovine, The serum concentration of Methylergometrine can be increased when it is combined with Methimazole.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Methimazole.]
[H02AB04, methylprednisolone, The metabolism of Methylprednisolone can be decreased when combined with Methimazole.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Methimazole.]
[N02CA04, methysergide, The serum concentration of Methysergide can be increased when it is combined with Methimazole.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Methimazole.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The excretion of Metoprolol can be decreased when combined with Methimazole.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Methimazole.]
[V04CD01, metyrapone, Methimazole may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Methimazole.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Methimazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Methimazole.]
[B01AB07, parnaparin, Methimazole may increase the anticoagulant activities of Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Methimazole.]
[C01CA17, midodrine, The risk or severity of adverse effects can be increased when Midodrine is combined with Methimazole.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be decreased when combined with Methimazole.]
[B01AB10, tinzaparin, Methimazole may increase the anticoagulant activities of Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Methimazole.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Methimazole is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Methimazole.]
[L03AC01, aldesleukin, The therapeutic efficacy of Methimazole can be decreased when used in combination with Aldesleukin.]
[C01BD01, amiodarone, The therapeutic efficacy of Methimazole can be decreased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Methimazole.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Methimazole.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Methimazole.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Methimazole is combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Methimazole.]
[G04BA01, ammonium chloride, Methimazole may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Methimazole.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Methimazole is combined with Mycophenolic acid.]
[G04CA04, silodosin, The metabolism of Silodosin can be decreased when combined with Methimazole.]
[N06AA17, amoxapine, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Methimazole.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Methimazole.]
[C07AA12, nadolol, The excretion of Nadolol can be decreased when combined with Methimazole.]
[J01CA04, amoxicillin, Methimazole may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Methimazole is combined with Ropinirole.]
[V03AB15, naloxone, Methimazole may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Methimazole.]
[S01GA01, naphazoline, The risk or severity of adverse effects can be increased when Naphazoline is combined with Methimazole.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Methimazole.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Methimazole.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Methimazole.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Methimazole.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Methimazole.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Methimazole.]
[S03AA01, neomycin, Methimazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Methimazole.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Methimazole.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Methimazole.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L03AX16, plerixafor, Methimazole may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Methimazole may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Desvenlafaxine can be decreased when combined with Methimazole.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Methimazole.]
[C01CE01, inamrinone, Methimazole may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Methimazole.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Methimazole.]
[C04AE02, nicergoline, The serum concentration of Nicergoline can be increased when it is combined with Methimazole.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Methimazole.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Methimazole.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Methimazole.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C08CA06, nimodipine, The metabolism of Nimodipine can be decreased when combined with Methimazole.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Methimazole.]
[N05CD02, nitrazepam, The metabolism of Nitrazepam can be decreased when combined with Methimazole.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Methimazole.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Methimazole.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Norepinephrine is combined with Methimazole.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Methimazole.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Methimazole.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Methimazole.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Methimazole.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be decreased when combined with Methimazole.]
[B01AB08, reviparin, Methimazole may increase the anticoagulant activities of Reviparin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Methimazole is combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Methimazole.]
[N06AA05, opipramol, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Methimazole.]
[R03CB03, metaproterenol, The risk or severity of adverse effects can be increased when Orciprenaline is combined with Methimazole.]
[B01AD07, reteplase, Methimazole may increase the anticoagulant activities of Reteplase.]
[B01AD09, ancrod, Methimazole may increase the anticoagulant activities of Ancrod.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Methimazole.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Methimazole.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N05BA04, oxazepam, Methimazole may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, The excretion of Oxprenolol can be decreased when combined with Methimazole.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Methimazole.]
[S01GA04, oxymetazoline, The risk or severity of adverse effects can be increased when Oxymetazoline is combined with Methimazole.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Methimazole.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J04AA01, aminosalicylic acid, The therapeutic efficacy of Methimazole can be decreased when used in combination with Aminosalicylic acid.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Methimazole.]
[B01AB09, danaparoid, Methimazole may increase the anticoagulant activities of Danaparoid.]
[J04AB30, capreomycin, Methimazole may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
