[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Metoprolol.]
[B05XA11, magnesium chloride, Metoprolol may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Metoprolol may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, Metoprolol may increase the arrhythmogenic activities of Magnesium sulfate.]
[L01BA05, pralatrexate, Metoprolol may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Metoprolol.]
[C02BB01, mecamylamine, Metoprolol may increase the hypotensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, Mechlorethamine may increase the bradycardic activities of Metoprolol.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Metoprolol.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the antihypertensive activities of Metoprolol.]
[C01AA08, medigoxin, Metoprolol may increase the arrhythmogenic activities of Metildigoxin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be decreased when Mefloquine is combined with Metoprolol.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Dalteparin.]
[N06DX01, memantine, Memantine may increase the bradycardic activities of Metoprolol.]
[N02AB02, meperidine, Metoprolol may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01CA11, mephentermine, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Metoprolol.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Metoprolol.]
[N01BB03, mepivacaine, The serum concentration of Mepivacaine can be increased when it is combined with Metoprolol.]
[G04BX16, tiopronin, Metoprolol may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Metoprolol.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Metoprolol.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Metoprolol.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Metoprolol.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Metoprolol.]
[H01CB03, lanreotide, Metoprolol may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Metoprolol.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Metoprolol.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Metoprolol.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metoprolol may increase the vasoconstricting activities of Metergoline.]
[H03BB02, methimazole, The excretion of Metoprolol can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Metoprolol may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Metoprolol.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N02BG08, ziconotide, Metoprolol may increase the arrhythmogenic activities of Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be decreased when combined with Metoprolol.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Metoprolol.]
[D05BA02, methoxsalen, Metoprolol may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Metoprolol.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Metoprolol can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Metoprolol.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Metoprolol.]
[G02AB01, methylergonovine, Metoprolol may increase the vasoconstricting activities of Methylergometrine.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Metoprolol is combined with Aminophylline.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Metoprolol.]
[G03EK01, methyltestosterone, Metoprolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, Metoprolol may increase the vasoconstricting activities of Methysergide.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Metoprolol.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA05, pentaerythritol tetranitrate, Metoprolol may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[V04CD01, metyrapone, Metoprolol may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, Metoprolol may increase the arrhythmogenic activities of Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Metoprolol.]
[S02AA13, miconazole, The metabolism of Metoprolol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the antihypertensive activities of Metoprolol.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Parnaparin.]
[N05CD08, midazolam, Metoprolol may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Metoprolol.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Metoprolol.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Tinzaparin.]
[J05AH01, zanamivir, Metoprolol may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Metoprolol.]
[D11AX01, minoxidil, Metoprolol may increase the hypotensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Metoprolol.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Metoprolol.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Metoprolol.]
[C01BD01, amiodarone, The therapeutic efficacy of Metoprolol can be increased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Metoprolol.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Metoprolol.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Metoprolol can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Ammonium chloride.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Metoprolol.]
[L04AA06, mycophenolic acid, Metoprolol may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Metoprolol.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be decreased when Amodiaquine is combined with Metoprolol.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Metoprolol is combined with Silodosin.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Metoprolol.]
[C07AA12, nadolol, Metoprolol may increase the arrhythmogenic activities of Nadolol.]
[J01CA04, amoxicillin, Metoprolol may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Metoprolol is combined with Ropinirole.]
[V03AB15, naloxone, Metoprolol may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Metoprolol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Metoprolol.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Metoprolol.]
[M02AA12, naproxen, Naproxen may decrease the antihypertensive activities of Metoprolol.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Metoprolol.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Metoprolol is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Metoprolol is combined with Tolcapone.]
[S03AA01, neomycin, Metoprolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Metoprolol.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Metoprolol.]
[C01CX08, levosimendan, Metoprolol may increase the arrhythmogenic activities of Levosimendan.]
[B01AC17, tirofiban, Metoprolol may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[S01EB06, neostigmine, Neostigmine may increase the bradycardic activities of Metoprolol.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Metoprolol.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Metoprolol is combined with Amphotericin B.]
[S01AA19, ampicillin, Metoprolol may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Metoprolol may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Metoprolol may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The serum concentration of Metoprolol can be increased when it is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Metoprolol may increase the hypotensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[C01CE01, inamrinone, Metoprolol may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Metoprolol can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Metoprolol.]
[C08CA04, nicardipine, Metoprolol may increase the arrhythmogenic activities of Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Metoprolol.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Nicotine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the antihypertensive activities of Metoprolol.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Metoprolol is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Metoprolol may increase the arrhythmogenic activities of Nimodipine.]
[C08CA07, nisoldipine, Metoprolol may increase the arrhythmogenic activities of Nisoldipine.]
[C08CA08, nitrendipine, Metoprolol may increase the arrhythmogenic activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Metoprolol is combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Nitrofurantoin.]
[N05CF03, zaleplon, Metoprolol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Metoprolol.]
[C02DD01, nitroprusside, Metoprolol may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Metoprolol.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Metoprolol.]
[C02KX01, bosentan, Metoprolol may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Metoprolol.]
[G02CA02, nylidrin, Metoprolol may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Metoprolol.]
[L04AC04, rilonacept, The metabolism of Metoprolol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Metoprolol can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Metoprolol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Metoprolol.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Metoprolol.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Metoprolol.]
[C01AC01, ouabain, Metoprolol may increase the bradycardic activities of Ouabain.]
[J01CF04, oxacillin, Metoprolol may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Metoprolol can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Metoprolol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, Metoprolol may increase the arrhythmogenic activities of Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Metoprolol.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Metoprolol.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Oxymetazoline.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Metoprolol.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the antihypertensive activities of Metoprolol.]
[N05AH05, asenapine, Metoprolol may increase the orthostatic hypotensive activities of Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Danaparoid.]
[M03AC01, pancuronium, Pancuronium may increase the bradycardic activities of Metoprolol.]
[J04AB30, capreomycin, Metoprolol may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Papaverine.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Metoprolol.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Metoprolol.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Metoprolol.]
[N05AG03, penfluridol, Metoprolol may increase the arrhythmogenic activities of Penfluridol.]
[J01CE09, penicillin G procaine, Metoprolol may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Metoprolol.]
[L01XX08, pentostatin, Metoprolol may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Metoprolol.]
[N05AB10, perazine, The serum concentration of Metoprolol can be increased when it is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Metoprolol.]
[C08EX02, perhexiline, Metoprolol may increase the arrhythmogenic activities of Perhexiline.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Metoprolol.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Metoprolol.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Metoprolol.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Metoprolol.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive activities of Metoprolol.]
[C04AX02, phenoxybenzamine, Metoprolol may increase the orthostatic hypotensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Metoprolol may increase the orthostatic hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the antihypertensive activities of Metoprolol.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Metoprolol.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Metoprolol.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Metoprolol.]
[L04AB06, golimumab, The metabolism of Metoprolol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Metoprolol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V03AB19, physostigmine, Physostigmine may increase the bradycardic activities of Metoprolol.]
[B02BA01, vitamin K1, Metoprolol may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[C08CX01, mibefradil, Metoprolol may increase the arrhythmogenic activities of Mibefradil.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Metoprolol.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Metoprolol.]
[J01CA12, piperacillin, Metoprolol may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Metoprolol can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Metoprolol.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Metoprolol.]
[N06BX03, piracetam, Metoprolol may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Metoprolol may increase the hypotensive activities of Eprosartan.]
[S01BC06, piroxicam, Piroxicam may decrease the antihypertensive activities of Metoprolol.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N02CX01, pizotyline, Metoprolol may increase the orthostatic hypotensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Metoprolol.]
[C09CA04, irbesartan, Metoprolol may increase the hypotensive activities of Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Metoprolol.]
[L04AC08, canakinumab, The metabolism of Metoprolol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Metoprolol can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Metoprolol.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Metoprolol.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Metoprolol.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Metoprolol.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Metoprolol.]
[C07AB01, practolol, Metoprolol may increase the arrhythmogenic activities of Practolol.]
[C01BA08, prajmaline, Metoprolol may increase the arrhythmogenic activities of Prajmaline.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Metoprolol.]
[H02AB07, prednisone, Metoprolol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C01DX02, prenylamine, Metoprolol may increase the arrhythmogenic activities of Prenylamine.]
[P01BA03, primaquine, The metabolism of Metoprolol can be decreased when combined with Primaquine.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Metoprolol.]
[M04AB01, probenecid, Metoprolol may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Metoprolol may increase the arrhythmogenic activities of Procainamide.]
[S01HA05, procaine, Procaine may increase the bradycardic activities of Metoprolol.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Metoprolol.]
[C10AB05, fenofibrate, Metoprolol may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Metoprolol.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Metoprolol.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Metoprolol.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Metoprolol.]
[C01BC03, propafenone, The risk or severity of adverse effects can be increased when Propafenone is combined with Metoprolol.]
[A03AB05, propantheline, Metoprolol may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N05AC01, periciazine, The serum concentration of Metoprolol can be increased when it is combined with Periciazine.]
[N05CM06, propiomazine, Metoprolol may increase the orthostatic hypotensive activities of Propiomazine.]
[N01AX10, propofol, Propofol may decrease the antihypertensive activities of Metoprolol.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Metoprolol.]
[C07AA05, propranolol, Metoprolol may increase the arrhythmogenic activities of Propranolol.]
[C01AB01, proscillaridin, Metoprolol may increase the bradycardic activities of Proscillaridin.]
[N02CC04, rizatriptan, Rizatriptan may decrease the antihypertensive activities of Metoprolol.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Metoprolol.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Metoprolol.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Metoprolol.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Metoprolol.]
[P02CC01, pyrantel, Metoprolol may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Metoprolol may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Metoprolol.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the bradycardic activities of Metoprolol.]
[R06AC01, pyrilamine, The metabolism of Metoprolol can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, Metoprolol may increase the arrhythmogenic activities of Quinidine.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Metoprolol.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Metoprolol.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Metoprolol.]
[C02AA02, reserpine, Reserpine may increase the hypotensive activities of Metoprolol.]
[J05AP01, ribavirin, Metoprolol may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Metoprolol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Metoprolol.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Metoprolol.]
[N02BA05, salicylamide, Salicylamide may decrease the antihypertensive activities of Metoprolol.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the antihypertensive activities of Metoprolol.]
[S01BC08, salicylic acid, Salicylic acid may decrease the antihypertensive activities of Metoprolol.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Metoprolol.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Metoprolol.]
[L01FA03, obinutuzumab, Metoprolol may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Metoprolol may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Metoprolol may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Metoprolol may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, Metoprolol may increase the arrhythmogenic activities of Sotalol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
